names,population,state_code,lat,lon
aixas,,06,42.4833333,1.4666667
aixirivali,,06,42.4666667,1.5
aixirivall,,06,42.4666667,1.5
aixirvall,,06,42.4666667,1.5
aixovall,,06,42.4666667,1.4833333
andorra,,07,42.5,1.5166667
andorra la vella,20430,07,42.5,1.5166667
andorra-vieille,,07,42.5,1.5166667
andorre,,07,42.5,1.5166667
andorre-la-vieille,,07,42.5,1.5166667
andorre-vieille,,07,42.5,1.5166667
ansalonga,,04,42.5666667,1.5166667
anyos,,05,42.5333333,1.5333333
arans,,04,42.5833333,1.5166667
arinsal,,04,42.5666667,1.4833333
aubinya,,06,42.45,1.5
auvinya,,06,42.45,1.5
bicisarri,,06,42.4833333,1.4666667
bixessarri,,06,42.4833333,1.4666667
bixisarri,,06,42.4833333,1.4666667
canillo,3292,02,42.5666667,1.6
casas vila,,03,42.5333333,1.5666667
certers,,06,42.4666667,1.5
certes,,06,42.4666667,1.5
eixirivall,,06,42.4666667,1.5
el pui,,04,42.55,1.5166667
els bons,,03,42.5333333,1.5833333
el serrat,,04,42.6166667,1.55
els plans,,02,42.5833333,1.6333333
el tarter,,02,42.5833333,1.65
el tremat,,03,42.55,1.5833333
el vilar,,02,42.5666667,1.6
encamp,11224,03,42.5333333,1.5833333
engordany,,08,42.5166667,1.55
ercs,,04,42.5666667,1.5
ercz,,04,42.5666667,1.5
erez,,04,42.5666667,1.5
erts,,04,42.5666667,1.5
escaldas,,08,42.5,1.5333333
escaldes,,08,42.5,1.5333333
escas,,04,42.55,1.5166667
fontaneda,,06,42.45,1.4666667
juberri,,06,42.4333333,1.5
juverri,,06,42.4333333,1.5
la cortinada,,04,42.5666667,1.5166667
la costa,,02,42.5833333,1.6333333
l'aldosa,,02,42.5833333,1.6333333
l'aldosa,,05,42.55,1.5333333
la macana,,04,42.55,1.5166667
la massana,7211,04,42.55,1.5166667
las escadas,,08,42.5,1.5333333
la vieja,,07,42.5,1.5166667
les bons,,03,42.5333333,1.5833333
les escaldes,15854,08,42.5,1.5333333
llors,,04,42.6,1.5333333
llorta,,04,42.6,1.5333333
llorts,,04,42.6,1.5333333
llumeneres,,06,42.4666667,1.5166667
lors,,04,42.6,1.5333333
lo serrat,,04,42.6166667,1.55
mas d'alins,,06,42.4333333,1.45
mas de ribafeta,,04,42.5666667,1.4833333
meritxell,,02,42.55,1.6
molleres,,03,42.55,1.5833333
mosquera,,03,42.55,1.5833333
nagol,,06,42.4666667,1.5
ordino,2553,05,42.55,1.5333333
pal,,04,42.55,1.4833333
pas de la casa,,02,42.55,1.7333333
prats,,02,42.5666667,1.6
puiol del piu,,04,42.5666667,1.5
ransol,,02,42.5833333,1.6333333
sanctuaire de meritxeli,,02,42.55,1.6
sanctuaire de meritxell,,02,42.55,1.6
san joan de casettas,,02,42.5666667,1.6166667
san julia,,06,42.4666667,1.5
santa coloma,,07,42.5,1.5
santa julia de loria,,06,42.4666667,1.5
sant joan de casellas,,02,42.5666667,1.6166667
sant joan de caselles,,02,42.5666667,1.6166667
sant julia de loria,8020,06,42.4666667,1.5
sant julia,,06,42.4666667,1.5
sant pere,,02,42.5833333,1.65
santuari de meritxell,,02,42.55,1.6
segudet,,05,42.55,1.5333333
sertes,,06,42.4666667,1.5
sispony,,04,42.5333333,1.5166667
soldeu,,02,42.5833333,1.6666667
sornas,,05,42.5666667,1.5333333
vila,,03,42.5333333,1.5666667
vixesarri,,06,42.4833333,1.4666667
xixerella,,04,42.55,1.4833333
