names,population,state_code,lat,lon
`aaqadari yosufkhel,,29,33.0519444,68.65
aba,,06,32.6666667,62.25
aba,,10,32.2444444,64.6830556
abad,,06,32.6333333,62.4666667
abaka,,24,36.6738889,69.0780556
abak,,09,34.6166667,66.6333333
abakeh,,24,36.6738889,69.0780556
abakhel,,35,34.7430556,70.2725
abakheyl,,35,34.7430556,70.2725
'abas,,08,33.3333333,67.6433333
`abas`ali,,20,32.8141667,65.9677778
abas`ali,,20,32.8197222,65.9744444
abash,,27,34.2333333,68.6
abasi„,,27,34.2333333,68.6
abas khan kala,,29,32.5013889,69.2094444
abas khel,,28,31.9725,67.5902778
`abaskusi„ta,,27,34.3166667,67.6333333
abay,,08,33.3852778,67.4941667
abazey,,28,31.9169444,67.7419444
ab bakhsh,,02,34.8666667,63.2666667
ab bala,,05,34.7166667,67.7333333
ab band,,08,32.9833333,67.9666667
ab band matkat,,01,38.2888889,70.8286111
ab barik,,07,35.5797222,65.1022222
ab barik,,09,34.65,66.25
`abbas,,08,33.3333333,67.6433333
`abbas`ali,,20,32.8141667,65.9677778
`abbasha-ye helmand,,10,31.7933333,64.5661111
`abbas kala,,08,32.7836111,67.8013889
`abbaskhan kala,,29,32.4691667,69.2094444
`abbas khan kala,,29,32.5013889,69.2094444
abbaskhel janubi,,29,32.6691667,69.14
`abbas kheyl,,28,31.9725,67.5902778
`abbaskheyl-e jonubi,,29,32.6691667,69.14
`abbas koshteh,,27,34.3166667,67.6333333
ab bazan,,26,36.9352778,69.945
abbazha-i-helmand,,10,31.7933333,64.5661111
abbazha-i-nahre saraj,,10,31.7188889,64.6013889
abbazha-ye helmand,,10,31.7933333,64.5661111
abbazha-ye nahr-e seraj,,10,31.7188889,64.6013889
abbedak,,09,33.4805556,64.3069444
abbidak,,09,33.4805556,64.3069444
ab bordeh,,08,33.0883333,67.435
ab bordeh,,20,32.6111111,65.7875
abburda,,20,32.6111111,65.7875
ab burdah,,20,32.6111111,65.7875
ab burdeh,,20,32.6111111,65.7875
abcakan,,17,33.8936111,69.2327778
ab carmi,,11,35.4347222,61.3763889
ab cenar,,01,36.8825,70.1605556
abchak,,20,33.8188889,65.88
abchakan,,17,33.8936111,69.2327778
abchang,,11,34.1497222,63.4202778
ab chekan,,17,33.8936111,69.2327778
ab chenar,,01,36.8825,70.1605556
abdakay,,29,32.2333333,68.2333333
abdakey,,28,31.8083333,66.4877778
abdal-e pasha khan,,07,35.7188889,64.5497222
abdal-i-pasi„a khan,,07,35.7188889,64.5497222
abdallahkhel,,22,35.2469444,69.615
abdan (1),,33,36.0338889,66.1219444
abdan (2),,33,36.0533333,66.115
abdan (3),,33,36.0416667,66.1211111
abdana,,08,33.3141667,67.1983333
abdan,,33,36.0338889,66.1219444
abdaneh,,08,33.3141667,67.1983333
abdan-e shebaqli,,30,36.6977778,68.0186111
abdan-i-mir alam,,24,36.6569444,68.3697222
abdan-i-si„ebaqli,,30,36.6977778,68.0186111
abdara,,08,33.65,68.0
abdara,,27,34.3833333,67.8833333
abdara,,33,35.77,66.5605556
ab dara,,33,36.2880556,66.8544444
ab daraz,,11,35.4005556,61.3527778
ab darrah,,01,38.1013889,70.4669444
abdarreh,,08,33.65,68.0
abdarreh,,13,34.7091667,69.3180556
ab darreh,,20,33.7530556,65.8505556
ab darreh,,27,33.8594444,68.7436111
abdarreh,,27,34.3833333,67.8833333
