names,population,state_code,lat,lon
aberdeen,,04,17.0666667,-61.8166667
aberdeen village,,04,17.0666667,-61.8166667
all saints,2526,06,17.05,-61.8
all saints village,,06,17.05,-61.8
barnes hill,,03,17.15,-61.8
barnes hill village,,03,17.15,-61.8
bats cave,,06,17.0166667,-61.75
belmont,,04,17.1,-61.8166667
bendals,,04,17.0666667,-61.8333333
bendals village,,04,17.0666667,-61.8333333
bethesda,,06,17.05,-61.75
bethesda village,,06,17.05,-61.75
betty's hope,,07,17.0666667,-61.7333333
big duers,,07,17.0666667,-61.7666667
bishops,,05,17.0333333,-61.8166667
blakes,,06,17.05,-61.7333333
blubber valley,,05,17.0666667,-61.8666667
bolands,,05,17.0333333,-61.8833333
boland village,,05,17.0333333,-61.8833333
bolans,,05,17.0333333,-61.8833333
boon house,,04,17.1666667,-61.8333333
branns hamlet,,04,17.1166667,-61.8333333
buckleys,,04,17.0666667,-61.8166667
burkes,,06,17.05,-61.7666667
cades bay,,05,17.0166667,-61.85
carlisle,831,03,17.1333333,-61.8
carlisle,,05,17.0166667,-61.8333333
carlisle's estate,,05,17.0166667,-61.8333333
cassada gardens,,03,17.1166667,-61.8
cedar grove,,04,17.1666667,-61.8166667
cedar grove village,,04,17.1666667,-61.8166667
cedar hall,,05,17.0666667,-61.8666667
cedar valley mill,,03,17.1333333,-61.8
christian hill,,06,17.0333333,-61.75
clare hall,,04,17.1166667,-61.8166667
claremont,,05,17.0166667,-61.8166667
clarence house,,06,17.0,-61.7666667
cobbs cross,,06,17.0166667,-61.7666667
cochranes,,07,17.0666667,-61.7666667
cocoa hall,,07,17.1,-61.7333333
coconut hall,,07,17.1,-61.7333333
codrington,682,01,17.6333333,-61.8333333
codrington village,,01,17.6333333,-61.8333333
collins,,08,17.0833333,-61.7333333
comfort hall,,08,17.0833333,-61.7
crab hill,,05,17.0333333,-61.8833333
crab hill village,,05,17.0333333,-61.8833333
creekside,,04,17.1,-61.8333333
crosbies,,04,17.1666667,-61.8166667
delaps,,06,17.05,-61.7333333
doigs,,06,17.0166667,-61.8
dulcina,,01,17.5833333,-61.8166667
ebenezer,,05,17.0833333,-61.8666667
emanuel,,04,17.0666667,-61.8333333
english harbour town,,06,17.0166667,-61.7666667
falmouth,,06,17.0166667,-61.7833333
far hill village,,08,17.05,-61.7
ffryes,,06,17.05,-61.7333333
fitches creek,,03,17.1166667,-61.7833333
fitzroy town,,04,17.1166667,-61.85
five islands village,,04,17.1166667,-61.8833333
freeman,,07,17.05,-61.7833333
freemans,,07,17.05,-61.7833333
freemanville,,07,17.05,-61.7833333
freemonville,,07,17.05,-61.7833333
freetown,623,08,17.05,-61.7
freetown village,,08,17.05,-61.7
frryes,,06,17.05,-61.7333333
gambles,,04,17.1166667,-61.8333333
gaynors,,08,17.0666667,-61.7
gilberts,,08,17.0833333,-61.7333333
glanvilles,,08,17.0833333,-61.7166667
glebe,,05,17.0333333,-61.8666667
golden grove,,04,17.1,-61.8333333
grants,,08,17.0833333,-61.7166667
gray house,,04,17.1,-61.85
gray house village,,04,17.1,-61.85
grays,,04,17.1,-61.85
grays,,08,17.0833333,-61.7
grays hill,,04,17.1,-61.85
green bay,,04,17.1166667,-61.85
gunthorpes,,03,17.1166667,-61.8
hamiltons,,04,17.05,-61.8333333
hamiltons village,,04,17.05,-61.8333333
harveys,,05,17.0333333,-61.8666667
herberts,,04,17.0833333,-61.8
jennings,,05,17.0833333,-61.8666667
jennings village,,05,17.0833333,-61.8666667
john hughes,,05,17.05,-61.8166667
johnson point,,05,17.0333333,-61.8833333
johnson point village,,05,17.0333333,-61.8833333
johnsons point,,05,17.0333333,-61.8833333
lavingtons,,06,17.05,-61.7333333
liberta,1668,06,17.0333333,-61.7833333
liberta village,,06,17.0333333,-61.7833333
little duer,,07,17.0666667,-61.75
little duers,,07,17.0666667,-61.75
long lane,,07,17.0666667,-61.7333333
lower lyons,,06,17.05,-61.7333333
lyon,,06,17.05,-61.7333333
lyons,,06,17.05,-61.7333333
mathew,,06,17.0666667,-61.8
matthews,,06,17.0666667,-61.8
mayers,,08,17.0833333,-61.7
mercers creek,,08,17.0833333,-61.7333333
mill reef club,,08,17.0333333,-61.6833333
montpelier,,08,17.05,-61.7166667
morris loobys,,06,17.0333333,-61.75
mount william,,06,17.0333333,-61.8
mount williem,,06,17.0333333,-61.8
new division,,05,17.0833333,-61.8666667
newfield,,08,17.0333333,-61.7333333
newfield village,,08,17.0333333,-61.7333333
new winthorpes,,03,17.15,-61.8
old road,623,05,17.0166667,-61.8333333
old road town,,05,17.0166667,-61.8333333
old road village,,05,17.0166667,-61.8333333
orange valley mill,,05,17.0333333,-61.8666667
osbourn,,03,17.1333333,-61.8
painter village,,03,17.1166667,-61.8
pares,,07,17.0833333,-61.75
