names,population,state_code,lat,lon
bethel,,00,18.2,-63.1
betty hill,,00,18.2166667,-63.0
blowing point village,,00,18.1666667,-63.0833333
cannifist,,00,18.2333333,-63.0166667
cauls bottom,,00,18.2166667,-63.0333333
chalvilles,,00,18.2333333,-63.0
crocus hill,,00,18.2166667,-63.0666667
deep waters,,00,18.2333333,-63.0166667
east end,,00,18.2333333,-63.0
east end village,,00,18.2333333,-63.0
ebenezer,,00,18.2166667,-63.0666667
george hill,,00,18.2,-63.0666667
island harbour,,00,18.25,-63.0
junks hole,,00,18.25,-62.9833333
little dicks,,00,18.2333333,-63.0333333
little dix,,00,18.2333333,-63.0333333
long bay village,,00,18.1833333,-63.1166667
long ground,,00,18.2,-63.05
long path,,00,18.2166667,-63.0166667
lower south hill,,00,18.1833333,-63.1
mahogany tree,,00,18.2,-63.0333333
mount fortune,,00,18.2333333,-62.9833333
north hill village,,00,18.2,-63.0666667
north side,,00,18.2166667,-63.05
rey hill,,00,18.2,-63.0333333
saint mary's,,00,18.2166667,-63.0666667
sandy ground village,,00,18.2,-63.0833333
shoal bay village,,00,18.25,-63.0166667
shoal village,,00,18.25,-63.0166667
south hill village,,00,18.1833333,-63.0833333
stoney ground,,00,18.2166667,-63.0333333
the copse,,00,18.2166667,-62.9833333
the farrington,,00,18.2,-63.0333333
the forest,,00,18.2,-63.0333333
the quarter,,00,18.2,-63.0333333
the valley,1379,00,18.2166667,-63.05
valley,,00,18.2166667,-63.05
wattices,,00,18.2166667,-63.0333333
welches hill,,00,18.2333333,-63.0166667
welches,,00,18.2333333,-63.0166667
west end village,,00,18.1666667,-63.15
white hill,,00,18.25,-63.0
