names,population,state_code,lat,lon
1 maj,,51,40.11,19.7622222
1 maji,,46,40.7075,20.3947222
1 (nje) maj,,51,40.11,19.7622222
abat,,49,42.3125,19.8077778
abate,,49,42.3125,19.8077778
abati,,49,42.3125,19.8077778
abaz,,42,41.5283333,19.7880556
abazaj,,43,40.9816667,19.8486111
abaze,,42,41.5283333,19.7880556
achmetaj,,47,42.3944444,20.1391667
acmenik,,46,40.6488889,20.9138889
ada,,44,40.6147222,19.5244444
ad-bunaca,,44,40.6147222,19.5244444
ad-bunacaj,,44,40.6147222,19.5244444
ade,,44,40.6147222,19.5244444
ade bunaca,,44,40.6147222,19.5244444
ade bunace,,44,40.6147222,19.5244444
(( adem gjeli )),,42,41.4666667,19.7333333
aderai,,51,40.4469444,19.7019444
adriatik,,44,40.8166667,19.5
adriatiku,,44,40.8166667,19.5
afrim,,44,40.7247222,19.5372222
afrimi,,44,40.7247222,19.5372222
afrimi i ri,,44,40.7336111,19.5302778
afrim i ri,,44,40.7336111,19.5302778
agacaj,,44,40.7777778,19.6980556
agalli,,40,40.575,20.0002778
agalli,,46,40.3283333,20.6833333
agallinj,,40,40.5230556,20.01
agalliu,,40,40.575,20.0002778
agalliu,,46,40.3283333,20.6833333
aganas,,42,41.2155556,19.54
aganasi,,42,41.2155556,19.54
agaraj,,44,40.4488889,19.7858333
(( agim )),,40,40.7,19.9833333
agim,,40,40.8416667,19.8063889
agim,,44,40.8488889,19.5275
agimi,,40,40.7,19.9833333
agimi,,44,40.8488889,19.5275
agioi,,51,39.8755556,20.0052778
agirocastro,,45,40.0758333,20.1388889
agoll,,40,40.5961111,19.8663889
agolli,,40,40.5961111,19.8663889
ahmanikaj,,45,40.3897222,19.9230556
ahmataj,,47,42.3944444,20.1391667
ahmedaj,,50,41.4341667,19.6797222
ahmedaqej,,50,41.4341667,19.6797222
ahmed bejas,,44,40.6136111,19.5613889
ahmetaj,,47,42.3944444,20.1391667
ahmetaq,,50,41.4341667,19.6797222
ahmetaqi,,50,41.4341667,19.6797222
ahmet-bejas,,44,40.6136111,19.5613889
ahmet-bejasi,,44,40.6136111,19.5613889
ai nicolas,,45,39.8958333,20.3663889
ajaz,,42,41.4663889,19.6569444
aêjecar,,44,40.6733333,19.79
aêjinocar,,44,40.6641667,19.7161111
ajios andreas,,51,39.8219444,20.1961111
ajios nikolaos,,45,39.8958333,20.3663889
ajmeli,,49,41.9530556,19.6377778
ajnikolla,,45,39.8958333,20.3663889
ajnikolle,,45,39.8958333,20.3663889
aêjonc,,44,40.5616667,19.6411111
akcehisar,,42,41.5091667,19.7927778
alarup,,46,40.8641667,20.7955556
alarupi,,46,40.8641667,20.7955556
alavan,,49,42.2427778,19.6461111
alavane,,49,42.2427778,19.6461111
alcaus,,50,41.3825,19.6313889
alemas,,46,40.3302778,20.6311111
alemasi,,46,40.3302778,20.6311111
alessio,,48,41.7836111,19.6436111
algjinaj,,43,41.0091667,19.8025
algjin,,43,41.0091667,19.8025
ali aga,,44,40.4630556,19.7975
aliaj,,47,41.975,20.3233333
aliaj,,49,42.2566667,19.4275
aliaj,,51,40.5266667,19.5963889
aliajbegu,,43,41.0355556,19.9055556
aliban,,51,40.6069444,19.4619444
alibani,,51,40.6069444,19.4619444
ali bostivan,,45,40.3227778,20.2986111
alicu,,51,39.8586111,20.0791667
(( ali hanit )),,41,41.6166667,20.05
ali hebe,,49,42.0083333,19.4986111
alikaj,,44,40.8575,19.7552778
alikaj,,51,39.8586111,20.0791667
aliko,,51,39.8586111,20.0791667
alikoja,,51,39.8586111,20.0791667
alikoje,,51,39.8586111,20.0791667
alikon,,51,39.8586111,20.0791667
alillaret,,44,40.7969444,19.7258333
alipostivan,,45,40.3227778,20.2986111
alipostivani,,45,40.3227778,20.2986111
aljaj,,49,42.2455556,19.705
aljaz,,42,41.5319444,19.5988889
aljban,,51,40.6069444,19.4619444
aljgjata,,50,41.32,19.7052778
aljtataj,,50,41.25,19.7833333
alk,,48,41.6727778,19.5988889
alkomemaj,,45,40.5094444,19.9041667
alkomenaj,,45,40.5094444,19.9041667
alku,,48,41.6727778,19.5988889
allaj,,43,41.0355556,19.9055556
(( allaj )),,43,41.2333333,20.3
allajbeg,,43,41.0355556,19.9055556
allajbegu,,43,41.0355556,19.9055556
allaj beje,,43,41.0355556,19.9055556
(( allake )),,43,41.2166667,20.3333333
allambre,,40,40.7025,19.8025
allambres,,40,40.7025,19.8025
allambresi,,40,40.7025,19.8025
allata,,50,41.25,19.7833333
allcanshe,,50,41.3825,19.6313889
allcaush,,50,41.3825,19.6313889
allgjata,,50,41.32,19.7052778
allgjate,,50,41.32,19.7052778
allgjin,,43,41.0091667,19.8025
alljaz,,42,41.5319444,19.5988889
allkaj,,44,40.8575,19.7552778
allkomemaj,,45,40.5094444,19.9041667
allkomemanj,,45,40.5094444,19.9041667
allkomenaj,,45,40.5094444,19.9041667
allprenaj,,44,40.97,19.7263889
allprendaj,,44,40.97,19.7263889
allprendaj lushnja,,44,40.97,19.7263889
allprendaj-lushnje,,44,40.97,19.7263889
(( allprendaj-peqin )),,44,40.9666667,19.7166667
allprendaj-peqini,,44,40.9666667,19.7166667
allprendani peqin,,44,40.9666667,19.7166667
allprendja,,44,40.97,19.7263889
alltata,,50,41.25,19.7833333
alltataj,,50,41.32,19.7052778
(( alltate )),,50,41.25,19.7833333
alopul,,51,39.8352778,20.2694444
alopuli,,51,39.8352778,20.2694444
alprendaj peqin,,44,40.9666667,19.7166667
altataj,,50,41.25,19.7833333
amanika,,45,40.3897222,19.9230556
amanikaj,,45,40.3897222,19.9230556
amanikanj,,45,40.3897222,19.9230556
amaraj,,49,42.1461111,19.4877778
amarej,,49,42.1333333,19.6302778
ambar,,44,40.5775,19.5788889
amhet-bejasi,,44,40.6136111,19.5613889
amonica,,51,40.3977778,19.6794444
amonice,,51,40.3977778,19.6794444
amonizza,,51,40.3977778,19.6794444
andon-poc,,45,40.1716667,20.1036111
andon poci,,45,40.1716667,20.1036111
andrea,,51,39.8219444,20.1961111
andres,,47,42.0083333,20.3197222
anevjosa,,45,40.3961111,19.8536111
anevjose,,45,40.3961111,19.8536111
ano goskova,,46,40.6269444,20.685
anola,,43,41.2316667,20.1077778
ano labov e kryqit,,45,40.0680556,20.2991667
anole,,43,41.2316667,20.1077778
ano porocan,,43,40.9313889,20.3158333
ano selce,,46,40.9533333,20.5416667
apollonte,,44,40.7188889,19.4575
apripa,,49,42.2611111,19.9444444
apripa e-gurit,,49,42.2611111,19.9444444
apripa e gurrit,,49,42.2611111,19.9444444
apripa e keke,,49,42.2272222,20.0969444
apripa e keqe,,49,42.2272222,20.0969444
apripa e parava,,49,42.2611111,19.9444444
apripa-gurit,,49,42.2611111,19.9444444
aprip,,49,42.2611111,19.9444444
apripe,,49,42.2611111,19.9444444
apripe e gurit,,49,42.2611111,19.9444444
apripe e keqe,,49,42.2272222,20.0969444
aprip-guri,,49,42.2611111,19.9444444
aprripe,,49,42.2611111,19.9444444
apsalla,,45,40.0386111,20.3813889
apsalle,,45,40.0386111,20.3813889
apsas,,45,40.0386111,20.3813889
arameras,,42,41.4647222,19.7266667
aramerasi,,42,41.4647222,19.7266667
aranemol e lur,,41,41.8608333,20.2347222
aranitas,,44,40.5944444,19.8066667
aranitasi,,44,40.5944444,19.8066667
aranitesi,,44,40.5944444,19.8066667
arapaj,,42,41.3030556,19.5055556
arapaj,,44,40.805,19.7208333
arapaj comleka,,44,40.805,19.7208333
arapaj e eperme,,41,41.6455556,20.3388889
arapaj e poshteme,,41,41.6413889,20.3666667
arapaj e poshtme,,41,41.6413889,20.3666667
arapaj i eperm,,41,41.6455556,20.3388889
arapaj i eperme,,41,41.6455556,20.3388889
arapaj i poshtem,,41,41.6413889,20.3666667
arapan,,44,40.805,19.7208333
arap,,49,42.2013889,19.9822222
arape-rashbulli,,42,41.3030556,19.5055556
arapi,,49,42.2013889,19.9822222
arap i eperm,,41,41.6455556,20.3388889
arap i poshtem,,41,41.6413889,20.3666667
ara te lumit,,47,42.285,20.0302778
arat e mira,,47,42.0388889,20.1805556
arbana,,50,41.2658333,19.7936111
arbane,,50,41.2658333,19.7936111
arbona,,50,41.2658333,19.7936111
arbone,,50,41.2658333,19.7936111
arce,,47,41.885,20.2783333
arcova,,43,40.9602778,20.2352778
arcove,,43,40.9602778,20.2352778
arda,,46,40.5011111,20.8397222
ardasova,,51,39.8791667,20.1183333
ardeni,,44,40.8158333,19.6066667
ardenica,,44,40.8158333,19.6066667
ardenic,,44,40.8158333,19.6066667
ardenice,,44,40.8158333,19.6066667
ardhasave,,51,39.8791667,20.1183333
ardhasova,,51,39.8791667,20.1183333
ardhasove,,51,39.8791667,20.1183333
ardhishta,,42,41.3055556,19.5761111
ardhishte,,42,41.3055556,19.5761111
are-malle,,41,41.8608333,20.2347222
are molla,,41,41.8608333,20.2347222
ares,,43,41.1725,20.2791667
aresi,,43,41.1725,20.2791667
areza,,40,40.8116667,19.8563889
areza,,45,40.3877778,20.0569444
areza,,46,40.2480556,20.6919444
arez,,46,40.5011111,20.8397222
arez,,49,42.2125,20.1061111
areze,,46,40.2480556,20.6919444
areze,,48,41.9136111,19.9091667
arghyrocastro,,45,40.0758333,20.1388889
argirocastro,,45,40.0758333,20.1388889
argonas,,42,41.2155556,19.54
argova,,45,40.2708333,20.2436111
argove,,45,40.2708333,20.2436111
argyrokastro,,45,40.0758333,20.1388889
argyrokastron,,45,40.0758333,20.1388889
(( arishte )),,48,41.7502778,19.7894444
arizaj,,40,40.5163889,20.1872222
armaf,,42,41.4666667,19.5655556
armath,,42,41.4666667,19.5655556
armathe,,42,41.4666667,19.5655556
armathi,,42,41.4666667,19.5655556
armen,,51,40.5363889,19.5961111
armeni,,51,40.5363889,19.5961111
armenji,,43,40.7430556,20.2511111
arn,,47,41.9130556,20.2883333
arni,,47,41.9130556,20.2883333
arn i eperm,,41,41.6455556,20.3388889
arn i poshtem,,41,41.6413889,20.3666667
arositani,,44,40.5944444,19.8066667
arrameras,,42,41.4647222,19.7266667
arramerasi,,42,41.4647222,19.7266667
arras,,41,41.7358333,20.3241667
arrasi,,41,41.7358333,20.3241667
arre-malle,,41,41.8608333,20.2347222
arre-molle,,41,41.8608333,20.2347222
arren,,47,41.9130556,20.2883333
arreni,,47,41.9130556,20.2883333
arrenmolla,,41,41.8608333,20.2347222
arrenmolle e lures,,41,41.8608333,20.2347222
arres,,49,42.0622222,20.0166667
arresi,,49,42.2125,20.1061111
arre telume,,49,42.15,19.8333333
arreza,,40,40.8116667,19.8563889
arreza,,44,40.8302778,19.6894444
arreza,,45,40.3877778,20.0569444
arreza,,46,40.2480556,20.6919444
arreza,,47,41.885,20.2783333
arreza,,49,42.1,19.75
arreza e madhe,,45,40.3877778,20.0569444
arreza e vogel,,45,40.42,20.0544444
arrez,,40,40.8116667,19.8563889
arrez,,43,41.1725,20.2791667
arrez,,44,40.8302778,19.6894444
arrez,,46,40.2480556,20.6919444
arrez,,47,41.885,20.2783333
arrez,,48,41.9136111,19.9091667
arrez,,49,42.1,19.75
arreze,,40,40.8116667,19.8563889
arreze,,44,40.8302778,19.6894444
arreze,,45,40.3877778,20.0569444
arreze,,46,40.2480556,20.6919444
arreze,,47,41.885,20.2783333
arreze,,49,42.1536111,19.8694444
arreze e madhe,,45,40.3877778,20.0569444
arreze e vogel,,45,40.42,20.0544444
arrez e madhe,,45,40.3877778,20.0569444
arrez e vogel,,45,40.42,20.0544444
arrezi,,48,41.9136111,19.9091667
arrmalla,,41,41.8608333,20.2347222
arrmalle,,41,41.8608333,20.2347222
arrn,,47,41.9130556,20.2883333
arrni,,47,41.9130556,20.2883333
arrza,,47,41.885,20.2783333
arrza,,48,41.9136111,19.9091667
arrze,,43,41.1725,20.2791667
ars,,47,41.885,20.2783333
ars,,48,41.9136111,19.9091667
arshi-lengo,,45,40.0858333,20.1630556
arsi,,48,41.9136111,19.9091667
arsi,,49,42.0622222,20.0166667
arst,,49,42.0622222,20.0166667
arsti,,49,42.2125,20.1061111
arstu,,49,42.2125,20.1061111
arta,,41,41.5022222,20.3605556
arta,,51,40.4991667,19.4572222
artasova,,51,39.8791667,20.1183333
arunas,,43,40.7963889,20.2205556
arunasi,,43,40.7963889,20.2205556
aryirokastron,,45,40.0758333,20.1388889
arza,,46,40.5011111,20.8397222
arza,,48,41.9136111,19.9091667
arza disopra,,45,40.3877778,20.0569444
arza di sotto,,45,40.42,20.0544444
arza e poshteme,,45,40.42,20.0544444
arza e poshter,,45,40.42,20.0544444
arze e poshter,,45,40.42,20.0544444
arze e siperme,,45,40.3877778,20.0569444
ashta,,49,42.0108333,19.5355556
ashtaj,,43,40.7302778,20.2275
ashte,,49,42.0108333,19.5355556
asht' e likajt,,49,42.1922222,19.6891667
asim-zenel,,45,40.0797222,20.1961111
asim zeneli,,45,40.0797222,20.1961111
asllanaj,,43,40.9091667,19.9922222
asrizaj,,40,40.5163889,20.1872222
au'lon,,51,40.4666667,19.4897222
aêusaj,,44,40.9777778,19.7594444
avarita,,51,39.8744444,20.1472222
avdillaret,,40,40.77,19.8916667
avlona,,51,40.4666667,19.4897222
avlon,,51,40.4666667,19.4897222
avlonya,,51,40.4666667,19.4897222
avrenmolla,,41,41.8608333,20.2347222
azizaj,,40,40.6944444,19.8083333
baba,,48,41.9358333,19.5755556
babaj,,51,40.0058333,20.0205556
babaj e madhe,,51,40.4847222,19.5141667
babaj i vogel,,51,40.4991667,19.5008333
baban,,46,40.6344444,20.9197222
babani,,46,40.6344444,20.9197222
babat,,49,42.0569444,19.4011111
bab,,48,41.9358333,19.5755556
babe,,48,41.9358333,19.5755556
baber,,50,41.3541667,19.8291667
babia,,43,41.1591667,20.2966667
babica,,51,40.4847222,19.5141667
babica e madhe,,51,40.4847222,19.5141667
babica e vogel,,51,40.4991667,19.5008333
babica-vogel,,51,40.4991667,19.5008333
babice,,51,40.4847222,19.5141667
babice e madhe,,51,40.4847222,19.5141667
babice e vogel,,51,40.4991667,19.5008333
babie,,43,41.1591667,20.2966667
babien,,46,40.7411111,20.6308333
babija,,45,40.4838889,19.9430556
babije,,45,40.4838889,19.9430556
babina,,47,42.3822222,20.1272222
babine,,47,42.3822222,20.1272222
babja,,43,41.1591667,20.2966667
babje,,43,41.1591667,20.2966667
babjen,,46,40.7411111,20.6308333
babjeni,,46,40.7411111,20.6308333
babot,,49,42.0569444,19.4011111
baboti,,49,42.0569444,19.4011111
babrru,,50,41.3541667,19.8291667
babrrue,,50,41.3541667,19.8291667
babrruja,,50,41.3541667,19.8291667
babrruje,,50,41.3541667,19.8291667
babru,,50,41.3541667,19.8291667
babruja,,50,41.3541667,19.8291667
babruje,,50,41.3541667,19.8291667
babum e re,,44,40.8833333,19.55
babune e re,,44,40.8833333,19.55
babune e vjeter,,44,40.8833333,19.5333333
babunja,,44,40.8827778,19.5475
babunja e re,,44,40.8833333,19.55
babunja e vjeter,,44,40.8833333,19.5333333
babunje,,44,40.8827778,19.5475
(( babunje e re )),,44,40.8833333,19.55
babunje e veter,,44,40.8833333,19.5333333
(( babunje e vjeter )),,44,40.8833333,19.5333333
babunj'e vjeter,,44,40.8833333,19.5333333
bacalek,,49,42.0394444,19.4955556
bac,,48,41.8958333,19.6480556
bac,,51,40.3127778,19.7444444
bace,,48,41.8958333,19.6480556
baciova,,44,40.6833333,19.4286111
backa,,40,40.5077778,20.4005556
backe,,40,40.5077778,20.4005556
badellonja,,45,40.2022222,20.3852778
badelonia,,45,40.2022222,20.3852778
badelonja,,45,40.2022222,20.3852778
badelonje,,45,40.2022222,20.3852778
bader,,45,40.4422222,19.9855556
badher,,51,39.9980556,20.0316667
badillonja,,45,40.2022222,20.3852778
badilonj,,45,40.2022222,20.3852778
badinot,,42,41.3477778,19.6197222
badlonja,,45,40.2022222,20.3852778
badlonje,,45,40.2022222,20.3852778
badra,,45,40.4422222,19.9855556
badre,,45,40.4422222,19.9855556
bafore,,50,41.3777778,19.7616667
bago,,42,41.1636111,19.4975
bagoi,,42,41.1636111,19.4975
bagoja,,42,41.1636111,19.4975
bagoje,,42,41.1636111,19.4975
bagos,,42,41.1636111,19.4975
bagosi,,42,41.1636111,19.4975
bagosina,,42,41.1636111,19.4975
bagosine,,42,41.1636111,19.4975
bahcallek,,49,42.0394444,19.4955556
bahcalleku,,49,42.0394444,19.4955556
bahutaj,,41,41.7236111,20.4377778
bahute,,41,41.7236111,20.4377778
bajani,,47,42.3263889,20.0763889
bajeza,,50,41.1833333,19.8
bajkaj,,51,39.9486111,20.0388889
bajkaji,,51,39.9486111,20.0388889
bajkova,,46,40.3605556,20.67
bajraku gimajt,,49,42.3141667,19.7713889
bajraku i thethit,,49,42.3958333,19.7744444
bajramaj,,48,41.8891667,19.4836111
bajram,,47,42.3572222,20.0730556
