names,population,state_code,lat,lon
abaran,,01,40.5961111,44.3536111
abaran verin,,01,40.5961111,44.3536111
abilkend,,02,40.0236111,44.4244444
ablkend,,02,40.0236111,44.4244444
abovyan,1379,02,40.0488889,44.5475
abovyan,35677,05,40.2691667,44.6244444
achadzhur,,09,40.9902778,45.1452778
ach'ajur,,09,40.9902778,45.1452778
achanan,,08,39.2347222,46.4313889
achasu,,09,40.9902778,45.1452778
achkhlu,,08,39.2294444,46.3083333
achpach,,08,39.25,46.0833333
achtarak,,01,40.3016667,44.3591667
adamkhan,,04,40.1875,45.1938889
adyaman,,01,40.4833333,43.95
adzhatin,,08,39.2038889,46.1386111
adzhebadzh,,08,39.25,46.0833333
adzhibadzh,,08,39.25,46.0833333
adzhilu,,08,39.1608333,46.2875
agadzor,,05,40.2561111,44.6766667
agagchi,,01,40.4666667,43.95
agalu,,04,40.1830556,45.8255556
agamzalu,,02,40.0666667,44.4666667
agarakadzor,1195,10,39.7363889,45.3455556
agarak,1575,01,40.3077778,44.2847222
agarak,1278,06,41.0105556,44.4675
agarak,4707,08,39.2038889,46.5472222
agavnadzor,,05,40.5841667,44.6913889
agavnadzor,,10,39.7836111,45.2280556
agavnatun,,01,40.2336111,44.2513889
agbash,,02,40.0488889,44.5475
agbulag,,04,40.5263889,45.2772222
agbulag,,06,40.8652778,44.0305556
agbulakh,,04,40.5263889,45.2772222
agbulakh,,06,40.8652778,44.0305556
agbulalakh,,04,40.5263889,45.2772222
agdan,,09,40.8486111,45.1497222
agdzhakala,,01,40.3452778,44.0555556
agdzhakala,,03,40.2,44.2275
agdzhakishlag,,02,40.0380556,44.5638889
agdzhakishlag,,11,40.1333333,44.4333333
agdzharkh,,03,40.1005556,44.0969444
agekhush,,04,40.25,45.85
agexus,,04,40.2791667,45.8319444
aghavnadzor,1252,05,40.5841667,44.6913889
aghavnadzor,1925,10,39.7836111,45.2280556
aghavnatun,2913,01,40.2336111,44.2513889
aghavnavank',,09,40.7308333,45.0933333
aghberk',,04,40.5263889,45.2772222
aghbulagh,,08,39.3511111,46.3983333
aghin,,07,40.59,43.6983333
aghitu,,08,39.5152778,46.0808333
aghk'end,,08,39.4763889,45.9977778
aghkend,,10,39.9022222,45.2475
aghk'ilisa,,02,40.0225,45.0136111
aghnjadzor,,10,39.9022222,45.2475
aghts'k',,01,40.3163889,44.2536111
aghudi,,08,39.5152778,46.0808333
aghvani,,08,39.355,46.3030556
aghvorik,,07,41.0758333,43.755
aghyokhush,,04,40.2791667,45.8319444
agin,,07,40.59,43.6983333
agkilisa,,02,40.0225,45.0136111
agkilisa,,06,40.9544444,44.0908333
agkilisa,,09,40.7155556,45.0483333
agndzhadzor,,10,39.9022222,45.2475
agnilisa,,02,39.8458333,45.1658333
agpara,,05,40.5094444,44.7338889
agsu,,09,40.9,45.2833333
agudi,,08,39.5152778,46.0808333
