names,population,state_code,lat,lon
ararat,,00,12.1105556,-68.9194444
australie,,00,12.1166667,-68.95
barber,2424,00,12.2833333,-69.0666667
bau seroe,,00,12.3,-69.1
bella vista,,00,12.15,-68.25
bel nem,,00,12.1166667,-68.2833333
belvedere,,00,18.05,-63.0333333
beneden prinsen,,00,18.0333333,-63.0333333
beneden prinsen kwartier,,00,18.0333333,-63.0333333
benesuela,,00,12.2666667,-68.3333333
benners,,00,17.4833333,-62.9833333
berg altena,,00,12.1077778,-68.9175
blomonte,,00,12.15,-68.9333333
blomonti,,00,12.15,-68.9333333
bloomingdale,,00,18.0166667,-63.0333333
boka sami,,00,12.1333333,-68.9833333
bona vista,,00,12.1166667,-68.85
bonavista,,00,12.1666667,-68.9833333
botele,,00,12.2333333,-68.3166667
bottom,,00,17.6333333,-63.25
bouille,,00,17.4666667,-62.9666667
bou'i seru,,00,12.3,-69.1
boven bolivia,,00,12.1833333,-68.2166667
boven prinsen,,00,18.0333333,-63.0333333
boven prinsen kwartier,,00,18.0333333,-63.0333333
bricat,,00,12.15,-68.2166667
brievengat,,00,12.15,-68.9
buena esperansa,,00,12.1666667,-68.2166667
buena vista,,00,12.1333333,-68.95
bullenbaai,,00,12.1666667,-69.0
caranjito,,00,12.1333333,-68.25
cas chikitoe,,00,12.1166667,-68.9666667
cas cora,,00,12.1666667,-68.2166667
cerrito,,00,12.1166667,-68.9166667
chapel piece,,00,17.4666667,-62.9833333
cher asile,,00,12.1066667,-68.9152778
coeroeboeroe,,00,12.2,-68.2666667
colon,,00,12.1138889,-68.9402778
concordia,,00,17.4833333,-62.9666667
cornet,,00,12.1058333,-68.92
cottage pasture,,00,17.4833333,-62.9833333
crispeen,,00,17.6166667,-63.2333333
cul de sac,,00,18.0333333,-63.0666667
cupe coy,,00,18.05,-63.1333333
deenterra,,00,12.1666667,-68.2666667
defiance,,00,18.0333333,-63.0333333
de hoop,,00,12.1333333,-68.95
dentera,,00,12.1666667,-68.2666667
den tuna,,00,12.1666667,-68.2666667
diamond,,00,18.0333333,-63.0833333
domi,,00,12.1175,-68.9427778
domingitu,,00,12.1,-68.9
dominguito,,00,12.1,-68.9
dorp antriol,,00,12.1666667,-68.2666667
dorp lagoen,,00,12.3166667,-69.1666667
dorp lagun,,00,12.3166667,-69.1666667
dorp nikiboco,,00,12.15,-68.2666667
dorp nikiboko,,00,12.15,-68.2666667
dorp noor i salina,,00,12.1833333,-68.2666667
dorp nor i salina,,00,12.1833333,-68.2666667
dorp rincan,,00,12.2333333,-68.3333333
dorp rincon,,00,12.2333333,-68.3333333
dorp sabana,,00,12.15,-68.25
dorp sint michiel,,00,12.1333333,-68.9833333
dorp sint willebrordus,,00,12.2166667,-69.05
dorp sint willibrordus,,00,12.2166667,-69.05
dorp soto,,00,12.2666667,-69.1
dorp tera cora,,00,12.1333333,-68.2666667
dorp tera kora,,00,12.1333333,-68.2666667
dorp westpunt,,00,12.3666667,-69.1333333
emmastad,,00,12.1333333,-68.9166667
emmstad,,00,12.1333333,-68.9166667
english quarter,,00,17.6166667,-63.2166667
entrejol,,00,12.1666667,-68.2666667
experiment,,00,18.0166667,-63.0333333
filipsburg,,00,18.0166667,-63.0333333
fiscal,,00,17.4833333,-62.9833333
fleur de marie,,00,12.1,-68.9166667
fontein,,00,12.25,-69.0833333
fortuna abau,,00,12.1666667,-68.9166667
fortuna abou,,00,12.1666667,-68.9166667
fortuna abu,,00,12.1666667,-68.9166667
gato,,00,12.1666667,-68.9666667
gilheads,,00,17.4666667,-62.9666667
glass bottle,,00,17.4666667,-62.9666667
godet,,00,17.4833333,-62.9833333
golden rock,823,00,17.4833333,-62.9833333
great bay,,00,18.0166667,-63.0333333
groot kwartier,,00,12.1333333,-68.9166667
guatemala,,00,12.1666667,-68.2333333
habai,,00,12.1263889,-68.9483333
hato,13,00,12.1833333,-68.2833333
hearty,,00,17.4833333,-62.9666667
hellsgate,,00,17.65,-63.2333333
