names,population,state_code,lat,lon
1.0 de maio,,01,-12.6544444,13.4786111
28 de maio,,15,-6.3,15.0833333
28 de maio,,19,-7.95,14.2
31 de janeiro,,15,-6.9,15.3166667
5 de outubro,,05,-9.5166667,17.8166667
abel,,12,-9.4166667,15.4833333
abel carapuchoso,,06,-11.1166667,15.1333333
abilio,,08,-12.9333333,15.95
a. braz,,08,-12.1333333,15.7
abreu,,05,-9.1833333,14.55
abreu,,08,-12.6666667,15.7666667
a. carvalho,,08,-12.8833333,15.4833333
aco,,06,-10.1833333,15.7166667
acucareira,,19,-8.5936111,13.6055556
acumba,,01,-12.2769444,13.8172222
acumba,,06,-11.75,14.5
adelina,,05,-9.25,14.7666667
a. diniz,,12,-9.0333333,15.7333333
a. ferreira,,08,-12.9666667,15.1
afonso calei,,08,-12.2333333,15.3333333
agabia,,05,-8.8166667,15.5
age,,06,-11.0166667,14.9333333
agema,,14,-12.05,21.8166667
a. g. garrido,,08,-12.7166667,15.15
a. goncalves,,06,-11.0666667,14.9166667
a. goncalves magalhaes,,06,-11.0166667,14.8166667
agua clara,,01,-12.9333333,14.8333333
aguema,,14,-12.05,21.8166667
aguerguei,,01,-12.3455556,13.8352778
ahica,,04,-17.1,18.2
aienja,,08,-13.0305556,15.28
ailunga,,04,-17.1,21.4166667
aimbir,,04,-17.55,18.5333333
aiombo,,06,-11.75,14.7
a. j. afonso,,08,-12.7333333,15.0333333
a. lage,,08,-12.9833333,15.2333333
alanda,,02,-11.7333333,17.0
alanganga,,12,-9.5513889,16.1005556
albano vieira,,08,-12.1833333,15.2166667
alberto a. cancela,,06,-11.0833333,15.4166667
alberto,,06,-11.8333333,15.3666667
alberto,,15,-6.8333333,14.6
albuquerque,,08,-12.05,15.2166667
alcides silva,,08,-12.1666667,15.7666667
aldeia,,15,-7.95,15.05
aldeia da matala,,09,-14.7333333,15.0333333
aldeia de freixo,,06,-11.3833333,15.15
aldeia de melo,,06,-11.2666667,15.0166667
aldeia de santa maria,,12,-8.95,16.0166667
aldeia de sao jose,,09,-13.7,15.15
aldeia do biopio,,01,-12.4675,13.7291667
aldeia formosa,,12,-9.4833333,15.9833333
aldeia nova,,05,-8.6166667,15.1166667
aldeia sao jose,,09,-13.7,15.15
aldeia vicosa,,15,-8.1,14.9666667
alegria,,12,-9.85,17.3
aleixo,,12,-9.3833333,15.6
alemao,,08,-12.6333333,15.4833333
alemba,,02,-10.7833333,16.5166667
alem rio,,12,-9.35,16.2
aleta,,19,-10.1833333,14.4666667
aleva,,08,-12.9697222,15.6644444
alfandega,,15,-7.5333333,15.8333333
almeida,,05,-9.1,14.6166667
almeida,,06,-11.0166667,15.0833333
a. lopes,,08,-12.9333333,15.1
alto catumbela,,01,-12.95,14.75
alto cauale,,15,-7.6833333,16.0166667
alto chicapa,,18,-10.9333333,19.15
alto chikapa,,18,-10.9333333,19.15
alto cuanza,,02,-13.2333333,17.4166667
alto cuilo,,14,-13.4333333,18.8666667
alto cuilo,,18,-10.05,19.5166667
alto cuito,,14,-13.4333333,18.8666667
alto da xitatamera,,08,-12.3666667,15.6333333
alto hama,,08,-12.2333333,15.55
alto kwilu,,18,-10.05,19.5166667
alto kwito,,14,-13.4333333,18.8666667
alto lifune,,19,-8.1333333,14.3
alto longa,,04,-14.6,18.4833333
alto shikapa,,18,-10.9333333,19.15
alto-uama,,08,-12.2333333,15.55
alto zaza,,15,-6.6166667,16.9333333
alvarenga,,10,-9.05,13.1
amaanga,,18,-10.3,21.6
a. machado,,08,-12.85,15.3
amaral,,12,-9.2666667,15.95
a. marques,,06,-11.9,14.8166667
amatui,,04,-16.7,21.3166667
amba,,08,-13.2666667,15.05
ambaca,,05,-8.1833333,15.3666667
ambaeta,,14,-11.9166667,22.1
ambaiela,,14,-11.9166667,22.1
ambande,,06,-11.3666667,14.2666667
ambandi,,06,-11.3666667,14.2666667
ambato,,06,-9.9166667,14.7833333
ambiula,,15,-7.4333333,14.65
ambo do catucuna,,06,-11.5,14.25
amboica,,06,-11.5333333,14.7333333
amboim,,06,-10.7333333,13.75
amboiva,,06,-11.5333333,14.7333333
ambondi do lengue,,06,-11.3666667,14.2666667
ambova,,06,-11.5333333,14.7333333
ambovia,,06,-11.55,14.7333333
ambris,,19,-7.85,13.1166667
ambrisette,,16,-7.2333333,12.8666667
ambriz,,19,-7.85,13.1166667
ambrizete,,16,-7.2333333,12.8666667
ambrizette,,16,-7.2333333,12.8666667
ambrosio,,15,-7.3166667,14.95
ambuila,,15,-7.4333333,14.65
ambumba,,08,-12.545,15.7163889
amecanda,,07,-17.1333333,17.3
amegeca,,17,-8.95,19.65
amelia,,08,-12.2166667,15.1
amelia beach,,13,-15.2,12.1
ameliko,,04,-17.7333333,18.8333333
amena,,01,-12.3666667,14.5
amendoa,,01,-12.8522222,13.0133333
a. mendonca,,09,-15.1833333,13.4666667
amengingo,,14,-11.6,19.6
amentenha,,04,-17.6666667,19.1666667
amera,,01,-12.3666667,14.5
ametinhe,,07,-17.3333333,17.15
ametinho,,07,-17.3333333,17.15
a. morais,,12,-9.5194444,16.2666667
ampara,,01,-12.7872222,13.59
a. m. ribeiro,,08,-12.8166667,15.25
amucotocapa,,07,-17.4,16.1166667
amue,,07,-16.65,13.95
amutenha,,04,-17.85,19.4
ana,,08,-11.9833333,15.6
ana bota da silva,,06,-11.1166667,15.4166667
anambua,,05,-9.0666667,14.5833333
anapasso,,19,-8.3166667,13.8333333
ancaneale,,15,-7.85,16.1833333
anchico,,04,-17.8,18.9833333
anda,,06,-11.3833333,14.2
andala,,12,-8.8666667,15.7666667
andala,,15,-7.8,15.3666667
andanga,,08,-11.8333333,15.5166667
andanja,,08,-11.8333333,15.5166667
andengue,,15,-8.1666667,15.85
ando,,15,-7.5666667,15.3
andongo,,08,-12.0333333,15.2
andrada,,17,-7.7,21.3666667
andrade,,12,-9.5366667,16.1191667
andrade,,17,-7.7,21.3666667
andulo,,02,-11.4833333,15.8333333
andulo,,06,-10.75,14.5333333
andunda,,08,-12.05,15.25
andure,,19,-9.2,14.0333333
anduri,,19,-9.2,14.0333333
