names,population,state_code,lat,lon
12 de agosto,,01,-33.7833333,-60.6
12 de octubre,,01,-35.6,-60.9
16 de julio,,01,-37.1833333,-60.1666667
17 de agosto,,01,-37.9166667,-62.9333333
17 de octubre,,05,-31.3833333,-64.1833333
1 de mayo,,08,-32.2666667,-68.4166667
20 de febrero,,17,-25.4166667,-65.5333333
20 de septiembre,,08,-32.3833333,-59.6666667
20 de setiembre,,08,-32.3833333,-59.6666667
23 de agosto,,10,-23.7666667,-64.6833333
24 de febrero,,01,-34.5333333,-63.1666667
25 de mayo,,01,-35.4280556,-60.1741667
25 de mayo,,11,-37.8,-67.6833333
25 de mayo,,13,-34.5833333,-68.55
25 de mayo,,14,-27.3833333,-54.7666667
28 de noviembre,,20,-51.65,-72.3
28 de septiembre,,01,-34.6,-58.6333333
2 de mayo,,14,-27.0333333,-54.65
30 de agosto,,01,-36.2666667,-62.55
3 de mayo,,13,-32.6666667,-68.6166667
4 de febrero,,21,-33.8,-61.5833333
4 de noviembre,,01,-34.15,-60.8
6 de septiembre,,01,-34.6425,-58.6180556
7 de abril,,24,-26.2833333,-64.4833333
9 de julio,,01,-35.4541667,-60.8913889
9 de julio,,06,-28.8333333,-58.8333333
9 de julio,,18,-31.65,-68.4
aaron castellanos,,21,-34.3166667,-62.3833333
abasto,,01,-34.9761111,-58.0972222
abbott,,01,-35.2833333,-58.8
abdon castro tolay,,10,-23.3666667,-66.0666667
abel,,01,-35.6,-62.0166667
aberastain,,18,-31.65,-68.5833333
abra del medio,,22,-28.5333333,-64.85
abra grande,,22,-27.2833333,-64.3666667
abra laite,,10,-23.2,-65.7833333
abramo,,11,-37.8833333,-63.85
abra pampa,,10,-22.7166667,-65.7
abra rica,,24,-27.1333333,-64.8833333
a. brown,,01,-34.7880556,-58.4038889
acambuco,,17,-22.1833333,-63.95
a. carboni,,01,-35.2,-59.3333333
acassuso,,01,-34.4833333,-58.5166667
a. castellanos,,21,-34.3166667,-62.3833333
a. castro tolay,,10,-23.3666667,-66.0666667
acebal,,21,-33.2333333,-60.8333333
a. ceballos,,11,-35.3,-63.7666667
acequiones,,24,-26.3,-65.2666667
acevedo,,01,-33.75,-60.45
achalco,,02,-28.3666667,-65.1666667
acheral,,24,-27.1166667,-65.45
achico,,15,-40.3333333,-70.3333333
achiras,,05,-33.1666667,-65.0
achupallas,,01,-35.1,-60.0666667
achuppallas,,01,-35.1,-60.0666667
acoite,,17,-22.2833333,-65.0166667
a. corti,,01,-38.6166667,-62.05
acosta,,17,-25.5,-65.2333333
acostilla,,24,-27.3,-65.2
acostillas,,24,-27.3,-65.2
acuna,,06,-29.9166667,-57.9666667
adan quiroga,,18,-30.7325,-68.6352778
adela,,01,-35.6833333,-57.9666667
adela corti,,01,-38.6166667,-62.05
a. de la cruz,,01,-34.3333333,-59.1166667
adelia maria,,05,-33.6166667,-64.0333333
a. de toledo,,01,-35.6333333,-59.6166667
adolfo alsina,,01,-37.1833333,-62.7333333
adolfo e. carranza,,02,-29.0333333,-66.0166667
adolfo gonzales chaves,,01,-38.0333333,-60.1
adolfo van praet,,11,-35.0166667,-64.05
a.e. carranza,,02,-29.0333333,-66.0166667
aerolito,,22,-27.2333333,-62.3833333
a. etcheverry,,01,-35.0333333,-58.0666667
a. gascon,,01,-37.4666667,-63.2666667
a. gazcon,,01,-37.4666667,-63.2666667
agote,,01,-34.6333333,-59.3666667
agrelo,,13,-33.1166667,-68.8833333
agronomia,,07,-34.6,-58.4833333
agua azul,,22,-26.5333333,-64.1666667
agua blanca,,12,-28.9666667,-66.9833333
agua blanca,,17,-22.7333333,-64.3666667
agua caliente,,10,-23.05,-65.7833333
agua calientes,,10,-24.5833333,-64.9166667
agua chica,,10,-22.9166667,-65.7333333
agua colorada,,12,-30.9,-66.2
aguada cecilio,,16,-40.85,-65.85
aguada chos malal,,11,-36.7666667,-68.15
aguada de castro,,15,-37.7833333,-69.9333333
aguada de guerra,,16,-41.0666667,-68.4166667
aguada de guerro,,16,-41.0666667,-68.4166667
aguada de guzman,,16,-39.9833333,-68.8666667
aguada del toro,,13,-36.6333333,-68.5333333
aguada grande,,20,-47.3333333,-67.4833333
agua de canale,,15,-38.2,-69.4333333
agua de castro,,15,-37.7833333,-69.9333333
agua de las palomas,,02,-27.6166667,-66.1333333
agua de las piedras,,05,-30.8166667,-64.2
agua del chanar,,05,-30.7166667,-64.1
agua del overo,,15,-39.3,-70.1166667
agua del tala,,05,-31.25,-65.3333333
agua de oro,,05,-31.0666667,-64.3
agua de ramon,,05,-30.7833333,-65.35
aguadita,,10,-23.7666667,-65.9166667
aguadita,,12,-29.3166667,-68.7
aguaditas,,12,-29.0833333,-68.1
agua dulce,,24,-27.0333333,-65.0166667
agua escondida,,13,-36.15,-68.3
agua nueva,,13,-34.9666667,-69.15
aguapey,,06,-29.0833333,-56.6
aguaray,,17,-22.2666667,-63.7333333
aguas blancas,,17,-22.7333333,-64.3666667
aguas buenas,,11,-35.0166667,-63.9333333
aguas de ramon,,05,-30.7833333,-65.35
aguas muertas,,17,-24.2,-62.6833333
agua sucia,,17,-24.45,-63.8333333
aguay,,06,-29.2666667,-58.5333333
aguayo,,12,-31.6666667,-65.9
aguila blanca,,05,-30.8666667,-64.5666667
aguilar,,10,-23.2,-65.7
aguilar,,17,-22.3666667,-65.1833333
aguilares,,24,-27.4333333,-65.6166667
aguirre,,21,-33.15,-60.5166667
aguirres,,12,-30.8,-66.1
agustina,,01,-34.4666667,-61.0666667
agustina libarona,,22,-26.7666667,-62.7166667
agustin libarona,,22,-26.7666667,-62.7166667
agustin livarona,,22,-26.7666667,-62.7166667
agustin roca,,01,-34.5,-60.85
agustoni,,11,-35.7833333,-63.4
ahi veremos,,05,-29.55,-64.15
ahi veremos,,22,-25.8666667,-63.9666667
ahrenfeld,,15,-40.1166667,-70.7333333
aibar,,02,-29.1166667,-65.35
aicuna,,12,-29.5166667,-67.75
aike,,20,-51.65,-69.5833333
aike guer,,20,-51.65,-69.5833333
aimogasta,,12,-28.55,-66.8166667
aive,,22,-27.6,-64.2666667
ajo,,01,-36.4,-56.9666667
alabahama,,24,-26.8,-64.95
alagon,,01,-35.95,-61.9666667
alamos,,01,-36.9,-62.35
alanices,,12,-30.7666667,-65.9833333
alastuey,,01,-34.4166667,-59.2166667
alba posse,,14,-27.55,-54.7
albardon,,18,-31.4372222,-68.5255556
albarellos,,21,-33.2333333,-60.6333333
albarino,,01,-36.05,-62.1166667
alberdi,,01,-34.4333333,-61.8
alberdi,,21,-32.8833333,-60.7
alberdi viejo,,01,-34.45,-61.8833333
alberti,,01,-35.0333333,-60.2666667
albigasta,,02,-28.5833333,-65.2333333
alcaraz,,08,-31.4666667,-59.6
alcazar,,12,-30.3333333,-66.5666667
alcira,,05,-32.75,-64.3333333
alcorta,,21,-33.5333333,-61.1166667
aldao,,05,-33.1166667,-62.1
aldao,,21,-32.7166667,-60.8166667
aldea,,04,-45.55,-71.5333333
aldea apeleg,,04,-44.6833333,-70.85
aldea appeleg,,04,-44.6833333,-70.85
aldea asuncion,,08,-32.8166667,-59.2333333
aldea brasilera,,08,-31.9,-60.6
aldea brava,,08,-32.1166667,-60.5833333
aldea camarero,,08,-32.0666667,-60.4666667
aldea chaleco,,08,-31.9833333,-60.35
aldea chavez,,08,-32.1333333,-60.3333333
aldea cuatro casas,,08,-32.0,-60.3833333
aldea cuesta,,08,-31.95,-60.25
aldea de las aranas,,08,-31.95,-60.6333333
aldea el chaleco,,08,-31.9833333,-60.35
aldea jacobi,,08,-32.05,-60.2833333
aldea jaroslawky,,08,-31.85,-60.1666667
aldea kranevitter,,08,-32.0333333,-60.45
aldea krapzenthal,,08,-31.95,-60.4833333
aldea la asuncion,,08,-32.8166667,-59.2333333
aldea la primavera,,13,-32.9166667,-68.6666667
aldea maria luisa,,08,-31.8833333,-60.3833333
aldea nueva,,08,-31.8666667,-60.2333333
aldea protestante,,08,-32.0333333,-60.5666667
aldea reffino,,08,-31.8,-60.2333333
aldea reflino,,08,-31.8,-60.2333333
aldea repollo,,08,-32.0166667,-60.35
aldea romana,,01,-38.7,-62.2166667
aldea ruiz moreno,,08,-32.1333333,-60.3833333
aldea salto,,08,-31.95,-60.55
aldea san alfonso,,08,-32.1333333,-60.4
aldea san antonio,,08,-32.6333333,-58.7
aldea san francisco,,08,-31.95,-60.6333333
aldea san gregorio,,08,-31.7166667,-58.2666667
aldea san jose,,08,-32.0166667,-60.3166667
aldea san juan,,08,-32.7,-58.7666667
aldea san miguel,,08,-32.0833333,-60.1666667
aldea san simon,,08,-32.4166667,-59.5166667
aldea santa anita,,08,-32.1666667,-58.7833333
aldea santa celia,,08,-32.6666667,-58.7333333
aldea santa maria,,08,-31.6,-60.0
aldea santa rosa,,08,-32.0166667,-60.2333333
aldea spatzenkutter,,08,-31.9166667,-61.5833333
aldea spazzenkuter,,08,-31.9166667,-61.5833333
alderetes,,24,-26.8166667,-65.1333333
aldo bonzi,,01,-34.7,-58.5166667
a. ledesma,,05,-33.6166667,-62.6166667
alegre,,01,-35.45,-58.2666667
alejandra,,21,-29.9,-59.8333333
alejandro,,05,-33.35,-63.7166667
alejandro korn,,01,-34.9827778,-58.3825
alejandro petion,,01,-34.9769444,-58.6869444
alejandro roca,,05,-33.35,-63.7166667
alejandro stefenelli,,16,-39.05,-67.5333333
alejo ledesma,,05,-33.6166667,-62.6166667
alem,,01,-34.5,-61.4
alemania,,17,-25.6,-65.6333333
alem cue,,06,-29.15,-57.4666667
alen cue,,06,-29.15,-57.4666667
alfarcito,,10,-23.5833333,-65.35
alferez san martin,,01,-38.6333333,-62.5333333
alfonso,,01,-33.9166667,-60.8333333
alfonso loma,,06,-28.9666667,-58.1666667
alfredo pena,,11,-35.9333333,-63.5166667
algarrobal,,13,-32.8166667,-68.7666667
algarrobal,,17,-25.4166667,-64.0333333
algarrobal viejo,,22,-25.7166667,-64.0333333
algarroba verde,,18,-31.7333333,-68.3
algarrobitos,,08,-32.2833333,-60.0666667
algarrobo,,01,-38.8833333,-63.1333333
algarrobo del aguila,,11,-36.4333333,-67.15
algarrobo del aguilla,,11,-36.4333333,-67.15
algarrobo grande,,12,-31.6666667,-65.9
algarrobo grande,,19,-32.5833333,-66.7833333
algarrobos grandes,,19,-32.9333333,-66.5666667
algarrobo verde,,18,-31.7333333,-68.3
alhuampa,,22,-27.1166667,-62.5666667
alicia,,05,-31.95,-62.4833333
alijilan,,02,-28.15,-65.4833333
allen,,16,-38.9666667,-67.8333333
alli veremos,,22,-27.4333333,-64.1333333
almacen la picaza,,15,-39.5833333,-70.1333333
almafuerte,,05,-32.2,-64.25
almafuerte,,14,-27.5166667,-55.4
almagro,,07,-34.6,-58.4166667
almirante brown,,01,-34.7880556,-58.4038889
almirante brown,,07,-34.6666667,-58.45
almirante brown,,17,-25.9,-64.7666667
almirante brown,,23,-54.85,-67.5166667
almirante solier,,01,-38.8833333,-62.0666667
almona,,17,-25.9666667,-64.5166667
alpachiri,,11,-37.3666667,-63.7666667
alpachiri,,24,-27.3333333,-65.75
alpa corral,,05,-32.6833333,-64.7333333
alpasinche,,12,-28.3166667,-67.05
alpatacal,,13,-33.5666667,-67.2666667
alsa,,19,-32.5,-65.45
alsina,,01,-33.9,-59.3833333
alta cordoba,,05,-29.8,-63.6166667
alta de la piedra,,05,-31.6,-64.3666667
alta gracia,,02,-28.0166667,-65.1666667
alta gracia,40385,05,-31.6666667,-64.4333333
alta gracia,,24,-26.7166667,-65.1333333
alta italia,,11,-35.3666667,-64.1333333
altamira,,01,-34.6666667,-59.3666667
altamirano,,01,-35.35,-58.15
altamirano norte,,08,-32.0666667,-59.1833333
altamirano sud,,08,-32.0833333,-59.1666667
altamirano sur,,08,-32.0833333,-59.1666667
altautina,,05,-31.7833333,-65.1666667
alta vista,,01,-37.6666667,-62.7166667
alto alegre,,05,-32.35,-62.8833333
alto alegre,,09,-25.55,-59.85
alto alegre,,22,-28.4166667,-64.8666667
alto cordoba,,05,-31.3833333,-64.1833333
alto de flores,,05,-30.4,-64.0333333
alto de flores,,17,-22.7333333,-62.5
alto de la esquina,,02,-29.1,-65.5833333
alto de la piedra,,05,-31.6,-64.3666667
alto de la sierra,,17,-22.7333333,-62.5
alto de las lechuzas,,24,-27.3833333,-65.2666667
alto del mistol,,17,-25.2833333,-64.1166667
alto del pelador,,10,-22.4166667,-65.4666667
alto del salvador,,13,-33.0333333,-68.3666667
alto del tala,,05,-31.3833333,-65.2
alto de medina,,24,-26.3666667,-65.05
alto de san pedro,,05,-31.05,-64.4666667
alto de sierra,,17,-22.7333333,-62.5
alto de sierra,,18,-31.5333333,-68.4166667
alto fresco,,05,-30.9166667,-64.3
alto la torre,,10,-24.2666667,-65.1333333
alto la vina,,10,-24.2,-65.2666667
alto lindo,,19,-32.75,-65.25
altona,,01,-36.4666667,-60.1166667
alto pelado,,19,-33.8333333,-66.15
alto pencoso,,19,-33.4333333,-66.9333333
alto pozo,,22,-27.3666667,-64.4666667
alto rio mayo,,04,-45.55,-71.3
alto rio senguer,,04,-45.0333333,-70.8333333
alto rio senguerr,,04,-45.0333333,-70.8333333
altos,,02,-28.05,-65.4666667
alto san pedro,,05,-31.05,-64.4666667
altos de chipion,,05,-30.95,-62.35
altos del olvido,,13,-32.65,-68.55
alto verde,,05,-30.1833333,-64.1166667
alto verde,,13,-33.15,-68.35
alto verde,,21,-31.6666667,-60.6833333
alto verde,,24,-27.3666667,-65.6
alumbrera,,02,-27.5166667,-66.0333333
alumbrera,,12,-28.6833333,-69.15
alumine,,15,-39.2166667,-70.95
alvarado,,17,-24.85,-65.4666667
alvarez,,21,-33.1333333,-60.8
alvarez de toledo,,01,-35.6333333,-59.6166667
alvarez jonte,,01,-35.3166667,-57.4666667
alvarino,,01,-36.05,-62.1166667
alvear,,06,-29.1,-56.55
alvear,,21,-33.0666667,-60.6166667
alzaga,,01,-37.8666667,-59.95
amadores,,02,-28.2833333,-65.65
amaicha,,24,-26.6,-65.9166667
amaicha del valle,,24,-26.6,-65.9166667
amalia,,01,-35.4666667,-61.0333333
amama,,22,-27.2,-63.05
amana,,02,-28.9333333,-65.5166667
amana,,12,-30.0666667,-67.5166667
amanal,,02,-28.9333333,-65.5166667
amanao,,02,-27.55,-66.5166667
amapola,,22,-27.3666667,-64.8666667
ambargasta,,22,-29.05,-63.95
amberes,,17,-22.5166667,-62.5333333
ambil,,12,-31.1333333,-66.35
amboy,,05,-32.1833333,-64.5833333
ambrosetti,,21,-30.0166667,-61.5833333
ambul,,05,-31.4833333,-65.05
ameghino,,01,-34.8333333,-62.45
ameghino,,07,-43.8,-65.75
amenabar,,21,-34.1333333,-62.4
amicha,,22,-27.6333333,-64.85
aminga,,12,-28.8333333,-66.9
amoschina,,12,-28.5833333,-67.1833333
ampacama,,08,-30.95,-67.9333333
ampajango,,02,-26.9,-66.0666667
ampallo,,02,-28.1666667,-65.1333333
ampascachi,,17,-25.3333333,-65.5333333
ampata,,24,-27.45,-65.2166667
ampatilla,,24,-27.4833333,-65.0666667
ampolla,,02,-28.1666667,-65.1333333
amuschina,,12,-28.5833333,-67.1833333
