names,population,state_code,lat,lon
aalfang,,03,48.8333333,15.0666667
abbtenau,,05,47.55,13.35
aberg,,05,47.4,12.9
abern,,04,48.05,13.15
abetzberg,,03,48.0833333,14.7666667
abetzdorf,,03,48.05,14.7666667
abfalter,,05,47.7911111,13.0761111
abfaltern,,07,46.7638889,12.52
abfaltersbach,,07,46.7602778,12.5419444
abriach,,02,46.55,14.5
absam,6594,07,47.3,11.5
absberg,,03,48.4166667,15.9666667
abschlag,,03,48.6166667,14.85
absdorf,,03,48.3166667,15.6166667
abset,,06,46.8944444,15.9319444
absmann,,05,47.95,13.0333333
abstetten,,03,48.2666667,15.9833333
abtei,,02,46.5519444,14.4733333
abtenao,,05,47.55,13.35
abtenau,5829,05,47.55,13.35
abtissendorf,,06,46.9958333,15.4563889
abtsdorf,,04,47.9166667,13.5166667
abtstorf,,04,47.9166667,13.5166667
abwinden,,04,48.2666667,14.4333333
ach,,04,48.15,12.8333333
ach,,08,47.5177778,9.865
achalm,,02,46.65,14.9333333
acham,,07,47.3,11.8833333
acharting,,05,47.9,13.0
achatzberg,,04,48.2166667,14.8
achau,,03,48.0666667,16.3833333
achenkirch,,07,47.5166667,11.7
achenlohe,,04,48.05,13.1833333
achenrain,,07,47.45,11.8666667
achensee,,07,47.5,11.7
achenwald,,07,47.5666667,11.6666667
aching,,04,48.2333333,13.0666667
achleit,,07,47.5,12.0333333
achleiten,,03,48.15,14.65
achleiten,,04,48.55,13.45
achleithen,,04,48.0666667,14.1833333
achomitz,,02,46.5688889,13.6086111
achthal,,04,48.05,13.2
ackersberg,,04,48.0666667,13.5333333
adamsthal,,03,47.9666667,15.8166667
adeldorf,,03,48.1666667,15.6833333
adelsberg,,05,47.9047222,12.9994444
adelsberg,,06,47.1,14.3833333
adelsdorf,,06,46.6833333,15.35
adenbruck,,04,48.3166667,13.7333333
adendorf,,06,47.1036111,14.3833333
aderklaa,,03,48.2833333,16.5333333
adersdorf,,03,48.0166667,14.7333333
ading,,02,46.9047222,14.215
adletzberg,,03,48.3166667,15.8166667
adlhaming,,04,48.0,13.95
adlitzgraben,,03,47.65,15.8166667
adlwang,,04,47.9833333,14.2166667
admont,,06,47.5666667,14.45
admontbichl,,06,47.0772222,14.6588889
adnet,,05,47.6833333,13.1333333
adriach,,06,47.2666667,15.3
afing,,03,48.2333333,15.5666667
aflenz,,06,46.75,15.5333333
aflenz an der sulm,,06,46.75,15.5333333
aflenz kurort,,06,47.5333333,15.2333333
afling,,06,47.1,15.1166667
afling,,07,47.25,11.3
afram,,06,46.8833333,15.5333333
afritz,,02,46.7269444,13.8075
afterbach,,03,48.3666667,15.3
agenbach,,07,47.2666667,11.45
agersberg,,04,48.0333333,13.9833333
aggsbach,,03,48.2833333,15.4
aggsbach,,04,47.9666667,13.95
aggsbach dorf,,03,48.2833333,15.4166667
aggsbach markt,,03,48.2833333,15.4
aggstein,,03,48.3,15.4166667
aggstein-dorf,,03,48.3,15.4166667
aglasberg,,04,48.4333333,14.75
aglassing,,05,47.96,12.9238889
agonitz,,04,47.8666667,14.2166667
agoritschach,,02,46.55,13.7
agsbach,,03,48.1333333,16.0333333
agsdorf,,02,46.7333333,14.15
ahornach,,08,47.5166667,9.8166667
ahorn,,03,47.85,14.9666667
ahorn,,04,47.7166667,13.5833333
ahragartensiedlung,,03,48.4,16.1666667
ahrenberg,,03,48.3333333,15.8
ahrenberg,,07,47.4333333,12.2333333
ahrn,,07,47.3833333,11.1666667
ahrnbach,,07,47.2833333,11.9
aibel,,06,46.6833333,15.2166667
aibl,,06,46.6833333,15.2166667
aichach,,02,46.6975,13.6063889
aich,,02,46.5666667,14.2666667
aich,,04,47.85,13.5166667
aich,,06,47.0333333,14.4833333
aichau,,03,48.2666667,15.2666667
aichbach,,03,48.1,15.2666667
aichberg,,02,46.8166667,14.7333333
aichberg,,03,48.1666667,14.6
aichberg,,04,47.9833333,13.8
aichberg,,06,46.7,15.2333333
aichbuchl,,03,47.75,16.2833333
aichdorf,,06,47.1833333,14.7
aichegg,,06,46.7675,15.2113889
aichelzeil,,06,46.8833333,15.8666667
aichet,,03,48.5333333,15.6166667
aichet,,04,48.1833333,13.3666667
aichkirchen,,04,48.1,13.7833333
aidenberg,,06,46.9833333,15.9166667
aifersdorf,,02,46.7166667,13.6333333
aigelsbach,,03,48.1,15.5333333
aigelsbrunn,,05,47.9833333,13.3
aigen,,02,46.6769444,12.9205556
aigen,,03,47.9,16.1333333
aigen,,04,48.05,13.9
aigen,,05,47.15,13.1
aigen,,06,46.7666667,15.2833333
aigen bei admont,,06,47.5666667,14.4
aigendorf,,04,48.2333333,13.9
aigen im ennstal,,06,47.5166667,14.1333333
aigen im ennstale,,06,47.5166667,14.1333333
aigen im muhlkreis,,04,48.6333333,13.9666667
aigersberg,,04,48.0333333,13.9833333
aigertsham,,04,48.15,13.2833333
aiglern,,06,47.5333333,14.1666667
ainet,,07,46.8661111,12.7013889
aisdorf,,05,47.2833333,12.6333333
aist,,04,48.2333333,14.6
aistenthal,,04,48.25,14.1833333
aistersheim,,04,48.1833333,13.75
aisthofen,,04,48.2666667,14.6
alauntal,,03,48.4166667,15.5833333
alaunthal,,03,48.4166667,15.5833333
albeck,,02,46.8166667,14.1
albeck obere schattseite,,02,46.8166667,14.1
albeck untere schattseite,,02,46.8166667,14.1166667
alben,,06,46.8166667,15.8833333
albenedt,,04,48.0,13.9666667
albenodt,,04,48.5833333,13.85
alberloch,,08,47.5347222,9.7488889
albern,,02,46.6777778,14.1558333
albern,,03,48.6,14.9333333
albern,,04,48.2333333,14.55
albern,,09,48.1666667,16.4833333
albernberg,,04,48.5433333,13.8019444
alberndorf,,03,48.7,16.1
alberndorf,,04,48.4,14.4166667
alberndorf in der riedmark,,04,48.4,14.4166667
albersdorf,,02,46.6,14.1166667
albersdorf,,06,47.1166667,15.6833333
albersdorferegg,,06,47.1666667,15.5666667
alberting,,04,48.0166667,13.4333333
albing,,04,48.2333333,14.55
albingdorf,,04,48.4666667,14.4833333
albrechts,,03,48.7333333,15.0
albrechtsberg,,03,48.2166667,15.4
albrechtsberg,,04,48.1833333,13.1
albrechtsberg an der grossen krems,,03,48.45,15.3666667
albrechtsberg an der pielach,,03,48.2166667,15.4
albrechtschlag,,04,48.45,14.3
albrechtsfeld,,01,47.8166667,17.0166667
albrechtshohe,,06,46.8833333,15.9166667
aldrans,,07,47.25,11.45
alexenau,,04,47.8666667,13.5666667
algersdorf,,06,47.0833333,15.4
alharting,,04,48.2833333,14.2333333
alhau,,01,47.2833333,16.0833333
alkersdorf,,03,47.8833333,16.1
alkersdorf,,04,47.9333333,13.5
alkoven,,04,48.2833333,14.1
alla,,06,46.8,15.9333333
allach,,06,46.9736111,13.9508333
alland,,03,48.05,16.0833333
alland im gebirge,,03,48.05,16.0833333
allentsgschwendt,,03,48.4833333,15.3333333
allentsteig,,03,48.6833333,15.3166667
allerding,,04,48.4,13.4833333
allerheiligen,,04,48.3,14.65
allerheiligen,,06,46.9141667,15.5544444
allerheiligen bei wildon,,06,46.9141667,15.5544444
allerheiligen im muhlkreis,,04,48.3,14.65
allerheiligen im murztal,,06,47.4666667,15.4
allersdorf,,01,47.3,16.3166667
allersdorf,,02,46.7166667,14.8666667
allersdorf,,03,48.1333333,14.9333333
allersdorf,,06,47.15,14.7666667
allersdorf bei judenburg,,06,47.15,14.7666667
allersdorf im burgenland,,01,47.3,16.3166667
allersgraben,,01,47.3166667,16.3166667
allerstorf,,04,48.4166667,14.0666667
allgaueck,,06,47.1458333,14.0477778
allgraben,,06,46.8666667,15.7333333
allhaming,,04,48.15,14.1666667
allhang,,03,48.2333333,16.1333333
allhartsberg,,03,48.0166667,14.7833333
allhau,,01,47.2833333,16.0833333
allhut,,04,48.5666667,14.3666667
alm,,03,48.9166667,15.2
