names,population,state_code,lat,lon
abbotsford,,02,-33.85,151.133333
abbotsham,,06,-41.216667,146.183333
abbotts,,08,-26.316667,118.383333
abercorn,,04,-25.15,151.033333
abercrombie,,02,-33.95,149.316667
aberdare,,02,-32.833333,151.366667
aberdeen,,02,-32.166667,150.9
aberfeldy,,07,-37.683333,146.366667
aberfoyle,,02,-30.266667,152.016667
aberglasslyn,,02,-32.7,151.533333
abermain,,02,-32.816667,151.433333
abermain,,04,-27.566667,152.783333
abernethy,,02,-32.9,151.4
abington,,02,-30.283333,151.183333
abington creek,,02,-30.283333,151.183333
acacia creek,,02,-28.383333,152.316667
acacia ridge,,04,-27.583333,153.033333
acheron,,07,-37.25,145.7
ackland,,04,-27.3,151.683333
adaminaby,,02,-36.05,148.716667
adamsfield,,06,-42.733333,146.316667
adavale,,04,-25.916667,144.6
addington,,07,-37.383333,143.683333
adelaide,1074168,05,-34.933333,138.6
adelaide lead,,07,-37.066667,143.683333
adelaide river,,03,-13.25,131.1
adelong,,02,-35.316667,148.05
adjungbilly,,02,-35.1,148.383333
advancetown,,04,-28.066667,153.266667
adventure bay,,06,-43.366667,147.333333
afterlee,,02,-28.583333,152.816667
agery,,05,-34.166667,137.733333
agnew,,08,-28.083333,120.5
ailsa,,07,-36.333333,142.35
aireys inlet,,07,-38.466667,144.1
airly,,07,-38.033333,147.116667
aitkenvale,,04,-19.283333,146.8
ajana,,08,-27.95,114.633333
alagala,,02,-32.4,147.7
alambee,,07,-38.266667,146.033333
alanvale,,06,-41.3875,147.116667
alawoona,,05,-34.733333,140.516667
albacutya,,07,-35.816667,142
albany,23913,08,-35.016944,117.891667
albany creek,,04,-27.35,152.983333
albert,,02,-32.35,147.5
alberton,,04,-27.7,153.25
alberton,,06,-41.266667,147.783333
alberton,,07,-38.616667,146.666667
alberton west,,07,-38.6,146.6
albion,,07,-37.766667,144.833333
albion park,,02,-34.566667,150.783333
albury,104261,02,-36.083333,146.916667
alcomie,,06,-40.916667,145.183333
aldavilla,,02,-31.083333,152.766667
aldershot,,04,-25.466667,152.666667
aldersyde,,08,-32.383333,117.266667
aldgate,,05,-35.016667,138.733333
aldinga,,05,-35.283333,138.483333
alectown,,02,-32.933333,148.25
alexandra,,04,-21.166667,149.1
alexandra,,07,-37.183333,145.7
alexandra-mooloolaba,,04,-26.683333,153.116667
alford,,05,-33.816667,137.816667
alfredton,,07,-37.566667,143.816667
alfred town,,02,-35.166667,147.516667
algalah,,02,-32.4,147.7
alice,,02,-29.05,152.583333
alice,,04,-23.566667,145.8
alice springs,26188,03,-23.7,133.883333
allambee,,07,-38.266667,146.033333
allambee south,,07,-38.35,146.1
allan,,04,-28.2,151.95
allanby,,07,-36.15,141.9
allandale,,02,-33.166667,149.7
allandale north,,05,-34.3,138.916667
allans flat,,07,-36.266667,146.9
allansford,,07,-38.4,142.583333
allanson,,08,-33.333333,116.1
alleena,,02,-34.083333,147.133333
allendale,,07,-37.366667,143.933333
allendale east,,05,-38.016667,140.7
allendale north,,05,-34.3,138.916667
allen siding,,06,-40.966667,145.633333
allestree,,07,-38.283333,141.65
alligator creek,,04,-21.333333,149.2
alligator heads,,03,-12.483333,131.583333
allingham,,04,-18.666667,146.25
allora,,04,-28.033333,151.983333
allworth,,02,-32.55,151.95
alma,,05,-34.266667,138.633333
alma,,07,-37.033333,143.683333
alma creek,,04,-23.916667,150.283333
almaden,,04,-17.333333,144.683333
almonds,,07,-36.2,145.966667
almurta,,07,-38.45,145.566667
almurta east,,07,-38.466667,145.583333
alonnah,,06,-43.316667,147.25
aloomba,,04,-17.116667,145.833333
alpha,,04,-23.65,146.633333
alpine,,02,-34.416667,150.516667
alston,,02,-33.983333,148.983333
alstonville,,02,-28.833333,153.433333
altona,,05,-34.6,138.916667
altona,,07,-37.866667,144.833333
alton,,04,-27.983333,149.316667
alton downs,,04,-23.3,150.35
alumny creek,,02,-29.65,152.95
alumy creek,,02,-29.65,152.95
alva,,04,-19.45,147.483333
alvie,,07,-38.233333,143.5
alyangula,1289,03,-13.848333,136.419167
amamoor,,04,-26.35,152.683333
amaroo,,02,-33.183333,148.933333
amata,,05,-26.166667,131.15
amberley,,04,-27.633333,152.7
ambrose,,04,-23.8,150.933333
amby,,04,-26.55,148.183333
american river,,05,-35.783333,137.766667
amery,,08,-31.15,117.083333
amherst,,07,-37.15,143.666667
amhurst,,04,-21.066667,149.233333
amiens,,04,-28.583333,151.816667
amity point,,04,-27.4,153.433333
amosfield,,02,-28.65,152.066667
amos quarries,,04,-23.75,150.833333
amphion,,08,-32.766667,116.2
amphitheatre,,07,-37.166667,143.416667
amyton,,05,-32.6,138.333333
anakie,,04,-23.55,147.75
anakie,,07,-37.916667,144.25
ancona,,07,-36.983333,145.816667
andergrove,,04,-21.083333,149.183333
anderson,,07,-38.533333,145.45
ando,,02,-36.716667,149.25
andover,,06,-42.333333,147.45
androssan,,05,-34.433333,137.9
anduramba,,04,-27.15,152.1
angas plains,,05,-35.35,139
