names,population,state_code,lat,lon
angochi,,00,12.5166667,-69.95
arasji,,00,12.6166667,-70.0666667
babijn,,00,12.5333333,-69.9833333
balashi,,00,12.4833333,-69.9666667
barcelona,,00,12.5166667,-70.0166667
blumond,,00,12.5333333,-70.9833333
boton,,00,12.4833333,-69.95
brasil,,00,12.45,-69.9166667
bringamosa,,00,12.4833333,-69.95
bubali,,00,12.55,-70.0333333
bushiribana,,00,12.55,-69.9666667
bushiribans,,00,12.55,-69.9666667
butucu,,00,12.4666667,-69.9
calabas,,00,12.55,-70.0
calbas,,00,12.55,-70.0
camacuri,,00,12.5,-70.0166667
canashito,,00,12.5,-69.9833333
canashitu,,00,12.5,-69.9833333
cas ariba,,00,12.5,-69.95
cas di paloma,,00,12.4833333,-70.0
cashero,,00,12.5166667,-69.9833333
casibari,,00,12.5333333,-69.9833333
catashi,,00,12.5,-69.95
catiri,,00,12.5333333,-70.0166667
ceru colorado,,00,12.4166667,-69.8666667
coba lodo,,00,12.5,-69.95
cumana,,00,12.5166667,-70.0166667
cunucu abao,,00,12.55,-70.0333333
cura cabai,,00,12.4333333,-69.9166667
dacota,,00,12.5,-70.0166667
druif,,00,12.5333333,-70.0666667
falcon,,00,12.5333333,-70.0166667
fontein,,00,12.5,-69.9
gasparito,,00,12.55,-70.0333333
jamanota,,00,12.4833333,-69.95
jan flemming,,00,12.4833333,-69.9666667
juwana morto,,00,12.4333333,-69.8833333
largo cadushi,,00,12.5166667,-69.9666667
mabon,,00,12.45,-69.9166667
macuarima,,00,12.5,-69.9666667
madiki,,00,12.5166667,-70.0333333
mahuma,,00,12.5,-69.9833333
marawiel,,00,12.5333333,-69.9833333
maria mai,,00,12.4833333,-69.95
meiveld,,00,12.5166667,-70.0
moco,,00,12.55,-70.0
modansa,,00,12.5333333,-70.0
mon pos,,00,12.5166667,-69.9666667
morgenster,,00,12.5166667,-70.0
noord cura cabai,,00,12.45,-69.9333333
noord,,00,12.5666667,-70.0166667
nune,,00,12.5333333,-70.0
oranjestad,29998,00,12.5166667,-70.0333333
palm beach,,00,12.5666667,-70.0333333
paradera,,00,12.5333333,-70.0
paradijs,,00,12.5333333,-70.0333333
paraguana,,00,12.55,-70.0166667
parkietenbos,,00,12.4833333,-69.9833333
pavia,,00,12.5166667,-69.9833333
picaron,,00,12.5,-69.95
piedra plat,,00,12.5166667,-69.9833333
plantersrust,,00,12.5,-70.0
playa,,00,12.5166667,-70.0333333
ponton,,00,12.5333333,-70.0333333
pos abao,,00,12.5333333,-70.0333333
pos chikito,,00,12.45,-69.95
pos chikitu,,00,12.45,-69.95
primavera,,00,12.5,-70.0
roncado,,00,12.5333333,-70.0166667
rooi afo,,00,12.5166667,-70.0
rooi bosal,,00,12.4833333,-69.9666667
rooi cochi,,00,12.45,-69.9333333
rooi congo,,00,12.45,-69.9
rooi hundo,,00,12.4333333,-69.8833333
rooi master,,00,12.45,-69.9166667
rooi prikichi,,00,12.5333333,-69.9666667
sabana basora,,00,12.4666667,-69.95
sabana berde,,00,12.5,-70.0166667
sabana blancoe,,00,12.5166667,-70.0166667
sabana blanco,,00,12.5166667,-70.0166667
sabana grandi,,00,12.5,-69.9833333
sabana liber,,00,12.55,-70.0166667
sabana,,00,12.5166667,-70.0166667
sabana westpunt,,00,12.6,-70.0333333
sabaneta,,00,12.45,-69.9333333
sabania abao,,00,12.5166667,-69.95
salina cerca,,00,12.5666667,-70.0333333
san barbola,,00,12.5166667,-70.0
san fuego,,00,12.5,-69.95
santa anna,,00,12.5666667,-70.0333333
santa cruz,,00,12.5,-69.9666667
santa helena,,00,12.5166667,-70.0333333
santa martha,,00,12.5,-69.9833333
savaneta,,00,12.45,-69.9333333
savoneta,,00,12.45,-69.9333333
savonet,,00,12.45,-69.9333333
sero blanco,,00,12.5166667,-70.0166667
sero colorado,,00,12.4166667,-69.8666667
shaba,,00,12.55,-70.0166667
shabiruri,,00,12.5166667,-69.9666667
shete,,00,12.5,-69.9333333
shiribana,,00,12.5333333,-70.0
simeon antonio,,00,12.4833333,-70.0
sint anna,,00,12.5666667,-70.0333333
sint nicolaas,,00,12.4333333,-69.9
siribana,,00,12.5166667,-69.9833333
soledad,,00,12.55,-70.0
solito,,00,12.5166667,-70.0166667
tamarijn,,00,12.5333333,-69.9666667
tanki flip,,00,12.55,-70.0333333
tanki lender,,00,12.5333333,-70.0166667
tarabana,,00,12.5166667,-70.0166667
washington,,00,12.55,-70.0333333
wayaca,,00,12.5,-70.0
westpunt,,00,12.6,-70.0333333
