names,population,state_code,lat,lon
26baky komissary,,36,39.3119444,49.2094444
26 komissar ada±na kend,,62,40.5580556,46.2172222
28 aprel,,68,40.6283333,46.9766667
abad,,04,40.4694444,47.3341667
abadkend,,46,39.75,49.0166667
abas-abad,,66,38.8688889,48.2877778
abas-ali,,36,39.4333333,49.0833333
abasaly,,15,39.2752778,48.3622222
abasbeyli,,45,39.95,48.3666667
abaskcùnd,,47,41.3144444,46.95
abaskhanly,,27,40.3666667,48.4
abazally,,15,39.2752778,48.3622222
abbasabad,,66,38.8688889,48.2877778
abbasally,,36,39.4333333,49.0833333
abbasbcùyli,,40,41.0825,45.1933333
abbasbeyli,,40,41.0825,45.1933333
abbasbeyli,,45,39.95,48.3666667
abbaskullar,,58,40.6833333,45.5666667
abbasla±,,51,40.7677778,46.1361111
abbasly,,51,40.7677778,46.1361111
abbasqulular,,58,40.6833333,45.5666667
abdal,,03,39.865,46.9208333
abdalanly,,43,39.4091667,46.5458333
abdalinlu,,43,39.4091667,46.5458333
abdalla±,,37,41.0758333,47.5944444
abdally,,03,39.865,46.9208333
abdally,,37,41.0758333,47.5944444
abdallyar,,28,39.6408333,46.5469444
abdalyar,,28,39.6408333,46.5469444
abda±nla±,,66,38.9219444,48.1575
abdullausaga±,,26,40.0577778,46.2075
abdulla-ushagi,,26,40.0577778,46.2075
abdullaushagy,,26,40.0577778,46.2075
abdulyan,,23,40.0975,48.6733333
abdulyany,,23,40.0975,48.6733333
abdunly,,66,38.9219444,48.1575
abdynly,,66,38.9219444,48.1575
abil'dzha,,43,39.2194444,46.7063889
abish-kyand,,13,39.4333333,48.45
abjit,,10,41.7227778,46.2352778
ablakh,,62,40.5016667,46.4294444
abrakunis,,35,39.135,45.6369444
abra±x,,38,41.0391667,47.7377778
abushabad,,15,39.2563889,48.4058333
abush-abad,,15,39.2563889,48.4058333
abyshabad,,15,39.2563889,48.4058333
abyshbeyli,,02,40.1811111,47.6627778
aca±dcùrcù,,50,40.5283333,48.7416667
aca±la±qbincù,,10,41.6722222,46.2594444
achakaya,,62,40.6577778,46.2258333
adakar,,17,41.3330556,49.0727778
adigozalbegly,,03,40.1011111,46.8205556
adnala±,,15,39.2908333,48.4061111
adnala±,,50,40.5736111,48.6233333
adnaly,,15,39.2908333,48.4061111
adnaly,,50,40.5736111,48.6233333
adshikabul,,23,40.0433333,48.9355556
adur,,42,41.1255556,48.2913889
adynaly,,15,39.2908333,48.4061111
adzha-kabul,,23,40.0433333,48.9355556
adzhakend,,62,40.5136111,46.3288889
adzhakhur,,44,41.455,48.1888889
adzhakhuroba,,44,41.7166667,48.5333333
adzhami,,68,40.6994444,47.1916667
adzhidere,,50,40.5283333,48.7416667
adzhikabul,,23,40.0433333,48.9355556
adzhikadiry,,50,40.4158333,48.5663889
adzhikarakashly,,17,41.3441667,49.0597222
adzhikend,,62,40.5136111,46.3288889
adzhily,,24,40.0833333,47.8833333
adzhished,,62,40.4833333,46.35
adzhiyely,,01,40.2872222,49.0747222
adzhkhur,,44,41.455,48.1888889
adzhylygbina,,10,41.6722222,46.2594444
adzhylykhbina,,10,41.6722222,46.2594444
aeèba±lccù,,43,39.2194444,46.7063889
aeèbilyataq,,60,41.5411111,48.8925
aeèbrcùqunis,,35,39.135,45.6369444
aeèccùmi,,68,40.6994444,47.1916667
aeèccùxur,,44,41.455,48.1888889
aeèccùxuroba,,44,41.7166667,48.5333333
aeèfcùndilcùr,,14,39.4344444,47.0472222
aeèfcùndilcùr,,43,39.3277778,46.7041667
aeèfcùtli,,03,40.0247222,47.1119444
aeèhcùn,,25,40.8544444,48.4219444
aeèhmcùdabad,,21,40.715,46.6280556
aeèhmcùdabad,,46,40.0061111,48.6427778
aeèhmcùdabad,,58,40.7752778,45.6644444
aeèhmcùdagala±,,03,40.1180556,47.0827778
aeèhmcùdala±lar,,18,39.4375,47.3355556
aeèhmcùdbcùyli,,18,39.5627778,47.5511111
aeèhmcùdli,,09,40.3780556,49.9619444
aeèhmcùdli,,12,39.7194444,47.8372222
aeèhmcùdli,,16,40.4694444,46.1516667
aeèhmcùdli,,28,39.6844444,46.2861111
aeèhmcùdli,,32,39.0927778,48.6669444
aeèhmcùdli,,50,40.7383333,48.7061111
aeèhmcùdoba,,60,41.5169444,48.8125
aeèlcùhi,,35,39.1733333,45.8902778
aeèlcùkci,,28,39.8972222,46.4047222
aeèlcùsgcùr,,70,41.5738889,46.7786111
aeèlcùsgcùrli,,51,40.8183333,45.7711111
aeèlcùt,,09,39.9411111,49.4061111
aeèlcùtli,,23,40.0138889,48.8088889
aeèlcùzcùpin,,29,38.6247222,48.6630556
aeèliabad,,31,38.6783333,48.5572222
aeèliabad,,35,39.2266667,45.3983333
aeèliabad,,70,41.4783333,46.6175
aeèli bayramla±,,07,39.9319444,48.9202778
aeèli bayramla±,,26,39.9844444,45.9416667
aeèli bayramla±,,39,41.3269444,46.8680556
aeèli bayramla±,,40,41.23,45.1680556
aeèli bayramla±,,52,40.7391667,46.4711111
aeèli bayramla±,,70,41.5230556,46.5319444
aeèlibcùyli,,39,41.3780556,46.8219444
aeèlibcùyli,,58,40.9375,45.4941667
aeèlibcùyli,,71,40.1986111,47.6822222
aeèlibcùyqa±slaq,,42,41.4113889,48.5397222
aeèlicanla±,,46,40.0377778,48.4336111
aeèliismaya±lla±,,19,40.5541667,45.6666667
aeèlik,,42,41.1775,48.2369444
aeèlikcùnd,,59,40.4958333,47.5088889
aeèlilambcùyli,,46,39.8294444,48.7808333
aeèlimcùdcùdli,,03,40.0602778,46.8163889
aeèlimcùdcùdli,,62,40.7627778,46.3083333
aeèlimcùrdanla±,,58,41.0425,45.6763889
aeèlinaga±lar,,19,40.4833333,45.75
aeèlincùzcùrli,,12,39.7855556,47.6975
aeèliqasa±mla±,,15,39.2858333,48.4555556
aeèliqulu,,28,39.745,46.4138889
aeèliqulular,,24,39.9086111,47.9280556
aeèliquluusaga±,,43,39.4480556,46.4722222
aeèlisoltanla±,,45,39.9011111,48.3213889
aeèliusaga±,,52,40.6947222,46.4819444
aeèliyanla±,,11,40.3438889,47.1294444
aeèliyar,,47,41.0038889,47.2516667
aeèliyetmcùzli,,24,40.1311111,48.0327778
aeèlmcùkolu,,53,40.9833333,48.95
aeèlvcùnd,,71,40.1188889,47.8608333
aeèmbcùrcay,,39,41.3805556,46.9361111
aeèmir,,19,40.5833333,45.6833333
aeèmiranlar,,65,39.7997222,47.1330556
aeèmirarx,,04,40.5591667,47.3758333
aeèmircan,,09,40.4263889,49.9836111
aeèmircan,,39,41.4286111,46.8594444
aeèmirli,,11,40.2222222,47.1486111
aeèmirmcùhmud,,04,40.5988889,47.5594444
aeèmirvan,,38,40.8308333,47.8922222
aeèmirvar,,16,40.5188889,45.9280556
aeèmirvarla±,,14,39.2802778,47.0830556
aeèmirxanla±,,69,38.9375,46.5916667
aeèmirzeydli,,12,39.5844444,47.6566667
aeènccùqov,,31,38.6727778,48.6816667
aeèngcùlan,,63,40.8244444,49.0363889
aeèngcùxaran,,50,40.6722222,48.6544444
aeèniq,,44,41.3327778,48.2211111
aeèniqoba,,44,41.6333333,48.5
aeèniqqa±slaq,,44,41.6580556,48.5841667
aeèrcùb,,04,40.6766667,47.5544444
aeèrcùb,,60,41.4238889,48.9511111
aeèrcùbbcùsra,,67,40.7813889,47.2080556
aeèrcùblcùr,,11,40.4402778,47.1638889
aeèrcùblcùr,,17,41.2783333,48.8522222
aeèrcùbmehdibcùy,,06,40.545,48.1786111
aeèrcùbocaga±,,04,40.7358333,47.3986111
aeèrcùbqcùdim,,41,40.4297222,48.9686111
aeèrcùb qubala±,,27,40.1633333,48.4233333
aeèrcùbsahverdi,,22,40.6044444,47.6497222
aeèrcùbsahverdi,,41,40.5333333,48.9833333
aeèrcùbsalbas,,41,40.62,48.7633333
aeèrcùbsarvan,,06,40.5408333,48.2230556
aeèrcùbscùki,,04,40.5669444,47.2411111
aeèrcùbusaga±,,06,40.5305556,48.4191667
aeèrcùbxana,,27,40.1633333,48.0627778
aeèrcùb yengiccù,,35,39.4752778,44.95
aeèrcùfscù,,35,39.2919444,45.7847222
aeèrciman,,50,40.8225,48.6194444
aeèrcivan,,08,38.5027778,48.8338889
aeèrcùkit,,25,40.8480556,48.3858333
aeèrcùs,,67,40.7380556,47.2283333
aeèrcùzin,,35,39.1072222,45.5791667
aeèrdcùbilcù,,31,38.85,48.4666667
aeèrdcùscùvi,,28,39.7613889,46.4852778
aeèrikli,,28,39.8505556,46.405
aeèrkivan,,32,39.0183333,48.65
aeèrmcùki,,42,41.2758333,48.4983333
aeèrmcùncùt,,37,41.0647222,47.5683333
aeèrscùli,,27,40.1875,48.3088889
aeèrsilcù,,66,38.9738889,48.3491667
aeèrtcùpcù,,19,40.6438889,45.8986111
aeèrus,,66,38.9516667,48.3266667
aeèrzikus,,53,40.94,48.9241667
aeèscùdli,,15,39.1113889,48.3177778
aeèscùdli,,46,40.0130556,48.5216667
aeèsgcùrabad,,13,39.4344444,48.5719444
aeèsgcùran,,64,39.9366667,46.8327778
aeèsgcùrbcùyli,,46,40.0316667,48.395
aeèshlcù,,29,38.71,48.7338889
aeèski iqra±g,,42,41.3169444,48.5022222
aeèspcùrcùsti,,42,41.2666667,48.7
aeèsrik,,26,40.0355556,46.2191667
aeèsrik ca±rdaxan,,58,40.8663889,45.6288889
aeètccùlcùr,,46,40.05,48.6666667
aeètyemcùzli,,03,40.0263889,46.9416667
aeèvcùcuk,,44,41.4708333,48.3952778
aeèvcùcukoba,,60,41.7372222,48.6108333
aeèvilcù,,31,38.8188889,48.3997222
aeèxsam,,68,40.7386111,47.1627778
aeèyin,,43,39.3466667,46.4852778
aeèyriccù,,11,40.45,47.25
aeèyritala,,10,41.65,46.4166667
aeèyrivcùng,,19,40.55,45.6166667
aeèyyubbcùli,,25,40.6166667,48.2333333
aeèza±zbcùyov,,35,39.395,45.5347222
aeèzgilli,,62,40.4122222,46.2875
aeèzgilli,,70,41.5694444,46.8583333
aeèzizabad,,32,38.9841667,48.6125
aeèzizbcùyli,,40,41.1175,45.3619444
aeèzizbcùyov,,09,40.4563889,50.1155556
aeèzizbcùyov,,21,40.6958333,46.6269444
aeèzizbcùyov,,62,40.6325,46.4080556
afatlu,,61,39.8197222,46.7788889
afatly,,03,40.0247222,47.1119444
afurca,,42,41.1608333,48.6155556
afurdzha,,42,41.1608333,48.6155556
agabaga±,,71,40.1105556,47.8130556
agabagy,,71,40.1105556,47.8130556
agabcùyli,,02,40.0630556,47.3677778
agabcùyli,,06,40.4313889,48.4338889
agabcùyyala±,,57,40.2125,46.7888889
agabekalendzh,,57,40.2125,46.7888889
agabeyli,,02,40.0630556,47.3677778
agabeyli,,06,40.5,48.4166667
agacanla±,,23,39.9833333,48.8488889
agachkala,,58,40.7833333,45.7
agacqala,,58,40.7833333,45.7
agadzhaly,,24,40.0666667,48.15
agadzhanly,,23,39.9833333,48.8488889
agakhanly,,24,39.7466667,47.9588889
agakhmed,,35,39.5827778,44.9105556
agakishi-bayli,,32,39.0666667,48.6833333
agakishibeyli,,32,39.0666667,48.6833333
agala±,,04,40.6644444,47.4538889
agala±kcùnd,,13,39.3744444,48.5783333
agalarbcùyli,,06,40.5191667,48.415
agalarbeyli,,02,40.0580556,47.1113889
agalarbeyli,,06,40.4313889,48.4338889
agally,,47,41.1333333,47.2
agalu,,11,40.3413889,47.2775
agaly,,04,40.6644444,47.4538889
agaly,,69,39.1841667,46.7541667
agalykend,,13,39.3744444,48.5783333
agaly pervyye,,69,39.1841667,46.7541667
agaly tret'ye,,69,39.1744444,46.7722222
agaly vtoryye,,69,39.1780556,46.7644444
agamala±,,19,40.6863889,45.7630556
agamala±oglu,,21,40.7230556,46.5294444
agamaly,,19,40.6863889,45.7630556
agamalylar,,24,40.0963889,47.8211111
agamalyoglu,,21,40.7230556,46.5294444
agamamedli,,45,39.8677778,48.9080556
agamamedli,,58,40.8594444,45.7266667
aga-mamedly,,45,39.8677778,48.9080556
agamcùmmcùdli,,24,39.9591667,47.9880556
agamcùmmcùdli,,58,40.8594444,45.7266667
(( aga-mirza-obasi )),,17,41.3483333,48.9847222
agan,,25,40.8544444,48.4219444
aganus,,28,39.6266667,46.5877778
aganz,,57,40.3475,46.6302778
agaps,,57,40.3333333,46.6166667
agaragimli,,45,39.9333333,48.3333333
agaragimoba,,60,41.5,48.6833333
agaraimoba,,60,41.5,48.6833333
agarcùhimoba,,60,41.5,48.6833333
agarent,,46,39.9594444,48.3513889
agarx,,06,40.5236111,48.3813889
agashirinoba,,60,41.5166667,48.6833333
agasi-bek-obasi,,53,41.1333333,49.1166667
(( agasibeyli )),,53,41.1333333,49.1166667
agasirinoba,,60,41.5166667,48.6833333
agasy-begly,,52,40.7713889,46.5169444
agaverdioba,,60,41.5983333,48.6577778
agayaza±,,39,41.2372222,46.7408333
agayaza±buduq,,60,41.4008333,48.7363889
agayazybudug,,60,41.4008333,48.7363889
aga-yazybudukh,,60,41.4008333,48.7363889
aga-yazyoudukh,,60,41.4008333,48.7363889
agayra±,,13,39.525,48.4952778
agayry,,13,39.525,48.4952778
agbash,,53,41.1136111,49.0930556
agbashlar,,58,40.6422222,45.6622222
agbaslar,,58,40.6422222,45.6622222
agbil,,42,41.4166667,48.5666667
agbis,,69,39.2088889,46.6277778
agbiz,,69,39.2088889,46.6277778
ag-bulag,,23,40.7097222,48.2213889
agbulag,,28,39.7763889,46.2583333
agbulag,,64,39.8758333,46.8969444
agbulag,,65,39.5547222,47.0830556
agbulak,,23,40.7097222,48.2213889
agbulak,,28,39.7763889,46.2583333
agbulak,,58,40.8219444,45.6008333
agbulak,,64,39.8758333,46.8969444
agbulak,,65,39.5547222,47.0830556
agbulak,,66,39.0833333,48.4333333
agbulaq,,23,40.7097222,48.2213889
agbulaq,,28,39.7763889,46.2583333
agbulaq,,58,40.8219444,45.6008333
agbulaq,,64,39.8758333,46.8969444
agbulaq,,65,39.5547222,47.0830556
agcabcùdi,,02,40.0527778,47.4613889
agcakcùnd,,26,40.0213889,46.1891667
agcakcùnd,,28,39.7788889,46.34
agcakcùnd,,65,39.4969444,46.8783333
agcaqovaq,,04,40.5666667,47.2333333
agcay,,39,41.4580556,47.0013889
agcay,,60,41.4869444,48.9408333
agcayaza±,,28,39.7838889,46.4594444
agchay,,39,41.4580556,47.0013889
agcùmcùd,,35,39.5827778,44.9105556
agdaban,,26,40.1930556,46.3530556
agdam,39451,03,39.9930556,46.9305556
agdam,,58,40.9052778,45.5563889
agdam,,65,39.5513889,46.9522222
agdamkcùnd,,03,40.0,46.9666667
agdamkelal,,70,41.6447222,46.8897222
agdamkelyal,,70,41.6447222,46.8897222
agdamkend,,03,40.0,46.9666667
agdamkent,,03,40.0,46.9666667
agdam qalal,,70,41.6447222,46.8897222
agdara,,63,40.6911111,49.0175
agdas,23528,04,40.65,47.4761111
agdas,,15,39.0847222,48.5011111
agdas,,26,40.1769444,46.0972222
agdasch,,04,40.65,47.4761111
agdash,,04,40.65,47.4761111
agdash,,15,39.0847222,48.5011111
agdash,,26,40.1769444,46.0972222
agdcùrcù,,35,39.1102778,45.9138889
agdcùrcù,,57,40.2152778,46.8127778
agdcùrcù,,58,40.7333333,45.65
agdcùrcù,,63,40.6911111,49.0175
agdere,,35,39.1102778,45.9138889
agdere,,58,40.7333333,45.65
agdere,,63,40.6911111,49.0175
agdzhabedi,,02,40.0527778,47.4613889
agdzhabedy,,02,40.0527778,47.4613889
agdzhakend,,26,40.0213889,46.1891667
agdzhakend,,28,39.7788889,46.34
agdzhakend,,65,39.4969444,46.8783333
agdzhakovag,,04,40.5666667,47.2333333
agdzhakovakh,,04,40.5666667,47.2333333
agdzhayazy,,28,39.7838889,46.4594444
agdzhiyazy,,28,39.7838889,46.4594444
agdzhuvur,,24,39.9,48.2
agebeyli,,02,40.0630556,47.3677778
agekhush,,62,40.6358333,46.1605556
aggcùdik,,64,39.9030556,46.8469444
aghabekalanj,,57,40.2666667,46.7833333
aghabekalendg,,57,40.2125,46.7888889
aghabekalenj,,57,40.2125,46.7888889
aghabekalinj,,57,40.2666667,46.7833333
aghanus,,28,39.6266667,46.5877778
aghavni,,28,39.5897222,46.5433333
aghboulagh,,64,39.8758333,46.8969444
aghboulagh,,65,39.5547222,47.0830556
aghbulagh,,64,39.8758333,46.8969444
aghdaban,,26,40.1930556,46.3530556
aghdam,,03,39.9930556,46.9305556
aghdash,,04,40.65,47.4761111
aghjabadi,,02,40.0527778,47.4613889
aghsu,,06,40.5691667,48.4008333
agirdzha,,63,40.6588889,49.4616667
agkcùnd,,65,39.8233333,47.0177778
agkend,,69,39.1891667,46.4541667
agkeynak,,40,41.0669444,45.2955556
agkilisa,,10,41.6833333,46.3166667
agkilscù,,10,41.6833333,46.3166667
ag-kishlag,,66,38.9,48.3833333
agkoyncùk,,40,41.0669444,45.2955556
agkyshlak,,66,38.9,48.3833333
aglykh,,37,41.1413889,47.5391667
agmamedly,,58,40.8594444,45.7266667
agoshapeshta,,31,38.6666667,48.6166667
agpilyakyan,,47,40.9763889,47.3044444
agqa±raqla±,,67,40.6644444,47.0666667
agry,,35,38.9166667,45.9333333
agsiazan',,63,40.9616667,49.1625
agsiyazan',,63,40.9616667,49.1625
agstafa,12542,05,41.1188889,45.4538889
agsu,17209,06,40.5691667,48.4008333
agtala,,60,41.5397222,48.7655556
agtcùpcù,,14,39.3583333,47.0261111
agtepe,,14,39.3583333,47.0261111
agusam,,15,39.2,48.3166667
agyaza±,,39,41.2372222,46.7408333
agyaza±,,47,41.1769444,47.0069444
agyoxus,,62,40.6358333,46.1605556
agza±bir,,04,40.4094444,47.3888889
agzhur,,24,39.9,48.2
agzibir,,26,39.995,46.2661111
agzybir,,04,40.4094444,47.3888889
aja kabul,,23,40.0433333,48.9355556
akaku,,65,39.5513889,46.9522222
akdash,,04,40.65,47.4761111
akdere,,63,40.6911111,49.0175
akeri,,69,39.4666667,46.6166667
akerly,,69,39.4666667,46.6166667
akhan,,25,40.8544444,48.4219444
akhardzha,,62,40.6719444,46.1952778
akh-bulakh,,66,39.0833333,48.4333333
akhmazkend,,46,40.0,48.8
akhmedabad,,21,40.715,46.6280556
akhmedabad,,46,40.0061111,48.6427778
akhmedabad,,58,40.7752778,45.6644444
akhmedagaly,,03,40.1180556,47.0827778
akhmed,,35,39.5827778,44.9105556
akhmedalar,,11,40.4622222,47.0866667
akhmedallar,,18,39.4375,47.3355556
akhmedalylar,,18,39.4375,47.3355556
akhmedavar,,03,39.9780556,46.8791667
akhmedbeyli,,18,39.5627778,47.5511111
akhmedh,,28,39.6844444,46.2861111
akhmedlar,,58,40.95,45.7833333
akhmedli,,09,40.3780556,49.9619444
akhmedli,,12,39.7194444,47.8372222
akhmedli,,16,40.4694444,46.1516667
akhmedli,,28,39.6844444,46.2861111
akhmedli,,32,39.0927778,48.6669444
akhmedly,,09,40.3780556,49.9619444
akhmedly,,12,39.7194444,47.8372222
akhmedly,,16,40.4694444,46.1516667
akhmedoba,,60,41.5169444,48.8125
akhnazar,,28,39.7744444,46.5113889
akhsham,,68,40.7386111,47.1627778
akhsu,,06,40.5691667,48.4008333
akhtachi,,27,40.0591667,48.2972222
akhtachi,,46,40.0102778,48.7111111
akhtachi-shaumyan,,46,39.9666667,48.7166667
akhtachi-sovet,,27,40.0591667,48.2972222
akhtachy,,06,40.5741667,48.4655556
akhtachy,,27,40.0591667,48.2972222
akhtachy,,46,40.0166667,48.3333333
akhtachy-karabudzhak,,27,40.0591667,48.2972222
akhtachy mugan,,46,40.0102778,48.7111111
akhtachy shaumyan,,46,39.9666667,48.7166667
akhtachy shirvan,,46,40.0333333,48.7333333
akhtakhana,,15,39.1063889,48.3816667
akhundly,,06,40.5383333,48.2216667
akhunly,,06,40.5383333,48.2216667
akhura,,35,39.5622222,45.1613889
akhverdi,,36,39.2741667,49.1469444
akhverdili,,36,39.2741667,49.1469444
akhzhidara,,50,40.5283333,48.7416667
akkana,,57,40.195,46.5902778
akstafa,,05,41.1188889,45.4538889
akstafal,,05,41.1188889,45.4538889
aksu,,06,40.5691667,48.4008333
akulis,,35,38.9527778,45.9813889
akulisy,,35,38.9197222,45.9863889
akusapestcù,,31,38.6666667,48.6166667
akxullu,,65,39.5666667,47.0922222
alabashly,,51,40.8144444,46.2636111
alabasla±,,52,40.7833333,46.2833333
ala±bcùyli,,03,40.0955556,47.1588889
ala±bcùyli,,69,39.1622222,46.74
ala-bekly,,12,39.7794444,47.8802778
ala±c,,42,41.2522222,48.4708333
ala±can,,28,39.6094444,46.7872222
alacarda±rla±,,11,40.3666667,47.1166667
