names,population,state_code,lat,lon
abadzici,,02,44.6433333,18.7677778
abdakovici,,01,45.0208333,15.8275
abdici,,01,45.0477778,15.8566667
abdulici,,02,44.0733333,19.5383333
abramovici,,02,44.8755556,16.5222222
abrici,,02,44.9194444,17.1477778
acamovici,,01,44.1775,16.4638889
acimovici,,02,44.5711111,18.9
ackari,,02,44.8647222,18.0008333
ada,,01,45.0183333,18.3655556
ada,,02,44.9527778,17.3730556
adamovici,,01,44.4302778,16.3952778
adamovici,,02,44.875,16.9947222
adari,,02,44.9013889,18.1141667
adrovici,,02,43.7813889,19.1205556
adze,,01,44.4986111,18.0025
adzica ograde,,02,43.0891667,18.0805556
adzici,,01,43.3433333,17.5197222
adzici,,02,43.2794444,18.4169444
adzijin potok,,02,45.0413889,18.0172222
adzina ravan,,02,43.4313889,18.7902778
adzino selo,,02,45.0986111,17.0227778
aganbegovici,,02,44.5958333,17.5025
aganovici,,01,44.7708333,16.6769444
agarovici,,02,43.8708333,19.1588889
agatici,,02,44.7669444,17.7491667
agica brdo,,02,44.9333333,16.4602778
agici,,01,44.2972222,16.6086111
agici,,02,43.8963889,19.1519444
agici brdo,,02,45.0097222,17.8469444
agici gornji,,02,44.9277778,16.4430556
aginac,,02,45.1080556,18.0641667
aginci,,02,45.0627778,17.2
agino selo,,02,44.5658333,17.1919444
ahatovici,,01,43.8872222,18.2763889
ahinbasici,,01,44.7347222,18.2019444
ahmedagici,,01,44.7491667,18.3122222
ahmenovo polje,,02,43.905,18.5163889
ahmetasevici,,01,44.6733333,18.3458333
ahmetasi,,01,44.8744444,18.4425
ahmetovci,,02,45.0494444,16.5766667
ahmetovici,,01,44.6288889,18.5797222
ahmetovici,,02,44.4661111,19.0566667
ahmici,,01,44.1461111,17.8533333
ahmovici,,01,43.6252778,18.9422222
ahovo,,01,45.1780556,15.9869444
ajani,,01,44.4694444,18.0363889
ajdanovici,,02,43.6986111,19.1836111
ajderi,,01,44.1719444,16.8263889
ajdinovici,,01,44.0716667,18.5586111
ajvatovici,,01,44.1497222,18.7236111
ajvazi,,01,44.3658333,17.2188889
akmacici,,02,44.2969444,18.8130556
akmadzici,,01,43.3175,17.3077778
alabegovci,,01,44.6933333,18.0077778
alacici,,02,43.4011111,18.7725
aladinici,,01,43.1194444,17.8577778
aladuzi,,02,43.2552778,18.4702778
alagaci,,01,44.1447222,18.1302778
alagici,,01,43.8897222,18.0591667
alagici,,02,43.7391667,19.1144444
alaginci,,02,45.1797222,16.5719444
alagovac,,01,43.3752778,17.3780556
alajbegon odzak,,01,43.9936111,17.2994444
alapinac,,02,45.2291667,16.9338889
alasevici,,01,45.1244444,16.0286111
alat,,01,44.8594444,16.2038889
alatusa,,01,45.1969444,15.8127778
aleksic,,02,44.5055556,17.0944444
aleksici,,02,42.935,18.4444444
aleksina meda,,02,42.6927778,18.3394444
alerici,,01,43.3488889,17.3016667
alesevici,,01,45.1072222,15.9925
alibabici,,01,44.8944444,15.9502778
alibasici,,01,44.8602778,18.4766667
alibegovci,,01,44.6933333,18.0077778
alibegov dubovik,,02,44.8913889,16.3241667
alibegovica zalozje,,01,44.8283333,15.9094444
alibegovici,,01,43.9955556,18.1236111
alicevici,,01,45.0188889,16.0630556
alici,,01,44.0355556,17.5647222
alici,,02,43.6622222,19.1938889
alicici,,01,44.4638889,18.5738889
alihodzici,,01,44.7922222,16.4688889
alihodzici,,02,44.1975,18.9230556
aliluci,,02,43.8422222,18.5222222
alipasici,,01,44.2525,17.7677778
alipasin most,,01,43.8538889,18.3516667
alipasino polje,,01,43.8405556,18.3555556
aliro brdo,,02,43.8441667,18.5791667
alisici,,02,44.8636111,16.6944444
alispahici,,01,44.5711111,18.0219444
aljetici,,02,42.7663889,18.3241667
aljici,,01,44.4147222,18.6586111
aljkovici,,01,44.4383333,18.3508333
aluge,,01,44.0502778,18.2122222
aluge,,02,43.8313889,18.5336111
amajlije,,02,44.7422222,19.2730556
amidzici,,01,44.8586111,15.8766667
amidzici,,02,44.2672222,19.0611111
amovici,,02,43.8977778,18.8405556
anado,,01,44.4619444,18.8725
