names,population,state_code,lat,lon
airy hill,,06,13.1833333,-59.55
alexandra,,07,13.2833333,-59.6
allen view,,11,13.1833333,-59.5666667
alleynedale,,07,13.2833333,-59.6166667
allmans,,07,13.2666667,-59.6333333
animal flower cave,,07,13.3333333,-59.6
apes hill,,04,13.2166667,-59.6
appleby,,04,13.15,-59.6333333
applewhaites,,11,13.1666667,-59.5666667
archer,,07,13.3166667,-59.6333333
archers,,07,13.3166667,-59.6333333
arch hall,,11,13.1666667,-59.6166667
arthurs seat,,11,13.15,-59.6
ashbury,,05,13.1666667,-59.5333333
ashton hall,,09,13.25,-59.6333333
atlantic shores,,01,13.0333333,-59.5166667
babbs,,07,13.2833333,-59.6333333
bagatelle,,11,13.15,-59.6166667
bairds,,03,13.1333333,-59.5333333
bakers,,09,13.2333333,-59.6166667
bank hall,,08,13.1,-59.6
bannatyne,,01,13.0833333,-59.5333333
bathsheba,1765,06,13.2166667,-59.5166667
baxters,,02,13.2166667,-59.5666667
bayfield,,10,13.15,-59.45
bayley,,10,13.15,-59.45
bayleys,,10,13.15,-59.45
bayville,,08,13.0833333,-59.6
belair,,03,13.15,-59.55
bel air,,10,13.1166667,-59.4333333
belle,,08,13.1166667,-59.5833333
belleplaine,,02,13.25,-59.5666667
belmont,,08,13.0833333,-59.6
benab,,02,13.2166667,-59.5333333
bennetts,,11,13.1666667,-59.6
benny hall,,09,13.2666667,-59.6
benthams,,07,13.2833333,-59.6166667
bentleys,,10,13.1166667,-59.5
bibbys lane,,08,13.1333333,-59.5833333
bishops,,07,13.3,-59.6
bissex,,06,13.2166667,-59.55
blackmans,623,06,13.1833333,-59.5333333
black rock,,08,13.1333333,-59.6333333
blacksage alley,,07,13.3,-59.5833333
blades,,10,13.1,-59.4666667
blades hill,,10,13.15,-59.45
bloomsbury,,11,13.2,-59.5666667
blowers,,11,13.2,-59.6166667
blue waters,,01,13.0666667,-59.5833333
boarded hall,,01,13.1,-59.5333333
bonwell,,06,13.1833333,-59.5333333
boscobelle,,09,13.2833333,-59.5666667
bourbon,,07,13.2833333,-59.6333333
bowmanston,,05,13.1666667,-59.5166667
branchbury,,06,13.1833333,-59.55
breedy's,,02,13.25,-59.5833333
brereton,,10,13.1166667,-59.5
bridgefield,,11,13.15,-59.5833333
bridgetown,98511,08,13.1,-59.6166667
briggs,,01,13.1,-59.5333333
brighton,,03,13.1166667,-59.5166667
brighton,,08,13.1,-59.6166667
brittons hill,,08,13.0833333,-59.5833333
brome field,,07,13.3,-59.6333333
bruce,,02,13.2333333,-59.55
bruce vale,,02,13.2333333,-59.55
buckden house,,06,13.2,-59.5333333
bulkely factory,,03,13.1166667,-59.5333333
bushy park,,10,13.1333333,-59.4666667
callendar,,01,13.0666667,-59.5166667
campaign castle,,03,13.1166667,-59.5166667
canefield,,06,13.2,-59.5833333
cane vale,,01,13.05,-59.5333333
cane wood,,11,13.15,-59.5833333
carlton,,04,13.2166667,-59.6333333
carrington,,10,13.1166667,-59.4833333
carrington,,11,13.1833333,-59.5666667
carter,,05,13.1833333,-59.5
castle,,09,13.2666667,-59.6
castle grant,,06,13.2,-59.55
cattlewash,,02,13.2166667,-59.5333333
cave hill,,07,13.3,-59.5833333
cave hill,,08,13.1333333,-59.6166667
chance hall,,07,13.3166667,-59.6
chancery lane,,01,13.0666667,-59.5
chapman,,11,13.1833333,-59.5666667
charnocks,,01,13.0833333,-59.5
