names,population,state_code,lat,lon
abad chandipur,,82,22.2833333,89.1666667
abadpur,,83,24.8333333,88.8833333
abaipur,,81,23.6,89.3333333
abari,,81,23.8666667,88.9
abdalpur,,81,24.1666667,88.85
abdalpur,,83,24.7333333,88.45
abdanpur,,81,24.5333333,88.9333333
abdul beparir kandi,,81,23.35,90.35
abdulgani maliat,,81,23.7666667,89.4666667
abdulkhali,,82,22.3666667,89.0333333
abdul khana,,81,24.05,90.7333333
abdullabad,,81,23.4166667,90.0666667
abdullahbad,,81,23.4166667,90.0666667
abdullahpur,,80,22.8166667,91.0833333
abdullapur,,80,22.8166667,91.0833333
abdullapur,,81,23.55,90.4833333
abdullapur,,83,24.8666667,89.0
abdullapur,,85,22.9166667,91.0
abdullapur,,86,24.3833333,91.1666667
abdullapur banati,,81,24.55,90.8166667
abdulpur,,81,24.25,88.9833333
abdulpur,,82,23.2333333,89.15
abdulpur,,83,24.7333333,88.45
abdupur,,83,24.8333333,88.8833333
abedpur,,83,24.95,89.0666667
abhaya,,83,24.5166667,88.3166667
abhaynagar,42658,82,23.0166667,89.4666667
abhaynil,,84,22.5833333,90.2833333
abhaypara,,80,23.4,90.8666667
abhiram,,83,25.8166667,89.2
abhirampur,,80,22.95,91.0166667
abhirampur,,83,25.2333333,89.3666667
abhirampur,,85,22.85,90.9833333
abhirkhil,,85,22.95,90.8833333
abhoypara,,80,23.4,90.8666667
abidhara,,81,23.6666667,90.0166667
abidpara,,81,24.6833333,88.8166667
abidpur,,80,23.5166667,91.0666667
abilanda,,83,24.55,88.3666667
abirerpara,,83,25.2666667,89.25
abirnagar,,85,22.9166667,90.85
abirnagr,,85,22.9166667,90.85
abirpara,,80,22.9833333,91.0
abjalpur,,83,25.6166667,89.25
ablakpur,,82,24.4,88.5
abpasa,,81,24.7833333,90.8166667
abudia,,81,24.5333333,89.55
abupur,,81,23.0,90.4333333
abura,,81,23.25,90.3
aburi,,81,23.8666667,88.9
aburkandi,,80,23.4333333,90.6666667
abu said,,81,23.9333333,90.1
abutorabnagar,,85,23.0666667,90.9833333
achaichaila,,80,23.3252778,90.7586111
achalchhila,,80,23.3252778,90.7586111
achargaon,,81,24.55,90.7333333
acharjeepur,,81,23.65,89.6
acharjyapur,,81,23.65,89.6
achhabhaya,,81,24.5166667,90.9166667
achhadnagar,,80,23.5166667,90.95
achhadnagar,,81,24.1666667,90.7
achhadnasar,,80,23.7833333,90.8
achhanulla munshir kandi,,81,23.35,90.3666667
achhanulla munsir kandi,,81,23.35,90.3666667
achhim patuli,,81,24.5333333,90.3
achinghat,,81,24.5333333,88.7166667
achintanagar,,81,23.55,89.2833333
achintapur,,81,24.75,90.6333333
achintyanagar,,81,23.55,89.2833333
achmita,,81,24.2666667,90.7833333
achra,,81,24.5833333,90.1166667
achura,,81,23.2333333,90.3833333
adaba chak,,81,23.7666667,90.3666667
adabai,,81,23.9666667,90.4333333
adabaria,,81,23.8,89.1666667
adabaria,,84,22.2166667,90.1833333
adakhola,,84,22.5166667,90.15
adalatpur,,82,22.5333333,89.1666667
adalpur,,83,25.6,89.2833333
adam durgapur,,83,24.85,88.9666667
adam manirabad,,81,23.3166667,90.5
adampur,,80,23.2833333,91.1666667
adampur,,81,23.1833333,90.1333333
adampur manoharpur,,81,24.25,90.7833333
adarpara,,82,24.4333333,88.4
adasan,,81,23.1166667,90.4
adda,,80,23.35,90.9833333
adgatia,,81,23.9833333,90.75
adhaipur,,83,24.9833333,88.95
adhara,,80,23.3833333,90.7833333
adhara,,81,23.45,90.5333333
adhepasa,,81,23.9666667,90.3666667
