names,population,state_code,lat,lon
aaigem,,08,50.883333,3.933333
aalbeke,,09,50.783333,3.216667
aalbroek,,08,50.933333,3.666667
aalst,,02,50.766667,4.866667
aalst,,05,50.783333,5.2
aalst,77534,08,50.933333,4.033333
aalst-saint pierre,,08,51.033333,3.7
aalst sint-pieter,,08,51.033333,3.7
aaltebei,,08,51.1,3.5
aalter,18802,08,51.083333,3.45
aalterbei,,08,51.1,3.5
aalterburg,,08,51.1,3.433333
aan de bunders,,05,50.933333,5.233333
aan de kippen,,05,51.15,5.466667
aan de luyssen,,05,51.183333,5.633333
aan den nieuwen vijver,,05,50.983333,5.283333
aan den steenoven,,05,51.05,5.3
aan de steenoven,,05,51.05,5.3
aan de vreenen,,05,51.1,5.433333
aan de vrenen,,05,51.1,5.433333
aan de wolfsberg,,05,51,5.483333
aan 't holven,,05,51.05,5.616667
aan 't hoolven,,05,51.05,5.616667
aard,,01,51.416667,4.716667
aardappelhoek,,09,50.95,3.15
aard en hemelrijksche heide,,01,51.4,4.733333
aard en hemelrijkseheide,,01,51.4,4.733333
aardenweg,,02,50.966667,5.066667
aarle,,01,51.483333,5.016667
aarlen,,06,49.683333,5.816667
aarschot,27656,02,50.983333,4.833333
aarsele,,09,51,3.416667
aars houw,,05,51.05,5.633333
aart,,01,51.2,4.983333
aart,,08,50.983333,4.066667
aartrijke,,09,51.116667,3.083333
aartselaar,14193,01,51.133333,4.383333
aartshouw,,05,51.05,5.633333
aat,,03,50.633333,3.783333
abbaye d' aulne,,03,50.35,4.316667
abbaye de la trappe,,05,51.3,5.483333
abbaye d'orval,,06,49.65,5.35
abdeneyk,,05,51.1,5.8
abee,,04,50.466667,5.35
abeelbroekstraat,,08,51.066667,3.783333
abeele,,09,50.816667,2.666667
abeelhoek,,09,50.85,3.283333
abeiche,,02,50.7,4.366667
abele,,09,50.816667,2.666667
abime,,07,50.266667,5.233333
abolens,,04,50.666667,5.15
abtsul,,09,50.883333,3.283333
achel,,05,51.25,5.483333
achene,,07,50.266667,5.05
achenfosse,,02,50.7,4.183333
achet,,07,50.333333,5.183333
a chinecha,,06,49.983333,5.816667
achonfosse,,02,50.7,4.183333
achouffe,,06,50.15,5.75
achtel,,01,51.383333,4.766667
achtendries,,08,51.066667,3.8
achtendriesch,,08,51.066667,3.8
achterbist,,01,51.166667,4.633333
achterbos,,01,51.2,5.1
achterbosch,,01,51.2,5.1
achterbroek,,01,51.4,4.483333
achter den berg,,02,50.883333,4.55
achter-den-bergh,,02,50.883333,4.55
achter den houw,,05,51.05,5.65
achter den kraanberg,,05,51.066667,5.35
achterheide,,01,51.05,4.266667
achterheide,,02,50.916667,4.983333
achterheide-asdonk,,05,51.033333,5.033333
achter het heiderveld,,05,51.016667,5.566667
achterhoek,,01,51.133333,4.666667
achterhoek,,05,51.233333,5.533333
achterhoek,,08,51.183333,3.883333
achterhoek,,09,50.783333,3.366667
achterle,,01,51.216667,4.866667
achterlee,,01,51.216667,4.866667
achter olen,,01,51.166667,4.9
achter-oolen,,01,51.166667,4.9
achterrot,,01,51.183333,4.483333
achterste hostie,,05,51.2,5.5
achtersten-hostie,,05,51.2,5.5
achter weert,,01,51.1,4.183333
a clapette,,07,50.516667,4.766667
acosse,,04,50.6,5.05
acoz,,03,50.35,4.516667
acremont,,06,49.9,5.216667
adegem,,08,51.2,3.483333
adesberg,,04,50.346389,6.170556
adijk,,08,50.816667,3.816667
adinkerke,,09,51.066667,2.6
adseux,,04,50.533333,5.733333
aelbeke,,09,50.783333,3.216667
aelst,,02,50.766667,4.866667
aelst,,05,50.783333,5.2
aeltebey,,08,51.1,3.5
aeltre,,08,51.083333,3.45
aeltrebrugge,,08,51.1,3.433333
aerd-appelhoek,,09,50.95,3.15
aerle,,01,51.483333,5.016667
aerschot,,02,50.983333,4.833333
aerseele,,09,51,3.416667
aertrycke,,09,51.116667,3.083333
aertselaer,,01,51.133333,4.383333
a faihay,,06,50.216667,5.5
affnay,,04,50.733333,5.766667
afnai,,04,50.733333,5.766667
afnay,,04,50.733333,5.766667
afsne,,08,51.033333,3.666667
afsnee,,08,51.033333,3.666667
afst,,04,50.333333,6.383333
agimont,,07,50.166667,4.8
aheree,,07,50.316667,4.483333
ahin,,04,50.516667,5.216667
aiby,,07,50.25,4.35
aillemont,,03,50.716667,3.716667
aineffe,,04,50.616667,5.266667
ainieres,,03,50.7,3.55
aische,,07,50.6,4.816667
aische-en-refail,,07,50.6,4.816667
aiseau,,03,50.416667,4.583333
aisemont,,02,50.716667,4.616667
aisemont,,07,50.4,4.65
aisne,,06,50.35,5.55
aisomont,,04,50.361667,5.904444
aissomont,,04,50.361667,5.904444
aix-sur-cloix,,06,49.583333,5.783333
akker,,08,51.2,3.833333
akkerhoek,,09,51.016667,3.133333
akkerhoofd,,08,51.083333,4.166667
akkerstraat,,05,51.083333,5.716667
akkerstraat,,09,51.166667,3.333333
akkerveke,,01,51.383333,4.55
akselwal,,08,50.9,3.633333
akselwalle,,08,50.9,3.633333
akspoel,,09,51.066667,3.4
a la chaire,,06,50.083333,5.85
a-la-fange-botte,,06,50.166667,5.433333
a l' assaint,,06,50.3,5.866667
a la vieille rochette,,06,49.933333,5.25
al beyoule,,06,50.166667,5.333333
alden-eijck,,05,51.1,5.8
alden eik,,05,51.1,5.8
alden-eyck,,05,51.1,5.8
aldenhof,,05,50.95,5.283333
aldringen,,04,50.221111,6.022778
alfelaar,,01,51.1,4.666667
alfersteg,,04,50.260278,6.208611
al gloriette,,06,50.183333,5.433333
al hesse,,04,50.283333,5.85
alhez,,06,50.033333,5.816667
alhoumont,,06,50.116667,5.816667
alken,10933,05,50.866667,5.3
allain,,03,50.6,3.4
alle,,07,49.85,4.966667
allemont,,03,50.716667,3.716667
alleur,,04,50.683333,5.5
allierscheheide,,01,51.15,4.566667
allierseheide,,01,51.15,4.566667
al' linguette,,06,50.05,5.333333
allmuhten,,04,50.35,6.383333
allmuten,,04,50.35,6.383333
allmuthen,,04,50.35,6.383333
almache,,06,49.866667,5.1
alnoir,,07,50.466667,4.633333
alost,,08,50.933333,4.033333
alphelaar,,01,51.1,4.666667
alphelaer,,01,51.1,4.666667
al' saute,,06,50.033333,5.366667
alsberg,,02,50.933333,4.883333
alsemberg,,02,50.733333,4.316667
alsput,,02,50.75,4.233333
alster,,04,50.210833,6.125
altembroek,,04,50.766667,5.783333
altembrouck,,04,50.766667,5.783333
altenbrouck,,04,50.766667,5.783333
alt hattlich,,04,50.566667,6.133333
altiaux,,02,50.566667,4.6
altiere,,03,50.616667,3.55
altieres,,03,50.616667,3.55
alvaux,,07,50.333333,5.15
alveaux,,07,50.55,4.816667
alveringem,4910,09,51.016667,2.716667
alveringhem,,09,51.016667,2.716667
al'vove,,03,50.566667,3.8
alzemont,,02,50.6,4.35
am adesberg,,04,50.346389,6.170556
a marfontaine,,06,49.866667,5.5
amas,,04,50.4,5.4
a massehottee,,06,50.25,5.75
amay,13307,04,50.55,5.316667
amberloup,,06,50.033333,5.533333
ambleve,,04,50.35,6.15
ambly,,07,50.15,5.316667
ambresin,,04,50.633333,5.033333
ambresinaux,,04,50.633333,5.033333
amel,5221,04,50.35,6.15
amelscheid,,04,50.276667,6.2575
amelsdorp,,05,50.866667,5.55
amercoeur,,04,50.633333,5.583333
america,,09,50.8,3.033333
amerika,,09,50.8,3.033333
amermont,,04,50.416667,5.933333
amersveld,,09,51,2.983333
amersvelde,,09,51,2.983333
am kreuz,,04,50.366667,6.133333
amon delbroucq,,04,50.666667,5.55
amonines,,06,50.266667,5.566667
amougies,,03,50.75,3.483333
ampsin,,04,50.533333,5.283333
amry,,04,50.733333,5.633333
am stein,,04,50.347778,6.128333
ancienne abbaye d'aulne,,03,50.35,4.316667
ancien vivier,,04,50.533333,6.033333
