names,population,state_code,lat,lon
abanga,,38,13.3333333,0.3166667
aberekui,,63,12.5,-3.4166667
abra,,15,13.7666667,-1.4833333
abra,,37,13.1,-1.35
absendo,,16,12.1166667,-1.7833333
absouma,,24,12.4258333,-1.4358333
absouya,,32,12.64,-1.0555556
adjan,,24,11.7833333,-2.3833333
adoudji,,38,13.8333333,-0.3666667
afini,,42,12.35,1.8833333
ahkoudewe,,42,12.4833333,1.8166667
akoundel,,38,13.95,0.3666667
aladiou,,40,14.05,-0.9333333
alaga,,37,13.0166667,-0.95
alale,,38,13.7666667,-0.05
alale,,40,13.8833333,-1.4333333
alamini,,15,13.8666667,-1.5666667
alamou,,37,13.45,-1.1166667
alana,,61,10.6333333,-5.1
alapera,,67,9.7833333,-3.05
alfire,,30,13.2166667,-0.6166667
aligaga,,38,13.7666667,0.4
alkoma,,38,14.2666667,0.0666667
alkousiri,,21,13.0333333,0.0
almande,,21,13.0166667,0.2333333
alobiga,,31,11.0,-0.9166667
alondi,,42,12.6333333,1.4666667
alondigwena,,22,12.0333333,0.9333333
alora,,40,14.0666667,-0.85
alouba,,22,12.05,0.9666667
amdalay,,40,14.2333333,-1.95
amene,,76,13.9833333,-2.55
amenekui,,46,12.4833333,-3.9833333
aminbiri,,67,9.9333333,-3.1
amvo,,40,14.1333333,-0.8666667
anaga,,42,12.4333333,2.2333333
anbarkoura,,69,10.0666667,-3.1833333
andekanda,,62,13.9666667,-2.25
andemtenga,,28,12.3241667,-0.3091667
andem yarse,,32,12.75,-1.2166667
andeulay,,38,13.0833333,0.65
anekui,,74,11.8166667,-3.6833333
ankouma,,37,13.7333333,-0.75
ankouna,,37,13.7333333,-0.75
ankuna,,37,13.7333333,-0.75
ansolma,,62,13.6833333,-2.1833333
ansouara,,37,12.9333333,-0.65
ansouri,,15,13.3166667,-1.7666667
antia,,38,13.45,-0.0666667
antoa,,37,12.9166667,-0.9666667
antoua,,37,12.9166667,-0.9666667
aoreama,,76,13.6666667,-2.3333333
aoura,,38,13.15,0.9333333
aourema,,58,13.3333333,-3.9166667
ara,,40,14.3166667,-0.9333333
arakora,,69,10.2,-3.3333333
aranboura,,67,10.0333333,-3.1
arbete,,76,13.8333333,-2.5833333
arbolle,,34,12.85,-2.05
aribinda,,40,14.2325,-0.8663889
ariblana,,54,10.9166667,-5.0666667
arly,,22,11.5833333,1.4666667
arofo,,37,13.1333333,-1.3833333
arouesma,,37,13.1,-1.2666667
assio,,45,11.6666667,-3.1333333
attoum,,48,10.6333333,-2.9833333
atyeri,,21,12.8833333,0.25
atyoungbana,,22,12.05,0.9333333
avogonia,,31,11.0,-1.1333333
ayaraba,,37,12.8,-1.0666667
ayoubakolon,,58,12.6333333,-4.0833333
aziga,,24,11.8666667,-2.3666667
baa,,45,12.0833333,-3.2333333
ba,,51,11.2833333,-3.9833333
ba,,58,13.35,-4.0166667
babanloua,,50,12.0333333,0.5166667
babe,,32,12.7166667,-1.5
babeden,,64,12.9166667,-0.4666667
babedo,,16,11.9833333,-1.5833333
babere,,21,12.95,0.0666667
babereke,,70,13.15,-1.0333333
babie,,48,10.6833333,-3.0166667
babie,,69,10.3166667,-3.9166667
babieteoun,,67,9.8166667,-2.75
babirka,,38,13.8,-0.15
babo,,40,13.85,-1.9
babonga,,38,13.1166667,0.6
babouadi,,21,12.9833333,0.4333333
babou,,32,12.8833333,-1.5833333
baboura,,69,10.0666667,-3.85
bacibedo,,22,11.7333333,-0.1666667
bada,,21,13.15,0.3833333
badabiessan,,31,11.05,-0.9333333
badala,,51,11.3833333,-4.3666667
badalougou,,21,12.8,-0.2166667
badara,,48,10.7833333,-3.8166667
badara,,61,10.4666667,-5.0833333
badedsi,,42,12.5,1.6
badema,,18,11.1833333,-0.3166667
badema,,51,11.65,-4.25
badena,,51,11.65,-4.25
badet,,51,10.45,-4.1
badiere,,52,11.2,-3.1666667
badigna,,46,12.3666667,-4.2
badinga,,22,12.0833333,0.6833333
badinga,,46,12.3666667,-4.2
badinogo,,15,13.3333333,-1.6
badinogo,,20,12.5833333,-0.7
badinogou,,40,14.0666667,-1.6166667
badnogo,,16,11.8833333,-1.4166667
badnogo,,20,12.1333333,-0.5
badnogo,,24,12.2705556,-1.3661111
badnogo,,37,13.5833333,-0.8833333
badnogo,,64,12.9666667,-0.5
badnogo i,,24,12.4666667,-1.3
badnogo ii,,24,12.2705556,-1.3661111
bado,,18,11.6333333,-0.45
bado,,22,12.5,0.6
badongo,,31,11.1833333,-0.9666667
badongo,,65,11.1166667,-1.1666667
badora,,69,10.3,-3.0333333
badore,,21,12.9833333,-0.1333333
badorio,,62,13.7666667,-2.1166667
badougou,,18,11.1166667,-0.6166667
bafele,,38,14.0666667,0.0333333
bafina,,37,13.6833333,-0.9833333
baforo,,52,11.0333333,-3.1
bagaben,,24,12.1072222,-1.5097222
bagaben,,37,12.8,-0.8
bagade,,30,13.0333333,-0.5333333
bagadogo,,16,11.9,-1.3666667
bagadogo,,37,12.8833333,-0.8333333
bagadowoegen,,19,12.3,-1.8
bagahanba,,42,12.15,1.8166667
bagala,,58,12.6,-3.8333333
bagammssi,,44,11.7833333,-1.1
bagamnini,,16,12.0141667,-1.55
bagande,,64,12.85,-0.35
bagane,,19,12.0333333,-2.3166667
bagane,,48,10.9666667,-3.05
bagane,,52,11.2,-3.1833333
bagarao,,24,12.2563889,-1.6886111
bagare,,15,13.45,-1.4833333
bagare,,32,12.9166667,-2.6
bagare,,78,13.3,-2.35
bagari,,42,12.1333333,1.85
bagassi,,74,11.75,-3.3
bagata,,39,11.7669444,-1.8497222
bagayiri,,24,12.4772222,-1.2716667
bagbanano,,48,10.6833333,-3.15
bagbanao,,48,10.6833333,-3.15
bagbili,,20,12.2,-0.6166667
bageou,,24,12.2,-2.9
bagere,,32,12.5333333,-1.3666667
baghelogo,,76,13.5833333,-2.3333333
bagou,,22,12.3166667,0.3666667
bagou,,39,11.2833333,-2.2333333
bagoude,,64,12.85,-0.35
bagouedara,,69,10.0833333,-3.9166667
bagouoko,,78,13.4333333,-2.2166667
bagouzia,,39,11.2833333,-2.1833333
bagozougou,,32,12.4166667,-2.1666667
bagpelogo,,16,11.8833333,-1.6333333
bagpelogo,,44,11.7166667,-1.2166667
bagre,,32,12.5333333,-1.3666667
bagsalogo,,37,13.4138889,-1.0558333
bagtogodo,,24,12.2152778,-1.5683333
baguemnini,,16,12.0141667,-1.55
baguera,,61,10.5333333,-5.4166667
baguere,,32,12.5333333,-1.3666667
baguiomo,,19,12.0666667,-2.55
bahamaka,,15,13.5166667,-1.6833333
baham,,38,13.65,0.7
bahanere,,20,12.4,-0.25
bahara,,37,12.7333333,-0.9
bahiti,,45,11.85,-3.1666667
bahniaga,,21,13.1166667,-0.1166667
bahon,,74,11.4833333,-3.7666667
bahoun,,74,11.4833333,-3.7666667
baimbaiga,,18,11.1666667,-0.4166667
baka,,20,12.25,-0.4166667
bakara,,52,11.2,-3.0166667
bakaribotegou,,54,11.05,-5.1166667
bakaribougou,,54,11.05,-5.1166667
bakaridougou,,54,11.05,-5.1166667
bakata,,39,11.7669444,-1.8497222
bakel,,69,10.5833333,-3.2333333
bakiensom,,24,12.2991667,-1.6125
bakina,,48,10.6166667,-3.4166667
bakloute,,30,13.1666667,-0.4
bako,,20,12.2833333,-0.7166667
bako,,32,12.75,-1.8666667
bakogo,,44,11.6,-1.15
bakono,,69,10.35,-3.1666667
bakonorisso,,46,11.8833333,-4.2166667
bakori,,69,10.3,-2.8333333
bakotinga,,52,11.0666667,-2.7166667
bakotou,,38,13.2666667,0.5166667
bakotourou,,39,11.0833333,-2.6333333
bakouani,,54,11.1333333,-5.2
bakou,,43,13.3833333,-2.0
bakoui,,34,13.0166667,-1.6333333
bakoulena,,69,10.3333333,-3.1
bakoumba,,20,12.25,-0.65
bakoun,,67,9.9666667,-2.9
bakounbila,,32,12.65,-1.25
bakoute,,51,10.4166667,-4.0166667
bakouyo,,24,11.3666667,-2.5833333
bakpara,,69,10.5666667,-3.1666667
bala,,51,11.5,-4.0833333
bala,,67,10.1166667,-2.9166667
balabessanko,,20,12.0833333,-0.2833333
balam,,45,11.85,-2.95
balambalo,,24,12.0947222,-1.5916667
balandagou,,38,13.9333333,0.1833333
balangadi,,22,10.9666667,0.55
balanti,,69,10.3666667,-3.3333333
balao,,45,11.85,-2.95
balave,,46,12.3833333,-4.15
balaye,,46,12.3833333,-4.15
balbara,,69,10.5666667,-2.95
balbou,,37,13.3333333,-1.2666667
bale,,21,13.3333333,0.1
bale,,30,13.7,-0.6166667
bale,,38,13.3833333,0.1333333
balegogo,,69,10.1833333,-4.0333333
balel,,38,13.7333333,-0.2666667
balel,,69,10.5833333,-3.2333333
balemba,,21,13.0666667,0.0
balemyoure,,20,12.1,-0.5833333
balga,,22,12.2166667,0.2
balingara,,69,10.2166667,-3.15
baliniar,,48,10.8,-3.2166667
balinsera,,67,9.85,-3.0166667
balkoui,,24,12.2997222,-1.4508333
balkouin,,24,12.2997222,-1.4508333
balmen,,20,12.1666667,-0.4166667
balo,,19,12.5152778,-1.9327778
balo,,34,13.0,-2.3333333
balogo,,39,11.4166667,-1.5333333
baloko,,18,11.15,-0.0166667
balole,,24,12.2961111,-1.7461111
balonge,,24,12.0394444,-1.6730556
balongen,,24,12.05,-1.4972222
balongodouo,,69,10.2333333,-3.2333333
balonguen,,22,12.05,-0.2
balonguen,,24,12.05,-1.4972222
balonza,,76,13.5333333,-2.5833333
baloum,,52,11.0333333,-3.1
bama,,15,13.3666667,-1.5166667
bama,,46,12.0333333,-4.4
bama,,51,11.3833333,-4.4166667
bama,,54,11.0333333,-5.2833333
bamako,,48,10.9333333,-3.3333333
bamako,,55,10.55,-4.45
bambako,,48,10.9333333,-3.3333333
bam,,15,13.3666667,-1.5166667
bambara,,78,13.3666667,-2.7833333
bambe,,46,12.0333333,-4.6166667
bambeni,,38,13.3333333,0.4
bamble,,30,13.6666667,-0.35
bambori,,75,13.45,0.5
bamdekiri,,21,13.05,-0.0666667
bamena,,67,9.8166667,-2.95
bamena,,69,10.4666667,-3.3166667
bamga,,38,13.8833333,-0.0833333
bamgue,,38,13.6833333,-0.2
bamguel,,40,14.2666667,-0.8
bamgueul ndao,,38,14.2,0.35
bamguil,,42,12.45,1.7833333
bamilare,,21,13.2166667,0.1833333
bamilari,,21,13.2166667,0.1833333
bammilari,,21,13.2166667,0.1833333
bamparou,,75,13.4833333,0.6
bana,,38,13.2333333,0.75
bana,,44,11.7,-1.0166667
bana,,51,11.2333333,-4.4666667
bana,,63,12.6,-3.4833333
bana,,74,11.9166667,-3.3833333
banahari,,21,12.5166667,-0.0666667
banana,,58,13.3333333,-4.05
bananba,,67,9.8166667,-2.8833333
banankeledara,,51,11.3166667,-4.3333333
banankoro,,54,11.1833333,-5.1166667
banankoro,,58,13.0333333,-3.9666667
banaorodougou,,51,11.3333333,-4.35
banaouradougou,,51,11.3333333,-4.35
bana sokoura,,74,11.9333333,-3.4
ban,,40,14.0833333,-2.45
ban,,46,12.7,-4.35
banbeou,,69,10.6,-3.15
banbigouabri,,30,13.4,-0.15
banboulo,,48,10.65,-3.1166667
bandaguera,,69,10.1333333,-3.5
bandakelesso,,55,9.8333333,-4.3833333
bandakoro,,55,10.4333333,-4.2833333
bandalon,,19,12.1166667,-2.6166667
banda napoli,,19,12.05,-2.5166667
bandania,,38,13.9333333,-0.2333333
bandatenga,,24,12.4613889,-1.635
bandatenga koui,,24,12.4613889,-1.635
bande,,74,11.4833333,-3.5333333
bandega,,37,13.2833333,-1.1833333
bandekiri,,21,13.05,-0.0666667
bandeo-napone,,19,12.05,-2.5166667
bandeo napore,,19,12.05,-2.5166667
bandiedaga,,38,13.8833333,0.25
bandikirini,,56,12.7666667,0.4
bandio,,74,11.6833333,-3.2666667
bandiosi,,38,13.3166667,0.7166667
bandoue,,45,12.0333333,-3.05
bandougou,,54,10.9666667,-4.8666667
bane,,18,11.15,-0.5
bane,,40,14.0833333,-2.45
banebira,,69,10.4666667,-3.5333333
banega,,45,11.7,-2.6
banemba,,67,9.8166667,-2.8833333
banfare,,52,10.95,-2.9833333
banfora,63883,55,10.6333333,-4.7666667
banfoulague,,54,11.15,-4.7333333
banfoutague,,54,11.15,-4.7333333
bangaba,,38,13.3666667,0.3166667
bangabakha,,38,13.9833333,-0.4
banga,,38,13.2,0.8333333
banga,,63,12.1833333,-3.3
bangala,,62,13.9333333,-2.2666667
bangare,,64,12.85,-0.35
bangasoko,,73,13.3166667,-2.9
bangassago,,73,13.3166667,-2.9
bangasse,,70,13.2,-1.0833333
bangasse,,78,13.1,-2.6
bangassi,,58,12.7666667,-4.1833333
bangassi,,74,11.75,-3.3
bangassoko,,73,13.3166667,-2.9
bangataka,,38,13.9833333,-0.4
bangay,,30,13.0166667,-0.3
bangel,,38,13.2666667,0.4166667
bangnesome,,16,12.05,-1.95
bango,,15,13.3166667,-1.5333333
bango,,76,13.6666667,-2.55
bango mossi,,76,13.65,-2.5333333
bangozougou,,19,12.1666667,-2.4333333
bangre,,24,12.1538889,-1.3283333
bangre,,37,13.0,-1.4166667
bangrezanga,,20,12.25,-0.8166667
