names,population,state_code,lat,lon
abdallar,,46,42.9166667,26.1833333
abdikioy,,61,42.9333333,27.8666667
abdi k'oy,,61,42.9333333,27.8666667
abdi k'y,,61,42.9333333,27.8666667
abdioglu k'oy,,39,42.75,26.7
abdul,,52,43.6,26.8166667
abdulare,,51,42.3166667,24.2833333
abdul kadir,,43,41.6166667,25.6666667
abdulkioi,,52,43.6,26.8166667
abdulrakhmanlar,,61,42.9833333,26.55
ablanica,,46,43.0333333,24.6833333
ablanitsa,,46,43.0313889,24.1127778
ablanitsa,,58,41.5333333,23.9333333
ablaniza,,46,43.0333333,24.6833333
ablaniza,,58,41.5333333,23.9333333
aboba,,61,43.3666667,27.1166667
abrashlare,,51,42.35,25.0833333
abraslare,,51,42.35,25.0833333
abrid,,61,43.9,27.8
abrit,,61,43.9,27.8
abtarazak,,39,42.7333333,27.3
acadanlar,,55,43.8166667,27.15
acangiz,,61,43.7333333,28.5
acbunar,,52,43.85,27.3833333
acbunarul mic,,61,43.7833333,27.4666667
accadanlar,,55,43.8166667,27.15
achijane,,51,41.6166667,25.0666667
achlare,,39,42.5333333,26.9833333
achlari,,39,42.5333333,26.9833333
achmatowo,,51,42.1,25.05
achrjansko,,43,41.6,25.1166667
achtepol,,39,42.1,27.95
achtopol,,39,42.1,27.95
aclare,,39,42.5333333,26.9833333
aclari,,39,42.5333333,26.9833333
aclart,,39,42.5333333,26.9833333
ada chala,,43,41.6666667,25.9333333
ada chalu,,43,41.6666667,25.9333333
ada ibaylu,,43,41.6,25.6666667
ada izir,,43,41.6,25.6833333
adakioj,,52,43.6833333,26.6
adakioy,,51,42.15,24.55
adakioy,,52,43.6833333,26.6
ada k'oy,,43,41.4,25.3833333
ada-k'oy,,43,41.6,25.6833333
adamovo,,46,42.9666667,25.3166667
ada tepe,,43,42.4666667,25.4666667
adlijo,,63,43.8877778,22.5213889
adlye,,63,43.8877778,22.5213889
adumovo,,46,42.9666667,25.3166667
adunkioy,,51,42.0833333,24.4333333
adzar,,51,42.5,25.0166667
adzemler,,61,43.25,27.8166667
adzhar,,51,42.5,25.0166667
adzhemler,,61,43.25,27.8166667
adzhievo,,51,42.1333333,24.45
adzhilare,,51,42.15,24.2833333
adzhiliy,,51,42.2333333,24.2666667
adzhioluk,,43,41.55,25.55
aekioy,,39,42.5333333,26.2666667
aftane,,39,42.4666667,26.8333333
agathopolis,,39,42.1,27.95
agatovo,,46,43.1333333,25.0
agatowo,,46,43.1333333,25.0
agios nikolo,,39,42.45,27.65
aglen,,46,43.2,24.3166667
ahiolo,,39,42.55,27.65
ahmatlar,,52,43.9,26.7333333
ahtapolu,,39,42.1,27.95
ahtopol,857,39,42.1,27.95
aiazlar,,52,43.3166667,26.2833333
aibatkioi,,52,43.8166667,26.9333333
aidanbet,,61,43.75,27.9666667
aidan-ciufa,,61,43.55,27.9333333
aidantschucha,,61,43.55,27.9333333
aidenur,,52,44.1,27.1666667
aidinevo,,51,42.0833333,24.4333333
aidogdu,,52,44.0,26.9666667
aidordu,,61,43.5833333,27.0
aievo,,51,42.65,24.7333333
aimcha,,46,43.2166667,25.2
aiorman,,61,43.4833333,28.25
aiten,,61,43.8166667,27.9
aitos,,39,42.7,27.25
aivadzhik,,51,42.45,24.3833333
aivadzhik,,61,42.8666667,27.7166667
aivadzik,,39,42.4,27.1666667
aivadzik,,61,42.8666667,27.7166667
aivala,,43,41.3833333,25.75
aivatchioi,,52,43.8166667,26.9333333
ajazlar,,52,43.3166667,26.2833333
ajdinovo,,51,42.0833333,24.4333333
aj-dogdu,,61,43.5833333,27.0
aj-orman,,61,43.4833333,27.8666667
ajrowo,,43,41.6166667,25.3666667
ajtos,21177,39,42.7,27.25
ajvadzik,,39,42.4,27.1666667
ajvali,,43,41.3833333,25.75
ajwas,,43,41.4,25.3666667
akalan,,43,41.45,26.15
akandshiewo,,51,42.25,24.05
akandshii,,61,43.7333333,28.5
akandzhi,,61,43.1166667,27.75
akandzhievo,,51,42.25,24.05
akandzhii,,61,43.1166667,27.75
akandzhilari,,46,43.05,24.9666667
akandzhiovo,,51,42.25,24.05
akatsievo,,47,44.0144444,22.8072222
ak baba,,61,43.3666667,27.1166667
ak bash balya,,43,41.6666667,25.8333333
ak bash zir,,43,41.6833333,25.8333333
ak bounar,,39,42.3166667,26.4333333
ak-bunar,,39,42.3166667,26.4333333
ak bunar,,39,42.3,26.1666667
ak-bunar,,43,41.55,25.0833333
ak bunar,,43,41.65,25.6333333
ak bunar,,52,43.85,27.3833333
akcar,,46,43.4666667,25.4166667
akcar,,63,43.8111111,22.9183333
akcha alan,,43,41.5166667,25.8166667
akchaer,,46,43.4666667,25.4166667
akcha kayryak,,43,41.7666667,25.4333333
akchar,,46,43.4666667,25.4166667
akchar,,63,43.8111111,22.9183333
akchayar,,46,43.4666667,25.4166667
akche ibram,,43,42.0666667,25.7166667
akche ibryam,,43,42.0666667,25.7166667
akchelar,,52,43.65,26.9666667
akchilar,,52,43.65,26.9666667
akcr,,63,43.8111111,22.9183333
ak dere,,51,41.4833333,24.8333333
ak dere,,61,42.8833333,27.8833333
ak dere eni makhle,,61,43.0,26.7333333
aker,,43,42.2333333,25.95
akezlii,,39,42.4,27.2666667
akhaliy,,51,42.1333333,25.05
akhat-baba,,43,41.5666667,25.5666667
akhatla,,43,41.45,25.3833333
akhatlar kebir,,51,41.7166667,25.0333333
akhatlar segair,,51,41.6833333,25.0666667
akhchilar,,43,41.5,25.3166667
akheloy,,39,42.65,27.65
akhievo,,43,42.3166667,25.6833333
akhillo,,39,42.55,27.65
akhilu,,39,42.55,27.65
akhiolo,,39,42.55,27.65
akhlan,,51,42.0833333,24.75
akhlan'ovo,,51,42.0833333,24.75
akhlar,,61,43.5,26.9333333
akhlatlii,,39,42.2,26.9333333
akhli,,39,42.7666667,27.4666667
akhlii,,39,42.7666667,27.4666667
akhliy,,39,42.7666667,27.4666667
akhmach,,52,43.5166667,26.65
akhmachevo,,39,42.7,27.0166667
akhmak,,52,43.5166667,26.65
akhmatlar,,43,41.6,25.2666667
akhmatlar,,52,43.9,26.7333333
akhmatovo,,51,42.1,25.05
akhmed dere,,43,41.45,25.2833333
akhmedlii,,46,42.95,26.0666667
akhmed slakhi,,43,41.5333333,25.3666667
akhrenlii,,39,42.4,27.45
akhryane,,51,41.6166667,25.0666667
akhryan eredzhek,,43,41.6,25.1166667
akhryansko,,43,41.6,25.1166667
akhryan yurpek,,51,41.6166667,25.0666667
akhtebol,,39,42.1,27.95
akhtopol,,39,42.1,27.95
akhurito,,43,42.35,25.6666667
akhur k'oy,,61,43.25,27.5
akjar,,61,43.05,27.1
akkadanlar,,55,43.8166667,27.15
ak-kadunlar,,55,43.8166667,27.15
ak koyun,,61,43.3833333,27.4833333
ak mekhmedi,,52,43.3,26.4666667
akmekhmedkioy,,52,43.3,26.4666667
akrianu,,39,42.3833333,27.3833333
aksakov,,61,43.25,27.8166667
aksakovo,,61,43.25,27.8166667
aksakowo,,61,43.25,27.8166667
aktchar,,46,43.4666667,25.4166667
akundzhii,,61,43.7333333,28.5
akur,,61,43.05,27.1
ak yar,,61,43.05,27.1
alabashevo,,43,42.2666667,25.2333333
alaclise,,61,43.4166667,28.0166667
aladaa,,43,41.85,26.2
aladaalii,,43,42.1,25.7833333
aladaaliy,,43,42.1,25.7833333
aladag,,43,41.85,26.2
aladaglii,,39,42.5833333,26.35
ala daglii,,43,41.85,26.2
aladagliy,,39,42.6333333,26.8
aladanlii,,46,43.0166667,24.7
aladun,,43,41.4666667,25.45
aladzhalii,,43,42.25,25.75
aladzhaliy,,43,42.25,25.75
