names,population,state_code,lat,lon
bahanza,,14,-3.0169444,30.1366667
bake,,21,-3.5338889,30.1730556
bamba,,09,-2.9891667,29.4144444
banda,,10,-3.775,29.6261111
banda,,14,-3.1533333,30.1694444
banda,,17,-4.4416667,29.6677778
banga,,15,-3.1416667,29.6277778
bangwe,,17,-4.3227778,29.5908333
banza,,10,-3.8144444,29.6972222
bariza,,05,-3.5777778,29.6163889
batsimba,,20,-3.6830556,30.2111111
bavumu,,18,-2.8286111,30.3580556
baziro,,10,-3.6519444,29.6327778
bidumu,,15,-2.9538889,29.7594444
bigabiro,,21,-3.4525,30.1497222
bigera,,10,-3.735,29.6313889
bigeri,,12,-2.8283333,29.3213889
bigina,,17,-4.2308333,30.0375
bigombo,,21,-3.335,30.4719444
bigugo,,05,-3.5947222,29.7425
bigugo,,14,-3.2719444,30.1575
bigugo,,15,-3.1408333,29.8113889
bigugo,,20,-3.9102778,29.98
bihahe,,13,-3.6791667,29.9080556
bihanga,,11,-3.1636111,30.5955556
bihari,,10,-3.8416667,29.6855556
bihemba,,18,-2.4908333,30.5008333
bihembe,,09,-3.0572222,29.3130556
bihembe,,20,-3.7258333,30.0508333
bihogana,,14,-3.1261111,30.0319444
bihoge,,11,-3.2683333,30.5683333
bihomvora,,05,-3.5863889,29.7791667
bihororo,,21,-3.475,30.0913889
bikanka,,02,-3.5491667,29.5613889
bikingi,,17,-4.1883333,29.99
bikobe,,17,-4.3455556,29.7961111
bikobe,,21,-3.4972222,30.3161111
binyura,,10,-4.0541667,29.6241667
binyuro,,10,-4.0541667,29.6241667
birambi,,19,-2.7875,29.9013889
birayi,,02,-3.5675,29.4411111
birayi,,16,-2.6,30.1402778
bisenga,,21,-3.5763889,30.1575
bishikuzi,,21,-3.4758333,30.1172222
bishuri,,19,-2.7413889,29.9002778
bisibe,,18,-2.8980556,30.3391667
bisiza,,12,-2.8463889,29.3663889
bisoro,,05,-3.5861111,29.6708333
bisoro,,17,-4.1161111,29.96
bitaka,,13,-3.5436111,29.9319444
bitare,,10,-3.8191667,29.3616667
bitare,,12,-2.9197222,29.3505556
bitare,,13,-3.2333333,29.9138889
bitenga,,19,-2.8913889,29.8402778
bogogwa,,17,-4.3361111,29.6052778
bona,,02,-3.3461111,29.48
bubanga,,18,-3.0472222,30.2955556
bubanza,12728,09,-3.0833333,29.3944444
bubenga,,12,-2.9138889,29.4438889
bubenga,,13,-3.4486111,29.8966667
bubu,,05,-3.2272222,29.6738889
bucarenga,,18,-3.1366667,30.3141667
bucuzi,,12,-2.9108333,29.1922222
budahuga,,11,-2.9908333,30.5961111
budida,,13,-3.5488889,29.9033333
bugabira,,16,-2.5305556,30.0722222
bugabiro,,11,-3.2061111,30.5919444
buganda,,12,-2.9666667,29.1930556
buganuka,,19,-3.0447222,29.9530556
bugarama,,05,-3.2916667,29.5458333
bugarama,,13,-3.3791667,29.8794444
bugarama,,20,-3.9297222,30.1544444
bugarure,,16,-2.6002778,30.0863889
bugendana,,13,-3.2333333,29.9138889
bugeni,,17,-4.1825,29.6066667
bugenyuzi,,14,-3.0969444,30.0625
bugogo,,21,-3.4080556,30.3855556
bugoma,,18,-2.4333333,30.4305556
bugomora,,18,-2.8655556,30.2952778
bugondo,,20,-3.8077778,30.2205556
bugorora,,16,-2.655,30.2911111
buhana,,10,-3.7855556,29.6558333
buhanda,,15,-3.0652778,29.6780556
buhanda,,19,-3.0175,29.9744444
buhanza,,10,-3.7422222,29.3433333
buhasa,,14,-2.9883333,30.2608333
buheranyi,,18,-3.095,30.3072222
buhevyi,,13,-3.575,30.0272222
buhevyi,,14,-3.0383333,29.9808333
buhevyi,,21,-3.2561111,30.3805556
buhiga,,14,-3.0305556,30.1602778
buhiga,,21,-3.3680556,30.3694444
buhigwa,,21,-3.3611111,30.1158333
buhigwe,,21,-3.3611111,30.1158333
buhinda,,13,-3.6086111,30.0863889
buhinda,,14,-3.0641667,30.2075
buhinda,,21,-3.4294444,30.6030556
buhinyuza,,13,-3.765,29.8805556
buhinyuza,,14,-3.1166667,30.2166667
buhinyuza,,18,-3.0263889,30.3611111
buhogo,,21,-3.5258333,30.2386111
buhonga,,02,-3.4330556,29.4127778
buhonga,,21,-3.65,30.3333333
buhorana,,18,-2.6027778,30.3811111
buhoro,,11,-3.0305556,30.725
buhoro,,13,-3.52,30.0552778
buhoro,,16,-2.4661111,30.3716667
buhoyo,,05,-3.4344444,29.8166667
buhu,,21,-3.3663889,30.0691667
buhurana,,14,-3.1844444,30.2305556
buhwamyi,,20,-4.0161111,30.1175
bujumbura,330539,02,-3.3761111,29.36
bujuru,,21,-3.5702778,30.2069444
bukamba,,21,-3.3555556,30.1013889
bukanda,,10,-4.0488889,29.6116667
bukanya,,14,-3.1408333,30.2047222
bukemba,,20,-3.9833333,29.9180556
bukeye,,05,-3.1944444,29.6416667
bukeye,,17,-4.3,29.9416667
bukinanyana,,12,-2.8805556,29.3361111
bukinga,,11,-3.2391667,30.4497222
bukinga,,16,-2.4916667,30.3894444
bukinga,,18,-3.0227778,30.3533333
bukinisha,,14,-3.0336111,30.0044444
bukinisha,,18,-2.8066667,30.2630556
bukinja,,18,-2.9822222,30.3713889
bukirasazi,,13,-3.6333333,29.9777778
bukobe,,18,-2.4988889,30.4605556
bukorobwa,,13,-3.1280556,29.8958333
bukuba,,16,-2.6847222,30.0791667
bukukumbo,,21,-3.3372222,30.2588889
bukurana,,11,-3.2636111,30.5136111
bulamata,,09,-3.1513889,29.3472222
bulameta,,09,-3.1513889,29.3472222
bumba,,12,-2.8513889,29.3541667
bumba,,13,-3.5705556,30.0875
bumba,,21,-3.4447222,30.6275
bungere,,13,-3.5208333,29.9877778
buniha,,14,-3.1491667,30.2108333
buniha,,19,-3.055,29.8677778
bura,,10,-3.7725,29.545
buramata,,09,-3.1513889,29.3472222
burambi,,10,-3.8202778,29.5425
buranga,,21,-3.5619444,30.1675
buraniro,,15,-3.1,29.6513889
burarana,,05,-3.3866667,29.8272222
burarana,,13,-3.6013889,29.9519444
burasira,,19,-3.0819444,29.9138889
buraza,,13,-3.7513889,29.9063889
burazi,,14,-3.0108333,30.2705556
bureau d'arrondissement kabarore,,15,-2.8497222,29.5327778
bureau d'arrondissement kagoma,,19,-2.8669444,29.8527778
bureau d'arrondissement kigarama,,19,-2.8525,29.8994444
bureau d'arrondissement nyamugari,,19,-2.7883333,29.9136111
burembera,,14,-3.3363889,30.0072222
burenza,,18,-2.9197222,30.3138889
buriga,,15,-3.1672222,29.8025
burima,,18,-3.0227778,30.2769444
burindira,,16,-2.6736111,30.1483333
buringa,,16,-2.6472222,30.0305556
buruhukiro,,10,-4.0002778,29.5169444
burume,,20,-3.7586111,30.0544444
burunga,,13,-3.6872222,29.8975
bururi,19740,10,-3.9511111,29.6166667
busaro,,21,-3.325,30.4083333
busesa,,10,-3.8722222,29.4388889
bushabashi,,13,-3.5011111,29.9508333
busiga,,19,-2.85,29.7444444
busoni,,16,-2.5277778,30.2166667
busoni,,19,-2.8613889,30.1019444
buta,,10,-3.9555556,29.7055556
butaganda,,18,-2.4691667,30.5
butaganzwa,,15,-3.1027778,29.7222222
butaganzwa,,21,-3.5694444,30.1405556
butaha,,14,-2.9330556,30.1880556
butaha,,20,-3.6622222,30.1986111
butahana,,12,-2.7416667,29.2527778
butambala,,20,-3.9741667,29.9755556
butambara,,20,-3.9741667,29.9755556
butambuka,,18,-2.4880556,30.4666667
butanuka,,09,-3.1486111,29.4347222
butara,,12,-2.8847222,29.3375
butare,,21,-3.6097222,30.4119444
butarugera,,18,-2.6611111,30.3777778
butarumanga,,18,-2.4808333,30.4686111
butega,,09,-2.9619444,29.3936111
butegana,,13,-3.3780556,29.9602778
butegana,,15,-2.8683333,29.6433333
buterama,,13,-3.6866667,29.8480556
butezi,,21,-3.3972222,30.1555556
butihinda,,18,-2.7166667,30.3180556
butimbo,,05,-3.1936111,29.6558333
butimbo,,20,-3.8536111,30.1369444
butoga,,18,-2.8013889,30.2594444
butora,,05,-3.5136111,29.6433333
butwe,,05,-3.2311111,29.8313889
butwe,,10,-3.7777778,29.725
butwe,,14,-3.2525,30.065
butwe,,15,-3.0588889,29.6744444
buvumo,,21,-3.4644444,30.2413889
buvuzo,,05,-3.3838889,29.8047222
buvyuko,,09,-3.0969444,29.3319444
buye,,19,-2.8638889,29.8208333
buyengero,,10,-3.8202778,29.5425
buyenzi,,02,-3.6166667,29.3472222
buyogoma,,21,-3.2833333,30.3958333
buzamana,,10,-3.8872222,29.5472222
buzigo,,16,-2.6333333,30.2180556
buziracanda,,05,-3.3713889,29.7444444
buzirachanda,,05,-3.3713889,29.7444444
buziramabinga,,11,-3.1183333,30.5175
buzirambenga,,13,-3.665,29.83
buzirampfunya,,15,-3.14,29.8266667
