names,population,state_code,lat,lon
aba,,17,7.1166667,2.6333333
abala,,11,8.05,1.6666667
abata,,04,6.6166667,2.0333333
abeokouta,,01,9.1333333,2.15
abeokouta,,11,8.0333333,1.6833333
abidzi,,11,8.1,1.8833333
abintanga,,01,9.6333333,1.9666667
abitanga,,01,9.6333333,1.9666667
aboga,,16,6.55,2.5833333
abogo,,16,6.55,2.5833333
aboloume,,18,7.1,1.65
abome,,18,7.1833333,1.9833333
abome calavi,,05,6.45,2.35
abomey,82158,18,7.1833333,1.9833333
abomey-calavi,385823,05,6.45,2.35
abotagon,,02,6.8166667,2.2
aboukoue,,18,7.1166667,1.8333333
abouta,,09,6.3333333,2.1166667
acadjama,,02,6.45,2.1833333
acadjame,,02,6.45,2.1833333
achupa,,16,6.5333333,2.6333333
adakparo,,10,9.2666667,2.65
adakplame,,18,7.4333333,2.5666667
adame,,15,6.6833333,1.6166667
adamou,,03,11.2,2.3333333
adamoukparo,,10,9.25,2.65
adanhoue,,11,7.9833333,1.8
adanion,,01,9.7666667,1.7833333
adedewo,,01,9.4166667,1.45
adeli,,01,9.2833333,1.5
adiaida,,01,9.6,1.3833333
adiaide,,01,9.6,1.3833333
adiamadiang,,01,9.6,1.5666667
adiassagon,,18,7.0,1.95
adidevo,,12,6.7833333,1.65
adimadegon,,18,7.15,1.8833333
adimale,,02,6.6166667,2.2
adio,,03,8.75,2.6
adioti,,11,7.8,1.7833333
adjacin,,16,6.4833333,2.5833333
adjadjagon,,18,7.4666667,1.9833333
adjadji bata,,04,6.6166667,2.0333333
adjadji-zoungbome,,04,6.6333333,2.0333333
adjadohondegon,,18,7.4166667,1.8333333
adjafa,,11,7.8166667,1.85
adjagbo,,05,6.5166667,2.35
adjaglame,,12,6.9166667,1.9166667
adjaha,,04,6.3333333,1.85
adjah,,04,6.3333333,1.85
adjahakpa,,18,7.1333333,1.9166667
adjahome,,18,7.05,1.8
adjakokou,,11,7.7833333,1.7333333
adjamingon,,18,7.3333333,1.8333333
adjante,,11,8.4,1.9
adjaouere,,17,7.0,2.6166667
adjara,,02,6.4,2.2
adjara,,16,6.5333333,2.6666667
adjarra,,02,6.4,2.2
adjarra,,16,6.5333333,2.6166667
adjazon,,18,7.4666667,1.9166667
adjehongon,,18,7.35,1.8
adjian,,02,6.7,2.3
adjido,,18,7.0333333,1.9833333
adjiga,,15,6.7,1.6666667
adjigo,,04,6.2333333,1.6833333
adjigo,,11,8.15,1.9666667
adjohon,,17,6.7,2.4666667
adjohoun,,04,6.65,2.0666667
adjohoun,,17,6.7,2.4666667
adjohoundja,,04,6.4166667,2.0333333
adjohoundje,,04,6.4166667,2.0333333
adjovicodji,,09,6.3666667,2.1333333
adjoya,,11,7.8833333,1.7333333
adjozoume,,18,7.35,2.5666667
adogblihoue,,12,6.9166667,1.6666667
adoglihoue,,12,6.9166667,1.6666667
adohoukparou,,10,9.0333333,2.5
adohoun,,15,6.6333333,1.6666667
adohoun-lanzoume,,15,6.6333333,1.6666667
adomougon,,18,7.1166667,1.9166667
adongon,,18,7.3166667,1.9666667
adoukoue,,12,6.8833333,1.8333333
afabeusse,,01,9.5833333,1.7333333
afakpara,,01,9.6166667,1.7833333
afanai,,18,7.1166667,1.8166667
afatalanga,,13,9.6833333,1.75
affame,,17,6.8166667,2.4666667
affon,,01,9.7488889,2.0886111
affonor,,01,9.95,1.85
afodiobo,,01,9.1,1.6166667
afon,,01,9.7488889,2.0886111
agalade,,01,9.7,1.4
agame,,15,6.6833333,1.7666667
agame-ahotissa,,15,6.6833333,1.7666667
agan,,11,8.0166667,1.6833333
agandobaka,,03,10.2333333,3.25
agango,,01,9.55,1.6
agaoua,,11,8.2833333,1.9666667
agasousigon,,18,7.35,1.8833333
agassa godomey,,05,6.55,2.3666667
agatagbo,,04,6.4,1.9333333
agatogba,,04,6.4,1.9333333
agatogbo,,04,6.4,1.9333333
agbagnizon,,18,7.0666667,1.9666667
agbalide,,01,9.6833333,1.4333333
agbamegon,,18,7.4333333,1.9666667
agban,,18,7.2333333,1.6666667
agbanate,,18,7.1,1.6833333
agbanboulou,,01,9.5666667,1.4833333
agbandabe,,01,9.4666667,1.45
agbandari,,01,9.4666667,1.45
agbangnizoun,,18,7.0666667,1.9666667
agbanou,,11,7.85,1.9
agbanson,,01,10.2,1.7333333
agbanta,,14,6.6166667,2.45
agbanzin,,02,6.35,2.2166667
agbanzinkpota,,02,6.35,2.2166667
agbasson,,01,9.95,1.7666667
agbato,,14,6.3833333,2.4333333
agbaton,,11,7.8,1.7166667
agbatou,,11,7.8166667,1.7
agbehe,,18,7.2666667,1.9666667
agbengnisoe,,18,7.4,1.9833333
agbetogagon,,18,7.4333333,1.9666667
agbidime,,18,7.0666667,1.9833333
agbladje,,18,7.4666667,1.85
agblagato,,18,7.4666667,1.95
agblangandan,,14,6.3833333,2.5
agblankantan,,14,6.3833333,2.5
agblome,,18,7.3333333,1.95
agblome-levi,,18,7.1833333,1.9666667
agblome-zokli,,18,7.1666667,2.0
agblopa,,18,7.3666667,1.8666667
agbodji,,04,6.6333333,1.9666667
agbodranfo,,11,8.0,1.9
agbodranfo,,12,6.75,1.7166667
agbohosi,,18,7.4333333,1.9
agborro,,11,8.45,2.5833333
agbotagon,,02,6.8166667,2.2
agbotavou,,18,7.2833333,1.65
aghozongo,,11,7.8,1.85
aglaly,,18,7.05,1.9
agmaligon,,18,7.3833333,1.8333333
agname,,12,6.75,1.9333333
agnami,,04,6.6,1.9166667
agnangnan,,18,7.15,1.9833333
agnavou,,15,6.75,1.6833333
agnibandjin,,12,7.0,1.6833333
agnioke,,11,7.8,1.65
agnoulako,,01,9.5833333,1.4
agodogoue,,18,7.3333333,1.65
agofissi,,18,7.05,1.8666667
agohonhou,,18,7.3333333,1.8166667
agohoue-balime,,12,6.8,1.65
agokoue,,12,6.8,1.65
agombe,,18,7.2833333,2.4333333
agome,,11,7.9333333,1.9
agon,,02,6.85,2.2166667
agon,,11,8.15,1.9666667
agondo,,16,6.6,2.5666667
agondogui,,18,7.35,1.6333333
agondopoue,,18,7.4166667,1.9
agonhohoun,,18,7.3166667,1.8833333
agonkame,,05,6.3833333,2.3333333
agonlin,,18,7.0,2.0166667
agonme,,18,7.2833333,1.9166667
agontome,,04,6.3833333,1.9
agonvi,,17,6.8666667,2.5166667
agonvy,,17,6.8666667,2.5166667
agoreadji,,18,7.0666667,1.8833333
agossakoe,,18,7.1,1.65
agossouhoui,,18,7.0666667,1.9
agoua,,11,8.2833333,1.9666667
agouagon,,11,7.9833333,2.3
agouagou,,11,7.9833333,2.3
agoue,,04,6.2333333,1.6833333
agougan,,18,7.1333333,1.75
agougou,,01,9.3833333,1.45
agoukame,,04,6.3833333,1.9833333
agouna,,11,7.5666667,1.7
agouna-gaga,,11,7.5666667,1.7
agounogon,,18,7.3833333,1.9833333
agousotodji,,18,7.4666667,1.9166667
agoutome,,04,6.3833333,1.9
agpro,,16,6.5833333,2.5833333
agrabansou,,01,9.2,2.2333333
agramarou,,10,9.05,2.4
agramidjodji,,11,7.9666667,1.8666667
agrime,,18,7.0166667,2.15
agrine,,18,7.0166667,2.15
agua,,11,8.2833333,1.9666667
ague,,04,6.2333333,1.6833333
aguegue-houedome,,16,6.4833333,2.5333333
agueouda,,01,9.5666667,1.5333333
aguidahoue,,15,6.6833333,1.6333333
aguigadji,,18,7.4833333,2.4333333
aguigaji,,18,7.4833333,2.4333333
aguigdiji,,18,7.4833333,2.4333333
aguna,,11,7.5666667,1.7
agwa,,11,8.2833333,1.9666667
agwagon,,11,7.9833333,2.3
agwe,,04,6.2333333,1.6833333
agweh,,04,6.2333333,1.6833333
ahevi,,18,7.25,1.9833333
ahihome,,18,7.25,1.9333333
ahitinme,,18,7.3333333,1.8
ahodedji,,18,7.3166667,1.9166667
ahogbe,,02,6.35,2.1833333
ahogbeia,,18,7.0333333,1.9166667
ahogbeya,,18,7.0333333,1.9166667
ahoho,,15,6.6,1.6333333
ahokan,,18,7.4,1.7833333
aholoboue,,02,6.3333333,2.2333333
ahomadegbe,,12,6.8333333,2.0
ahouame,,15,6.6,1.6666667
ahouame,,18,7.3666667,1.9833333
ahouansouri,,14,6.3833333,2.4333333
ahozon,,02,6.3833333,2.1833333
aiouegon,,18,7.3333333,1.7833333
aitedjou,,17,6.65,2.7333333
aiwade,,01,9.5666667,1.5
ajaha,,04,6.3333333,1.85
ajara,,02,6.4,2.2
ajara,,16,6.5333333,2.6666667
ajarra,,16,6.5333333,2.6666667
ajetalanga,,13,9.6833333,1.75
ajigo,,04,6.2333333,1.6833333
ajohon,,17,6.7,2.4666667
akadja,,17,6.6,2.7333333
akakadoho,,11,7.8666667,1.8166667
akalokoupodji,,18,7.3833333,1.7666667
akapli,,18,7.55,1.7666667
akarade,,01,9.35,1.4166667
akassato,,05,6.5,2.3666667
akbakota,,11,7.65,1.8833333
akekerou,,01,9.7333333,1.9833333
akete,,11,7.9833333,1.8833333
akiza,,18,6.95,2.0166667
aklame,,11,7.6,1.6833333
aklampa,,11,8.2166667,2.1833333
aklanpa,,11,8.2166667,2.1833333
akleime,,11,7.6,1.6833333
akleme,,11,7.6,1.6833333
aklo,,04,6.4,1.9166667
aklo-come,,04,6.4,1.9166667
akodebakou,,12,6.9,1.6666667
akodehao,,18,7.3333333,1.95
akoko,,03,11.2,3.0333333
akonabou,,16,6.5166667,2.6
akonana,,15,6.5,1.7666667
akonhoum,,18,7.1166667,1.9166667
akonoboue,,16,6.5166667,2.6
akouessa,,18,7.2666667,1.9666667
akoumokoumo,,11,8.1,1.6833333
akoutagba,,18,7.5166667,1.7
akoutaosse,,01,8.5833333,1.7
akpadanou,,17,6.7833333,2.4833333
akpakourou,,11,7.7833333,1.7333333
akpalodo,,01,9.4833333,1.45
akpame,,16,6.55,2.5666667
akpao,,03,8.6166667,2.5666667
akpassi,,11,8.4333333,1.8833333
akpave,,12,6.7666667,1.95
akpea,,01,9.55,1.6
akpeho-dokpo,,18,7.0833333,1.9666667
akpekou,,01,10.1333333,1.9666667
akpeto,,18,7.1166667,1.95
akpinhiadji,,11,7.6,1.9666667
akpotonou,,17,6.7833333,2.4833333
akpouati,,11,8.3166667,1.9
akrake,,16,6.4,2.6666667
aladassicodji,,09,6.4333333,2.1333333
aladjarakola,,12,6.8,1.85
