names,population,state_code,lat,lon
bethaven,,01,32.2833333,-64.75
camden,,04,32.2941667,-64.7605556
cashew city,,07,32.3702778,-64.6544444
chelston,,04,32.2836111,-64.7705556
flatt's village,,09,32.3211111,-64.7369444
hamilton,902,03,32.2941667,-64.7838889
harrington hundreds,,09,32.3186111,-64.7288889
hill view,,11,32.2694444,-64.8088889
hinson hall,,09,32.3136111,-64.7436111
hog bay,,08,32.2711111,-64.88
melrose,,07,32.3633333,-64.6730556
mount pleasant,,04,32.2741667,-64.7836111
north shore village,,01,32.3063889,-64.7736111
saint george,1802,06,32.3816667,-64.6780556
saint georges,,06,32.3816667,-64.6780556
saint george's town,,06,32.3816667,-64.6780556
scotts hill,,08,32.2972222,-64.8655556
somerset,,08,32.2983333,-64.8683333
sunnyside,,02,32.3263889,-64.7411111
the flatts village,,09,32.3211111,-64.7369444
tucker's town,,07,32.3327778,-64.6880556
warwick camp,,11,32.2572222,-64.8161111
