names,population,state_code,lat,lon
abang,,00,4.7,114.6833333
bandar seri begawan,,00,4.8833333,114.9333333
bandong,,00,4.8833333,114.7666667
bangar,,00,4.7166667,115.0666667
bang pangan,,00,4.65,114.6333333
bang tangur,,00,4.6166667,114.6
batu apoi,,00,4.7,115.1
belait,,00,4.45,114.3166667
benutan,,00,4.6,114.7166667
biang,,00,4.65,115.1
binchaya,,00,4.7333333,114.5666667
bintauran,,00,4.8666667,114.7166667
brooketon,,00,5.0333333,115.0666667
brunei,,00,4.8833333,114.9333333
brunei town,,00,4.8833333,114.9333333
bruni,,00,4.8833333,114.9333333
buang tawar,,00,4.8833333,114.9666667
bukit puan,,00,4.5333333,114.45
butir,,00,4.85,114.95
danau,,00,4.7666667,114.5833333
istana darul hana,,00,4.8833333,114.9166667
jerudong,,00,4.95,114.85
kampong abang,,00,4.6833333,114.7166667
kampong amo,,00,4.6166667,115.1
kampong ampar,,00,4.7833333,114.8166667
kampong ampat setengah,,00,4.95,114.95
kampong anching,,00,4.9666667,114.9666667
kampong baharu,,00,4.8,114.8
kampong bakaladong,,00,4.6833333,114.6666667
kampong bandong,,00,4.8833333,114.7666667
kampong bangana,,00,4.65,114.7166667
kampong bang pangan,,00,4.65,114.6333333
kampong bang tagor,,00,4.6166667,114.6
kampong bang togor,,00,4.6166667,114.6166667
kampong bantun,,00,4.8833333,114.8666667
kampong baru baru,,00,4.6666667,115.1
kampong batang duri,,00,4.5666667,115.1333333
kampong batong,,00,4.8166667,114.8166667
kampong batu empat,,00,4.7833333,114.8166667
kampong batu lapan,,00,4.8833333,114.85
kampong batu marang,,00,4.9833333,115.0333333
kampong bawong,,00,4.8333333,114.9666667
kampong bebatek,,00,4.85,114.8333333
kampong bebatok,,00,4.85,114.8333333
kampong belaban,,00,4.6666667,115.0833333
kampong belayong,,00,4.6333333,115.05
kampong belima,,00,4.95,114.95
kampong benuta,,00,4.6,114.7166667
kampong benutan,,00,4.6,114.7166667
kampong berakas,,00,4.9333333,114.95
kampong berangan,,00,4.9,114.95
kampong berbunot,,00,4.8833333,115.0333333
kampong berdang,,00,4.9,114.9833333
kampong beribi,,00,4.8833333,114.8833333
kampong biang,,00,4.65,115.1
kampong bibit,,00,4.8833333,114.9
kampong binchaya,,00,4.7333333,114.5666667
kampong bintauran,,00,4.8666667,114.7166667
kampong birau,,00,4.7833333,114.7333333
kampong buangang,,00,4.6166667,114.6833333
kampong buang bulan,,00,4.6833333,115.0833333
kampong buangsakar,,00,4.85,114.95
kampong buang tawar,,00,4.8833333,114.9666667
kampong bukit bang tangur,,00,4.6166667,114.6
kampong bukit,,00,4.6333333,114.65
kampong bukit kota,,00,4.7,114.7166667
kampong bukit panggal,,00,4.8333333,114.7333333
kampong bukit sulang,,00,4.65,114.7333333
kampong bukit tambai,,00,4.7666667,114.7333333
kampong bukok,,00,4.65,115.05
kampong bunot,,00,4.85,114.8833333
kampong bupangang,,00,4.65,114.6333333
kampong bupungan,,00,4.65,114.6333333
kampong burong pingai berakas,,00,4.9333333,114.9166667
kampong burong pingai,,00,4.65,114.6333333
kampong damuan,,00,4.8666667,114.8
kampong danau,,00,4.7666667,114.5833333
kampong delima,,00,4.95,114.95
kampong empat setengah,,00,4.95,114.95
kampong gadong,,00,4.9166667,114.9166667
kampong ikas,,00,4.8666667,114.8
kampong imang,,00,4.8,114.8
kampong jangsak,,00,4.8833333,114.8666667
kampong jerudong,,00,4.95,114.85
kampong jerundong,,00,4.95,114.85
kampong junjongan,,00,4.8,114.85
kampong kalamasi,,00,4.8333333,114.95
kampong kandang,,00,4.8,114.65
kampong kapok,,00,5.0333333,115.05
kampong kasat,,00,4.85,114.95
kampong katimahar,,00,4.8666667,114.8
kampong katok,,00,4.9333333,114.8833333
kampong kayu kapur,,00,4.7333333,114.6666667
kampong kebia,,00,4.7666667,114.7333333
kampong kebun,,00,4.75,114.7333333
kampong kelalang,,00,4.7333333,114.6666667
kampong keluyoh,,00,4.6666667,114.5
kampong kenua,,00,4.6166667,115.05
kampong kerangan nyatan,,00,4.4166667,114.6
kampong keriam,,00,4.8166667,114.6833333
kampong ketimahar,,00,4.8666667,114.8
kampong kiajong,,00,4.9166667,114.7833333
kampong kiarong,,00,4.9,114.9166667
kampong kiudang,,00,4.75,114.7333333
kampong kiulap,,00,4.9,114.9166667
kampong kobong,,00,4.6333333,115.0333333
kampong kopang,,00,4.85,114.7833333
kampong kota batu,,00,4.8833333,114.95
kampong krulap,,00,4.9,114.9166667
kampong kuala abang,,00,4.7,114.6833333
kampong kuala balai,,00,4.45,114.3166667
kampong kuala tutong,,00,4.7833333,114.6
kampong kuala ungar,,00,4.6166667,114.6666667
kampong kuidang,,00,4.75,114.7333333
kampong kupang,,00,4.85,114.7833333
kampong kwidong,,00,4.75,114.7333333
kampong labi,,00,4.3833333,114.4333333
kampong labut,,00,4.75,115.1
kampong lagu,,00,4.8833333,114.8
kampong lambak,,00,4.9666667,114.95
kampong lamunin,,00,4.6833333,114.7166667
kampong layong,,00,4.6833333,114.6666667
kampong lepong,,00,4.6,115.05
kampong lilas,,00,4.7,114.5166667
kampong limau manis,,00,4.75,114.8166667
kampong limpas,,00,4.8333333,114.9166667
kampong lopat,,00,4.6833333,115.2
kampong luagan dudok,,00,4.8166667,114.7166667
kampong lubok johar,,00,4.8,114.6166667
kampong lubok johor,,00,4.8,114.6166667
kampong lubok,,00,4.7833333,114.6666667
kampong lubok pulau,,00,4.7833333,114.6666667
kampong lubok tanjong maya,,00,4.75,114.6666667
kampong lugu,,00,4.8833333,114.8
kampong lumapas,,00,4.85,114.9166667
kampong luminin,,00,4.6833333,114.7166667
kampong lupak luas,,00,4.8666667,114.9333333
kampong madewa,,00,4.85,114.9
kampong mangkam,,00,4.7333333,114.75
kampong mata mata,,00,4.9,114.9
kampong medaras,,00,4.9666667,114.9166667
kampong mengawang,,00,4.8833333,114.85
kampong mentiri,,00,4.9833333,115.0166667
kampong menua,,00,4.6166667,115.05
kampong menunggol,,00,4.8833333,114.9833333
kampong menunggul,,00,4.8833333,114.9833333
kampong meranti,,00,4.75,114.6666667
kampong mongawang,,00,4.8833333,114.85
kampong mulaut,,00,4.8666667,114.8333333
kampong mulut,,00,4.8666667,114.8333333
kampong mungkom,,00,4.7333333,114.75
kampong mungunul,,00,4.9333333,114.8333333
kampong nangka,,00,4.8833333,114.8333333
kampong nong kelulau,,00,4.7333333,114.65
kampong padanok,,00,4.7166667,114.7166667
kampong padnunok,,00,4.7166667,114.7166667
kampong pagalan,,00,4.7833333,114.8333333
kampong paganan,,00,4.55,115.0666667
kampong pak,,00,4.6833333,115.1833333
kampong palait,,00,4.9333333,114.95
kampong panapa,,00,4.7333333,114.6666667
kampong panchor dulit,,00,4.8166667,114.65
kampong panchor,,00,4.8,114.6666667
kampong panchor papan,,00,4.8,114.6666667
kampong panchuran,,00,4.9666667,115.0166667
kampong panchur dulit,,00,4.8166667,114.65
kampong panchur papan,,00,4.8,114.6666667
kampong pangkalan mau,,00,4.75,114.7333333
kampong pangkalan parai,,00,4.6666667,114.6333333
kampong pangkalan piasau,,00,4.6833333,114.65
kampong pangkalan ran,,00,4.6666667,114.6333333
kampong panjang,,00,4.95,114.9
kampong pantau marai,,00,4.8,114.8
kampong paring,,00,4.95,115.0166667
kampong parit biang,,00,4.6166667,115.1
kampong parit,,00,4.8833333,114.9333333
kampong pasang,,00,4.9166667,114.9166667
kampong patong,,00,4.8166667,114.9166667
kampong pegalayan,,00,4.7833333,114.8333333
kampong pelambayan,,00,4.8833333,114.9666667
kampong pelombong,,00,5.0333333,115.1
kampong pelumpong,,00,5.0333333,115.1
kampong penabai,,00,4.8,114.6166667
kampong penanjong,,00,4.85,114.6833333
kampong penapar,,00,4.7333333,114.6666667
kampong penchor dulit,,00,4.8166667,114.65
kampong penchor papan,,00,4.8,114.6666667
kampong pengkalan batu,,00,4.7833333,114.8333333
kampong pengkalan maut,,00,4.75,114.7333333
kampong pengkalan parai,,00,4.6666667,114.6333333
kampong pengkalan piasau,,00,4.6833333,114.65
kampong pengkalan ran,,00,4.6666667,114.6333333
kampong peninjau,,00,4.9333333,114.8333333
kampong penonok,,00,4.7166667,114.7166667
kampong penulud,,00,4.75,114.6666667
kampong penyatang,,00,4.75,114.5833333
kampong pepara,,00,4.8,114.8166667
kampong pepatan,,00,4.9,115.0333333
kampong peradayan,,00,4.7333333,115.0833333
kampong perumpang,,00,4.6833333,114.4833333
kampong perumpong,,00,4.6833333,114.4833333
kampong perupok,,00,4.75,114.6166667
kampong potong,,00,4.8333333,114.7833333
kampong pudak,,00,4.9,114.9833333
kampong pugat,,00,4.8,114.8166667
kampong pulaie,,00,4.9333333,114.95
kampong pulai,,00,4.9333333,114.95
kampong pulau muda,,00,4.9333333,114.9166667
kampong purau purau,,00,4.3666667,114.6
kampong putat,,00,4.8333333,114.9833333
kampong rambai,,00,4.6333333,114.65
kampong rambal,,00,4.6333333,114.65
kampong rampaya,,00,4.6333333,114.65
kampong ranggu,,00,4.8666667,114.9166667
kampong rendangan,,00,4.8333333,114.8333333
kampong rimba,,00,4.9166667,114.9
kampong riong,,00,4.8166667,114.6833333
kampong sabun,,00,5.0333333,115.0666667
kampong salam bigar,,00,4.9833333,114.9833333
kampong salapit,,00,4.8666667,114.8166667
kampong sangkarai,,00,4.8,114.65
kampong sawah,,00,4.5166667,114.55
kampong selangan,,00,4.9166667,114.8333333
kampong selayan,,00,4.9,114.85
kampong selayun,,00,4.9,114.85
kampong semabat,,00,4.5666667,115.0666667
kampong sengkarai,,00,4.8,114.65
kampong sengkurong,,00,4.8833333,114.8333333
kampong sentul,,00,4.7833333,114.7333333
kampong serasa,,00,5.0166667,115.05
kampong serdang,,00,4.9,114.9833333
kampong serusup,,00,4.95,114.9333333
kampong sibakit,,00,4.7333333,114.6666667
kampong sibut,,00,4.6166667,115.1
kampong silirubai,,00,4.8333333,114.8666667
kampong sinarubai,,00,4.8333333,114.8666667
kampong sinaut,,00,4.8166667,114.75
kampong sinonuk,,00,4.6333333,114.6666667
kampong subok,,00,4.8833333,114.95
kampong subun,,00,5.0333333,115.0666667
kampong sumbiling,,00,4.5833333,115.1166667
kampong sungai asam,,00,4.8833333,114.9333333
kampong sungai besar,,00,4.9333333,115.0166667
kampong sungai bubus,,00,5.0166667,115.1
kampong sungai burong,,00,4.7166667,114.7166667
kampong sungai hanching,,00,4.9666667,114.9666667
kampong sungai kelugus,,00,4.8333333,114.9166667
kampong sungai lampai,,00,4.8833333,114.95
kampong sungai liang,,00,4.6833333,114.5
kampong sungai liang kechil,,00,4.6666667,114.4833333
kampong sungai salam begar,,00,4.9833333,114.9833333
kampong supodian,,00,4.6833333,114.5
kampong tanah burok,,00,4.8333333,114.6666667
kampong tanjong berapan,,00,4.8166667,114.6666667
kampong tanjong durian,,00,4.8166667,114.75
kampong tanjong,,00,4.8833333,114.8333333
kampong tanjong maya,,00,4.75,114.6666667
kampong tanjong menugan,,00,4.8333333,114.7166667
kampong tanjong menungan,,00,4.8333333,114.7166667
kampong tanjong nangka,,00,4.8833333,114.8166667
kampong tanjong santul,,00,4.6833333,114.6666667
kampong telaga baka,,00,4.8166667,114.6833333
kampong telaga beka,,00,4.8166667,114.6833333
kampong telamba,,00,4.7333333,114.5666667
kampong telisai,,00,4.7333333,114.5666667
kampong terap bau,,00,4.8666667,114.9333333
kampong timahu,,00,4.8666667,114.8166667
kampong timbunan,,00,4.95,114.9666667
kampong tulang,,00,4.8833333,114.8333333
kampong tunah jambu,,00,4.9833333,114.9833333
kampong tunggulian,,00,4.6833333,114.5
kampong ugar,,00,4.7666667,114.5833333
kampong ukong,,00,4.6666667,114.6333333
kampong wasan,,00,4.7666667,114.7833333
karangan nyatan,,00,4.4166667,114.6
karangen nyatan,,00,4.4166667,114.6
karengen nyatan,,00,4.4166667,114.6
kayukapur,,00,4.7333333,114.6666667
kebia,,00,4.7666667,114.7333333
ketimahar,,00,4.8666667,114.8
kiajong,,00,4.9166667,114.7833333
krangan nyata,,00,4.4166667,114.6
kuala balai,,00,4.45,114.3166667
kuala belait,,00,4.5833333,114.1833333
kubong,,00,4.6333333,115.0333333
kupang,,00,4.85,114.7833333
kwala balai,,00,4.45,114.3166667
kwala belait,,00,4.5833333,114.1833333
labi,,00,4.3833333,114.4333333
lambak,,00,4.9666667,114.95
lilas,,00,4.7,114.5166667
lombak pulau,,00,4.7833333,114.6666667
lombok,,00,4.7833333,114.6666667
luagan dudok,,00,4.8166667,114.7166667
lubok tanjong maya,,00,4.75,114.6666667
lugu,,00,4.8833333,114.8
maura,,00,5.0333333,115.0666667
melilas,,00,4.2333333,114.6666667
muara,,00,5.0333333,115.0666667
nong kelulau,,00,4.7333333,114.65
panaga,,00,4.6,114.2833333
panapar,,00,4.7333333,114.6666667
pangkalan siong,,00,4.4833333,114.55
pelumpong,,00,5.0333333,115.1
penanjong,,00,4.85,114.6833333
pengkalan maut,,00,4.75,114.7333333
pengkalan piasau,,00,4.6833333,114.65
pengkalan siong,,00,4.4833333,114.55
penulud,,00,4.75,114.6666667
perumpong,,00,4.6833333,114.4833333
purau purau,,00,4.3833333,114.6166667
rambai,,00,4.6333333,114.65
rampayoh,,00,4.3833333,114.45
rasau,,00,4.55,114.2166667
rimba,,00,4.9166667,114.9
rumah bawang grang,,00,4.2166667,114.6833333
rumah samawa,,00,4.2333333,114.6666667
rumah supon,,00,4.4833333,114.7833333
