names,population,state_code,lat,lon
25 de julio,,08,-19.75,-58.25
6 de abril,,08,-16.8666667,-59.9833333
6 de agosto,,06,-10.9333333,-67.15
6 de agosto,,08,-14.8166667,-61.7666667
abanay,,09,-21.5333333,-63.55
abapo,2419,08,-18.8333333,-63.4666667
abara,,04,-17.4833333,-69.4333333
abaro,,04,-17.4833333,-69.4333333
abeja,,08,-14.8833333,-61.7166667
abejas,,08,-14.1333333,-62.1833333
abel kumo,,05,-18.8833333,-66.6166667
abicaya,,04,-16.4833333,-68.45
abichaca,,04,-16.05,-68.65
abra,,02,-17.7666667,-66.5
abra,,07,-20.55,-65.6333333
abra bejucal,,09,-21.5333333,-64.1166667
abra blanca,,07,-21.4166667,-65.65
abra calacruz,,07,-21.05,-65.95
abra calcalaguay,,07,-19.8,-68.45
abracasa,,07,-19.9,-65.7166667
abra ckasa,,09,-21.7666667,-64.5833333
abra de caisar,,07,-21.2,-67.3833333
abra de caisuro,,07,-21.2,-67.3833333
abra de napa,,07,-20.5333333,-68.5833333
abra de pulgui,,01,-19.2333333,-65.2166667
abra de pulqui,,01,-19.2333333,-65.2166667
abra de sivingamayo,,01,-20.3333333,-65.15
abra de tapacai,,02,-17.6,-66.65
abra de tapacari,,02,-17.6,-66.65
abra divorti,,08,-17.5666667,-64.0166667
abra divortio,,08,-17.5666667,-64.0166667
abra grand,,08,-18.2166667,-64.2333333
abra grande,,08,-18.2166667,-64.2333333
abra kasa,,09,-21.7666667,-64.5833333
abra pampa,,01,-20.1,-64.75
abra potrerillo,,09,-21.2166667,-64.15
abras de ivio,,01,-20.45,-64.0333333
abra sivingani,,02,-17.8166667,-65.5333333
abra tambocasa,,02,-17.7666667,-65.5333333
abra tambockasa,,02,-17.7666667,-65.5333333
abra turuguapa,,08,-18.0833333,-60.1166667
abritas,,08,-17.5333333,-61.2
abuela,,07,-21.0666667,-65.7166667
abuna chico,,06,-10.4666667,-67.1333333
acachila,,01,-19.2833333,-65.2
acachilo,,01,-19.2833333,-65.2
acacio,,07,-18.0,-66.0833333
acahuani,,07,-18.2166667,-65.65
acahuta,,07,-21.9666667,-66.7666667
acaita,,08,-13.9,-61.6333333
acalaca,,04,-14.7833333,-68.4333333
acanea,,05,-18.1166667,-68.65
acarapini,,04,-15.65,-68.45
acasio,,07,-18.0,-66.0833333
acchila,,01,-20.35,-64.8166667
acchilla,,01,-20.35,-64.8166667
aceite,,08,-13.9,-61.6333333
acension,,06,-10.8666667,-66.65
acercani,,04,-17.4,-69.3333333
acesilo,,04,-15.7666667,-68.8166667
acevedo,,02,-18.5044444,-64.975
achaca,,04,-16.6333333,-68.7
achacachi,8447,04,-16.05,-68.6833333
achacachi chico,,04,-16.0166667,-68.7666667
achacanaiyoc,,07,-21.7166667,-66.1166667
achacanayoc,,07,-21.1333333,-65.7166667
acha icha,,07,-21.2166667,-67.65
achairpa,,04,-16.8833333,-68.3833333
achallcha,,07,-21.2166667,-67.65
achapa,,07,-21.65,-65.85
achapampa,,04,-15.4166667,-68.5333333
achapata,,05,-19.2666667,-67.0166667
achapatja,,04,-17.5333333,-69.0166667
achavico,,04,-17.4,-68.9166667
achica abajo,,04,-16.7,-68.2666667
achica arriba,,04,-16.7166667,-68.2166667
achicuiri,,04,-15.3666667,-67.9333333
achila,,04,-15.8,-68.0666667
achina,,04,-15.7333333,-68.0666667
achipiri,,04,-15.1666667,-68.2333333
achiquiri,,04,-15.1666667,-68.2333333
achirales,,09,-22.1333333,-64.4666667
achiralito,,09,-21.6333333,-63.7833333
achiras,,02,-17.3333333,-65.5333333
achiri,,04,-17.1666667,-69.0166667
achitas,,02,-17.3333333,-65.5333333
achoapata,,05,-19.2666667,-67.0166667
achoata,,05,-19.2666667,-67.0166667
achocalla,,04,-16.5833333,-68.1666667
achojpaya,,04,-16.8166667,-67.6333333
achoma,,02,-18.2666667,-64.9666667
achuluni,,04,-15.6,-69.2833333
achuma,,01,-20.9166667,-65.3
achumani,,04,-16.5333333,-68.0666667
acnapa,,07,-21.75,-65.8166667
acoberayoc,,07,-21.45,-66.65
acopata,,04,-17.15,-68.7666667
acoribes,,05,-18.6166667,-68.5166667
acquia,,07,-21.95,-66.7166667
actapalla,,07,-20.8166667,-65.7333333
acullani,,04,-16.6,-67.3166667
aczuli pampa,,07,-19.1252778,-65.4638889
adelia,,06,-11.0166667,-68.35
adivino amaya,,08,-17.0833333,-68.6666667
adoberayoc,,07,-21.45,-66.65
aduana,,02,-17.55,-65.2333333
aduana,,06,-10.9666667,-68.0333333
aduana,,08,-16.7666667,-60.55
agana,,04,-15.8833333,-67.8166667
agapito,,06,-10.7833333,-67.35
a. garzon,,01,-20.9833333,-63.1666667
agdo,,06,-10.45,-67.4833333
agua,,07,-20.65,-68.1833333
agua,,08,-17.1,-63.5833333
agua blanca,,02,-18.1833333,-64.6333333
agua blanca,,06,-10.3,-66.25
agua blanca,,08,-14.6833333,-62.5166667
agua blanca,,09,-21.2166667,-63.4
agua buena,,08,-19.0,-63.4166667
agua buena,,09,-21.4166667,-64.15
agua caliente,,01,-19.5833333,-64.0833333
agua caliente,,08,-16.2,-62.6666667
aguacandita,,09,-21.85,-63.8166667
agua castilla,,01,-21.0,-64.6
agua castilla,,07,-19.7741667,-65.9891667
agua chica,,07,-21.0833333,-67.25
aguacho,,05,-18.2666667,-67.2
agua clara,,08,-19.0666667,-63.0333333
aguada,,02,-17.1,-66.6166667
aguada,,07,-18.3666667,-65.4833333
aguada de jaraloma,,07,-20.75,-68.2333333
aguada de pantalaca,,07,-20.65,-68.1833333
aguada de poruncha,,07,-20.85,-68.3666667
aguada de quiaquilani,,07,-20.2333333,-68.4
aguada de quiaquillani,,07,-20.2333333,-68.4
aguada de quillaquillani,,07,-20.2333333,-68.4
aguada de tapia,,07,-20.75,-68.15
aguada de tapis,,07,-20.75,-68.15
aguada quiaquillani,,07,-20.2333333,-68.4
agua de castilla,,07,-20.9333333,-66.7666667
aguadilla,,07,-21.7166667,-66.0166667
aguaditas,,08,-18.7666667,-64.05
aguaditas,,09,-21.35,-64.1333333
agua dulce,,03,-12.5833333,-65.5666667
agua dulce,,05,-19.6166667,-67.1166667
agua dulce,,06,-11.0166667,-66.2166667
agua dulce,,08,-14.1666667,-62.3166667
agua fea,,08,-18.9666667,-63.0333333
agua hedionda,,01,-20.9,-64.1
agua hedionda,,09,-21.7833333,-64.4833333
aguaira,,08,-19.9833333,-63.0666667
aguairenda,,09,-21.8333333,-63.75
aguairendita,,09,-21.8333333,-63.75
aguaises,,08,-17.9333333,-63.2166667
aguallamaya,,04,-16.8333333,-68.9333333
aguallamaya,,05,-18.3666667,-67.2666667
agua milada,,07,-20.5333333,-66.5333333
agua milagra,,05,-19.2833333,-67.1166667
aguamilagro,,04,-14.2833333,-68.2
agua milagro,,04,-16.0333333,-67.1666667
agua milagro,,05,-19.2833333,-67.1166667
agua milagro,,07,-20.8833333,-66.7833333
agua millada,,07,-20.5333333,-66.5333333
agua panda,,08,-18.05,-60.85
agua pande,,08,-18.05,-60.85
agua pasta,,08,-19.4666667,-61.2
agua pasto,,08,-19.4666667,-61.2
aguaquisa,,07,-20.5666667,-67.75
aguarague,,09,-21.4666667,-63.5166667
aguarai,,09,-21.4666667,-63.5166667
aguarate guazu,,08,-19.3166667,-62.4333333
aguarate-mi,,08,-19.3333333,-62.4666667
aguaray,,09,-21.4666667,-63.5166667
aguarda,,07,-20.6,-66.4666667
aguardaloma,,07,-21.35,-66.0666667
aguarendita,,09,-21.8333333,-63.75
aguareteguazu,,08,-19.3166667,-62.4333333
aguaretemi,,08,-19.3333333,-62.4666667
agua retirada,,08,-18.5333333,-59.1833333
agua rica,,09,-21.5166667,-63.4833333
agua salada,,09,-21.3833333,-63.6333333
aguas calientes,,01,-19.5833333,-64.0833333
aguas calientes,,04,-15.75,-68.9666667
aguas calientes,,07,-21.05,-67.4166667
aguas calientes,,08,-17.8333333,-60.7166667
aguas claras,,04,-16.55,-67.4333333
agua sulfhidrica,,09,-22.7333333,-64.3666667
agua sulfidrica,,09,-22.7333333,-64.3666667
aguaypalos,,09,-21.1666667,-64.3833333
aguayrenda,,09,-21.8666667,-63.6666667
agua zande,,08,-18.05,-60.85
aguilani,,04,-16.7166667,-67.35
aguilar,,04,-16.7166667,-67.35
aguilar,,07,-21.75,-66.5833333
aguilar,,09,-21.2833333,-63.4333333
aguilera,,06,-11.5166667,-68.0166667
aguilera,,08,-17.4166667,-63.2666667
aguirre,,02,-17.3666667,-65.7333333
aguita chica,,07,-22.0833333,-65.5833333
aguo blanca,,06,-10.3,-66.25
aguricoba,,06,-10.4333333,-66.8
agustin,,08,-17.1666667,-61.6333333
aigachi,,04,-16.3666667,-68.6166667
aigu,,08,-17.4833333,-61.6
aijurico,,03,-15.0,-65.0333333
ailaico,,04,-16.3333333,-68.1
aillaico,,04,-16.3333333,-68.1
aillolaya,,04,-15.1833333,-68.7166667
aimaya,,07,-18.4333333,-66.5166667
aime,,03,-11.7833333,-66.6666667
aimidonani,,04,-17.7333333,-68.2666667
aimiri,,08,-19.3833333,-63.3
ainachuta,,04,-17.8,-68.95
aiquile,8225,02,-18.1666667,-65.1666667
aiyuiv,,03,-15.1833333,-67.0666667
ajamarca,,04,-17.3666667,-67.0666667
ajanani,,04,-16.1666667,-69.0
ajchilla,,01,-20.35,-64.8166667
ajial,,01,-18.4666667,-65.3166667
ajinaluyani,,04,-16.5,-68.6
ajllata,,04,-16.0166667,-68.7833333
ajtara,,07,-19.0666667,-65.95
ajusan,,04,-15.4,-68.5333333
ajusani,,04,-15.4,-68.5166667
ajusticiado,,02,-16.65,-66.8166667
alaconi,,04,-17.1666667,-69.15
alalay,,02,-17.6833333,-65.6833333
alapaxa,,05,-19.5666667,-67.9666667
alarachi,,09,-22.2,-64.6333333
alba,,08,-17.7666667,-60.6
albertopa,,01,-19.7333333,-64.2333333
alberto-pampa,,01,-19.7333333,-64.2333333
albertoque,,01,-19.7333333,-64.2333333
alcala,,01,-19.3666667,-64.4166667
alcala tambo,,07,-19.35,-66.0666667
alcalde pampa,,01,-19.5666667,-64.4833333
alcamariyoc,,07,-21.65,-66.7333333
alcaria,,07,-18.3833333,-66.4333333
alcatambo,,07,-19.7,-65.7666667
alcautal,,01,-20.1,-63.9
alcaya,,05,-19.6166667,-67.7666667
alcayatal,,01,-20.1,-63.9
alcoche,,04,-15.7,-67.6666667
alcornocal,,08,-17.7666667,-63.3666667
alcotambo,,07,-19.7,-65.7666667
aldea de bororos,,08,-16.3833333,-58.4
alegre,,06,-10.3666667,-67.3166667
alegre,,08,-15.1,-60.4666667
alegrete,,03,-10.75,-65.5666667
alejandria,,03,-12.0666667,-65.15
algarrobal,,02,-18.05,-65.05
algarrobal,,09,-21.3333333,-63.3666667
algarrobilla,,09,-21.3666667,-63.5
algarrobillo,,08,-18.1,-62.95
algarrobillos,,09,-21.9166667,-63.1833333
algodonal,,01,-20.3833333,-64.4166667
algodonal,,08,-17.95,-64.1833333
algodonal,,09,-21.3666667,-63.75
alianza,,03,-10.9333333,-66.05
alianza,,04,-15.7,-67.25
alianza,,05,-19.85,-67.7333333
alianza,,06,-11.2666667,-68.4166667
alianza,,07,-20.6333333,-66.2333333
alianza,,08,-14.3166667,-62.2666667
aliaza,,03,-10.9333333,-66.05
alicia,,06,-10.9833333,-69.0333333
alisani,,02,-16.9,-66.6666667
alisas,,09,-21.85,-64.9333333
aliso mayu,,01,-19.3,-64.6666667
alisuni,,02,-16.9,-66.6666667
alizos,,09,-21.85,-64.9333333
allagracia,,06,-11.6,-68.25
allallica,,04,-16.8,-67.9666667
allangua,,01,-19.8,-63.7666667
allita,,07,-20.4,-66.6
allitas,,07,-20.4,-66.6
allituma,,05,-19.3166667,-68.3666667
allpacoma,,04,-16.5333333,-68.15
allpakeri,,04,-17.9333333,-69.0833333
