names,population,state_code,lat,lon
10 de novembro,,26,-27.0333333,-50.9333333
13 de maio,,26,-28.5833333,-49.1666667
14 de maio,,11,-22.5333333,-54.35
15 de novembro,,23,-28.75,-53.1
21 de abril,,23,-28.6333333,-54.1166667
23 de julho,,23,-27.9666667,-54.6166667
25 de julio,,08,-19.7666667,-40.6
28 de setembro,,23,-29.1,-51.8666667
2 de julho,,05,-12.0666667,-38.9666667
2 de novembro,,24,-8.85,-62.2833333
3 buritys,,24,-12.1666667,-60.0833333
3 de maio,,23,-27.7833333,-54.2333333
3 do maio,,23,-27.7833333,-54.2333333
3 ilhas,,15,-22.0322222,-43.4894444
3 vendas,,23,-29.85,-53.0166667
7 voltas,,11,-21.7833333,-55.1833333
a. alvarenga,,15,-20.7,-45.3666667
aba,,17,-6.7166667,-37.9833333
abacate,,03,0.3166667,-50.8833333
abacate,,04,-3.9463889,-62.9038889
abacate,,16,-1.1166667,-49.65
abacaxi,,04,-3.9166667,-58.75
abacaxis,,04,-3.9166667,-58.75
abacaxy,,04,-3.9166667,-58.75
aba da serra,,06,-5.9166667,-39.5166667
abade,,16,-0.7,-47.8833333
abadia,,05,-11.5666667,-37.5
abadia,,15,-17.7166667,-43.1
abadia,,21,-21.7333333,-41.2333333
abadia de pitangui,,15,-19.3333333,-45.2166667
abadia do pitangui,,15,-19.3333333,-45.2166667
abadia dos dourados,,15,-18.4666667,-47.4
abadiania,7062,29,-16.1,-48.8
abaete,20371,15,-19.15,-45.45
abaete,,16,-1.7,-48.9
abaetetuba,78052,16,-1.7,-48.9
abaetezinho,,16,-1.0333333,-47.7
abaiara,,06,-7.35,-39.05
abaiba,,15,-21.6,-42.5
abaira,,05,-13.2833333,-41.7
abaitinga,,27,-24.0333333,-48.05
abapa,,18,-24.95,-49.8166667
abapan,,18,-24.95,-49.8166667
a. barauna,,17,-7.1166667,-36.95
a. barbosa,,11,-21.6333333,-55.5333333
abare,,05,-8.7166667,-39.1166667
abarracamento,,21,-22.2,-43.5
abate,,23,-28.1,-52.9166667
abatia,,18,-23.3166667,-50.3
abbadia,,05,-11.5666667,-37.5
abbadia,,15,-19.3333333,-45.2166667
abbadia dos dourados,,15,-18.4666667,-47.4
abdon batista,,26,-27.6166667,-50.9833333
abel,,15,-22.9,-46.1333333
abelardo luz,,26,-26.6,-52.35
abelar do luz,,26,-27.35,-51.6833333
abelha,,11,-21.3333333,-57.7
abelhas,,11,-21.3333333,-57.7
abelhas,,22,-5.9480556,-36.0619444
abertao,,15,-22.3,-45.7833333
abico,,04,-3.15,-64.2666667
abismo,,01,-10.7166667,-70.45
abobora,,06,-5.85,-40.4166667
abobora,,20,-10.7041667,-45.0558333
aboboras,,05,-9.8166667,-40.05
aboboras,,20,-10.7041667,-45.0558333
aboboras,,30,-7.8666667,-38.2333333
abobral,,11,-21.2,-56.8333333
abolicao,,14,-15.7333333,-55.6666667
abolicao,,23,-30.8666667,-52.25
aborrecido,,06,-2.8938889,-40.9186111
abraao,,21,-23.1333333,-44.1666667
abraao,,24,-9.0,-63.2666667
abrahao,,21,-23.1333333,-44.1666667
abrahao,,24,-9.0,-63.2666667
abranches,,18,-25.2666667,-49.8166667
abrantes,,05,-12.8166667,-38.2666667
abre campo,,15,-20.3,-42.4833333
abreu,,13,-3.3502778,-42.4197222
abreu,,20,-7.8,-45.5
abreu,,23,-29.9333333,-57.1833333
abreu e lima,81960,30,-7.9,-34.8833333
abreulandia,,31,-9.5655556,-49.0563889
abreus,,05,-10.0,-40.6833333
abreus,,15,-21.0,-43.3
abucari,,04,-5.0166667,-62.7833333
abufari,,04,-5.3963889,-63.0905556
abufary,,04,-5.3963889,-63.0905556
abuna,,24,-9.7,-65.3833333
abunai,,04,-1.8333333,-66.55
abunan,,24,-9.7,-65.3833333
abundancia,,13,-4.1166667,-44.6
abura,,17,-7.35,-35.4333333
abutari,,04,-5.3963889,-63.0905556
acaa,,05,-12.3666667,-43.3
acaam,,05,-12.3666667,-43.3
academia,,04,-6.95,-71.2511111
acaiaca,,15,-20.35,-43.15
acai,,01,-8.2666667,-73.1
acai,,18,-23.3666667,-50.8166667
acai,,27,-21.3833333,-48.9833333
acaituba,,04,-7.0166667,-64.5833333
acaituba,,25,0.65,-61.55
acaju,,05,-13.0333333,-39.5333333
acajutiba,14349,05,-11.6666667,-38.0166667
acampamento,,01,-7.45,-73.6666667
acampamento,,13,-3.6483333,-42.9625
acampamento,,16,-1.0,-57.0166667
acampamento grande,,03,0.3,-53.0666667
acampamonte,,20,-6.9833333,-41.1666667
acapucai,,23,-29.8333333,-51.15
acara,,04,-4.3694444,-59.6602778
acara,,13,-3.4166667,-45.3166667
acara,12803,16,-1.95,-48.1833333
acarahu,,06,-2.8833333,-40.1166667
acarahy,,04,-3.4166667,-68.25
acarai,,04,-3.4166667,-68.25
acarai,,05,-13.95,-39.1166667
acarai,,06,-3.0166667,-39.6333333
acarai,,15,-19.5833333,-41.4833333
acara-mirim,,13,-3.5333333,-45.3666667
acara-mirim,,16,-2.4,-48.2833333
acarape,,06,-3.6666667,-40.9666667
acarau,28389,06,-2.8833333,-40.1166667
acare,,06,-6.8666667,-39.8666667
acari,,05,-9.1333333,-40.0833333
acari,,16,-1.6166667,-47.55
acari,,21,-22.8261111,-43.3447222
acari,9159,22,-6.5166667,-36.6333333
acari,,25,3.8333333,-61.4
acary,,22,-6.5166667,-36.6333333
a. cassara,,24,-13.2166667,-62.1
acaua,,13,-2.6833333,-45.15
acaua,,20,-8.2,-41.0833333
acaua,,30,-7.8833333,-39.1333333
acau,,17,-7.1166667,-35.35
acaua de baixo,,30,-7.9,-39.15
accioly,,08,-19.6666667,-40.4666667
acegua,,23,-31.8666667,-54.15
aceme,,30,-8.1333333,-38.95
acesita,,15,-19.5333333,-42.6333333
aciline,,03,-0.3833333,-52.1
acima,,04,-7.7166667,-65.8833333
acioli,,08,-19.6666667,-40.4666667
acopiara,24562,06,-6.1,-39.45
acoriana,,23,-32.1166667,-52.6166667
acorizal,,14,-15.2,-56.3666667
acotea,,23,-31.7666667,-53.8
acoteia,,23,-31.7666667,-53.8
acougue,,05,-11.9833333,-40.4166667
acougue,,06,-3.45,-40.0666667
acre,,20,-10.8833333,-45.0833333
acua,,20,-8.2,-41.0833333
acu,,04,-4.1322222,-62.34
acu,,05,-12.5,-38.9666667
acu,,13,-2.1666667,-44.6333333
acu,36126,22,-5.5772222,-36.9075
acuarana,,02,-9.6333333,-36.95
acucena,14506,15,-19.0666667,-42.5333333
acu da torre,,05,-12.55,-38.0
acude,,02,-9.4166667,-36.6333333
acude,,05,-13.8333333,-41.4
acude,,06,-3.1666667,-40.4333333
acude,,13,-4.1166667,-44.9333333
acude,,15,-20.7833333,-46.45
acude,,17,-6.8333333,-38.0166667
acude,,20,-4.6,-41.4666667
acude,,30,-8.0333333,-37.6666667
acude angelim,,30,-8.8833333,-36.2833333
acude de baixo,,30,-8.0166667,-38.6
acude de leite,,17,-6.65,-37.75
acude de macaubas,,05,-13.0,-42.5333333
acude do mado,,06,-7.4166667,-38.7666667
acude do meio,,30,-7.8833333,-37.3666667
acude dos alves,,17,-7.5166667,-38.4166667
acude dos carlos,,30,-7.75,-37.8833333
acude do severino,,17,-7.3666667,-37.8333333
acude novo,,06,-6.0833333,-38.4833333
acude novo,,22,-5.9180556,-37.0861111
acudes,,22,-6.25,-37.8
acude tapuio,,22,-6.1333333,-38.0833333
acude velho,,06,-3.75,-40.2166667
acude velho,,17,-7.1166667,-36.3666667
acude velho,,20,-3.7180556,-42.2438889
acude velho,,22,-5.8716667,-36.0780556
acudina,,05,-13.2,-44.1666667
acudinho,,06,-3.3833333,-39.9333333
acudinho,,17,-7.7166667,-38.5833333
acudinho,,20,-6.6166667,-40.65
acudinho,,30,-8.1,-36.4166667
acungui,,18,-24.9833333,-49.5
acupe,,05,-12.65,-38.75
acuria,,01,-9.0666667,-72.65
acurizal,,14,-15.2,-56.3666667
acurizal,,24,-13.5166667,-61.7333333
acurui,,15,-20.2,-43.7333333
acuru tendi,,11,-23.7166667,-54.7833333
acutinga,,05,-12.6166667,-38.8166667
acutuba,,04,-4.0738889,-62.4458333
adalberto,,21,-22.3166667,-41.9
adamantina,31079,27,-21.6833333,-51.0666667
adao candido lima,,15,-20.85,-46.2666667
adelia,,04,-6.8763889,-71.1233333
adelino,,15,-21.0666667,-45.8166667
adelino franca,,15,-16.45,-41.8833333
adeque,,22,-6.0333333,-36.95
adiquinhao,,22,-5.9480556,-37.3722222
adolfo,,26,-26.7333333,-51.0333333
adolfo,,27,-21.2333333,-49.65
adolfo,,31,-11.63,-49.2225
adolfo conder,,26,-26.7333333,-51.0333333
adolfo correia,,15,-20.4,-45.0833333
adolfo konder,,26,-26.7333333,-51.0333333
adolpho conder,,26,-26.7333333,-51.0333333
adolpho condor,,26,-27.2,-49.8
adonis,,15,-20.2666667,-41.9333333
adrianopolis,,18,-24.6666667,-49.0
adrianopolis,,21,-22.6577778,-43.4872222
adustina,,05,-10.5333333,-38.1166667
aelegrete,,11,-21.3833333,-54.75
afeto,,20,-8.2333333,-40.7833333
affligidos,,05,-12.4833333,-38.85
affonso,,14,-14.5,-57.0
affonso arinos,,15,-15.9166667,-46.0666667
affonso camargo,,18,-23.5,-49.9666667
affonso claudio,,08,-20.0833333,-41.1333333
affonso penha,,08,-19.6833333,-41.0166667
affonso penna,,05,-12.8,-39.2
affonso penna,,06,-6.1,-39.45
affua,,16,-0.1666667,-50.3833333
afligidos,,05,-12.4833333,-38.85
afogados,,30,-7.75,-37.65
afogados da ingazeira,25060,30,-7.75,-37.65
afonso,,11,-21.95,-53.5166667
afonso,,14,-14.5,-57.0
afonso,,15,-16.4166667,-40.8666667
afonso,,21,-22.4,-42.6
afonso arinos,,21,-22.0097222,-43.3388889
afonso bezerra,6947,22,-5.4980556,-36.5091667
afonso claudio,13543,08,-20.0833333,-41.1333333
afonso de paula,,15,-20.0166667,-45.2833333
afonso martins,,15,-16.4833333,-40.9166667
afonso nonato,,15,-16.25,-40.55
afonso pena,,05,-12.8,-39.2
afonso-pena,,06,-6.1,-39.45
afonso pena,,08,-19.6833333,-41.0166667
afonsopolis,,05,-18.1333333,-39.7833333
afonso souto,,23,-29.9666667,-55.2
afranio,,30,-8.5166667,-41.0
afranio peixoto,,05,-12.2833333,-41.4166667
afua,7031,16,-0.1666667,-50.3833333
agachi,,11,-20.0666667,-56.3
agarrado,,04,-5.3736111,-59.9730556
agenor alves,,15,-19.3833333,-50.0666667
agiota,,30,-8.0333333,-38.4166667
agisse,,27,-22.5166667,-50.9166667
agostinho,,01,-9.95,-68.55
agostinho,,11,-18.2666667,-55.2833333
agostinho,,27,-21.4,-47.55
agostinho,,30,-7.8333333,-37.2666667
agostinho porto,,21,-22.7927778,-43.3827778
agostinho rodrigues,,11,-19.45,-56.5666667
agreate,,06,-5.5833333,-40.6
agreste,,02,-9.5833333,-37.2833333
agreste,,05,-13.8666667,-43.2333333
agreste,,06,-5.9,-39.8333333
agreste,,30,-8.35,-36.8666667
agrestina,14453,30,-8.45,-35.95
agrinco,,18,-24.9166667,-53.0166667
agrovila,,18,-25.4097222,-50.5719444
agua amarela,,03,0.3833333,-52.1833333
agua amarela,,18,-25.9166667,-50.1166667
agua amarela,,31,-5.7666667,-48.05
agua amarella,,18,-25.9166667,-50.1166667
agua azul,,11,-21.9333333,-56.1833333
agua azul,,18,-25.8,-50.2
agua azul,,20,-6.1833333,-41.5833333
agua bela,,05,-14.3333333,-40.7
agua bela,,15,-16.1666667,-40.8166667
agua bela,,17,-6.7666667,-37.9333333
agua bela,,20,-5.8166667,-42.8333333
agua boa (1),,06,-3.05,-40.4333333
agua boa (2),,06,-3.4166667,-39.3166667
agua boa,,05,-12.4166667,-44.6166667
agua boa,,06,-4.15,-39.3166667
agua boa,,08,-19.7666667,-40.2833333
agua boa,,15,-17.9833333,-42.4
agua boa,,18,-23.5,-52.1666667
agua boa,,25,2.6666667,-60.7666667
agua bonita,,27,-22.7333333,-47.75
agua bonita,,31,-13.0333333,-49.8166667
agua branca,5161,02,-9.2833333,-37.9166667
agua branca,,05,-12.5666667,-38.45
agua branca,,06,-6.4333333,-38.7833333
agua branca,,13,-3.0825,-42.0377778
agua branca,,14,-16.25,-55.4666667
agua branca,,15,-14.75,-43.4166667
agua branca,,17,-7.5166667,-37.6666667
agua branca,,18,-24.5,-49.5166667
agua branca,13912,20,-5.8833333,-42.6333333
agua branca,,22,-6.0333333,-37.8333333
agua-branca,,27,-23.2469444,-47.6555556
agua branca,,30,-7.8333333,-37.5833333
agua branca de cima,,20,-5.1666667,-41.2666667
aguacerita,,14,-15.8166667,-58.75
agua clara,,11,-20.45,-52.8666667
agua clara,,18,-24.0333333,-50.2833333
agua clara,,26,-27.1166667,-48.9166667
agua clara,,27,-21.5333333,-50.5666667
agua comprida,,05,-12.3166667,-37.9
agua comprida,,15,-20.0666667,-48.1333333
aguacu,,11,-19.45,-57.7
aguacu,,14,-15.15,-56.0166667
aguacuzinho,,11,-19.2,-56.4666667
aguada,,05,-12.7166667,-42.2333333
aguada nova,,05,-11.45,-41.8
aguada nova,,15,-16.3,-41.1833333
agua da rega,,05,-12.1166667,-41.7333333
agua da rosa,,27,-22.7166667,-48.6166667
agua de rega,,05,-12.1166667,-41.7333333
agua de rego,,05,-12.1166667,-41.7333333
aguado,,05,-12.7166667,-42.2333333
agua do boi,,18,-25.5666667,-52.4
agua doce,,03,2.6,-50.8333333
agua doce,,05,-14.8,-39.8333333
agua doce,,06,-5.3166667,-39.2666667
agua doce,,08,-18.55,-40.9833333
agua doce,,17,-7.6666667,-36.6833333
agua doce,,26,-27.0,-51.55
agua doce,,29,-15.1833333,-56.8166667
agua doce do mantena,,08,-18.55,-40.9833333
agua emendada,,14,-15.9,-54.3
agua ferro,,21,-22.955,-43.9088889
agua fetida,,05,-12.5333333,-43.5666667
agua fina,,14,-14.2666667,-55.9666667
agua fria,,05,-11.85,-38.7666667
agua fria,,06,-6.3666667,-39.05
agua fria,,08,-18.4333333,-40.4
agua fria,,11,-21.3833333,-55.3
agua fria,,13,-3.1697222,-43.4797222
agua fria,,14,-15.1833333,-55.75
agua fria,,15,-18.5666667,-47.7666667
agua fria,,17,-6.8833333,-37.5
agua fria,,27,-23.35,-46.8833333
agua fria,,30,-7.9166667,-40.5
agua grande,,05,-12.3166667,-38.4333333
aguai,27503,27,-22.0666667,-46.9666667
agua limpa,,05,-17.3833333,-40.1666667
agua limpa,,08,-18.8333333,-40.6666667
agua limpa,,11,-19.35,-54.7
agua limpa,,13,-3.4088889,-43.4394444
agua limpa,,14,-14.3833333,-57.75
agua limpa,,15,-19.15,-48.3333333
agua limpa,,20,-6.2166667,-41.3666667
agua limpa,,27,-22.1666667,-48.85
agua-limpa,,29,-17.1,-50.1166667
agua limpa,,29,-18.1,-48.7666667
aguamare,,22,-5.1063889,-36.3202778
aguanil,,15,-20.95,-45.3833333
