names,population,state_code,lat,lon
abercorn,,24,22.3666667,-73.95
abraham bay,,16,22.3666667,-72.9666667
abraham's bay,,16,22.3666667,-72.9666667
adderleys,,15,23.6,-75.3
adderly,,15,23.6,-75.3
adelaide,,23,25.0,-77.5166667
albert town,25,24,22.6,-74.35
alexander,,10,23.65,-76.0166667
alice town,950,05,25.7166667,-79.3
alice town,,27,25.3333333,-76.4333333
allen,,35,23.95,-74.5166667
alligator bay settlement,,15,23.45,-75.2166667
alver town,,24,22.6,-74.35
anderson,,15,23.5333333,-75.2333333
anderson,,24,22.6166667,-73.8666667
andersons,,15,23.2166667,-75.0833333
andros town,2456,26,24.7,-77.7666667
anne's tract settlement,,10,23.6833333,-76.05
arthur's town,,06,24.6333333,-75.7
arthur town,,06,24.6333333,-75.7
august town,,32,25.0333333,-77.9833333
bahring point,,30,24.45,-77.7166667
bailey's town,,05,25.7333333,-79.3
bailey town,,05,25.7333333,-79.3
bailey town,,06,24.15,-75.3166667
bains,,15,23.45,-75.2166667
bain town,,06,24.15,-75.3833333
bain town,,25,26.5166667,-78.7833333
bannerman town,,33,24.6333333,-76.1666667
barataria settlement,,10,23.6833333,-76.0333333
baraterre,,10,23.6833333,-76.0333333
bar bay settlement,,22,25.3833333,-76.8
bastian point,,30,24.2333333,-77.6333333
bayley's town,,05,25.7333333,-79.3
bayley town,,05,25.7333333,-79.3
behring point,,30,24.45,-77.7166667
behring point settlement,,30,24.45,-77.7166667
belair estates,,23,25.0166667,-77.3666667
bennet harbour,,06,24.5833333,-75.6333333
bennets harbour,,06,24.5833333,-75.6333333
bennetts harbor,,06,24.5833333,-75.6333333
bennett's harbour,,06,24.5833333,-75.6333333
bennett's harbour settlement,,06,24.5833333,-75.6333333
berrys,,15,22.95,-74.8833333
berrys settlement,,15,22.95,-74.8833333
betsy bay,,16,22.4166667,-73.1333333
bevans town,,29,26.6,-78.3166667
binnacle hill,,24,22.3166667,-74.1333333
binnacle hill settlement,,24,22.3166667,-74.1333333
black point,,10,24.1,-76.3833333
black point,,30,23.9833333,-77.55
black point settlement,,30,23.9833333,-77.55
blackwood village,,28,26.8,-77.4333333
blair estates,,23,25.05,-77.3
blanket sound,,26,24.85,-77.9
bluff,,05,25.7833333,-79.3166667
bluff,,06,24.5166667,-75.5833333
bluff,,22,25.5,-76.7333333
bluff settlement,,06,24.5166667,-75.5833333
bluff settlement,,22,25.5,-76.7333333
bogue,,22,25.45,-76.6666667
bowen sound,,26,24.5833333,-77.7333333
bowers,,15,23.25,-75.0833333
bradford,,23,25.0666667,-77.5166667
brandy hill,,35,24.0833333,-74.4333333
braudie point,,25,26.5333333,-78.7333333
braudies point,,25,26.5333333,-78.7333333
browns,,24,22.7166667,-74.0333333
buckleys,,15,23.15,-75.0833333
bullock harbour,,32,25.7833333,-77.85
bullocks harbour,,32,25.7833333,-77.85
bullocks harbour settlement,,32,25.7833333,-77.85
burnt ground,,15,23.6166667,-75.2833333
burnt ground settlement,,15,23.6166667,-75.2833333
cabbage hill,,24,22.75,-74.2166667
cabbage point,,15,22.9166667,-74.8833333
cabbage point settlement,,15,22.9166667,-74.8833333
cable beach,,23,25.0666667,-77.4
cairey's,,06,24.4833333,-75.5666667
calabash bay,,26,24.7333333,-77.8
calvin hill,,10,23.6,-75.9666667
camperdown,,23,25.05,-77.2666667
cargill creek,,26,24.5,-77.7166667
carmichael village,,23,25.0166667,-77.4333333
cartwright,,15,23.1333333,-75.0666667
cedar harbor,,28,26.9166667,-77.6333333
cedar harbour,,28,26.9166667,-77.6333333
charokee sound settlement,,31,26.2833333,-77.0333333
cherokee,,31,26.2833333,-77.0333333
cherokee settlement,,31,26.2833333,-77.0333333
cherokee sound,,31,26.2833333,-77.0333333
cherokee village,,31,26.2833333,-77.0333333
cheroki sound,,31,26.2833333,-77.0333333
chesters,,24,22.7,-73.9166667
church grove,,24,22.75,-74.2166667
city of nassau,,23,25.0833333,-77.35
clarence,,15,23.1,-74.9833333
clarence town,1751,15,23.1,-74.9833333
clifton,,23,25.0166667,-77.5666667
coakley town,,26,24.7333333,-77.8166667
coakly town,,26,24.7333333,-77.8166667
cockburn town,831,35,24.0333333,-74.5166667
colebrooke dale,,27,25.2,-76.25
colebrooke town,,27,25.2,-76.25
colonel hill,240,24,22.7666667,-74.2166667
conch sound,,32,25.1166667,-77.9833333
congo town,,30,24.1666667,-77.5833333
cooper's town,,28,26.8666667,-77.5166667
coral harbor,,23,24.9666667,-77.4666667
coral harbour,,23,24.9666667,-77.4666667
coral heights,,23,25.0,-77.45
cornishtown,,28,26.75,-77.4666667
cove,,06,24.4166667,-75.5333333
cove settlement,,06,24.4166667,-75.5333333
creek village,,23,25.0666667,-77.3
cripple hill,,24,22.7833333,-74.2333333
crossing rocks,,31,26.1333333,-77.1833333
crossing rock settlement,,31,26.1333333,-77.1833333
crown haven,,28,26.9,-77.8166667
cunningham,,23,25.0833333,-77.4333333
current,,22,25.4333333,-76.7833333
current island settlement,,22,25.3833333,-76.8
current settlement,,22,25.4333333,-76.7833333
curtis,,10,23.6333333,-75.9666667
davis settlement,,06,24.25,-75.35
deadmans cay,,15,23.1666667,-75.0833333
deadmans cay settlement,,15,23.1666667,-75.0833333
deep creek,,30,24.0,-77.55
deep creek,,33,24.7833333,-76.3
deep creek settlement,,33,24.7833333,-76.3
delancey town,,33,24.7666667,-76.2666667
delectable bay,,24,22.4333333,-74.0333333
delectable bay settlement,,24,22.4333333,-74.0333333
delectable,,24,22.4333333,-74.0333333
devil point,,06,24.1166667,-75.4666667
devil's point,,06,24.1166667,-75.4666667
devil's point settlement,,06,24.1166667,-75.4666667
dixons,,35,24.1,-74.45
doctor's creek,,15,23.4666667,-75.2166667
douds,,06,24.2666667,-75.4
douds settlement,,06,24.2666667,-75.4
driggs hill,,30,24.2,-77.6
driggs hill settlement,,30,24.2,-77.6
dumfries,,06,24.6333333,-75.6666667
dumfries settlement,,06,24.6333333,-75.6666667
duncan town,70,18,22.1908333,-75.7258333
dundas town,,31,26.55,-77.0833333
dunmore,,15,23.05,-74.9
dunmore settlement,,15,23.05,-74.9
dunmore town,1523,22,25.5,-76.65
eight mile rock,,25,26.5166667,-78.7833333
englerston,,23,25.05,-77.3333333
evil point,,06,24.1166667,-75.4666667
exuma harbour estates,,10,23.5,-75.7666667
fairfield,,24,22.7833333,-74.2166667
farmer's hill,,10,23.6,-75.9
farmers hill settlement,,10,23.6,-75.9
farquharson,,35,24.0,-74.4666667
fire road village,,28,26.85,-77.5
forbes,,10,23.4666667,-75.65
forbes hill,,10,23.4666667,-75.65
ford,,15,22.9166667,-74.8666667
forest,,10,23.5833333,-75.9166667
forest settlement,,10,23.5833333,-75.9166667
fortune hill,,35,24.0166667,-74.45
fox town,,28,26.9166667,-77.8
freeport city,,25,26.5333333,-78.7
freeport,46535,25,26.5333333,-78.7
freetown,,06,24.2833333,-75.4166667
freetown,,25,26.5666667,-78.45
freetown settlement,,06,24.2833333,-75.4166667
french wells,,24,22.6833333,-74.3
french wells settlement,,24,22.6833333,-74.3
fresh creek,,26,24.7333333,-77.8166667
gaiters settlement,,06,24.4666667,-75.55
gaitor's,,06,24.4666667,-75.55
galloway landing,,15,23.0833333,-75.05
gambier village,,23,25.0666667,-77.5
georgetown,,10,23.5,-75.7666667
gilbert grant,,10,23.6,-75.9166667
glenelg,,27,24.9666667,-76.1833333
glenelg settlement,,27,24.9666667,-76.1833333
glintons,,15,23.6333333,-75.3
golden gates estates,,23,25.0166667,-77.35
golden grove,,24,22.4666667,-73.9
golden grove,,29,26.6,-78.3333333
goodwill,,24,22.5166667,-73.8666667
gordon's,,15,22.8666667,-74.85
gordons settlement,,15,22.8666667,-74.85
governor harbor,,27,25.1666667,-76.2333333
governor harbour,,27,25.1666667,-76.2333333
governors harbor,,27,25.1666667,-76.2333333
governor's harbour,,27,25.1666667,-76.2333333
grays,,15,23.25,-75.1
great guana cay,,31,26.6666667,-77.1166667
green castle,,33,24.8166667,-76.25
green turtle cay,,28,26.8333333,-77.3833333
green turtle cay settlement,,28,26.8333333,-77.3833333
green turtle key,,28,26.8333333,-77.3833333
green turtle village,,28,26.8166667,-77.45
gregory town,,27,25.4,-76.55
halls landing,,35,24.0,-74.5166667
harbour estate,,35,24.1,-74.5166667
harbour island,,22,25.5,-76.65
hard bargain,,15,23.0166667,-74.8833333
hard bargain,,26,24.75,-77.8333333
hard bargain,,34,26.3166667,-77.5666667
hard bargain,,35,24.0666667,-74.45
hard bargain settlement,,15,23.0166667,-74.8833333
hard bargin,,34,26.3166667,-77.5666667
hard hill,,24,22.6,-73.8666667
harts bay hill,,06,24.4166667,-75.5333333
hartswell,,10,23.4333333,-75.6666667
hatchet bay,,27,25.3333333,-76.4333333
hatchet bay limited settlement,,27,25.3333333,-76.4333333
hawksbill,,25,26.5,-78.7333333
hawks nest,,06,24.15,-75.5333333
hermitage,,10,23.5166667,-75.8333333
highbury park,,23,25.0333333,-77.3166667
high rock,3744,29,26.6208333,-78.2833333
high rock,,30,24.1666667,-77.5833333
high rock settlement,,30,24.1666667,-77.5833333
high rocks,,29,26.6208333,-78.2833333
high rock village,,29,26.6208333,-78.2833333
holdiday track,,35,24.0166667,-74.45
holmes rock,,25,26.5333333,-78.8
holmes' rock village,,25,26.55,-78.8333333
hope estate,,25,26.6666667,-78.9333333
hope town,,31,26.55,-76.95
hope town settlement,,31,26.55,-76.95
hunter settlement,,25,26.4833333,-78.7166667
hunters,,25,26.4833333,-78.7166667
industrious hill,,06,24.45,-75.55
industrious hill settlement,,06,24.45,-75.55
james cistern,,27,25.3166667,-76.3666667
james's cistern,,27,25.3166667,-76.3666667
jimmy hill,,10,23.5666667,-75.8666667
john millars,,33,24.6833333,-76.1833333
kemps bay,,30,24.0333333,-77.55
