names,population,state_code,lat,lon
alla,,22,27.35,89.9666667
ama,,22,27.35,89.9
atsho chhubar,,13,27.4833333,89.4
bachap,,08,26.9833333,89.8166667
balfai,,12,27.2166667,91.5
bali,,18,27.2166667,90.7166667
barshong,,20,27.7,89.55
benkar,,19,27.3166667,91.5666667
beteni,,07,27.0333333,90.2333333
bhangbarai,,09,27.2666667,90.3
bhangtar,,17,26.8166667,91.7166667
bhurgaon,,09,26.9,90.4333333
bioka,,18,26.9,90.9166667
bitana,,09,27.05,90.3
borshang,,20,27.7,89.55
bumtang,,05,27.55,90.7166667
bumtang tang,,05,27.6,90.8166667
bumthang,,05,27.6,90.8166667
buri chu,,07,27.0,90.2166667
byakar dzong,,05,27.55,90.7166667
byaradingka,,20,27.7666667,89.45
chalaika,,08,27.0833333,89.8666667
chamarchi,,16,26.9,89.1
chanchukha dzong,,09,27.1333333,90.35
changchukha dzong,,09,27.1333333,90.35
changra,,21,27.4,90.4666667
chapcha,,06,27.2,89.55
chapchha,,06,27.2,89.55
cha-shih-ch'u-tsung,,20,27.4833333,89.6166667
chemaito,,22,27.5,90.2833333
chendebi,,21,27.45,90.3333333
chengmari,,16,26.9166667,89.0333333
chengmore,,16,26.9166667,89.0333333
chhukha,1203,06,27.0666667,89.5833333
chhukha dzong,,06,27.0666667,89.5833333
chilo,,22,27.55,90.0
chirang,,07,27.0666667,90.1
chukha,,06,27.0666667,89.5833333
chungkar,,14,27.05,91.4166667
chuyul,,13,27.5333333,89.3
daga,,08,27.0666667,89.8833333
dagapela,,07,26.9333333,89.95
daifam,,17,26.9,92.1
dam,,08,27.1166667,89.7666667
damecha,,12,27.3,91.45
dametsi,,12,27.3,91.45
damoitsi,,12,27.3,91.45
damotse,,12,27.3,91.45
damphu,2040,07,27.0166667,90.1
damthang,,10,27.4166667,89.35
daphu,,06,26.9666667,89.3833333
dawakha,,15,27.6666667,89.9166667
demtsi,,12,27.3,91.45
denchukha,,16,27.0166667,89.25
denehukha,,16,27.0166667,89.25
dewangiri,,17,26.8666667,91.4666667
dhaje,,07,26.9666667,90.1166667
dhur,,05,27.6,90.65
diptsang,,17,27.05,91.9833333
dogsar,,11,27.95,91.0333333
domaphu,,07,27.0166667,90.1
domka,,12,27.0666667,91.0666667
donkar,,11,27.6,91.1833333
doring,,10,27.2,89.2
dorkha,,16,27.0166667,89.2166667
dorokha,,16,27.0166667,89.2166667
doronagaon,,07,26.8333333,89.8166667
dotanang,,20,27.5833333,89.6333333
drugyel dzong,,13,27.5,89.3333333
duna dzong,,06,27.0333333,89.4
dungna,,06,27.0333333,89.4
du phodrang,,22,27.4833333,89.9
dzongsa dzong,,16,27.1,88.8833333
galechugaon,,09,27.0,90.5333333
gangtey gonpa,,22,27.5,90.1666667
gasa dzong,,15,27.9166667,89.6833333
gasa,1612,15,27.9166667,89.6833333
gasila,,22,27.3333333,89.8
gesekha,,10,27.4166667,89.25
geylegphug,7464,09,26.85,90.5
ghunkarah,,19,27.4,91.5666667
giala,,22,27.3666667,89.9666667
gnimthenla,,07,26.9,89.85
gongchuandgaon,,09,27.0333333,90.4333333
go)nphu,,18,27.0833333,90.7666667
gyepozhing,,12,27.1833333,91.1666667
gyetsa,,05,27.5166667,90.6333333
ha dzong,,10,27.3666667,89.2833333
ha,1505,10,27.3666667,89.2833333
haracha,,07,27.1833333,90.0333333
hatisar,,09,26.85,90.5
hilari,,10,27.4,88.9833333
hlari,,10,27.4,88.9833333
jakar,4829,05,27.55,90.7333333
jokhar dzong,,05,27.55,90.7333333
jumsa,,16,27.1,88.8833333
kagha,,21,27.5333333,90.4666667
kalikhola,,09,26.7166667,90.85
kamganka,,08,27.25,89.9666667
kangpar,,19,27.1666667,91.7333333
kechangka,,10,27.4166667,89.25
kechungka,,10,27.4166667,89.25
kencho,,15,27.75,89.7166667
kenga,,12,27.1,91.25
kengkhar,,12,27.1,91.25
khamna,,19,27.45,91.5833333
khampa,,19,27.45,91.5833333
khar,,14,27.0,91.35
khenpa dzong,,11,27.8166667,91.0833333
khitokha,,06,26.9,89.6166667
kisona,,08,27.25,90.0
kungtar,,11,27.5333333,91.05
kurjey,,05,27.6166667,90.7
kyapcha dzong,,06,27.2,89.55
lalai,,09,26.7833333,90.5166667
lamedada,,07,26.95,90.1333333
lamidangra,,07,26.9666667,90.1
lamti,,21,27.3333333,90.5666667
lao,,11,27.8166667,91.5
laya,,15,28.0666667,89.6833333
lenlung,,11,27.65,91.15
lhedang,,05,27.9166667,90.75
lhuntshi,1935,11,27.65,91.15
lhuntsi dzong,,11,27.65,91.15
lingshi dzong,,11,27.65,91.15
lingshi dzong,,20,27.9166667,89.4333333
lingshi,,20,27.9166667,89.4333333
lobnig,,06,27.15,89.55
louri,,19,27.1,91.9333333
lunana,,15,28.05,90.1666667
lung chen,,22,27.6333333,90.1833333
manikyangsa,,22,27.5333333,90.1
maogaon,,09,27.0333333,90.4
mochhu,,10,27.1333333,89.1166667
momai thang,,07,26.9166667,89.85
mongar dzong,,12,27.25,91.2
mongar,1397,12,27.25,91.2
monka,,11,27.3833333,91.1666667
nab chote,,21,27.5833333,90.4333333
naitola,,17,26.9,91.2666667
naktsang,,10,27.3833333,89.2666667
namtil,,21,27.3333333,90.4
namtir,,21,27.3333333,90.4
nangnang,,05,27.6,90.8833333
naspe,,05,27.6833333,90.7166667
ngalangkang,,19,27.45,91.5833333
nganglam,,17,26.7833333,91.25
niche kalikhola,,07,26.8833333,90.0666667
nimgong,,12,27.2,90.95
ningsang la,,19,27.1833333,91.8
ohemaito,,22,27.5,90.2833333
pachu,,06,26.9,89.35
pajo,,22,27.5333333,89.8833333
panbang,,18,26.8666667,90.9833333
pangkha,,18,26.95,90.8166667
panka,,18,26.95,90.8166667
paro dzong,,13,27.4333333,89.4166667
paro,4536,13,27.4333333,89.4166667
pemagatsel,1720,14,27.0333333,91.45
pengkhua,,09,26.7166667,90.05
phisugaon,,09,26.75,90.1
phunchholing,,06,26.85,89.3833333
phuntsholing,65892,06,26.85,89.3833333
phuntsoling,,06,26.85,89.3833333
pieksao,,18,26.9333333,90.9833333
pimi,,05,27.5666667,90.9833333
pinkhua,,09,26.7166667,90.05
pinsoperi,,08,27.1166667,89.95
punaka,,15,27.6166667,89.8666667
punakha,18170,15,27.6166667,89.8666667
punakla,,15,27.6166667,89.8666667
rading,,14,26.9666667,91.4666667
radi,,19,27.3666667,91.6833333
raga,,06,27.3,89.5333333
rapley,,16,27.1,89.2833333
rife,,05,27.8833333,90.5166667
rimpung dzong,,13,27.4333333,89.4166667
ritang,,22,27.55,90.1666667
rungzyung,,19,27.35,91.6666667
saidu,,11,27.8333333,90.9333333
sakden,,19,27.3833333,91.8666667
sakdon,,19,27.3833333,91.8666667
sakteng,,19,27.3833333,91.8666667
samchhi,,18,27.3,90.6166667
samchi,,16,26.8666667,89.1
samdrop,,21,27.4,90.5
samdrup choling,,21,27.4,90.5
samdrup jongkhar,14134,17,26.8166667,91.5666667
samdrup,,21,27.4,90.5
samtengang,,22,27.5333333,90.0
sana,,19,27.5833333,91.3833333
sanchi,,18,27.3,90.6166667
sangbay,,10,27.1666667,89.0833333
sangkari,,10,27.3,89.3166667
sarbhang,,09,26.8666667,90.2666667
sasoka,,05,27.75,90.8666667
sassi,,14,27.1333333,91.4333333
sawang,,11,27.7333333,91.2
sawaphu,,22,27.3666667,90.2
senghe dzong,,11,27.9166667,91.35
sengor,,05,27.3666667,91.0166667
shabling,,11,27.7333333,91.1166667
shali,,19,27.4833333,91.5666667
shamgong dzong,,18,27.2333333,90.65
shangong dzong,,18,27.2333333,90.65
