names,population,state_code,lat,lon
aphiri,,01,-22.55,27.5333333
babusi,,09,-24.6780556,25.9169444
badiri,,09,-24.6538889,25.9158333
bahonong,,08,-21.9666667,28.3333333
baines drift,,08,-22.4833333,28.75
bakops,,11,-21.0166667,24.3333333
bakwena,,09,-23.7666667,26.6
barachu,,03,-23.0166667,21.8166667
bebe,,11,-19.3833333,22.3333333
boatenwana,,06,-23.6166667,25.9166667
boatlaname,853,06,-23.6,25.8333333
bobonong,18136,08,-21.9666667,28.3333333
bogo gobo,,04,-26.65,21.9166667
boitshoko,,09,-24.6613889,25.9261111
bokaa,4131,06,-24.45,26.0166667
bokspits,547,04,-26.9,20.7
boleki village,,00,-19.9166667,25.1
bonapitse,,01,-23.0166667,26.6666667
bonapitse stadt,,01,-23.0166667,26.6666667
bonapitsi stadt,,01,-23.0166667,26.6666667
bontleng,,09,-24.6719444,25.9144444
bonwapitse,568,01,-23.0166667,26.6666667
borakalalo camp,,06,-24.4,25.5166667
borakalalop camp,,06,-24.4,25.5166667
borakanelo,,09,-24.6591667,25.9161111
botie,,11,-20.3333333,24.2833333
botlapatla,,06,-24.0333333,25.5333333
botswelelo,,09,-24.6566667,25.9233333
broadhurst,,09,-24.6408333,25.9211111
buitsiuang,,03,-21.9,21.3833333
buitsivango,,03,-21.9,21.3833333
bulukubalo,,00,-24.2333333,23.3166667
chichales,,11,-19.4166667,22.45
chiro pan,,11,-19.4666667,23.9333333
chor-he-samuke,,11,-20.7333333,24.4166667
chuaning,,09,-25.55,24.95
chuela,,01,-23.0166667,27.2166667
chukudu kraal,,03,-22.45,23.3833333
chuma,,00,-20.65,24.9166667
damara,,11,-20.25,22.4333333
dauga,,11,-20.7666667,24.4
dekar,1043,03,-21.5333333,21.9333333
demarara,,11,-20.4166667,22.75
detoie,,01,-21.55,25.6666667
dichaobe ramokwena,,00,-18.4833333,21.9833333
dichaobe ramokwenas,,00,-18.4833333,21.9833333
dilalelo,,09,-24.6641667,25.9205556
dinokana,,01,-22.9166667,27.5666667
dirolos,,11,-20.1166667,23.1666667
ditauana,,01,-21.9333333,26.95
ditsinane,,01,-21.4166667,25.8333333
dodo,,11,-18.75,25.4
dukwe,,01,-20.5833333,26.4166667
dukwe quarantine camp,,01,-20.5833333,26.4166667
duma,,11,-18.75,22.7666667
dumadumana,,06,-24.5872222,25.8744444
dutlwe,1126,10,-23.9833333,23.9
dwaha,,00,-20.9333333,24.65
five dunes,,04,-26.8333333,21.0
francistown,89979,08,-21.1666667,27.5166667
gabane,12884,06,-24.6666667,25.7822222
gaberones camp,,09,-24.6666667,25.9166667
gaberones,,09,-24.6463889,25.9119444
gaberones village,,09,-24.6463889,25.9119444
gaborone,208411,09,-24.6463889,25.9119444
gadyana pits,,00,-19.7333333,25.25
galekgatshwane,,06,-24.5191667,25.8075
gaphatshwe,,06,-24.5738889,25.8341667
gaphiri,,06,-24.5688889,25.7727778
garaditau,,06,-24.5105556,25.8411111
gehumdi,,11,-18.7833333,25.4166667
gerufa,,11,-19.2,25.95
geruf,,11,-19.2,25.95
ghanzi,12141,03,-21.5666667,21.7833333
goa,,00,-18.2833333,21.8333333
gobojango,,08,-21.8166667,28.7833333
gobokonkwane,,00,-19.5666667,25.5833333
gomo,,00,-21.1666667,24.5833333
gubujango,,08,-21.8166667,28.7833333
gucta,,00,-20.4,25.1
gutta,,00,-20.7166667,24.9666667
gwaraha,,00,-20.7666667,24.8333333
gweta,4689,00,-20.1833333,25.2333333
habangan,,08,-20.5666667,27.55
horeme,,01,-22.5166667,27.4333333
hukuntsi,4403,00,-24.0,21.75
ikwaka,,11,-18.9,22.3666667
inkangwe,,06,-24.0166667,25.8
jakops,,11,-21.0333333,24.3666667
janeng,,09,-25.4166667,25.55
joani,,11,-20.1333333,24.5
joverega,,11,-19.1333333,24.25
kabakai,,03,-21.7166667,21.6833333
kabulabula,,11,-17.8333333,24.9666667
kachikau,961,11,-18.1666667,24.4666667
kai-kai,,00,-19.8833333,21.1333333
kakamashe,,00,-23.3666667,20.0833333
kakhoudi,,01,-22.3166667,27.4
kakia,,04,-24.7833333,23.4
kakoaka,,11,-18.6666667,24.3666667
kakoro,,11,-18.9166667,22.7333333
kalakamati,962,08,-20.6333333,27.3
kalakshani,,08,-21.9,27.4
kalamare,2339,01,-22.8666667,26.5
kalkfontein,,03,-22.1166667,20.9
kangaras,,11,-18.8166667,22.5833333
kang,4229,00,-23.75,22.8333333
kanguma,,11,-17.9,24.7333333
kanye,44718,10,-24.9833333,25.35
karaka,,03,-21.7833333,21.3833333
karamechen,,08,-21.6166667,27.75
