names,population,state_code,lat,lon
abakumy,,02,51.9833333,30.85
aboltsy,,02,52.7,29.9166667
abraimavka,,04,54.1205556,30.975
abraimovka,,04,54.1205556,30.975
abramovichi,,01,52.2166667,24.0
abramovshchina,,03,54.6166667,26.6166667
abramowicze,,01,52.2166667,24.0
abramowszczyzna,,03,54.6166667,26.6166667
abramy,,06,54.85,26.6333333
achremowce,,07,55.5833333,27.1166667
achukeviche,,03,53.7333333,26.05
adamenka,,04,53.3688889,30.3147222
adamenki,,07,55.0422222,30.7888889
adaminka,,04,53.3688889,30.3147222
adamova,,07,54.7833333,29.9333333
adamoviche,,03,53.6833333,23.7333333
adamovichi,,03,53.6833333,23.7333333
adamovka,,02,52.2333333,30.45
adamovka,,07,54.6666667,28.65
adamovo,,01,52.05,25.25
adamovo,,06,54.1333333,26.3166667
adamovo,,07,55.6,28.3333333
adamovshchina,,03,54.3333333,25.8666667
adamovshchyzna,,03,54.3333333,25.8666667
adamowicze,,03,53.6833333,23.7333333
adamowo,,06,54.1333333,26.3166667
agalnitsa,,07,55.3,27.1
ageyevshchina,,04,53.9608333,30.4880556
ahalnica wielka,,07,55.3,27.1
akhremovtsy,,07,55.5833333,27.1166667
akriony,,02,52.2166667,28.6166667
aksakovshchina,,06,53.9333333,27.1
aksenkovichi,,04,53.75,29.6666667
aksenovka,,04,53.4116667,30.5427778
akshinka,,02,52.7880556,31.1658333
akshynka,,02,52.7880556,31.1658333
aksiutowo,,07,55.5,26.9666667
aksyutovo,,07,55.5,26.9666667
aktsyabr,,02,52.6741667,30.815
aktsyabrski,,02,52.6386111,28.8783333
akulinki,,02,51.9666667,29.3833333
akulintsy,,04,53.9669444,30.6411111
ala,,04,53.3166667,29.5
alashki,,07,55.3166667,27.1333333
alba,,01,52.75,25.0333333
albertin,,03,53.0833333,25.3833333
albertyn,,03,53.0833333,25.3833333
albinsk,,02,52.6333333,28.4666667
albrekhtovo,,07,55.8666667,28.85
albrekhtovo pervoye,,07,55.8666667,28.85
albrekhtovo vtoroye,,07,55.8666667,28.8333333
alekhnovo,,07,54.75,29.8666667
aleksandrina,,07,55.75,27.6833333
aleksandriya,,07,54.3333333,30.2833333
aleksandrov,,04,53.6563889,30.6705556
aleksandrovka,,02,51.4333333,29.5
aleksandrovka,,04,53.3988889,32.3113889
aleksandrovka,,06,53.6666667,28.7
aleksandrovka pervaya,,04,53.3488889,31.4952778
aleksandrovka vtoraya,,04,53.3711111,31.5188889
aleksandrovo,,04,53.4755556,30.6711111
aleksandrovo,,07,55.4166667,29.9833333
alekseyeviche,,01,52.2833333,25.0
alekseyevichi,,01,52.2833333,25.0
alekseyevka,,01,52.7333333,25.2666667
alekseyevka,,02,51.75,30.4166667
alekseyevka,,04,53.1794444,32.3291667
alekseyevo,,07,55.6408333,30.6547222
alekseyki,,01,52.7333333,25.2666667
aleksichi,,02,51.9333333,29.7
aleksinichi,,07,54.7666667,29.9666667
alenovichi,,07,54.5333333,29.9166667
aleshnya,,02,53.2311111,30.6616667
alesinovo,,06,53.8,27.3833333
alesy,,07,55.6666667,29.0666667
aleyniki,,04,54.1580556,31.15
algovka,,07,55.2341667,30.2108333
allaszki wielkie,,07,55.3166667,27.1333333
alshovka,,04,53.4219444,32.6111111
ambrosenki,,07,55.3833333,27.3166667
ambrosionki,,07,55.3833333,27.3166667
ambrosovichi,,07,55.2,29.6666667
amelino,,03,54.4166667,26.55
amelo,,06,53.8,28.6833333
aminovichi,,04,53.4833333,28.6333333
amkhinichi,,04,53.8588889,30.6666667
amkhovaya,,04,53.7927778,30.5622222
amur,,02,52.2166667,29.7666667
amyelkawshchyna,,02,52.0358333,30.2066667
ananchichi,,06,52.5333333,27.65
ananchitsy,,06,52.5333333,27.65
ananichi,,04,53.8477778,31.6461111
ananichi,,06,53.6333333,28.1333333
anarichi,,04,53.6113889,30.8494444
anatolyevka,,04,53.5666667,29.2666667
ancypery,,07,54.95,27.3833333
andreyanovo,,07,54.6,30.55
andreyenki,,07,55.7,29.8833333
andreyevka,,02,52.1333333,31.5166667
andreyevka,,04,53.4366667,30.9033333
andreyevo,,07,55.7666667,30.4166667
andreyevshchina,,07,54.5711111,30.4538889
andreyevskiye,,02,52.7333333,30.9333333
andreyevtsy,,03,54.6833333,26.3833333
andriyanka,,01,52.6666667,24.1333333
androkhi,,04,54.3744444,31.0552778
andronovichi,,07,55.2475,30.2816667
andronovo,,01,52.25,24.2833333
androny,,04,53.9808333,31.3175
androny,,07,55.2333333,26.9833333
androsovshchina,,06,53.2,27.1666667
andrushe,,06,53.3,26.7833333
andrushi,,06,53.4,27.0333333
andryushevtsy,,03,53.6666667,24.6333333
andryushi,,06,53.3,26.7833333
andrzejki,,06,54.7166667,26.9833333
andrzejowce,,03,54.6833333,26.3833333
andzheyevtse,,03,54.6833333,26.3833333
andzheyki,,06,54.7166667,26.9833333
anelina,,07,54.5166667,29.7833333
anelino,,07,54.5166667,29.7833333
anikovichi,,04,54.2661111,30.5958333
anisimoviche,,07,55.7,26.6833333
anisimovichi,,01,53.15,25.9833333
anisimovichi,,07,55.7,26.6833333
ankudy,,03,54.5,26.0
annopol,,06,53.6666667,27.6
annospasskaya,,01,51.6833333,23.9166667
anopolye,,06,53.7833333,28.6
anoshki,,06,53.1666667,27.1
anoshki,,07,54.7,28.6333333
antalezy,,06,53.5666667,26.6
antonopol,,06,54.1833333,28.0666667
antonopol,,07,55.45,30.1833333
antonova buda,,04,53.9,29.8333333
antonov,,02,51.6666667,29.3833333
antonovka,,02,51.5666667,29.65
antonovka,,04,53.4069444,31.655
antonovo,,01,52.0166667,24.1
antonovo,,03,53.6166667,26.3666667
antonovo,,07,55.95,29.1833333
antonovshchyzna,,06,53.8833333,26.9166667
antony,,03,54.4,25.8166667
antopol,,01,52.2016667,24.7863889
antosino,,06,53.7166667,27.3
antsypery,,07,54.95,27.3833333
antsypety,,07,54.95,27.3833333
antunova,,07,55.3,28.9666667
anufriyevka,,07,54.9413889,30.6641667
anyutin,,04,53.6744444,31.3511111
apanasenki,,07,55.6,27.4666667
apanasionki,,07,55.6,27.4666667
apanaskovichi,,07,55.2333333,28.85
apchak,,06,53.8166667,27.8166667
apidamy,,07,55.1166667,26.3833333
apolin,,03,53.95,25.1666667
apolinarovo,,04,53.95,27.5333333
apolino,,03,53.95,25.1666667
apoliny,,06,53.1833333,27.6833333
apolonovka,,04,54.1783333,30.2458333
appolonovka,,04,54.1783333,30.2458333
aputok,,06,54.0166667,28.1
arabniki,,01,52.5833333,24.4166667
arcimawicze,,07,55.5,26.8666667
arevichi,,02,51.6,29.85
areyanitsa,,07,54.4933333,31.0766667
arguny,,07,55.0666667,30.5
arleya,,07,55.6333333,29.4666667
arovichi,,02,51.6,29.85
artekhova,,04,53.2263889,31.4422222
artel,,02,52.5641667,30.7402778
artemovka,,04,53.5747222,32.4333333
artemovo,,07,54.9305556,30.7125
artimovichi,,07,55.5,26.8666667
artsimoviche,,07,55.5,26.8666667
artuki,,02,52.1480556,30.5366667
artyukhi,,04,53.2022222,32.1561111
artyukhovskiye,,02,52.0836111,30.4636111
arvyanitsa,,07,54.4933333,31.0766667
arzheukhovo,,07,55.3333333,30.8166667
asany,,03,54.35,26.25
asarevichi,,02,51.6166667,30.5
aseredok,,04,53.3166667,28.9666667
asetishche,,07,55.4333333,30.15
ashmyany,,03,54.4169444,25.9327778
asipovichy,,01,52.1333333,24.8166667
asipovichy,,04,53.2933333,28.6422222
askerino,,07,55.7166667,29.9333333
asmena,,03,54.4169444,25.9327778
asmolovichi,,04,54.0358333,31.4527778
astapenki,,07,54.8833333,30.2666667
astapkovichi,,07,55.7333333,30.4833333
astashkovichi,,07,54.4666667,31.05
astravyets,,03,54.6133333,25.9588889
astreykovo,,07,55.2333333,30.6166667
atales,,06,53.5666667,26.6
atalez,,06,53.5666667,26.6
atroshkevichi,,04,53.0833333,29.0166667
augustowo,,06,54.1666667,27.8666667
avchinets,,04,53.1994444,31.2180556
avdeyevichi,,07,55.2841667,30.2794444
avdzeyeviche,,03,53.6833333,26.15
avgustovo,,04,54.1333333,30.4
avgustovo,,06,54.1666667,27.8666667
avkhimki,,04,53.9091667,30.9158333
avseyevo,,07,54.7133333,30.0013889
avsyukovo,,07,55.9166667,29.3166667
avtukhovka,,04,53.4922222,31.9755556
avtushkovo,,07,55.3758333,30.6922222
ayminova,,03,53.8,25.7
azanchevka,,04,53.41,31.5138889
azarce,,07,54.8833333,27.6833333
azarichi,,04,53.6113889,30.8494444
azarki,,06,54.8333333,27.0
azarkipudovinka,,06,54.8333333,26.9833333
azarkipudowinka,,06,54.8333333,26.9833333
azartse,,07,54.8833333,27.6833333
azartsy,,07,54.8833333,27.6833333
azdelin,,02,52.5383333,30.7469444
azdzyelina,,02,52.5383333,30.7469444
azershchyna,,02,52.4002778,30.3375
babashki,,07,55.7833333,26.9666667
babaszki,,07,55.7833333,26.9666667
babayeviche,,06,53.0333333,26.6333333
babayevichi,,06,53.0333333,26.6333333
babchik,,02,51.7833333,30.0166667
babchin,,02,51.7833333,30.0166667
babiche,,06,52.9333333,26.55
babiche,,07,55.0166667,27.7666667
babichi,,02,52.2966667,30.0019444
babichi,,07,55.0166667,27.7666667
babichy,,02,52.2966667,30.0019444
babicze,,06,52.9333333,26.55
babinichi,,07,54.4163889,30.4427778
babinichy,,07,55.2613889,30.3547222
babinka,,04,53.7333333,30.2
babino,,04,53.1333333,29.3666667
babinovichi,,07,54.8397222,30.5766667
babintsy,,07,55.0166667,30.05
babirovo,,04,53.0333333,28.55
babiy les,,06,54.15,28.1833333
babovichi,,02,52.3369444,30.9186111
