names,population,state_code,lat,lon
aguacale,,06,16.1622222,-89.0938889
aguacate,,06,16.1622222,-89.0938889
aguacate camp,,02,16.705,-89.0488889
alabama,,05,16.6666667,-88.5166667
alabama wharf,,05,16.5333333,-88.4
alta vista,,05,16.9833333,-88.4
america,,03,18.3333333,-88.4333333
andersons camp,,04,17.7166667,-89.0166667
anthony's bank,,05,16.7666667,-88.4833333
aquacate,,06,16.1622222,-89.0938889
arabato camp,,02,16.6166667,-89.05
arenal,,02,17.0166667,-89.15
august,,04,17.9666667,-88.7166667
augustine,,02,16.9666667,-88.9833333
august pine ridge,,04,17.9666667,-88.7166667
aventura,,03,18.3166667,-88.4333333
bacalar chico,,01,18.15,-87.8333333
backlanding,,04,17.8333333,-88.6
bakers,,01,17.55,-88.3833333
baking pot,,02,17.2030556,-89.0194444
baldy beacon,,02,17.0,-88.7833333
baldy ben,,02,17.0,-88.7833333
baldy sibun,,02,16.9833333,-88.7333333
banana bank,,02,17.3166667,-88.7666667
baranca,,06,16.0,-88.9166667
baranco,,06,16.0,-88.9166667
barquedier sierra,,04,18.1666667,-88.4666667
barranco,,06,16.0,-88.9166667
barton ramie,,02,17.2,-88.9666667
basil jones,,01,18.1166667,-87.8833333
beattie pen,,06,16.4,-88.7
belice,,01,17.4833333,-88.1833333
belize,61462,01,17.4833333,-88.1833333
belize city,,01,17.4833333,-88.1833333
belmopan,13381,02,17.25,-88.7666667
bengue viejo,,02,17.075,-89.1391667
benique viejo del carmen,,02,17.075,-89.1391667
benque ceiba,,02,17.1869444,-89.0366667
benque cieba,,02,17.1869444,-89.0366667
benque geiba,,02,17.1869444,-89.0366667
benque viejo,7092,02,17.075,-89.1391667
benque viejo,,03,18.2666667,-88.45
benque viejo del carmen,,02,17.075,-89.1391667
bermudian landing,,01,17.55,-88.5166667
big creek,,05,16.5166667,-88.4
big eddy,,02,17.0916667,-89.0683333
big fall,,06,16.25,-88.8833333
big falls,,01,17.5,-88.5666667
biscayne,,01,17.7166667,-88.45
black man eddy,,02,17.2166667,-88.9166667
black rock,,02,17.0494444,-89.0591667
blancancaux,,02,17.05,-88.9666667
blancaneau,,02,17.05,-88.9666667
blancaneaux,,02,17.05,-88.9666667
blossom bank,,04,18.15,-88.4833333
blue creek,,04,17.8833333,-88.8666667
blue creek,,06,16.1977778,-89.0422222
blue creek village,,04,17.8833333,-88.8666667
blue creek village,,06,16.1977778,-89.0422222
blue hole camp,,02,16.7833333,-88.9333333
blumenfeld,,04,17.85,-88.9166667
bob eiley,,01,17.7,-88.4666667
bocotora,,01,17.25,-88.4333333
bomba,,01,17.8833333,-88.2666667
boom,,01,17.5666667,-88.4
boom town,,01,17.5666667,-88.4
boon town,,01,17.5666667,-88.4
branch mouth,,02,17.1802778,-89.08
buena vista,,02,17.1166667,-89.1166667
buena vista,,03,18.2333333,-88.5166667
bullet tree falls,,02,17.1722222,-89.1127778
burnham hall,,04,17.7,-88.6666667
burnt ground,,04,17.3833333,-89.1166667
burrell boom,,01,17.5666667,-88.4
burrell's town,,01,17.5666667,-88.4
butcher burn,,01,17.4,-88.4333333
butcher burns,,01,17.4,-88.4333333
cabra,,06,16.4,-89.0666667
cabro,,06,16.4,-89.0666667
cadena camp,,02,17.2833333,-89.1
cadena creek camp,,02,17.2833333,-89.1
calcutta,,03,18.35,-88.4333333
caledonia,,03,18.2166667,-88.4666667
calera camp,,06,16.5166667,-88.7666667
callar creek,,02,17.1166667,-89.1333333
camelote,,02,17.2333333,-88.8166667
campamento esperanza,,06,16.4172222,-89.0230556
campamento la flor,,02,16.6213889,-89.0041667
campamento resumidero,,02,16.6327778,-89.0708333
campamento tintal,,04,17.9166667,-88.9666667
campamento union,,06,16.3963889,-89.1419444
campa pita,,03,18.0666667,-88.2833333
campa rita,,03,18.0666667,-88.2833333
canal bank,,04,17.6833333,-88.85
carib,,06,16.1166667,-88.7833333
carib settlement,,06,16.1166667,-88.7833333
carmelita,,02,17.1875,-89.0686111
carmelita,,04,18.0166667,-88.5333333
carolina,,03,18.35,-88.4166667
cashew tree,,04,17.9833333,-88.45
casiguinic,,04,17.5333333,-89.1333333
castile,,02,17.35,-88.6666667
cattle landing,,06,16.1166667,-88.7833333
caves branch,,02,17.1333333,-88.7
caxiguinic,,04,17.5333333,-89.1333333
caye corker,,01,17.75,-88.05
cayo,,02,17.075,-89.1391667
cayo town,,02,17.1561111,-89.0713889
cebada camp,,02,16.65,-89.1675
cedar bank,,01,17.3833333,-88.4333333
cedar crossing,,04,17.6911111,-89.0277778
central,,06,16.4522222,-89.0808333
central edwards,,06,16.3388889,-89.1530556
chacan chac mol,,03,18.2666667,-88.25
chakan chak mol,,03,18.2666667,-88.25
chan bank,,03,18.2166667,-88.5
chan chen,,03,18.4333333,-88.4166667
chan limon,,04,17.35,-89.1333333
chan pine ridge,,04,18.0333333,-88.5666667
chan pond,,04,17.4,-89.1
chan quebrada,,06,16.5166667,-88.6833333
chan sapote,,03,18.3166667,-88.55
chapayal,,02,16.7816667,-89.1391667
chial,,02,17.1,-89.1
chicago,,01,17.8,-88.3
chichawata,,01,17.8,-88.3
chorro,,02,17.255,-89.1238889
chun bank,,06,16.5333333,-88.7
chunch,,03,18.3,-88.3833333
chunox,,03,18.2833333,-88.35
churchyard,,01,17.3,-88.55
cockloft,,01,17.5,-88.5833333
cocos,,03,18.25,-88.3666667
cocos,,04,18.2166667,-88.6
cocquericot,,02,17.4166667,-88.6166667
cohune ridge,,02,16.8194444,-89.0841667
cojune ridge,,02,16.8194444,-89.0841667
columbia,,06,16.2666667,-88.95
commerce bight village,,05,16.8666667,-88.3
concepcion,,03,18.3166667,-88.4666667
conejo,,06,16.0333333,-88.9833333
consejo,,03,18.45,-88.2833333
cool shade,,02,17.1666667,-88.9666667
copper bank,,03,18.3166667,-88.35
coquericot,,02,17.4166667,-88.6166667
corasal,,03,18.3833333,-88.3833333
corazal,,03,18.3833333,-88.3833333
corosal,,03,18.3833333,-88.3833333
corosalito,,04,17.95,-88.8
corozal,8724,03,18.3833333,-88.3833333
corozal,,04,17.4,-89.0666667
corozalito,,01,17.8333333,-88.2666667
corozalito,,03,18.1,-88.3666667
corozalito,,04,17.95,-88.8
corozon,,06,16.0552778,-89.1241667
cotton tree bank,,02,17.3333333,-88.7333333
cotton tree,,02,17.2666667,-88.7
cowboy camp,,02,16.7380556,-89.125
cowhead creek,,01,17.75,-88.3
cowpen,,03,18.1,-88.4333333
cowpen,,05,16.5666667,-88.5333333
