names,population,state_code,lat,lon
9zenic view,,02,48.533333,-123.55
abbey,,11,50.733333,-108.75
abbotsford,151685,02,49.05,-122.3
abbotsford,,10,45.433333,-72.883333
abbottsford,,02,49.05,-122.3
abee,,01,54.233333,-113.016667
aberdeen,,11,52.316667,-106.283333
abord a plouffe,,10,45.55,-73.733333
abrahams cove,,05,48.516667,-58.9
acadia valley,,01,51.15,-110.2
acme,,01,51.5,-113.5
actinolite,,08,44.55,-77.333333
acton,8204,08,43.633333,-80.033333
acton vale,5135,10,45.633333,-72.566667
adams landing,,01,58.383333,-115.116667
adeytown,,05,48.083333,-53.916667
admiral,,11,49.716667,-108.016667
admirals beach,,05,47.016667,-53.616667
advocate harbour,,07,45.333333,-64.783333
agassiz,,02,49.233333,-121.766667
agincourt,,08,43.783333,-79.266667
aguanish,,10,50.216667,-62.083333
ahousat,,02,49.283333,-126.05
aillik,,05,55.183333,-59.216667
airdrie,24673,01,51.266667,-114.016667
aishihik,,12,61.566667,-137.5
aiyansh,,02,55.25,-129.083333
ajax,,08,43.85,-79.016667
aklavika,,13,68.216667,-135
aklavik,648,13,68.216667,-135
akviligjuaq,,14,68.533333,-89.816667
alameda,,11,49.266667,-102.283333
albanel,1087,10,48.866667,-72.416667
albany,,07,44.8,-65.05
albany,,08,52.25,-81.616667
albany station,,07,44.8,-65.05
alba station,,07,45.933333,-61.016667
alberni,,02,49.266667,-124.8
albert canyon,,02,51.133333,-117.866667
alberton,1147,09,46.8,-64.066667
albertville,,11,53.416667,-105.533333
albreda,,02,52.633333,-119.15
albright,,01,55.266667,-119.5
alcona,,08,50.066667,-91.75
alderson,,01,50.283333,-111.35
aldouane,,04,46.616667,-65.05
alert,,14,82.483333,-62.25
alert bay,,02,50.583333,-126.916667
alexander,,03,49.816667,-100.3
alexander bay,,05,48.683333,-54.116667
alexander bay station,,05,48.683333,-54.116667
alexandria,,02,52.633333,-122.45
alexandria,3559,08,45.3,-74.633333
alexis creek,,02,52.083333,-123.283333
alexo,,01,52.466667,-115.783333
aleza lake,,02,54.116667,-122.066667
alfred,1424,08,45.55,-74.866667
algonquin park,,08,45.55,-78.6
alice arm,,02,55.45,-129.483333
alida,,11,49.383333,-101.866667
alix,,01,52.4,-113.183333
alkali lake,,02,51.766667,-122.3
allan,,11,51.9,-106.066667
allan water,,08,50.233333,-90.2
allenford,,08,44.533333,-81.166667
alliance,,01,52.433333,-111.783333
alliford bay,,02,53.2,-131.983333
allison harbour,,02,51.033333,-127.516667
alliston,10224,08,44.15,-79.866667
alluvia,,02,49.1,-122.833333
alma,,04,45.6,-64.95
alma,29527,10,48.55,-71.65
almaville,,10,46.516667,-72.75
almonte,4921,08,45.216667,-76.2
alonsa,,03,50.8,-98.983333
alpen,,01,54.426111,-112.923611
alpen siding,,01,54.4275,-112.954722
alsask,,11,51.366667,-109.983333
alta lake,,02,50.116667,-122.983333
alticane,,11,52.9,-102.483333
altona,3613,03,49.1,-97.566667
alvena,,11,52.516667,-106.016667
amadjuak,,14,64.033333,-72.65
amaranth,,03,50.6,-98.733333
amazon,,11,51.55,-105.466667
amber valley,,01,54.733333,-112.930833
amesbury,,01,55.081944,-112.496667
amesdale,,08,50.016667,-92.933333
amherst,9336,07,45.833333,-64.2
amherstburg,11459,08,42.1,-83.1
amos,10435,10,48.566667,-78.116667
amprior,,08,45.433333,-76.366667
amqui,5117,10,48.466667,-67.433333
amulet,,11,49.616667,-104.75
amyot,,08,48.483333,-84.95
anahim lake,,02,52.45,-125.3
ancaster,,08,43.225,-79.98
ancienne lorette,,10,46.783333,-71.383333
anderson river,,13,69.733333,-128.95
andrew,,01,53.883333,-112.333333
angliers,,10,47.55,-79.233333
angus,,08,44.316667,-79.883333
anjou,,10,45.6,-73.533333
annapolis,,07,44.733333,-65.516667
annapolis royal,,07,44.733333,-65.516667
annaville,,10,46.216667,-72.433333
anse au griffon,,10,48.933333,-64.3
anse au loup,,05,51.516667,-56.833333
anse comeau,,10,49.216667,-68.15
anson,,08,44.3,-77.6
ansonville,,08,48.75,-80.683333
anteuil,,10,45.616667,-73.75
antigonish,5003,07,45.616667,-61.966667
antigonishe,,07,45.616667,-61.966667
anyox,,02,55.416667,-129.833333
apex,,14,63.716667,-68.45
apex hill,,14,63.716667,-68.45
apple river,,07,45.466667,-64.783333
apsley,,08,44.75,-78.083333
arborfield,,11,53.116667,-103.65
arborg,,03,50.9,-97.216667
archive,,11,50.283333,-105.616667
arcola,,11,49.633333,-102.483333
arctic bay,,14,73.033333,-85.166667
arctic red river,,13,67.433333,-133.75
ardbeg,,08,45.633333,-80.083333
ardmore,,01,54.332222,-110.477222
ardrossan,,01,53.55,-113.133333
arelee,,11,52.25,-107.5
arena,,11,49.116667,-109.266667
argenta,,02,50.183333,-116.933333
argentia,,05,47.3,-54
argyle,,07,43.8,-65.85
arichat,,07,45.516667,-61.016667
armadale,,09,46.416667,-62.433333
armagh,,10,46.75,-70.583333
armit,,11,52.833333,-101.85
armley,,11,53.116667,-104.033333
armstrong,4275,02,50.45,-119.183333
armstrong,,08,50.3,-89.033333
armstrong station,,08,50.3,-89.033333
arnot,,03,55.766667,-96.7
arnprior,9607,08,45.433333,-76.366667
arntfield,,10,48.2,-79.25
aroland,,08,50.233333,-86.95
aroostook,,04,46.8,-67.716667
aroostook junction,,04,46.8,-67.716667
arrandale,,02,54.966667,-130
arrowhead,,02,50.7,-117.916667
arrow river,,03,50.133333,-100.766667
arthabaska,,10,46.033333,-71.916667
arthur,2413,08,43.833333,-80.533333
arviat,,14,61.116667,-94.05
arvida,,10,48.433333,-71.183333
asbestos,7190,10,45.783333,-71.933333
ascot corner,,10,45.45,-71.766667
ashcroft,1796,02,50.716667,-121.266667
ashern,,03,51.183333,-98.333333
ashmont,,01,54.129722,-111.568056
ashville,,03,51.166667,-100.283333
askow,,01,49.933333,-111.7
aspen grove,,02,49.883333,-120.633333
asquith,,11,52.116667,-107.216667
assiniboia,2320,11,49.616667,-105.983333
aston junction,,10,46.166667,-72.233333
athabasca,2539,01,54.716667,-113.266667
athabaska,,01,54.716667,-113.266667
athalmer,,02,50.516667,-116.033333
athelmer,,02,50.516667,-116.033333
atherley,,08,44.6,-79.366667
athol,,07,45.683333,-64.216667
atikameg,,01,55.916667,-115.65
atikokan,3760,08,48.75,-91.616667
atikup,,08,52.766667,-90.783333
atlee,,01,50.85,-110.95
atlin,,02,59.583333,-133.716667
atmore,,01,54.819444,-112.548056
atnarko,,02,52.383333,-125.816667
attachie,,02,56.216667,-121.433333
attawapiskat,1366,08,52.916667,-82.433333
aubigny,,10,46.8,-71.166667
auden,,08,50.25,-87.9
aurora,,08,44,-79.466667
austin,,03,49.95,-98.933333
auteuil,,10,45.616667,-73.75
authier,,10,48.716667,-78.866667
authier-nord,,10,48.833333,-78.866667
avenir,,01,55.037778,-112.279722
aviron bay,,05,47.583333,-56.816667
avola,,02,51.783333,-119.316667
avonlea,,11,50.016667,-105.066667
avonport,,07,45.1,-64.25
ayers cliff,,10,45.166667,-72.033333
ayersville,,10,45.633333,-74.366667
aylesbury,,11,50.933333,-105.7
aylesford,,07,45.033333,-64.833333
aylmer,7527,08,42.783333,-80.983333
aylmer,,10,45.4,-75.85
aylsham,,11,53.2,-103.8
ayr,3841,08,43.283333,-80.45
ayton,,08,44.05,-80.933333
babine,,02,55.316667,-126.616667
babine portage,,02,54.516667,-125.183333
bacotville,,10,48.35,-70.883333
baddeck,,07,46.1,-60.75
baden,,08,43.4,-80.666667
badger,,03,49.183333,-95.966667
badger,,05,48.966667,-56.033333
bad harbour,,05,50.833333,-57.033333
bagotville,1081,10,48.35,-70.883333
baie-comeau,10435,10,49.216667,-68.15
baie-de-la-trinite,,10,49.416667,-67.316667
baie des rochers,,10,51.316667,-58.016667
baie-des-sables,,10,48.716667,-67.866667
baie-du-poste,,10,50.416667,-73.866667
baie-d'urfe,,10,45.4,-73.916667
baie-sainte-catherine,,10,48.1,-69.733333
baie-sainte-claire,,10,49.883333,-64.483333
baie-saint-paul,4512,10,47.433333,-70.5
baie verte,,05,49.916667,-56.183333
bailey,,04,45.633333,-66.583333
bainbridge,,02,49.316667,-124.85
baine harbour,,05,47.366667,-54.916667
baker lake,,14,64.316667,-96.016667
bala,,08,45.016667,-79.616667
balcarres,,11,50.8,-103.55
baldonnel,,02,56.216667,-120.683333
baldur,,03,49.383333,-99.233333
balfour,,02,49.633333,-116.966667
baljennie,,11,52.533333,-107.883333
balzac,,01,51.216667,-114.016667
bamberton,,02,48.583333,-123.516667
bamfield,,02,48.833333,-125.15
bancroft,,08,45.05,-77.85
banff,7502,01,51.166667,-115.566667
bannockburn,,08,44.65,-77.55
barachois,,10,48.616667,-64.266667
barachois de malbaie,,10,48.616667,-64.266667
barclay,,08,49.766667,-92.7
bar haven,,05,47.7,-54.233333
barich,,01,54.180833,-112.626944
barkerville,,08,53.066667,-121.516667
barlow,,12,63.733333,-137.65
barnaby,,04,46.883333,-65.516667
barnaby river,,04,46.883333,-65.516667
barnet,,02,49.283333,-122.933333
barons,,01,49.983333,-113.083333
barrasway de plate,,05,47.483333,-55.116667
barraute,1180,10,48.433333,-77.633333
barr'd harbour,,05,50.833333,-57.033333
barrett,,02,54.433333,-126.75
barrett lake,,02,54.433333,-126.75
barrhead,4430,01,54.116667,-114.4
barrie,182070,08,44.383333,-79.7
barriere,,02,51.183333,-120.133333
barriere,,10,47.5,-76.7
barrington,,07,43.566667,-65.566667
barrington passage,,07,43.516667,-65.6
barrisway de plate,,05,47.483333,-55.116667
barrows,,03,52.816667,-101.433333
barry bay,,08,45.483333,-77.683333
barrys bay,,08,45.483333,-77.683333
bartibog,,04,47.283333,-65.616667
bartibog station,,04,47.283333,-65.616667
bartibogue,,04,47.283333,-65.616667
bartibogue station,,04,47.283333,-65.616667
bartletts harbour,,05,50.933333,-56.983333
barvas,,11,51.2,-102.1
barwick,,08,48.65,-93.983333
bashaw,,01,52.583333,-112.966667
bassano,1388,01,50.783333,-112.466667
batchawana,,08,46.9,-84.6
bateman,,11,50.016667,-106.733333
bath,,08,44.183333,-76.766667
