names,population,state_code,lat,lon
aamba,,02,.766667,20.716667
aba,,09,3.866667,30.233333
ababi,,00,2.9,23.133333
abaka,,00,2.95,25.983333
abakodu,,09,2.5,28.516667
abakuasimbo,,09,.6,28.716667
abakuba,,00,2.6,28.266667
abakwasimbo,,09,.6,28.716667
abanengo,,00,2.683333,27.766667
abango,,00,2.683333,27.766667
abanusi,,00,3.45,28.083333
abasani,,11,-1.133333,27.15
abati,,00,2.633333,27.816667
abaye,,07,-1.3,28.933333
abdallah,,00,4.433333,27.366667
abebekombo,,00,2.15,28.016667
abelkoso,,09,1.883333,30.066667
abia,,09,.866667,29.666667
abiana,,11,-.066667,27.833333
abianonzi,,00,2.666667,26.316667
abiengama,,00,1.833333,27.5
abiengama ii,,09,1.883333,27.433333
abiengbali,,00,2.416667,27.916667
abimba,,10,-4.35,27.183333
abini,,00,2.283333,27.55
abira,,09,2.083333,31.116667
abo,,00,3.216667,30.216667
aboboya,,00,2.683333,29.35
abogandra,,00,2.616667,26.816667
abogo-dodu,,09,3.816667,30.366667
abogwomado,,09,2.5,26.3
abogwomadu,,09,2.5,26.3
abokwasimbe,,09,.6,28.716667
abongisia,,09,.204444,25.594722
aborokpuyo,,09,4.333333,28.85
abuki,,10,-2.55,26.6
abula,,00,3.516667,25.966667
abu mombasi,,00,3.7,22.166667
abumombazi,,00,3.7,22.166667
abumonbazi,,00,3.7,22.166667
abusa,,00,2.066667,27.666667
abuti,,09,2.266667,30.116667
adaboro,,00,3.166667,30.633333
adala,,00,4.433333,27.366667
adama,,00,4.783333,24.583333
adau,,09,3.7,30.35
adeko,,00,2.883333,30.733333
adetere,,00,2.75,30.533333
adia,,00,2.833333,30.716667
adi,,00,3.4,30.8
adidiema,,00,-4.233333,23.75
adima,,00,2.533333,28.016667
adjauru,,00,2.616667,26.183333
adjayo,,00,2.983333,26.15
adjoda,,09,2.266667,30.95
ado,,09,-1.116667,25.95
adomi,,00,3.2,30.516667
adoria,,00,2.966667,30.566667
adranga,,00,2.916667,29.966667
adunandra,,00,3.466667,27.6
adupa,,00,2.933333,23.55
adupai,,00,2.933333,23.55
adupay,,00,2.933333,23.55
adusa,,00,1.383333,28.016667
adzapana,,09,1.9,28.933333
adziba,,00,2.016667,27.766667
adzuani,,00,3.15,30.8
adzuma,,00,2.516667,28.283333
adzuna,,00,2.516667,28.283333
afakituru,,09,-.166667,24.083333
agameto,,00,3.25,25.083333
agbana,,00,2.583333,27.933333
agbau,,00,2.216667,28.2
agbole,,00,3.05,23.35
agbua,,00,2.216667,28.2
agekiana,,00,2.666667,25.916667
aginaso,,00,3.35,29.4
aginda,,00,2.816667,28.716667
agoro,,00,3.083333,27.833333
agrimafe,,01,-2.866667,16.85
agubu,,00,3.15,29.433333
agwa,,02,4.966667,19.55
agwala,,00,2.766667,27.483333
agwetambi,,09,1.683333,24.066667
ahiro,,00,3.866667,23.683333
ainga,,09,-.766667,25.95
aisa,,11,-1.6,26.583333
akabati,,00,3.85,23.683333
akambwa,,00,3.85,22.966667
akangai,,00,3.416667,23.916667
akangula,,00,-3.466667,24.183333
akasongo,,00,2.433333,27.716667
akau,,00,-2.366667,23.1
akavu,,00,-2.366667,23.1
akaya,,03,-4.683333,23.6
akbata,,09,1.75,29.05
akei,,00,3.116667,30.666667
akengei,,00,2.933333,26.833333
aketi,35158,00,2.733333,23.766667
akili,,00,2.85,26.833333
akoka,,00,-3.616667,23.633333
akokora,,09,1.7,29.066667
akombe,,00,-4.2,24.316667
akombi,,00,2.533333,28.25
akpali,,00,2.45,28.116667
akpome,,00,3.066667,25.95
akula,,00,2.366667,20.183333
akulekpio,,00,4.733333,25.666667
akuma,,09,2.066667,25.683333
akumbu,,00,-2.366667,22.733333
akunvula,,00,-3.466667,24.183333
akva,,00,3.45,29.416667
akwa,,09,2.083333,30.133333
akwe,,09,2.083333,30.133333
ala,,00,3.333333,30.466667
alafu,,09,.733333,29.183333
alalu,,09,.733333,29.233333
alambi,,09,2.116667,28.816667
alatshu,,09,-1.116667,25.466667
alberta,,02,2.2,22.35
albertstad,,05,-5.933333,29.2
albertville,,05,-5.933333,29.2
ale,,00,3.166667,30.8
alebert,,12,-4.577222,28.784722
alembe,,00,-2.783333,24.116667
ali,,00,3.25,30.616667
ali,,09,3.633333,30.2
alifi,,09,3.716667,29.633333
aligo,,00,3.1,27.433333
aligo,,09,4.416667,28.983333
alikolo,,00,2.75,27.316667
alilia,,09,-.766667,25.033333
alimasi,,09,-.833333,24.95
alimasi,,10,-1.783333,26.183333
alimba,,12,-2.816667,27.216667
alimbongo,,11,-.366667,29.15
ali moia,,05,-5,28.783333
ali moya,,05,-5,28.783333
alipago,,00,3.566667,25.733333
alipaye,,00,3.566667,25.733333
alipei,,00,3.566667,25.733333
aliposo,,09,-.7,25.116667
alira,,00,2.816667,26.733333
alize,,00,3.133333,30.433333
alo,,00,3.25,30.533333
aloi,,11,.5,29.15
alokwa,,09,3.666667,29.85
alombi,,11,-1.133333,27.116667
alomo,,00,3.2,30.266667
alonga,,10,-2.516667,26.433333
alongane,,00,3.5,23.216667
alosi,,09,1.75,30.066667
alubati,,12,-3.75,27.033333
aluma,,09,.4,26.316667
alumba,,10,-2.966667,24.966667
alungba,,00,2.566667,30.333333
aluta,,09,-1.233333,26.233333
ama,,09,2.466667,30.633333
amabakumbu,,09,.833333,29.233333
amabidi,,11,-1.5,26.533333
amadi,,00,3.583333,26.783333
amaki,,00,3.016667,26.116667
amakibubu,,09,-.316667,25.516667
amakonzi,,00,3.283333,29.883333
amalue,,00,2.783333,27.533333
amalutu,,09,1.016667,29.183333
amamula,,11,-.3,27.833333
amandjuju,,09,2.5,23.5
amasindrenie,,09,2.283333,27.316667
amasunga,,11,-1.133333,27
amasungi,,11,-1.083333,27
amatshilungu,,09,-.183333,25.7
amba,,00,2.816667,22.833333
amba,,10,-4.25,26.483333
ambaka,,00,2.333333,27.8
ambaki,,09,2.233333,31.116667
ambalo,,00,3.8,22.616667
ambalu,,00,3.8,22.616667
amba matala,,10,-4.266667,26.483333
ambarao,,00,3.166667,29.733333
ambarau,,00,3.166667,29.733333
ambimi,,00,3.283333,30
ambisi,,00,2.6,30.7
ambo,,00,3.59,30.784167
ambo,,09,2.316667,30.416667
amboma,,00,4,22.533333
ambonga,,00,2.833333,23.633333
ambuma,,00,3.233333,20.75
ambuma,,02,3.466667,18.766667
ambuma-moke,,02,3.466667,18.766667
ambura i,,01,-4.383333,18.733333
amehele,,11,-.116667,27.716667
amekupi,,10,-2.783333,26.65
amemete,,11,-.116667,27.716667
amenete,,11,-.116667,27.716667
ameta,,09,3.583333,27.983333
amishi,,05,-5.8,29.133333
amisi,,09,.135278,25.536944
amolia,,00,3.016667,26.2
amongo,,09,-1.266667,24.116667
amonietau,,00,2.833333,25.933333
amosa,,00,2.933333,26.483333
amoti,,09,1.516667,25.083333
amuapa,,00,2.383333,27.533333
amuladi,,10,-4.383333,27.083333
amundero,,00,3,26.2
amungini,,10,-4.116667,27.4
amusini,,10,-4.133333,27.416667
ana,,00,3.483333,30.2
ana bangu,,00,-7.8,22.666667
anapuno,,00,2.333333,27.716667
ancien beni,,11,.433333,29.55
andagone,,00,2.633333,27.933333
andalumo,,00,2.816667,30
andata,,09,3.816667,30.05
andekwakwa,,09,1.333333,29.166667
andengu,,00,2.65,28.733333
andia,,00,2.566667,23.583333
andi-kenopi,,00,2.95,28.883333
andikoi,,00,2.616667,28.783333
andima,,00,2.533333,28.016667
andiri,,00,3.366667,30.266667
andisa,,09,1.983333,29.983333
andjamango,,00,2.666667,27.483333
andoga,,00,2.55,29.983333
andrima,,00,2.533333,28.016667
andudu,,09,2.483333,28.683333
anga,,00,-3.116667,21.566667
angako,,00,3.083333,30.533333
angaku,,00,2.966667,30.533333
angali,,00,2.183333,28.033333
angama,,00,3.616667,22.633333
angamapasa,,11,.05,27.55
angelengwe,,09,.166667,27.416667
angelos poulos,,12,-3.35,28.033333
angemapasa,,11,.05,27.55
angenga,,02,2.283333,21.483333
angilia,,00,3.133333,30.683333
angise-bamea,,00,2.566667,23.883333
ango,,00,4.033333,25.866667
ango ango,,08,-5.85,13.433333
angodepala,,09,4.3,28.533333
angodia,,00,3.516667,25.783333
angodra,,00,3.316667,30.133333
angonabasulu,,09,4.45,28.9
angoro,,00,2.216667,28.166667
angu,,00,3.55,24.466667
angukulu,,00,1.666667,27.533333
angumu,,11,-.116667,27.7
angumu etat,,11,-.116667,27.7
angwandi,,09,3.55,29.75
ania,,00,3.333333,30.783333
aniakanane,,00,2.2,27.85
aniasu,,09,3.583333,27.6
anilengbe,,09,4.433333,28.966667
aniozo,,09,1.416667,30.133333
aniza,,00,4.383333,25.783333
anjenje,,09,.633333,26.066667
ankandja,,00,-2.416667,23.7
ankoro,,00,-6.75,26.95
anotane,,00,2.2,27.666667
anotano,,00,2.2,27.666667
anyinga,,00,-8.55,23.05
anzaboa,,00,2.066667,27.766667
anzabowa,,00,2.066667,27.766667
anzani,,00,2.65,25.766667
anzeu,,00,2.766667,28.533333
anzi,,00,-.866667,23.4
aola,,09,3.966667,29.833333
aosane,,09,2.433333,27.3
apala,,09,2,31.016667
apalata,,00,2.816667,23.716667
apawanta,,09,1.366667,29.633333
apenraniako,,00,2.933333,30.583333
apepo,,00,2.166667,27.533333
api,,00,3.666667,25.433333
apindu,,00,4.033333,22.516667
apodo,,00,2.6,28.633333
aponza,,00,3.266667,25.566667
aposo,,00,3.516667,26.083333
apowa,,09,2.116667,30.216667
apukfu,,00,-3.216667,22.316667
ara,,00,3.316667,30.583333
ara,,09,2.016667,31.033333
araba,,00,2.883333,30.883333
arabi,,09,1.883333,28.566667
arama,,09,3.583333,28.983333
arara,,00,3.183333,30.8
