names,population,state_code,lat,lon
aba,,09,5.3333333,15.1833333
abakongo,,11,6.2333333,20.7666667
abakoumbou i,,03,6.5333333,22.0166667
abakoumbou ii,,03,6.5333333,22.0166667
abati,,03,6.45,23.1166667
abau,,09,5.4833333,14.95
abba,,09,5.3333333,15.1833333
abba-bogani,,09,5.8333333,15.5166667
abbo-bogrimo,,09,5.4833333,14.95
abbo bougrima,,09,5.4833333,14.95
abdoulaue,,03,7.1166667,22.8166667
abdoulaye,,03,7.1166667,22.8166667
aboa,,09,5.3333333,15.1833333
abo,,09,6.1,15.3166667
abo-bougrima,,09,5.4833333,14.95
abo bouyafe,,09,5.2,15.4833333
abo bouyoufe,,09,5.2,15.4833333
aboghi,,16,3.3833333,15.7666667
abogi,,16,3.3833333,15.7666667
abolo,,11,6.2166667,21.1833333
abou,,09,5.4833333,14.95
abouma,,11,5.3833333,21.05
abou-ndoulaf,,01,8.5166667,20.5
abrou,,08,5.6333333,23.1666667
abrou,,11,6.0,22.0666667
abrounda,,02,4.5333333,21.3833333
adabourou,,01,8.05,21.4
adama,,08,5.05,22.4666667
adanda,,11,4.9333333,20.1833333
adelaye,,03,7.1166667,22.8166667
adjou,,11,5.8333333,21.0333333
adodo,,11,6.2333333,20.4
adoum,,11,5.8338889,20.605
adoumandjali,,16,3.4333333,15.8666667
adoumbanziri,,06,5.9833333,19.15
adrousai,,08,5.85,24.1333333
adrouzal,,08,5.85,24.1333333
afrotcho,,11,5.9166667,21.2333333
agbaba,,03,6.4,22.0
agbandjo,,11,6.2333333,21.0166667
agbondjo,,11,6.2333333,20.8833333
agbosi,,05,5.35,27.2
agbrou,,02,4.4166667,21.9333333
agbrou,,11,5.1666667,19.65
agoua,,11,4.6166667,21.85
agoudou manga,,11,5.8833333,20.9
agoumar,,08,4.8333333,23.05
agpa,,11,6.4833333,21.1333333
aguene,,11,6.2333333,20.9666667
aguene,,13,5.2166667,16.7333333
aguide,,03,6.55,21.95
aguidi,,03,6.6166667,21.9166667
ahima,,11,4.9166667,20.6666667
ahiropa,,03,6.65,22.0166667
ahmed,,05,5.6,27.1333333
aingounda,,12,6.65,18.1333333
aka,,02,4.5833333,21.7
aka,,03,7.5166667,23.1833333
akabanda,,11,5.2833333,19.5666667
akiado,,02,4.3333333,21.6166667
akiba,,17,4.3188889,18.5411111
akochio,,01,7.9,22.4
akodja,,11,4.8,20.4166667
akondo,,08,4.6833333,22.15
akotasokou,,16,3.2,16.1333333
akourousoulba,,01,8.9666667,20.7666667
akpa,,03,7.5166667,23.1833333
akpia,,11,5.4333333,21.1833333
aladji,,09,5.5666667,14.7666667
alakha,,05,5.3,25.0
alakhai,,05,5.3,25.0
alama,,11,5.4833333,21.8
alatao,,17,4.9,18.6833333
alepa,,11,5.3833333,21.0333333
alihoui,,01,8.4558333,20.6944444
alim,,09,6.0166667,14.65
alinda,,11,5.0333333,21.2166667
alindao,20125,11,5.0333333,21.2166667
alindo,,11,5.0333333,21.2166667
aliou,,01,8.4558333,20.6944444
aliou,,11,4.5666667,21.9333333
ali ouidja,,14,10.2333333,22.8333333
allahai,,05,5.3,25.0
aloba,,16,3.4666667,15.95
aloisa,,05,5.5333333,24.6333333
aloiza,,05,5.5333333,24.6333333
amada-gaza,,04,4.75,15.1666667
amada gaza,,04,4.7666667,15.1833333
amane,,11,4.6333333,21.9833333
amangba,,12,6.4833333,17.45
ambassilo,,16,3.0833333,16.2333333
amberepi,,03,6.4666667,23.2333333
ambili,,06,5.9833333,18.3666667
ambili,,12,6.4666667,18.3
amboutcheka,,02,4.35,21.7
am dafok,,14,10.4666667,23.2833333
am daga,,14,10.4,22.7666667
amete,,03,6.55,21.9666667
aminagou,,05,5.4,25.5666667
amoko,,11,5.4166667,21.2333333
amousou,,05,5.8333333,24.8333333
anam,,16,3.4,15.7
ancien bakani,,17,3.9333333,18.35
ancien bambelo,,04,4.0833333,15.6666667
ancien beina wayo,,04,4.1,15.6666667
ancien beya-bashobo,,04,4.4166667,14.9666667
ancien bo,,04,4.5166667,15.9833333
ancien bodanga,,07,4.9666667,17.45
ancien botoro,,07,4.15,17.3333333
ancien dangado,,04,4.0166667,15.8
ancien dangoro,,04,4.9,15.5
ancien gombou,,04,4.5,16.1166667
ancien goubere,,05,5.85,26.7666667
ancien ngoukou,,04,3.8666667,15.6666667
ancien sapoua,,04,4.0166667,15.95
ancien tapourou,,04,4.0833333,15.7
ancien village allim,,09,6.1333333,15.0333333
ancien village de gara,,01,8.55,19.6833333
ancien village ngam,,09,5.9666667,15.4166667
