names,population,state_code,lat,lon
aadorf,7100,19,47.4833333,8.9
aarau,15007,01,47.3833333,8.05
aaray,,01,47.3833333,8.05
aarberg,,14,47.05,7.2833333
aarburg,6484,01,47.3166667,7.9
aarwangen,,01,47.2333333,7.75
aathal,,25,47.3333333,8.7666667
ablandschen,,06,46.5666667,7.3
abtwil,,02,47.4166667,9.3166667
abtwyl,,02,47.4166667,9.3166667
acheberg,,01,47.5833333,8.2833333
ackersand,,22,46.2333333,7.8666667
acla,,21,46.6333333,8.8333333
aclas dafora,,09,46.7,9.6333333
acquacalda,,20,46.5333333,8.8333333
acquarossa,,20,46.45,8.95
adannes,,06,46.5166667,7.25
adelboden,,05,46.4833333,7.5666667
adligenswil,,11,47.0666667,8.3666667
adliswil,16144,25,47.3166667,8.5166667
aecherli,,14,46.8333333,8.1833333
aeckenmatt,,05,46.85,7.35
aedermannsdorf,,18,47.3,7.6
aelgau,,05,46.7666667,7.9666667
aelgauli,,05,46.7666667,7.9666667
aelggi alm,,14,46.8,8.2333333
aelggi alp,,14,46.8,8.2333333
aernen,,01,46.4,8.15
aesch,,01,47.2666667,8.25
aesch,10396,03,47.4666667,7.6
aesch,,21,46.8833333,8.8
aeschau,,05,46.9,7.7666667
aescher,,10,47.2833333,9.4166667
aeschi,,05,46.65,7.7
aeschlen,,05,46.7166667,7.7
aeschlenberg,,06,46.7833333,7.2666667
aettenschwil,,01,47.1833333,8.3666667
aeugst,,01,47.2666667,8.4833333
affeltrangen,,19,47.5166667,9.0333333
affoltern,10415,01,47.2833333,8.45
affoltern am albis,,01,47.2833333,8.45
agarn,,22,46.3,7.6666667
ageri,,24,47.1333333,8.5833333
agettes,,22,46.2,7.3833333
agiez,,23,46.7166667,6.5166667
agno,,20,45.9833333,8.85
agra,,20,45.9666667,8.9166667
aigle,7897,23,46.3166667,6.9666667
aino,,09,46.3333333,10.0333333
aion,,09,46.3333333,10.0333333
airlonia,,14,46.5333333,8.6
airola,,14,46.5333333,8.6
airolo,,14,46.5333333,8.6
alberswil,,01,47.15,8.0
albeuve,,23,46.5166667,7.0666667
albinen,,22,46.35,7.6333333
albligen,,05,46.85,7.3166667
alchenstorf,,18,47.1166667,7.6333333
all'acqua,,14,46.4833333,8.4666667
all'acqua ospizio,,14,46.4833333,8.4666667
allaman,,07,46.4666667,6.4
alle,,26,47.4333333,7.1333333
allmendingen,,05,46.7333333,7.5833333
allschwil,18745,04,47.55,7.5333333
almagell,,22,46.1,7.95
alpe braita,,09,46.3,10.05
alpe cava,,20,46.3666667,9.0333333
alpe de la barma,,22,46.05,7.3833333
alpe della costa,,20,46.3666667,8.8333333
alpe de noveli,,22,46.1333333,7.3166667
alpe de peryeire,,22,46.0666667,7.2666667
alpe de tortin,,22,46.1166667,7.3
alpe di boggio,,20,46.35,9.1833333
alpe di cava,,20,46.3666667,9.0333333
alpe di cortas,,20,46.4,9.2166667
alpe di crastera,,20,46.35,9.25
alpe dil chant,,09,46.65,9.8333333
alpe di naccio,,20,46.15,8.6833333
alpe di quarnajo,,20,46.4833333,9.0166667
alpe di scieru,,20,46.45,9.0333333
alpe di trescolmen,,20,46.4,9.1666667
alpe hannig,,22,46.2,7.8666667
alpe porcarescio,,20,46.25,8.5
alpe pulgabio,,20,46.4166667,9.05
alpe quarnaro,,20,46.4833333,9.0166667
alpe ritom,,14,46.55,8.6833333
alpe schmorras,,09,46.55,9.5166667
alpe sfille,,20,46.25,8.5
alpe silvretta,,09,46.8666667,10.0333333
alpe trescolmine,,20,46.4,9.1666667
alp grum,,09,46.3833333,10.0333333
al piano,,20,46.4166667,8.6
alpi di trescolmine,,20,46.4,9.1666667
alpiglen,,05,46.6,8.0166667
alp laret-dadaint,,09,46.8,10.2166667
alpnach,5139,14,46.95,8.2666667
alpnachstad,,13,46.9666667,8.2833333
alp schmorras,,09,46.55,9.5166667
alp spinas,,09,46.55,9.8333333
alptal,,17,47.0833333,8.7166667
alpthal,,17,47.0833333,8.7166667
alp vallatsch,,09,46.6166667,9.2
alp valtnov,,09,46.9666667,9.3166667
al sasso,,20,46.15,8.95
altanca,,20,46.5166667,8.6833333
altdorf,8833,21,46.8833333,8.65
alten,,16,47.6,8.65
altendorf,,25,47.1833333,8.8166667
altenrhein,,15,47.4833333,9.55
alterswil,,06,46.8,7.2666667
alterswilen,,15,47.6166667,9.15
alt-felsberg,,09,46.85,9.4833333
alt guraletsch,,09,46.5833333,9.1333333
altishofen,,01,47.2,7.9666667
altmatt,,17,47.1333333,8.7
altnau,,15,47.6166667,9.25
alton,,16,47.6,8.65
alt sankt johann,,10,47.1833333,9.2833333
altstatten,10585,15,47.3833333,9.5333333
alt toggenburg,,25,47.3833333,8.9666667
alt-wiedikon,,25,47.3666667,8.5166667
alvaneu,,09,46.6833333,9.6333333
alvaneubad,,09,46.6833333,9.6333333
alvaneu dorf,,09,46.6833333,9.6333333
alvaschein,,09,46.6833333,9.55
am bach,,09,46.45,9.5333333
ambri,,20,46.5,8.6833333
amden,,08,47.1333333,9.1333333
amriswil,11543,15,47.5333333,9.3
amsoldingen,,05,46.7166667,7.5833333
amsteg,,21,46.7666667,8.6666667
andeer,,09,46.6,9.4333333
andelfingen,,16,47.6,8.6833333
andermatt,,14,46.6333333,8.6
andest,,09,46.7833333,9.1166667
andwil,,02,47.4333333,9.2666667
angeli custodi,,09,46.3666667,10.0666667
angone,,20,46.4333333,8.8666667
anieres,,07,46.2833333,6.2166667
anveuda,,20,46.5333333,8.9
anzonico,,20,46.4333333,8.8833333
appenzell,5541,10,47.3333333,9.4
apples,,23,46.55,6.4333333
apro,,22,46.2,7.3166667
aproz,,22,46.2,7.3166667
aquila,,20,46.5,8.95
aquino,,20,46.2666667,8.8333333
arbas,,22,46.2833333,7.3833333
arbaz,,22,46.2833333,7.3833333
arbedo,,20,46.2,9.05
arbon,13125,15,47.5166667,9.4333333
arcegno,,20,46.1666667,8.75
arch,,18,47.15,7.4166667
