names,population,state_code,lat,lon
aale,,39,7.365278,-5.734444
abadji doume,,61,5.3,-4.133333
abadji koute,,61,5.327778,-4.153611
abadjin-doume,,61,5.3,-4.133333
abadjin-koute,,61,5.327778,-4.153611
abakro,,58,6.683333,-5.25
abakro,,62,5.413611,-3.233333
abaoji-doume,,61,5.3,-4.133333
abaoua,,67,6.360556,-3.865833
abata,,61,5.324722,-3.916667
abatoulilie,,16,5.995,-5.6075
abayanzi,,30,8.033333,-5.45
abbie,,05,5.869167,-3.927778
abe,,59,7.341667,-3.574444
abe,,90,7.208611,-5.328889
abeanou,,67,6.971667,-4.240278
abe aounyassou,,37,7.833333,-5.366667
abedeni,,86,7.679444,-4.063056
abegue,,06,5.801389,-4.149444
abe katemenso,,59,7.341667,-3.574444
abekofikro,,90,7.833333,-5.216667
abe kouadiokro,,37,7.844444,-5.352778
abengoua,,67,6.248333,-3.548611
abengourou,,20,7.940278,-5.311111
abengourou,,42,7.183333,-3.983333
abengourou,,59,7.283333,-2.983333
abengourou,144074,85,6.729722,-3.496389
abenguru,,85,6.729722,-3.496389
abeve,,61,5.913611,-4.745556
abi,,62,5.3,-3.166667
abiadi,,64,5.685,-3.494167
abiadougou,,16,5.954167,-5.291389
abiate,,62,5.384167,-4.325833
abiati,,62,5.283333,-3.183333
abiati,,64,5.685,-3.494167
abidjan,3692570,82,5.341111,-4.028056
abidji,,90,7.593333,-5.006667
abie,,05,5.869167,-3.927778
abiekro,,90,7.799722,-5.195278
abigou,,58,6.95,-5.016667
abigui,,86,6.7,-4.833333
abijan,,82,5.341111,-4.028056
abikoffikro,,90,7.322222,-5.503333
abikofikro,,90,7.322222,-5.503333
abikro,,37,7.812778,-5.436944
abinba,,92,8.116667,-2.766667
abisso,,89,5.4675,-3.214444
ablekro,,90,7.493056,-5.059444
abli-aloukro,,81,6.6,-5
abli-bonikro,,81,6.6,-5
ablouikro,,67,7.314722,-4.873611
abobo-abaoure,,61,5.415278,-3.993333
abobo,,61,5.418889,-4.020556
abobo-atte,,61,5.408333,-4.000556
abobo baoule,,61,5.415278,-3.993333
abobo doume,,61,5.316667,-4.033333
abobo te,,61,5.408333,-4.000556
abobrako,,67,7.091389,-4.98
abodioupa,,18,6.05,-5.8
abodougou,,92,7.833333,-2.95
aboikakro,,81,6.466667,-5.1
aboikoimekro,,58,6.833333,-5.05
aboikro,,86,7.191944,-4.441944
aboindoukpinkro,,67,7.202778,-4.0625
aboinkro,,86,7.231111,-4.418611
aboissa,,89,5.4675,-3.214444
aboisso,,64,5.749722,-3.463611
aboisso,48148,89,5.4675,-3.214444
aboissue,,59,6.826667,-3.513056
abokinde,,67,7.166667,-4.166667
aboko,,63,5.145556,-3.09
abokoidiokro,,67,7.218056,-4.814167
abokosso,,59,7.601667,-3.5975
abokouakoudougou,,92,7.833333,-2.95
abokouassikro,,67,7.166667,-4.7
abokouma,,54,7.710833,-3.127778
abokro,,86,7.466944,-4.285
abokrou,,86,7.466944,-4.285
abolekro,,67,7.1,-4.283333
abolikro,,90,7.684167,-5.332222
abondie,,54,7.900556,-3.4275
abongonamoun,,86,7.316667,-4.316667
abongoua,,67,6.248333,-3.548611
abouabou,,61,5.293611,-3.911111
abouadikro,,67,7.45,-3.966667
abouakouadiokro,,86,7.366667,-4.133333
abouakouamekro,,58,6.833333,-5.05
abouakrakro,,42,7.216667,-3.9
abouakro,,37,7.566667,-5.6
abouakro,,67,7.283333,-3.9
abouakro,,90,7.680556,-4.830556
abouandrikro,,81,6.5,-5.116667
aboua-nguessankro,,20,7.95,-5.15
abouassikro,,58,6.833333,-5.283333
abouassio,,59,7.4675,-3.336389
aboude,,06,5.898056,-4.564722
aboude kouassikro,,06,5.898056,-4.564722
aboude-mandeke,,06,5.894444,-4.530833
aboude mendeke,,06,5.894444,-4.530833
aboudou,,63,5.151944,-3.2125
aboudoukro,,59,7.783333,-3.916667
aboukankro,,86,7.433333,-4.3
aboukemendeke,,06,5.894444,-4.530833
aboukro,,67,7.016667,-4.233333
aboukro,,86,7.45,-4.1
abounoua,,68,5.310556,-3.606667
aboussou,,90,7.5,-5.383333
aboyo,,18,5.941944,-5.815556
abra,,66,5.2675,-4.465
abra,,68,5.278056,-3.741111
abradine,,05,6.196111,-3.613889
abradine,,59,6.196389,-3.455
abradinou,,59,6.196389,-3.455
abrebi,,70,5.218889,-4.234167
abreby,,70,5.218889,-4.234167
abriokra,,39,7.224167,-5.632778
abrofodoume,,61,5.508333,-3.932778
abronambue,,59,6.756111,-3.341389
abrouki,,59,6.051944,-3.134722
abrounamoue,,59,6.756111,-3.341389
abruki,,64,5.545833,-3.636944
abrunamue,,59,6.756111,-3.341389
abude,,06,5.898056,-4.564722
aby,,62,5.3,-3.166667
achiebo koua,,61,5.533333,-4.083333
acru,,61,5.2,-4.733333
adadikouro,,59,7.316667,-3.233333
adahou,,06,5.9025,-4.228889
adahou,,59,6.7125,-3.517778
adake,,61,5.516667,-4.166667
adaou,,58,6.8,-5.05
adaou,,61,6.283333,-4.883333
adaou,,62,5.426389,-3.264722
adaou,,67,6.816667,-4.833333
adarome,,61,5.55,-4.183333
adattie,,61,5.5425,-4.168611
adda,,61,5.173889,-4.652778
addah,,61,5.173889,-4.652778
adebem,,51,5.473056,-5.838056
adebem-kagberi,,51,5.473056,-5.838056
adendia,,54,7.763611,-3.016111
adesse,,61,5.164722,-4.698333
