names,population,state_code,lat,lon
amuri,285,00,-18.8538889,-159.7963889
areora,,00,-20.0066667,-158.1122222
arorangi,,00,-21.2316667,-159.8277778
arutanga,,00,-18.8686111,-159.8
arutunga,,00,-18.8686111,-159.8
avarua,13374,00,-21.2077778,-159.775
avatiu,,00,-21.2055556,-159.7866667
home,,00,-18.0608333,-163.1933333
ivirua,,00,-21.9177778,-157.8986111
ivirua village,,00,-21.9177778,-157.8986111
karanga village,,00,-21.9083333,-157.905
kaumata village,,00,-21.9247222,-157.965
kimiangatau village,,00,-20.1466667,-157.35
mangarei village,,00,-19.6972222,-157.7166667
mapumai,,00,-19.9877778,-158.1188889
matavera,,00,-21.2244444,-159.7333333
muri,,00,-21.2566667,-159.7319444
natikitea,,00,-20.0166667,-158.1166667
ngatangiia,,00,-21.2402778,-159.7291667
ngatiarua,,00,-19.9986111,-158.1333333
nikao,,00,-21.2066667,-159.8094444
nikaupara,,00,-18.87,-159.8033333
nukatere,,00,-19.8166667,-157.7166667
nukuao,,00,-20.1333333,-157.3666667
omoka,180,00,-8.9816667,-158.0605556
omoko,,00,-8.9816667,-158.0605556
oneroa,,00,-21.92,-157.9602778
palmerston island village,,00,-18.0608333,-163.1933333
palmerston,,00,-18.0608333,-163.1933333
papaolematuu,,00,-13.8333333,-172.0833333
papapapaitai,,00,-13.9333333,-171.75
papapapaiuta,,00,-13.9333333,-171.75
pue,,00,-21.2047222,-159.7583333
reureu,,00,-18.8669444,-159.8011111
roto,74,00,-10.8833333,-165.8333333
tamarua,,00,-21.9530556,-157.925
tamarua village,,00,-21.9530556,-157.925
tauhunu,69,00,-10.425,-161.0352778
tauhunu village,,00,-10.425,-161.0352778
tautua,,00,-8.9602778,-157.9311111
tautu,,00,-18.88,-159.7816667
tava'enga village,,00,-21.9186111,-157.96
teenui,,00,-19.9869444,-158.1291667
te enui,,00,-19.9869444,-158.1291667
temakatea village,,00,-21.92,-157.9602778
tengatangi,,00,-19.9991667,-158.1155556
tengatangi village,,00,-19.9991667,-158.1155556
te tautua,,00,-8.9602778,-157.9311111
titikaveka,,00,-21.2719444,-159.755
titikaweka,,00,-21.2719444,-159.755
toamua,,00,-13.8,-171.7833333
tukao,,00,-10.3763889,-160.0116667
tuko,,00,-10.3763889,-160.0116667
tuko village,,00,-10.3763889,-160.0116667
vaipae,,00,-18.8713889,-159.7811111
village,,00,-18.0608333,-163.1933333
