names,population,state_code,lat,lon
abanico,,06,-37.3333333,-71.5166667
abarca,,11,-35.25,-71.85
abranquil,,11,-35.75,-71.55
abtao,,09,-41.4,-72.9333333
achacala,,13,-18.0166667,-69.2166667
achacollo,,13,-17.7,-69.65
achao,,09,-42.4638889,-73.5208333
achau,,09,-42.4638889,-73.5208333
achuelo,,13,-18.5666667,-69.8
achupallas,,01,-33.0,-71.5166667
agoni,,09,-42.7486111,-73.5875
agua amarga,,05,-28.8333333,-70.7333333
agua amarilla,,07,-30.8333333,-70.7
agua blanca,,08,-34.65,-70.85
agua buena,,08,-34.65,-70.85
agua buena,,09,-40.5833333,-72.9166667
agua buena,,11,-35.3166667,-72.15
aguada,,13,-19.75,-69.9166667
aguada de cachinal,,03,-25.1333333,-69.5666667
aguada del pueblo,,03,-25.1,-70.45
agua de doro,,07,-29.2333333,-71.1
agua de lazo,,05,-28.1166667,-70.8166667
agua dulce,,05,-28.95,-71.4833333
agua fria,,09,-43.0219444,-73.6105556
agua grande,,07,-29.7319444,-71.0141667
aguantao,,09,-42.5158333,-73.5897222
agua salada,,01,-32.5166667,-71.4333333
aguas blancas,,03,-24.1833333,-69.85
aguas buenas,,09,-42.0872222,-73.6230556
aguas buenas,,11,-35.3166667,-72.15
aguas calientes,,13,-17.7333333,-69.8
aguas del volcan,,07,-30.0,-70.0166667
ahinco,,09,-41.7833333,-73.5166667
ahoni,,09,-42.7486111,-73.5875
aico,,13,-18.8166667,-69.5
aijota,,13,-18.9,-69.0833333
aillipen,,04,-38.9333333,-73.2166667
aillo beter,,03,-22.9833333,-68.2166667
aillo talor,,03,-22.9833333,-68.2333333
aimani,,03,-21.6166667,-68.6833333
ainco,,09,-41.7833333,-73.5166667
aiquina,,03,-22.2833333,-68.3333333
airacollo,,13,-17.7333333,-69.6
airo,,13,-17.7,-69.6833333
aisen,,02,-45.4,-72.7
aitue,,09,-42.8166667,-73.4833333
aitui,,09,-42.8166667,-73.4833333
aituy,,09,-42.8166667,-73.4833333
ajata,,13,-17.7666667,-69.7333333
alachildu,,09,-42.5730556,-73.585
alao,,09,-42.6,-73.3
alca,,13,-20.2833333,-69.0666667
alcantara,,11,-34.7666667,-71.8333333
alcerreca,,13,-17.9930556,-69.66
alcones,,07,-30.7833333,-71.5333333
alcones,,08,-34.4333333,-71.7333333
aldachildo,,09,-42.5730556,-73.585
aldachildu,,09,-42.5730556,-73.585
aldana,,02,-46.9,-72.7666667
alerce,,09,-41.4,-72.9333333
alfalfal,,12,-33.5,-70.1833333
alfalfalito,,12,-34.0833333,-70.1166667
alfalfito,,12,-34.0833333,-70.1166667
algarrobal,,05,-28.1347222,-70.6455556
algarrobito,,07,-29.95,-71.15
algarrobo,,01,-33.3666667,-71.6666667
algarrobo,,05,-27.05,-70.5833333
algarrobo,,07,-30.15,-71.0
algorta,,03,-22.8333333,-69.8166667
alhue,,12,-34.0333333,-71.1
alicahue,,01,-32.35,-70.7833333
alicia de penaflor,,12,-33.6166667,-70.9
alico,,06,-36.6,-71.5333333
allipen,,04,-38.9333333,-73.2166667
almagro,,04,-38.7666667,-72.95
almahue viejo,,08,-34.4,-71.2166667
almendral,,01,-32.75,-70.7
almendral,,07,-29.9833333,-70.9166667
almendrillo,,07,-32.05,-70.6333333
almendro,,08,-34.2833333,-71.0666667
almirante latorre,,07,-29.6333333,-70.9666667
almireses,,05,-29.0,-71.0833333
alojamiento de quitala,,13,-20.85,-69.0
alojamiento sallihuinca,,13,-20.9333333,-68.75
alona,,13,-20.6333333,-68.9833333
alpajere,,13,-19.1833333,-69.2833333
alqui,,09,-42.9625,-73.4891667
alsore,,13,-19.2166667,-68.7166667
altamira,,03,-25.7833333,-69.85
altar,,07,-30.7666667,-71.1833333
altar alto,,07,-30.7666667,-71.1833333
alto beter,,03,-22.9833333,-68.2166667
alto choen,,09,-42.1919444,-73.4336111
alto de callihue,,08,-34.6333333,-71.5
alto de jahuel,,12,-33.7333333,-70.7
alto de la posada,,01,-32.8833333,-70.2
alto de las padillas,,08,-34.3166667,-71.35
alto del caimen,,05,-28.7666667,-70.5
