names,population,state_code,lat,lon
aba,,04,5.6,14.05
aba,,10,6.4166667,12.7333333
ababa,,11,4.1333333,12.4333333
ababita,,14,2.9833333,11.65
abafu,,07,6.9333333,10.55
abafum,,07,6.9333333,10.55
abafun,,07,6.9333333,10.55
abagoure,,12,12.1,14.7
abahun,,07,6.9333333,10.55
abakoum,,04,3.2333333,13.6
abakpa,,09,5.3833333,8.9333333
abala,,04,4.05,12.9
abam,,11,3.7666667,11.7833333
abamba,,04,4.05,12.85
abana,,09,4.55,8.5166667
aban,,14,2.4666667,11.65
abanga,,11,3.8333333,11.8
abang,,09,4.9477778,9.7744444
abang,,11,3.3833333,11.1166667
abang,,14,2.1833333,10.4833333
abang i,,11,3.6333333,11.5
abang ii,,11,3.5833333,11.2833333
abang mindi,,11,3.45,11.3833333
abang-minko,,14,2.3333333,11.4333333
abangnang,,11,4.3166667,11.3166667
abangok,,14,3.3,11.85
abari,,12,12.5333333,14.35
abasouni,,12,12.6833333,14.2833333
abat,,09,5.35,9.2333333
abe,,05,3.65,9.8166667
abeganga,,04,4.4166667,14.5166667
abek,,14,2.4333333,12.2833333
abel,,11,4.2833333,11.4166667
abelankai,,12,11.0666667,14.8
abem,,11,3.7,12.3
abem,,14,2.4166667,10.4166667
abembe i,,11,3.6833333,11.6666667
abembe ii,,11,3.7166667,11.6833333
abendoman,,14,2.5333333,11.5666667
abendouroua,,12,11.9833333,14.9833333
abenedima's,,11,3.6833333,11.6833333
abeyda,,12,12.2666667,14.5833333
abiate,,14,2.7166667,11.5
abiete,,14,2.9166667,10.5
abili,,11,3.6833333,11.4666667
abimoa,,11,3.5666667,11.6166667
aboa,,09,4.8,8.9666667
aboba,,12,12.4,14.7333333
abodemving,,14,3.2666667,11.2666667
abodi,,12,12.5,14.6666667
aboelon,,14,2.6166667,11.85
aboki,,12,12.5333333,14.6166667
abom,,11,3.8833333,11.5833333
abombo,,11,3.85,11.7166667
abonando,,09,5.9,9.1166667
abondo,,11,4.0666667,11.6166667
abong doum,,04,3.9833333,13.15
abong mbang,14661,04,3.9833333,13.1833333
abonis,,04,4.1,13.05
abonkwa,,07,6.7666667,10.6666667
