names,population,state_code,lat,lon
20 de julio,,33,4.5666667,-74.1
20 de junio,,21,8.0405556,-72.6225
4 esquinas,,20,1.1,-77.4666667
abarca,,18,10.7666667,-74.1666667
abejero,,24,5.1575,-75.9094444
abejorral,7360,02,5.7933333,-75.4308333
abisinia,,01,-1.3833333,-72.2
abra,,17,11.3094444,-72.8958333
abrahan asprilla,,11,5.0,-77.1666667
abras,,17,11.3094444,-72.8958333
a bravo,,02,8.6116667,-76.4436111
abre el ojo,,17,10.9283333,-72.6675
abrego,,09,2.3666667,-76.7166667
abrego,10823,21,8.0830556,-73.2238889
abrego numero dos,,29,4.2252778,-75.9525
abriaqui,1281,02,6.6336111,-76.0647222
abriojo,,02,6.9166667,-75.8313889
abuyama,,03,6.8752778,-70.5797222
acacias,40628,19,3.9875,-73.7566667
acala,,29,4.6747222,-75.7825
acandi,4840,11,8.5333333,-77.2333333
acanti,,11,8.5333333,-77.2333333
acapulco,,03,6.4761111,-71.7088889
acapulco,,08,1.6061111,-75.64
acapulco,,19,4.4072222,-72.2511111
acapulco,,32,4.9305556,-72.3825
acaricuara,430,30,0.7,-70.2333333
acayali,,08,1.4833333,-73.3
aceite,,17,12.1,-71.5
aceituno,,28,3.9175,-75.18
acequia,,29,3.6375,-76.4011111
acevedo,,09,1.7505556,-76.8916667
acevedo,4451,16,1.8191667,-75.8963889
acevedo y gomez,,28,3.68,-75.0647222
achi,8434,05,8.5708333,-74.5577778
achiote,,33,5.5047222,-74.355
achotal,,04,10.7,-74.85
achotal,,20,1.4833333,-78.7166667
aco,,28,3.7472222,-74.8138889
acon,,20,1.5333333,-78.9
aco nuevo,,28,3.7430556,-74.8116667
acordeon,,18,9.5333333,-74.4166667
acoso,,11,5.1,-76.55
acosta,,12,8.5613889,-75.5452778
acuata,,33,4.4833333,-74.65
acuna,,26,6.6666667,-74.2666667
adaluz,,17,11.2502778,-72.2163889
adan,,10,10.1833333,-73.9
adelaide,,28,3.9211111,-75.1441667
admirable,,27,9.4333333,-75.0
adolfo rios,,33,4.7244444,-73.9
adoretes,,09,1.8552778,-77.1830556
adriana,,10,9.3019444,-73.9136111
adriano potes,,11,5.0,-77.0666667
adriene morano,,29,4.2775,-76.3038889
aduriameina,,18,10.65,-73.6333333
adurimeina,,18,10.65,-73.6333333
aflohera,,12,8.7666667,-76.1166667
aganche,,09,2.8833333,-76.6666667
agarrate,,12,8.7155556,-75.54
agrado,4531,16,2.2583333,-75.7725
agriasdulces,,18,10.1666667,-74.05
agrumito,,03,6.4666667,-70.5333333
agua azul,,32,5.1730556,-72.5547222
aguablanca,,06,4.9766667,-73.2566667
agua blanca,,06,5.5166667,-72.4833333
agua blanca,,09,2.6769444,-75.9372222
agua blanca,,10,10.2166667,-73.4833333
aguablanca,,19,3.55,-74.3927778
aguablanca,,21,8.0355556,-72.9505556
agua blanca,,21,8.4113889,-73.0627778
agua blanca,,22,-0.0333333,-75.2
agua blanca,,26,6.3333333,-73.6666667
aguablanca,,26,6.3872222,-73.38
agua blanca,,26,6.6863889,-73.7930556
aguablanca,,26,7.3666667,-73.1552778
aguablanca,,27,8.7166667,-74.7333333
aguablanca,,29,3.45,-76.5166667
aguabonita,,02,5.6958333,-75.6280556
agua bonita,,07,5.2,-75.1166667
aguabonita,,14,2.5797222,-72.5880556
agua bonita,,14,2.5797222,-72.5880556
agua bonita,,16,2.1394444,-75.9136111
agua bonita,,26,6.6233333,-73.8313889
agua bonita,,28,3.7894444,-75.5808333
aguabuena,,26,6.3944444,-73.2586111
aguacaliente,,06,4.8313889,-73.2075
aguacaliente,,16,2.1355556,-75.67
agua caliente,,21,8.4166667,-72.5
aguacaliente,,26,7.4983333,-73.2166667
agua caliente,,28,3.2933333,-75.0302778
aguacaliente,,28,4.4755556,-75.4016667
aguacatal,,02,7.1030556,-75.4055556
aguacatal,,10,9.1002778,-73.6469444
aguacatal,,27,9.35,-75.3166667
aguacate,,02,5.8352778,-75.5066667
aguacate,,07,4.9333333,-75.85
aguacate,,11,6.8833333,-77.6833333
aguacate,,20,1.55,-78.0333333
aguacate,,27,9.6333333,-75.4
aguachica,73361,10,8.3125,-73.6269444
aguacilla,,20,1.5833333,-77.0166667
aguacillas,,20,1.5833333,-77.0166667
aguaclara,,09,2.3,-77.7666667
agua clara,,12,8.4833333,-75.3166667
agua clara,,19,4.0658333,-73.0166667
aguaclara,,20,1.6058333,-78.9611111
aguaclara,,21,8.2391667,-72.4302778
aguaclara,,29,3.5011111,-76.2355556
agua clara,,29,4.1158333,-76.1944444
aguaclara,,32,4.7494444,-72.9938889
agua colorada,,06,5.7358333,-74.0963889
agua como,,32,5.2166667,-71.1166667
aguada,,14,1.6833333,-73.5666667
aguada,,20,1.1333333,-77.4
aguada,,32,5.9,-72.0
aguada de caferino,,26,7.1847222,-73.1808333
aguada de garrapata,,18,9.3566667,-74.0925
aguada de pablo,,04,10.5166667,-75.0166667
aguadas,19727,07,5.6147222,-75.4597222
agua de dios,,26,5.7797222,-73.8661111
agua de dios,10876,33,4.3833333,-74.6666667
agua de la virgen,,21,8.2113889,-73.3925
agua de pablo,,04,10.5166667,-75.0166667
agua de perro,,33,5.525,-74.2602778
aguadita,,02,6.8097222,-76.0766667
aguadita,,07,5.2833333,-75.5666667
aguadita,,28,5.15,-75.1166667
