names,population,state_code,lat,lon
27 de abril,,03,10.25,-85.7166667
3 millas,,06,10.1666667,-83.5166667
9 millas,,06,10.0,-83.15
abangares,,07,10.15,-85.05
abangaritos,,07,10.15,-85.05
abuela,,07,9.7,-85.0166667
abundancia,,01,10.3333333,-84.4666667
achiote,,07,9.2333333,-83.3666667
aeropuerto,,04,10.5666667,-84.0
africa,,06,10.1833333,-83.6666667
agbeta,,06,9.4166667,-83.2166667
agua azul,,01,10.4833333,-84.6166667
agua blanca,,08,9.8166667,-84.1833333
agua buena,,07,8.4166667,-83.3833333
agua caliente,,03,10.35,-85.0666667
aguacate,,03,10.55,-84.95
aguas,,02,9.9,-83.8333333
aguas buenas,,08,9.2166667,-83.6833333
aguas calientes,,03,10.4833333,-85.2333333
aguas claras,,01,10.8333333,-85.1666667
aguas claras,,07,8.85,-82.9666667
aguas negras,,01,10.6833333,-84.8333333
aguas zarcas,,01,10.3833333,-84.35
aguas zarcas,,06,9.9,-83.1333333
agueta,,06,9.4166667,-83.2166667
aguila abajo,,08,9.1166667,-83.5333333
aguilares,,03,10.5,-85.0166667
aguitares,,03,10.5,-85.0166667
agujas,,07,8.5833333,-83.3833333
agujitas,,07,9.6833333,-84.5833333
ahogados,,03,10.75,-85.5166667
alajuela,47503,01,10.0166667,-84.2166667
alajuelita,13848,08,9.9,-84.1
alaska,,08,9.5333333,-83.6666667
alcantaro,,03,10.7333333,-85.4666667
alcira,,08,9.75,-84.0833333
alegria,,06,10.1,-83.6
alemania,,03,11.0833333,-85.45
alfaro,,01,10.0833333,-84.5166667
altamira,,01,10.4666667,-84.35
alto,,06,10.0333333,-83.65
alto,,07,8.7166667,-83.15
alto,,08,9.9666667,-84.0333333
alto angeles,,07,8.9166667,-83.3333333
alto banca lucia,,01,10.5333333,-84.8333333
alto cebadilla,,03,10.3333333,-84.8666667
alto concepcion,,08,9.7,-84.35
alto de domingo mora,,08,9.8833333,-84.1
alto de las cruces,,08,9.6,-84.05
alto del monte,,01,9.9833333,-84.45
alto de los chantos,,08,9.9666667,-83.9666667
alto del roble,,04,10.0833333,-84.0833333
alto de quitirriel,,08,9.8666667,-84.2333333
alto poro,,08,9.9,-84.4166667
altos aguacate,,08,9.6666667,-84.1833333
altos herediana,,06,10.1166667,-83.5833333
alto socorro,,03,9.9666667,-85.4
altos pascua,,06,10.0333333,-83.65
alto villegas,,01,10.15,-84.45
america,,06,10.15,-83.5833333
amparo,,03,10.85,-84.7
amubri,,06,9.5166667,-82.9666667
anateri,,01,10.1833333,-84.4666667
angel,,07,9.25,-83.4166667
angeles,,01,10.0833333,-84.2166667
angeles,,03,10.15,-85.3666667
angeles,,04,10.05,-84.0833333
angeles,,06,10.3,-83.55
angeles,,07,8.7833333,-82.9333333
angeles,,08,9.4833333,-83.8
angeles de monte romo,,03,10.0,-85.3833333
angeles norte,,01,10.3833333,-84.2
angeles sur,,01,10.1333333,-84.4833333
angostura,,08,9.2833333,-83.6833333
animas,,01,10.0166667,-84.2833333
animas,,02,9.9166667,-83.65
animas,,03,11.05,-85.5833333
animas,,08,9.95,-84.1166667
aquiares,,02,9.95,-83.7166667
arado,,03,10.2166667,-85.6
aragon,,02,9.9166667,-83.7
arancibia,,07,10.2333333,-84.7
aranjuecito,,07,10.1833333,-84.7666667
aranjuez,,07,10.0666667,-84.8
arbolito,,03,10.5333333,-85.2166667
arcangeles,,08,9.8833333,-84.1166667
arena,,03,10.0666667,-85.4
arenal,,03,10.3833333,-85.7
arenilla,,02,9.85,-83.9333333
argelia,,01,10.75,-84.7833333
argentina,,01,10.0333333,-84.35
