names,population,state_code,lat,lon
2 da palma,,08,22.2166667,-80.2666667
abajo,,11,22.9666667,-82.65
abajo,,15,20.1616667,-75.49
abascal,,11,23.05,-81.8666667
abelardo,,05,21.4333333,-77.0166667
abel santa maria,,02,23.0169444,-82.4013889
abel santamaria,,16,22.6,-79.85
abra de caiguanab,,01,22.6666667,-83.4833333
abra de caiguanabo,,01,22.6666667,-83.4833333
abra de castellon,,08,22.2,-80.15
abraham lincoln,,11,22.7997222,-82.7966667
abreu,,03,22.5333333,-80.9833333
abreu,,08,22.2775,-80.5675
abreu,,11,22.75,-82.5833333
abreus,16711,08,22.2775,-80.5675
abundancia,,15,20.2441667,-75.7322222
acana,,03,22.9008333,-81.5402778
achotal,,10,20.3833333,-75.3333333
achuris,,03,22.7736111,-81.1913889
acosta,,05,21.9,-78.2333333
acosta,,11,22.9666667,-82.2666667
acosta,,13,20.95,-77.1333333
acuario,,03,22.9311111,-81.0605556
acueducto,,11,22.7166667,-82.3
aculadero,,03,22.3833333,-80.9166667
aculadero,,08,22.3666667,-80.9
adam,,13,21.1813889,-77.02
adela,,07,21.785,-78.2766667
adela,,13,20.9166667,-77.2333333
adela,,16,22.3833333,-79.5
adelaida,,02,23.0,-82.3833333
adelaida,,08,22.3333333,-80.3333333
adelaida,,15,20.1636111,-75.6625
adelaida,,16,22.5166667,-79.55
adelita,,14,21.9913889,-78.9786111
administracion,,07,22.25,-78.8666667
admiracion,,03,22.9044444,-81.0622222
adrian martinez,,08,22.4,-80.5833333
aflige,,12,20.6333333,-75.2333333
aflije,,12,20.6333333,-75.2333333
aflijes,,12,20.6333333,-75.2333333
africana,,15,20.0,-75.5833333
agabama,,14,22.1277778,-79.7513889
agapito,,10,20.2333333,-75.4166667
agramonte,5376,03,22.6761111,-81.1163889
agramonte,,05,20.9,-77.9166667
agraria,,11,22.7166667,-82.3666667
agromar,,02,23.1444444,-82.1666667
agua,,05,21.7,-77.5333333
agua,,14,21.75,-79.6611111
aguacate,,01,22.4333333,-83.5333333
aguacate,,03,22.6333333,-81.0166667
aguacate,,05,21.1,-77.5
aguacate,,07,22.0333333,-78.6666667
aguacate,,08,21.9186111,-80.0763889
aguacate,,11,22.75,-82.85
aguacate,,15,20.125,-75.6325
aguacate,,16,22.64,-80.105
aguacatico,,05,21.8833333,-78.15
aguada,,08,22.385,-80.8508333
aguada,,14,22.2627778,-79.1091667
aguada,,16,22.7025,-79.6941667
aguada de bueyes,,10,20.0813889,-75.2294444
aguada de carillo,,16,22.3333333,-79.4333333
aguada de carrillo,,14,22.2261111,-79.1627778
aguada de los bueyes,,10,20.0813889,-75.2294444
aguada de mayo,,16,22.5544444,-79.7230556
aguada de moya,,16,22.5544444,-79.7230556
aguada de pasajeros,23606,08,22.385,-80.8508333
aguada de pasajeros,,14,22.2547222,-79.1125
aguada de piedra,,12,21.1,-75.85
aguadita,,07,21.91,-78.7897222
aguadita,,16,22.4,-80.2
agua dulce,,01,22.7833333,-83.5166667
aguakate,,08,21.9186111,-80.0763889
aguanta,,10,20.2833333,-74.45
agua santa,,14,22.22,-79.0777778
aguas azules,,16,22.4166667,-79.6
aguas blancas,,13,20.9333333,-77.1166667
aguas claras,,01,22.2216667,-83.3897222
aguas claras,,12,20.9611111,-76.27
aguas dulces,,08,22.3166667,-80.8333333
aguas gordas,,12,21.0827778,-75.7161111
aguas nuevas,,03,22.8269444,-81.1647222
aguedita,,03,22.6855556,-80.7586111
aguedita,,07,22.0166667,-78.7333333
aguiar,,03,22.65,-80.75
aguica,,03,22.6861111,-80.8191667
aguica nueva,,03,22.6861111,-80.8191667
aguijon,,16,22.4833333,-79.7833333
aguila,,02,23.0333333,-82.2666667
aguila,,09,20.0833333,-77.25
aguilar,,03,22.785,-81.2283333
aguilar,,05,21.0241667,-78.0719444
aguilar,,13,21.2272222,-77.0505556
aguilera,,09,20.3,-76.7833333
aguillita,,01,22.4333333,-83.5333333
ahocinado,,01,22.85,-83.3166667
ahocinado,,16,22.4333333,-79.95
aida,,01,22.3333333,-83.6833333
aida,,05,21.6833333,-77.5166667
aimanitas,,02,23.09,-82.4827778
aita,,13,21.2833333,-76.9833333
aizcorbe,,01,22.7333333,-82.95
ajiconal,,01,22.4666667,-83.6
ajuria,,08,22.4833333,-80.3
alacranes,5843,03,22.7675,-81.5675
alamar,,02,23.1583333,-82.2769444
alambique,,03,22.8333333,-81.4666667
alambique,,05,21.4,-77.8833333
alambre,,15,20.2391667,-75.9519444
alameda del siboney,,02,23.0752778,-82.4794444
alamero,,03,22.9833333,-80.95
