names,population,state_code,lat,lon
achada baleia,,17,15.05,-23.4833333
achada grande,,17,14.9833333,-24.3166667
achada monte,,17,15.2333333,-23.65
achadinha,,17,15.2333333,-23.7166667
agua das fortes,,00,16.9666667,-25.2166667
agua dos fortes,,00,16.9666667,-25.2166667
alcatraz,,17,15.2166667,-23.1166667
amador,,17,16.1166667,-22.8333333
areia branca,,00,16.9,-24.9666667
assomada,7808,17,15.1,-23.6833333
assumada,,17,15.1,-23.6833333
atalaia,,17,15.0333333,-24.4
baboso,,00,16.9833333,-25.2
bafareira,,17,16.1833333,-22.8333333
bafureira,,17,16.1833333,-22.8333333
baleia,,17,14.85,-24.7
baluarte,,17,15.0,-24.4
barbasco,,00,17.1833333,-25.05
barreiro,,17,15.1333333,-23.1666667
beirona,,00,16.6833333,-22.9333333
bela vista,,00,16.8,-22.9666667
biscainhos,,17,15.25,-23.7
boa ventura,,17,16.1333333,-22.9
bofareira,,17,16.1833333,-22.8333333
bomfim,,00,16.7,-22.9
bonita,,00,17.0833333,-25.3166667
botija,,00,17.05,-25.3333333
buracona,,00,16.8,-23.0
cabecadas,,17,16.1166667,-22.9
cabecalinho,,00,16.6,-24.3166667
cabeco de tarafes,,17,16.1333333,-22.7333333
cabeco dos tarafes,,17,16.1333333,-22.7333333
cachacinho,,00,16.6,-24.3166667
cachaco,,00,17.05,-25.2
cachaco,,17,14.8333333,-24.7
cachoca,,17,14.8333333,-24.7
caculi,,00,17.1666667,-25.1
caleijao,,00,16.6,-24.3166667
calejao,,00,16.6,-24.3166667
calhau,,00,16.85,-24.8666667
calheta,,17,15.1833333,-23.6
camaroes,,00,16.6666667,-24.35
carrical,,00,16.55,-24.0833333
carvoeiros,,00,16.65,-24.3166667
casa do cabo submarino,,00,16.8166667,-25.0666667
cascabulho,,17,15.2666667,-23.1833333
castilhiano,,00,16.5833333,-24.05
chacha,,17,15.2,-23.6666667
cha da egreja,,00,17.1666667,-25.1666667
cha da igreja,,00,17.1666667,-25.1666667
cha da ribeira,,00,17.1166667,-25.2666667
cha de dentro,,17,15.2333333,-23.6833333
cha de figueiras,,17,15.1833333,-23.7166667
cha de igreja,,00,17.1666667,-25.1666667
cha de morte,,00,17.05,-25.2166667
cha de paulo,,00,17.15,-25.2
cha de queimada,,00,17.15,-25.2
cha de queimado,,00,17.0833333,-25.2
cha de vazinha,,00,17.15,-25.2
cha do morto,,00,17.05,-25.2166667
cha do norte,,00,17.1166667,-25.2666667
chao queimado,,00,17.0833333,-25.2
cha queimada,,00,17.15,-25.2
charco,,17,15.1333333,-23.75
cha varzinha,,00,17.15,-25.2
cidade velha,,17,14.9166667,-23.6166667
cirio,,00,17.0666667,-25.2333333
corvo,,00,17.2,-25.1166667
corvo,,17,15.0,-24.3166667
cova figueira,,17,14.8833333,-24.3
covoada,,00,16.65,-24.35
cruz do pe do verde,,00,16.8833333,-24.95
cruzinha,,00,17.1666667,-25.1666667
curral branco,,17,16.0333333,-22.8
curral,,00,17.1666667,-25.1166667
curral das vacas,,00,17.05,-25.2333333
curral velho,,17,15.9833333,-22.8
dacabalaio,,17,14.85,-24.3333333
dacalabaio,,17,14.85,-24.3333333
derrubado,,17,16.2333333,-22.8
egreja,,17,15.0333333,-24.3333333
endriano,,00,17.1166667,-25.1833333
ereja,,17,15.0333333,-24.3333333
