names,population,state_code,lat,lon
aabauerschaft,,07,52.0833333,7.3833333
aach,,01,47.85,8.85
aach,,02,47.5166667,9.9666667
aach,,08,49.7833333,6.6
aachen,251104,07,50.7708333,6.1052778
aachen-rothe erde,,07,50.7666667,6.1333333
aach-linz,,01,47.9,9.2
aaldering,,06,52.4833333,7.0333333
aalderink,,06,52.4833333,7.0333333
aalen,67593,01,48.8333333,10.1
aalkorb,,02,49.8666667,11.3333333
aasbuttel,,10,54.0666667,9.4333333
aasen,,01,47.9833333,8.55
aashausen,,06,53.5333333,8.5
abach,,02,48.9333333,12.05
abbach,,02,48.9333333,12.05
abbecke,,06,51.75,9.65
abbehausen,,06,53.4833333,8.4333333
abbehausergroden,,06,53.4833333,8.3833333
abbehauser wehl,,06,53.4833333,8.4
abbehauserwisch,,06,53.5166667,8.4333333
abbendorf,,06,52.8333333,10.7
abbendorf,,11,52.9,11.9
abbendorf,,14,52.75,10.9166667
abbenfleth,,06,53.6666667,9.4833333
abbenhausen,,06,52.8166667,8.6333333
abbenrode,,06,52.25,10.7333333
abbenrode,,14,51.9166667,10.6166667
abbensen,,06,52.3833333,10.1833333
abbenseth,,06,53.5666667,9.1
abbentheren,,06,52.8166667,8.55
abberg,,02,47.7833333,11.5333333
abberode,,14,51.6166667,11.2833333
abbesbuttel,,06,52.35,10.5666667
abbickenhausen,,06,53.5333333,8.0
abbikenhausen,,06,53.5333333,8.0
abbingwehr,,06,53.45,7.2333333
abenberg,,02,49.25,10.9666667
abend,,13,51.1333333,13.2666667
abenden,,08,50.6666667,6.4833333
abendsiepen,,07,51.4666667,7.7166667
abenheim,,08,49.6772222,8.2811111
abens,,02,48.5333333,11.6666667
abens,,06,53.6,7.7333333
abensberg,12543,02,48.8166667,11.85
abensperg,,02,48.8166667,11.85
abentheuer,,08,49.65,7.1
abersberg,,02,48.4666667,11.8
abersdorf,,02,47.85,12.25
abersfeld,,02,50.0666667,10.3833333
aberzhausen,,02,49.1166667,11.1666667
abetsweiler,,01,47.8666667,9.7666667
abhorn,,13,50.5666667,12.4
abickhafe,,06,53.4833333,7.9
abingen,,01,48.2166667,9.0333333
ablach,,01,48.0166667,9.2166667
ablass,,13,51.2333333,12.95
ablers,,02,47.5666667,9.8666667
abort,,10,54.8833333,8.45
abrain,,02,47.8,11.5833333
abro,,10,54.8166667,9.1
absberg,,02,49.15,10.8833333
absdorf,,02,48.6166667,12.9666667
absen,,06,53.4,8.45
absenreute,,01,47.8166667,9.5166667
abserdeich,,06,53.4,8.4666667
abshofen,,02,48.5333333,13.0666667
abspann,,02,49.8333333,12.0
abstatt,,01,49.0711111,9.2927778
abstetter hof,,01,49.0333333,9.2666667
abtei,,08,49.6833333,6.95
abtei,,13,50.7,12.7
abtenham,,02,48.0333333,12.8
abteroda,,15,50.9,10.0666667
abterode,,05,51.2,9.9333333
abtischrode,,14,51.4666667,11.5666667
abtissinwisch,,10,53.9666667,9.2833333
abtlobnitz,,14,51.0833333,11.7166667
abtnaundorf,,13,51.3666667,12.4166667
abtsbessingen,,15,51.25,10.7666667
abtschlag,,02,48.8833333,13.25
abtsdorf,,02,47.9,12.9166667
abtsdorf,,14,51.9,12.7166667
abtsee,,02,47.9166667,12.9166667
abtsgmund,,01,48.8833333,10.0
abtsgreut,,02,49.6666667,10.5833333
abtsgreuth,,02,49.6666667,10.5833333
abtshagen,,12,54.1833333,13.0166667
abtsried,,02,49.1833333,12.4
abtsroda,,05,50.5,9.9166667
abtswind,,02,49.7666667,10.3666667
abtweiler,,08,49.75,7.65
abwinkel,,02,47.75,11.85
abwinkl,,02,47.7,11.7333333
accum,,06,53.55,8.0166667
accumersiel,,06,53.5166667,8.05
achau,,02,47.75,11.9333333
achau-muhle,,02,47.75,11.9333333
achberg,,02,47.7166667,12.4
achdorf,,01,47.8333333,8.5
achdorf,,02,48.5166667,12.1666667
achelriede,,06,52.25,8.1666667
achelstadt,,15,50.8333333,11.1166667
achen,,01,47.7,10.05
achen,,02,47.7,12.2666667
achenbach,,05,50.85,8.3833333
achenbach,,07,50.8666667,7.9666667
achenbacher furt,,07,50.8666667,7.9833333
achenmuhle,,02,47.7833333,12.2166667
achering,,02,48.35,11.7166667
achern,24272,01,48.6333333,8.0666667
achert,,01,48.5666667,8.2
acherting,,02,47.8,12.25
achim,30117,06,53.0333333,9.0166667
achkarren,,01,48.0666667,7.6333333
achldorf,,02,48.4333333,12.3666667
achmer,,06,52.4,7.9333333
achmuhl,,02,47.75,11.4333333
achner,,02,47.6,11.4666667
acholshausen,,02,49.6447222,9.9947222
achrain,,02,47.6666667,11.2333333
achselschwang,,02,48.0333333,11.05
achsenried,,02,48.1166667,10.3833333
achsheim,,02,48.4833333,10.8166667
achslach,,02,48.9666667,12.9333333
achstetten,,01,48.2666667,9.9
acht,,08,50.3666667,7.0666667
achtel,,02,49.5666667,11.5833333
achtelsbach,,08,49.6166667,7.0833333
achterberg,,06,52.2833333,7.0666667
achterdeich,,04,53.4166667,10.2333333
achterdeich,,06,53.3833333,10.1333333
achteresch,,06,52.45,7.5166667
achterhoek,,07,51.5833333,6.35
achterhorn,,06,52.0,7.7333333
achterhorn,,10,53.9666667,9.2833333
achterhuck,,07,51.5833333,6.35
achtermeer,,06,53.3833333,8.3
achterndiek,,10,53.65,10.3166667
achternholt,,06,53.05,8.15
achternmeer,,06,53.0833333,8.1
achterschlag,,04,53.4666667,10.2333333
achterstadt,,06,53.3833333,8.3166667
achterwehr,,10,54.3166667,9.9666667
achthal,,02,47.8,11.9666667
achthofen,,06,53.7166667,9.1833333
achthofenerdeich,,06,53.7166667,9.1666667
achtrup,,10,54.7833333,9.0333333
achtum,,06,52.1333333,10.0
achum,,06,52.2833333,9.0833333
ackenboe,,10,53.9333333,9.3
ackenbrock,,07,51.35,7.6666667
ackendorf,,14,52.2166667,11.4333333
ackenhausen,,06,51.9,10.0833333
acker,,02,47.6,10.3666667
ackerbach,,08,50.2333333,7.9833333
ackerfelde,,11,53.2333333,12.35
ackern,,10,54.7333333,8.9666667
ackersdorf,,02,47.85,12.25
ackfeld,,07,51.7666667,8.25
adamsdorf,,12,53.4333333,13.0166667
adamshof,,12,53.7,13.0833333
adamshoffnung,,12,53.45,12.3666667
adamshohe,,14,51.95,11.2
adamswalde,,11,53.1833333,12.9333333
addebull,,10,54.6666667,8.9
addenhausen,,06,53.7,7.7
addenstorf,,06,53.1,10.5
addernhausen,,06,53.55,7.9
addrup,,06,52.7333333,8.0166667
adelbach,,01,49.0333333,9.7666667
adelberg,,01,48.7666667,9.6
adelberg,,02,47.6,9.8166667
adelberg-dorf,,01,48.7666667,9.6
adelberg kloster,,01,48.7666667,9.6
adelby,,10,54.7833333,9.4666667
adelbylund,,10,54.7833333,9.4666667
adelebsen,,06,51.5833333,9.75
adelgunz,,02,47.65,9.8166667
adelharz,,02,47.6,10.2166667
adelhausen,,01,47.6166667,7.7666667
adelhausen,,15,50.3666667,10.75
adelheide,,06,53.0166667,8.6166667
adelheidsdorf,,06,52.55,10.05
adelheim,,02,49.4166667,11.3833333
adelhofen,,02,49.5333333,10.1666667
adelholzen,,02,47.8166667,12.6166667
adelig boltenhagen,,12,54.0833333,13.0833333
adelmannsdorf,,02,49.2166667,10.75
adelmannsfelden,,01,48.95,10.0166667
adelmannsitz,,02,49.3333333,10.6833333
adelmannssitz,,02,49.3333333,10.6833333
adelsberg,,01,47.7166667,7.8333333
adelsberg,,02,48.8333333,13.4833333
adelsberg,,13,50.8166667,12.9833333
adelsborn,,15,51.45,10.35
adelschlag,,02,48.8333333,11.2166667
adelsdorf,,02,49.4833333,10.6833333
adelsdorf,,13,51.3166667,13.5833333
adelshausen,,02,48.15,10.9333333
adelshausen,,05,51.1166667,9.5666667
adelsheim,,01,49.4036111,9.3933333
adelshofen,,01,47.9666667,9.8666667
adelshofen,,02,48.1833333,11.1166667
adelsreute,,01,47.75,9.5333333
adelsried,,02,48.4166667,10.7166667
adelstedt,,06,53.4166667,8.8
adelstetten,,01,48.85,9.75
adelwitz,,13,51.5166667,13.1333333
adelzhausen,,02,48.35,11.1333333
adenau,,08,50.3833333,6.9333333
adenbach,,08,49.6666667,7.65
adenberg,,02,48.5833333,13.1166667
adenbuttel,,06,52.3833333,10.45
adendorf,9917,06,53.2833333,10.45
adendorf,,07,50.6166667,7.0666667
adendorf,,14,51.6166667,11.7
adensen,,06,52.1833333,9.7333333
adenstedt,,06,52.0,9.9333333
aderich,,07,50.5833333,6.25
adersbach,,01,49.2638889,8.9566667
adersheim,,06,52.15,10.4666667
adersleben,,14,51.9,11.1833333
aderstedt,,14,51.7666667,11.6833333
adertshausen,,02,49.2833333,11.8333333
aderzhofen,,01,48.1666667,9.5666667
adlanz,,02,50.2666667,11.7666667
adlberg,,02,48.3333333,12.0833333
adldorf,,02,48.6333333,12.8333333
adlersberg,,02,49.05,12.0166667
adlershof,,16,52.45,13.5333333
adlfurt,,02,47.8833333,11.9833333
adlhausen,,02,48.7833333,12.0166667
adlholz,,02,49.5833333,11.8333333
adlig bartelshagen,,12,54.35,12.8666667
adlig boltenhagen,,12,54.0833333,13.0833333
adlige dubrau,,11,51.7333333,14.5333333
adlig reetz,,11,52.7833333,14.15
adling,,02,48.0,11.8666667
adlitz,,02,49.6333333,11.0666667
adlkofen,,02,48.55,12.2666667
adlmannstein,,02,49.1,12.2666667
adlmorting,,02,48.4833333,13.2166667
adlum,,06,52.2333333,10.0666667
adlwarting,,02,48.9,12.8833333
admannshagen,,12,54.1333333,12.0
admannshagen-bargeshagen,,12,54.1166667,11.9833333
adolfsgluck,,06,52.6,9.6666667
adolfshausen,,06,52.9166667,9.1
adolfsheide,,15,50.45,11.5333333
adolfshutte,,13,51.2666667,14.45
adolfskoog,,10,54.4166667,8.9666667
adolphsdorf,,06,53.2166667,8.9833333
adolphseck,,05,50.15,8.0833333
adolphsheide,,06,52.8833333,9.7
adolzfurt,,01,49.1655556,9.4486111
adolzhausen,,01,49.4025,9.8725
adorf,,05,51.3666667,8.8
adorf,,06,52.6166667,7.0833333
adorf,,08,50.6833333,7.5166667
adorf,,13,50.3166667,12.2666667
adorf freiberg,,15,50.3333333,12.2333333
adorf-jugelsburg,,13,50.3166667,12.2666667
adorf-remtengrun,,13,50.3,12.2833333
adrazhofen,,01,47.8166667,10.0666667
adriatsweiler,,01,47.8833333,9.25
adscheid,,07,50.75,7.35
aebtissinwisch,,10,53.9666667,9.2833333
aechternhagen,,07,52.1166667,8.9166667
aegidienberg,,07,50.6666667,7.3
aegypten,,06,52.45,7.85
aehringhausen,,07,51.3666667,7.4
aengenesch,,07,51.5333333,6.3666667
aepfelbach,,02,49.7166667,11.25
aerbeck,,07,51.3833333,6.3166667
aerding,,02,48.3,11.9333333
aerzen,12114,06,52.0333333,9.2666667
aeschach,,02,47.55,9.6833333
aeule,,01,47.8333333,8.1
afden,,07,50.8666667,6.0833333
affalter,,13,50.65,12.7666667
affalterbach,,01,48.9166667,9.3166667
affalterbach,,02,48.5666667,11.5333333
affalterhof,,02,50.0833333,11.4333333
affaltern,,02,48.4833333,10.7333333
affalterried,,01,48.8666667,10.0666667
affalterthal,,02,49.7,11.2833333
affalterwang,,01,48.8166667,10.2
affaltrach,,01,49.1366667,9.3838889
affecking,,02,48.9,11.9
affeln,,07,51.2666667,7.8666667
affendorf,,06,52.8,9.0166667
affenricht,,02,49.1833333,11.85
affental,,01,48.7,8.1666667
afferde,,06,52.1,9.4
afferde,,07,51.5666667,7.65
affhollerbach,,05,49.75,8.9
affhupperhofe,,07,52.1,8.4833333
affing,,02,48.4666667,10.9833333
affinghausen,,06,52.7833333,8.8833333
affler,,08,50.0166667,6.15
affoldern,,05,51.1666667,9.1
affolterbach,,05,49.5955556,8.8555556
affstatt,,01,48.6,8.8666667
afham,,02,48.4333333,13.2166667
afholderbach,,07,50.9333333,8.1333333
aflen,,08,50.1833333,7.0333333
afterhausen,,02,48.4166667,12.9166667
aftersberg,,01,47.8333333,7.9333333
