names,population,state_code,lat,lon
adi adda,,01,11.1333333,42.8858333
airolaf,,05,11.7702778,42.6519444
airoli,,02,11.0036111,42.1025
alaili dadda`,,04,12.4216667,42.8955556
alayli dadda`,,04,12.4216667,42.8955556
ali ada,,01,11.1333333,42.8858333
ali adda,,01,11.1333333,42.8858333
ali adda courant,,01,11.1333333,42.8858333
`ali `adde,,01,11.1333333,42.8858333
aliadh,,01,11.1333333,42.8858333
ali sabie,,01,11.1558333,42.7125
`ali sabieh,,01,11.1558333,42.7125
ali sabiet,,01,11.1558333,42.7125
`ali sabih,,01,11.1558333,42.7125
ambabbo,,05,11.7511111,42.8144444
amboua,,03,11.5694444,43.1366667
ambouli,,03,11.5694444,43.1366667
ambua,,03,11.5694444,43.1366667
angarou,,04,12.3866667,43.3347222
anghar,,04,12.3866667,43.3347222
`arta,,08,11.5222222,42.8419444
`as `ela,,02,11.0036111,42.1025
assa-ela,,02,11.0036111,42.1025
`assa gaila,,05,12.1916667,42.6416667
ass'eyla,,02,11.0036111,42.1025
balho,,05,12.0583333,42.1955556
bankouale,,05,11.8227778,42.6736111
bankouwale,,05,11.8227778,42.6736111
bissidiro,,04,12.645,42.9733333
boul'aos,,03,11.5833333,43.15
boulaos camp,,03,11.5833333,43.15
boulas,,03,11.5833333,43.15
boul`aws,,03,11.5833333,43.15
bulaos,,03,11.5833333,43.15
camp boulaos,,03,11.5833333,43.15
dadda`to,,04,12.3727778,42.7113889
damerdjog,,03,11.4855556,43.1872222
danan,,01,11.1833333,42.9333333
dicchil,,06,11.1086111,42.3738889
digri,,01,11.2975,42.8533333
dikhil,,06,11.1086111,42.3738889
dikil,,06,11.1086111,42.3738889
dikkil,,06,11.1086111,42.3738889
dikri,,01,11.2975,42.8533333
djibouti,,03,11.595,43.1480556
djibuti,,03,11.595,43.1480556
dorra,,05,12.1494444,42.4775
gaherre,,04,12.2869444,43.3555556
galafi,,02,11.7158333,41.8361111
gibuti,,03,11.595,43.1480556
goubatto,,01,11.4238889,43.0002778
goubeto,,01,11.4166667,42.9833333
goubeto station,,01,11.4166667,42.9833333
goubetto,,01,11.4238889,43.0002778
hayyou,,04,11.9630556,43.2905556
hi±oumbouli,,03,11.5694444,43.1366667
holhol,,01,11.3102778,42.9294444
hol holl,,01,11.3102778,42.9294444
holl-holl,,01,11.3102778,42.9294444
jibouti,,03,11.595,43.1480556
jibuti,623891,03,11.595,43.1480556
khor `angar,,04,12.3866667,43.3347222
khor-anghar,,04,12.3866667,43.3347222
kouta bouyya,,02,11.0161111,41.9619444
la`assa,,04,12.3558333,43.1563889
la plaine,,03,11.6,43.15
la-waada,,03,11.4611111,43.2527778
loya ada,,03,11.4611111,43.2527778
loyada,,03,11.4611111,43.2527778
loyi ada,,03,11.4611111,43.2527778
medeho,,04,11.9730556,43.0261111
mee doho,,04,11.9730556,43.0261111
mouddo,,05,12.3,42.4333333
moulhoule,,04,12.5916667,43.2
obock,,04,11.9630556,43.2905556
obok,,04,11.9630556,43.2905556
oue`a,,03,11.5030556,42.8552778
oue`a,,05,11.6905556,42.6866667
poste d' anghor,,04,12.3866667,43.3347222
randa,,05,11.8469444,42.6605556
sedorre,,04,12.3633333,43.1891667
tadjoura,,05,11.7852778,42.8844444
tadjura,,05,11.7852778,42.8844444
tagiura,,05,11.7852778,42.8844444
tajura,,05,11.7852778,42.8844444
teoao,,02,11.4383333,42.0572222
tewao,,02,11.4383333,42.0572222
tew`o,,02,11.4383333,42.0572222
we`a,,03,11.5030556,42.8552778
we`a,,05,11.6905556,42.6866667
yoboki,,02,11.5113889,42.1063889
