names,population,state_code,lat,lon
a,,04,55.2166667,9.9833333
aa,,04,55.2166667,9.9833333
aabenraa,16344,11,55.0333333,9.4333333
aabjaerg,,04,55.5,10.0
aabjerg,,04,55.5,10.0
aabo,,01,56.1166667,10.05
aabol,,11,55.2333333,9.1333333
aaby,,01,56.15,10.1666667
aaby,,07,57.1666667,9.75
aabybro,4849,07,57.15,9.75
aabyhoj,,01,56.15,10.1666667
aabyskov,,04,55.0666667,10.75
aadal,,13,55.8166667,9.4666667
aaderup,,12,55.2166667,11.7666667
aagaard,,13,55.5833333,9.4333333
aageby,,12,54.75,11.3
aagerup,,03,56.0333333,12.1666667
aagerup,,05,55.7166667,12.3333333
aagerup,,10,55.7,12.1666667
aagerup,,14,55.4833333,11.9166667
aa hojrup,,04,55.5,9.9833333
aakaer,,15,56.4666667,9.0
aakirkeby,2195,02,55.0666667,14.9333333
aakjaer,,15,56.4666667,9.0
aalbaek,,07,57.5955556,10.4094444
aalbaek,,08,55.4833333,8.65
aalbaek,,15,56.6166667,8.75
aalborg,122219,07,57.05,9.9333333
aale,,07,56.8833333,9.2333333
aale,,09,56.5,8.8166667
aale,,13,55.8833333,9.5666667
aalebaek,,07,57.0166667,10.2666667
aalebaek,,12,55.0,12.4666667
aalebaek huse,,07,57.0166667,10.2666667
aaleskov,,09,56.5,8.7833333
aalestrup,2787,15,56.7,9.5
aalkaer,,11,55.25,9.1166667
aalling,,08,55.7333333,8.75
aalokke,,04,55.3333333,10.7166667
aalose,,02,55.1333333,14.9666667
aalsbo,,04,55.4166667,10.0166667
aalsgaard,,03,56.0833333,12.55
aalsgaarde,,03,56.0833333,12.55
aalso,,01,56.3666667,10.85
aalsrode,,01,56.35,10.8666667
aalstrup,,01,55.9,10.1333333
aalstrup,,07,57.2833333,10.0166667
aalum,,01,56.45,9.85
aalykke,,04,55.3333333,10.7166667
aanum,,09,55.95,8.55
aarbjaerg,,15,56.75,8.5333333
aarbjerg,,15,56.75,8.5333333
aarby,,14,55.65,11.15
aarestrup,,07,56.8166667,9.75
aarestrup,,15,56.2833333,9.25
aargab,,09,55.9666667,8.15
aarhus,,01,56.15,10.2166667
aarlose,,14,55.3833333,12.0
aaro by,,11,55.2666667,9.75
aarosund,,11,55.25,9.7166667
aarre,,08,55.5666667,8.6666667
aars,7247,07,56.8,9.5333333
aarsballe,,02,55.15,14.8833333
aarsdale,,02,55.1,15.15
aarslev,,01,56.15,10.0833333
