names,population,state_code,lat,lon
anse du me,,02,15.6,-61.3833333
atkinson,2506,03,15.5166667,-61.2666667
au parc,,02,15.6166667,-61.4
baroui,,06,15.4333333,-61.45
barroui,1498,06,15.4333333,-61.45
basin will,,06,15.4333333,-61.3666667
bassinville,,06,15.4333333,-61.3666667
bataka,,03,15.5,-61.2666667
bellevue chopin,,04,15.2666667,-61.35
bells,,06,15.4166667,-61.35
belmanier,,02,15.5833333,-61.4
belvidere,,09,15.2833333,-61.25
bense,,02,15.5833333,-61.3666667
berekua,3195,09,15.2333333,-61.3166667
bioche,,11,15.5,-61.4666667
boetica,,09,15.3,-61.2666667
bornes,,05,15.5833333,-61.4166667
cachacrou,,08,15.2,-61.3833333
calibishi,,02,15.5833333,-61.35
calibishie,,02,15.5833333,-61.35
capucin,,05,15.6333333,-61.4666667
castle bruce,1997,03,15.4333333,-61.2666667
charlotte town,,04,15.3,-61.4
charlotte ville,,04,15.2833333,-61.4
clifton,,05,15.5833333,-61.4666667
cochrane,,10,15.3333333,-61.3666667
cocoyer,,05,15.6166667,-61.45
colihaut,,11,15.4833333,-61.4833333
cottage,,05,15.6166667,-61.4666667
coulibistri,,06,15.45,-61.4666667
coulihaut,1604,11,15.4833333,-61.4833333
crayfish river,,03,15.5,-61.2666667
delices,,09,15.2833333,-61.2666667
demitrie,,02,15.6333333,-61.4166667
docteur,,04,15.3,-61.35
dos d'ane,,05,15.5833333,-61.4166667
dublanc,,11,15.5166667,-61.4666667
dubuc,,09,15.25,-61.3166667
fond cani,,04,15.3166667,-61.3666667
fond saint jean,,09,15.25,-61.2833333
galion,,08,15.2166667,-61.3666667
gaulette,,03,15.4833333,-61.2666667
geneva,,09,15.25,-61.3166667
gillon,,04,15.2833333,-61.3833333
giraudel,,04,15.2833333,-61.3666667
giraudet,,04,15.2833333,-61.3666667
glanville,,05,15.5666667,-61.4666667
glanvillia,,05,15.5666667,-61.4666667
gommier,,02,15.6,-61.4
good hope,,03,15.4,-61.2666667
goodwill,,04,15.3,-61.4
grand-anse,,05,15.5833333,-61.4666667
grand baie,,09,15.2333333,-61.3166667
grand bay,,09,15.2333333,-61.3166667
grand fond,,03,15.3666667,-61.2833333
griaudel,,04,15.2833333,-61.3666667
guillet,,05,15.6,-61.4666667
hampstead,,02,15.6,-61.3833333
itassi,,02,15.6166667,-61.4
kulihao,,11,15.4833333,-61.4833333
lagon,,05,15.5833333,-61.4666667
la haut,,02,15.6333333,-61.4166667
la plaine,2504,09,15.3333333,-61.25
la pointe,,07,15.25,-61.3833333
larieu,,02,15.5833333,-61.3333333
la soie,,02,15.5666667,-61.3166667
la source,,02,15.5833333,-61.4
laudat,,04,15.3333333,-61.3333333
layou,,06,15.3833333,-61.4333333
loubiere,,04,15.2666667,-61.3833333
madjini,,03,15.4666667,-61.2666667
mahaut,2405,10,15.35,-61.4
marigot,2907,02,15.5333333,-61.3
massacre,,10,15.35,-61.4
mero,,06,15.4166667,-61.4333333
meudon,,04,15.3333333,-61.3333333
monkey hill,,03,15.5,-61.2666667
morne aux fregates,,03,15.35,-61.2666667
morne jaune,,03,15.35,-61.2666667
morne prosper,,04,15.3,-61.35
morne raquette,,06,15.45,-61.45
morne soleil,,05,15.6166667,-61.4666667
morpo,,03,15.4166667,-61.2666667
new town,,04,15.2833333,-61.4
northern loop,,02,15.6166667,-61.4
paix bouche,,02,15.6,-61.4166667
peineville,,02,15.6333333,-61.4166667
petite savane,,09,15.25,-61.2833333
petite savanne,,09,15.25,-61.2833333
petite soufriere,,03,15.3833333,-61.2666667
petit marigot,,02,15.5333333,-61.3
pichelin,,09,15.2666667,-61.3333333
pointe michel,1202,07,15.25,-61.3833333
pont casse,702,10,15.3666667,-61.35
portsmouth,3608,05,15.5833333,-61.4666667
potters ville,,04,15.3,-61.4
riversdale,,06,15.4166667,-61.3666667
riviere ciriques,,03,15.35,-61.2666667
roger,,10,15.3333333,-61.4
rosalie,,03,15.3666667,-61.2666667
roseau,16571,04,15.3,-61.4
saint cyr,,03,15.4833333,-61.2666667
saint joseph,,06,15.4,-61.4333333
saint sauveur,,03,15.4,-61.2666667
salibia,,03,15.4833333,-61.2666667
salisbury,,06,15.4333333,-61.45
salybia,,03,15.4833333,-61.2666667
scotts head village,,08,15.2,-61.3833333
sibouli,,07,15.25,-61.3833333
sineku,,03,15.4666667,-61.25
soufriere,,08,15.2333333,-61.3666667
stowe,,09,15.25,-61.3
tanetane,,05,15.6,-61.4666667
tarou,,10,15.3833333,-61.4166667
tete morne,,09,15.2333333,-61.35
the cross,,03,15.3666667,-61.2833333
thibaud,,02,15.6,-61.4
tobino,,02,15.6166667,-61.4
toucari,,05,15.6166667,-61.4666667
trafalgar,,04,15.3166667,-61.35
veille case,,02,15.6166667,-61.4
vieille case,,02,15.6166667,-61.4
vielle case,,02,15.6166667,-61.4
wall house,,04,15.2833333,-61.3833333
warakal,,03,15.5166667,-61.2666667
wesley,1997,02,15.5666667,-61.3166667
woodford hill,,02,15.5666667,-61.3333333
