names,population,state_code,lat,lon
abadesa,,21,19.0166667,-69.9333333
abajo,,08,19.4166667,-70.5
abajo caballero,,21,18.9833333,-70.3333333
abajo guauci,,08,19.4,-70.5333333
abanico,,06,19.1833333,-69.9333333
abanisco,,06,19.1833333,-69.9333333
abra grande,,20,19.3166667,-69.5
abreu,,14,19.6666667,-69.95
acicale,,06,19.1666667,-70.0166667
acicate,,06,19.1666667,-70.0166667
acosta,,20,19.2166667,-69.3166667
adamanay,,12,18.1333333,-68.7166667
agua,,01,18.35,-70.5166667
agua,,33,18.3666667,-70.1083333
agua blanca,,28,18.6666667,-69.0166667
agua buena,,32,18.75,-69.7166667
aguacate abajo,,08,19.4,-70.4666667
aguacate,,05,18.6,-69.8166667
aguacate,,06,19.2,-69.8333333
aguacate,,11,18.8166667,-71.6666667
aguacate,,25,19.2333333,-70.7
aguacate arriba,,08,19.4333333,-70.4333333
aguacate de jacagua,,25,19.55,-70.6833333
aguacate del limon,,25,19.6333333,-70.8
aguacate de navarrete,,25,19.6166667,-70.8833333
agua clara,,01,18.2833333,-70.5833333
agua clara,,26,19.4833333,-71.4166667
agua clara,,28,18.8333333,-69.15
aguada,,20,19.2166667,-69.3166667
agua de la estancia,,17,18.2333333,-70.3333333
agua de la palma,,15,19.75,-71.25
agua de limon,,17,18.35,-70.3333333
agua del jobo,,20,19.2833333,-69.2833333
agua del rey,,05,18.4333333,-69.5833333
agua de luis,,15,19.7333333,-71.2333333
agua de palma,,15,19.75,-71.25
agua de rey,,05,18.4333333,-69.5833333
agua dulce,,05,18.5,-69.8833333
agua fria,,01,18.55,-70.7
agua fria,,19,19.3666667,-70.3833333
agua hedionada,,18,19.7666667,-71.0
agua hedionda,,18,19.7666667,-71.0
agua hedionda,,24,18.4166667,-69.5
agua hedionda,,25,19.6166667,-70.8333333
aguaji,,18,19.75,-70.9
agua larga,,18,19.7166667,-70.9166667
agua lluvia,,24,18.5166667,-69.1333333
agua negra,,16,18.15,-71.7
agua palma,,15,19.75,-71.25
agua prieta,,09,18.6333333,-71.5833333
agua prieta,,32,18.75,-69.6833333
aguaqui,,18,19.75,-70.9
aguas altas,,30,19.15,-70.5166667
aguas amargas,,15,19.85,-71.4666667
agua santa,,04,19.5166667,-71.6333333
agua santa del yuna,,06,19.15,-69.8
agua sarca,,21,19.0833333,-70.2166667
aguas buenas,,20,19.25,-69.6833333
aguas buenas,,32,18.75,-69.7166667
aguas calientes,,25,19.25,-70.9166667
aguas claras,,26,19.4833333,-71.4166667
aguas negras,,16,18.15,-71.7
aguas prietas,,32,18.75,-69.6833333
aguas vivas,,32,18.7833333,-69.7333333
agua viva,,32,18.8,-69.7333333
aguazarca,,21,19.0833333,-70.2166667
aguirre,,21,19.1333333,-70.15
aguita prieta,,09,18.6333333,-71.5833333
ahoga maco,,28,18.7833333,-68.8666667
ahoga mula,,24,18.45,-69.1833333
ahoga mulo,,24,18.45,-69.1833333
ahorca los perros,,05,18.6333333,-69.6
alanabao,,30,19.0666667,-70.7833333
albana,,25,19.4,-70.9166667
albizu,,28,18.65,-69.05
alcarrizos,,05,18.5166667,-70.0166667
alcides,,28,18.7666667,-69.0166667
alejandro,,24,18.5833333,-69.2666667
alejandro bass,,24,18.5833333,-69.2666667
aleman,,24,18.4666667,-69.25
aleman,,28,18.6833333,-69.1666667
alemania,,14,19.3833333,-70.0666667
aleton,,12,18.5333333,-68.95
alfaro,,30,19.1166667,-70.5666667
algarrobal,,21,18.9333333,-70.1
algarrobal,,28,18.6833333,-69.0
algarrobo,,08,19.3666667,-70.45
algarrobo,,29,18.6833333,-69.25
algarrobo,,30,19.1333333,-70.4666667
algarrobo,,32,18.8,-70.0833333
algarrobos,,20,19.2166667,-69.3666667
algodon,,03,18.2833333,-71.1666667
algorrobal,,28,18.6833333,-69.0
