names,population,state_code,lat,lon
3 marabouts,,36,35.305,-1.18
aad la macta,,09,35.7794444,-0.1291667
aaroun,,06,36.3222222,2.8861111
ababessa,,41,36.2577778,1.6125
abadla,,38,31.0166667,-2.7333333
abalessa,,53,22.8883333,4.8422222
abba bou,,09,35.4666667,-0.3166667
abbachene,,18,36.5333333,5.05
abbaza,,41,36.3108333,1.5138889
abbech,,14,36.8666667,4.4
abbo,,40,36.8558333,3.8566667
abdallah ben mohammed,,35,36.15,2.2
abd allah djemel,,37,36.8841667,7.53
abd allah jemel,,37,36.8841667,7.53
abdallah ou amar,,35,36.4666667,2.3
abdelaziz,,06,36.1166667,3.3166667
abd el beg,,12,36.1666667,5.2333333
abd el djebar,,14,36.5333333,3.4666667
abd el kader ben el mokhtar,,06,35.6869444,2.6652778
abd el kader berramda,,51,35.665,0.8030556
abd el kader ouled barhdad,,26,35.4683333,0.4952778
abd el kerim,,06,36.375,3.0375
abd el krim,,06,36.375,3.0375
abdelmalek ramdam,,07,36.1044444,0.2786111
abdelmalek ramdan,,07,36.1044444,0.2786111
abd el malek ramdane,,07,36.1044444,0.2786111
abd el-malek ramdane plage,,07,36.1222222,0.2647222
abdelmoumen,,13,35.2833333,1.45
abd el moumene,,18,36.8166667,4.6666667
abd el ouiret si ali,,40,36.8833333,3.75
abdi,,37,36.2661111,7.3966667
abd ou ben diane,,41,36.2236111,1.5522222
abeid,,18,36.5833333,5.0
abelessa,,53,22.8883333,4.8422222
aber el ma,,39,35.835,5.0683333
abid chamlet,,14,36.7166667,4.0833333
abizar,,14,36.8166667,4.2166667
abla,,41,36.3516667,1.6388889
aboucha,,55,36.415,1.7188889
aboudaou,,18,36.7,5.0666667
aboud ben ayed,,00,28.7166667,0.3333333
abou el hassen,,41,36.4166667,1.1966667
aboukir,,07,35.8388889,0.1711111
aboutville,,21,36.3388889,3.8061111
achabou,,39,36.3166667,4.7333333
achachda,,56,35.7,1.5666667
achasta,,07,36.0141667,0.3855556
achelouf,,18,36.7833333,4.8666667
achem,,55,36.55,2.0166667
achira,,24,36.65,5.6666667
achouba,,14,36.85,4.3833333
adaidia,,10,35.0347222,0.12
addekar-kebouch,,18,36.6916667,4.675
adekar,,18,36.6916667,4.675
adekar-kebouch,,18,36.6916667,4.675
adekar kebouche,,18,36.6916667,4.675
adeni,,14,36.6666667,4.15
adeyane,,24,36.6,5.4833333
adjahil,,46,24.5305556,9.4783333
adjeroud,,15,35.05,-2.1833333
admer,,00,27.1833333,-0.1666667
adouia,,35,36.4166667,1.75
adrar,,14,36.8166667,4.3
adrar,89441,34,27.9,-0.2833333
adrar farnou,,18,36.7833333,5.0333333
afarnou,,24,36.6333333,5.5666667
afedj,,35,36.55,2.2
affar,,00,28.0333333,-0.45
affirou,,18,36.25,4.6166667
affreville,,35,36.2622222,2.2180556
afir,,14,36.5666667,4.4
afir,,40,36.8444444,3.9872222
afir imzourhene,,14,36.6166667,3.8833333
aflou,,25,34.1088889,2.1019444
aflu,84998,25,34.1088889,2.1019444
afoud,,21,36.3891667,4.0391667
afouzar,,04,36.8,6.0
afra,,47,34.95,6.8333333
afras,,03,35.35,6.4166667
afsil,,03,34.9333333,6.25
aftis,,18,36.5,5.15
agachene,,14,36.8333333,4.3166667
agagza,,14,36.7447222,4.3722222
agazza,,14,36.7447222,4.3722222
agbet ech chair,,37,36.8002778,8.3058333
agha,,01,36.7666667,3.05
aghlal,,36,35.2038889,-1.0638889
aghribs,,14,36.8016667,4.3236111
agneb,,13,33.9833333,1.5833333
agouilal,,21,36.4066667,4.1688889
agouni-n'taslennt,,14,36.55,4.3
agouni-n-tsalent,,14,36.55,4.3
agouni ouzemoun,,14,36.5833333,4.25
agourbi,,18,36.6138889,4.8216667
agoussim,,14,36.55,4.4333333
agraredj,,14,36.8,4.3666667
aguedal,,38,29.8166667,-1.75
aguemonne nait aissa,,18,36.4166667,4.7833333
aguemoun,,14,36.65,4.0833333
aguemoun,,18,36.6166667,5.3833333
aguemoun izem,,14,36.6,4.2666667
aguemoun-n-ait aissa,,18,36.4166667,4.7833333
aguemoun taida,,14,36.8666667,4.6833333
aguemount-n-ait amar,,18,36.7166667,4.7166667
aguillal,,15,35.1333333,-1.6333333
ahach,,13,34.6833333,1.1833333
ahache,,13,34.6833333,1.1833333
ahl bel hadri,,36,35.4166667,-0.8166667
ahl el aid,,26,35.5838889,-0.2686111
ahl kadi,,36,35.4466667,-0.8422222
ahmed abd el kader,,27,35.9122222,3.6716667
ahmed bel hadj,,37,36.8047222,7.605
ahmed bel hadj,,51,35.8377778,0.4880556
ahmed ben abdallah,,06,36.25,3.1
ahmed ben aida,,09,35.6166667,-0.8666667
ahmed ben ali,,04,36.7138889,7.0805556
ahmed ben el badi,,06,36.0833333,2.6333333
ahmed el hadj,,37,36.8047222,7.605
ahmed rachedi,,04,36.3933333,6.125
ahmer el 'ain,,55,36.4763889,2.5633333
ahmet bel hadj,,37,36.8047222,7.605
ahmeur el ain,,55,36.4763889,2.5633333
ahourir,,18,36.35,4.6833333
ahrzerouftis,,18,36.5277778,5.3538889
aichouch,,03,35.5333333,5.0833333
aidem,,04,36.5333333,6.15
aidriss,,18,36.5666667,5.2833333
aiech,,14,36.7088889,3.8394444
'ain abessa,,12,36.2994444,5.2927778
'ain abid,,04,36.2319444,6.9433333
ain achache,,35,36.3577778,1.7330556
ain alem,,36,35.2197222,-1.3211111
ain allem,,36,35.2197222,-1.3211111
'ain amara,,37,36.4055556,7.2680556
ain amenas,,46,28.05,9.55
ain arbel,,31,36.9702778,6.5277778
'ain arko,,04,36.0911111,7.1144444
ain arkou,,04,36.0911111,7.1144444
'ain arnat,,12,36.1836111,5.3105556
'ain azel,,12,35.8216667,5.5147222
'ain azerou,,06,36.0819444,3.3133333
ain baadj,,13,35.2280556,1.6386111
ain babouch,,29,35.9419444,7.1875
'ain babouche,,29,35.9419444,7.1875
ain balloul,,10,34.9833333,0.4666667
'ain barba,,37,36.9838889,7.5633333
