names,population,state_code,lat,lon
10 de agosto,,14,-1.2666667,-80.3833333
28 de mayo,,20,-3.6327778,-78.9244444
abanico,,15,-2.1166667,-78.1666667
abanin,,08,-3.3333333,-79.5
abdon calderon,,02,-3.2666667,-79.2666667
abdon calderon,,14,-1.0333333,-80.3333333
abdon calderon,,22,0.0927778,-76.8988889
abril,,02,-3.05,-79.05
acacia,,10,-2.2166667,-79.875
achiote,,13,-1.2166667,-79.5166667
achique,,13,-1.2166667,-79.5166667
achiral,,12,-4.4,-79.8
achote,,10,-1.9166667,-79.6333333
achote,,13,-1.2166667,-79.5166667
achuentza,,15,-2.8308333,-77.7602778
achuntza,,20,-3.6972222,-78.5583333
achupallas,,06,-2.2666667,-78.7333333
achupallas,,19,-1.1333333,-78.4666667
adriana,,10,-1.7,-80.0333333
africa,,09,1.075,-79.2833333
africa,,14,-0.7333333,-80.3166667
agato,,18,-0.0833333,-78.3666667
agoyan,,19,-1.3833333,-78.3166667
agua blanca,,14,-1.5333333,-80.7333333
agua caliente,,18,-0.4333333,-78.6666667
aguacatal,,13,-1.3333333,-79.65
aguacatal,,14,-1.6166667,-80.4333333
aguacate,,14,-1.45,-80.3333333
agua clara,,14,-1.5333333,-80.7333333
aguada,,08,-3.4833333,-80.1833333
aguada,,10,-2.1333333,-80.6
aguadita,,10,-2.1333333,-80.6
agua fria,,14,-0.9,-80.1333333
aguahedionda,,12,-3.9666667,-79.2333333
agualongo,,11,0.2833333,-78.2166667
agualonguito,,11,0.3,-78.2166667
aguamasa,,07,-1.0833333,-78.7166667
aguapiedra,,10,-2.7166667,-80.0833333
aguarico 3,,22,0.0188889,-76.6625
aguarico,,22,0.05,-77.3666667
aguarico tres,,22,0.0188889,-76.6625
aguas aires,,10,-2.1833333,-79.9833333
aguas blancas,,02,-2.8,-78.7333333
aguas blancas,,10,-1.7833333,-79.9166667
aguas blancas chico,,22,0.1380556,-76.9902778
aguas verdes,,08,-3.5,-80.2833333
aguas verdes,,10,-2.3,-80.2666667
aguel,,05,0.8833333,-78.0833333
aguirre,,18,0.1166667,-78.75
agustin,,18,-0.0333333,-78.45
ahuaca del carmen,,12,-4.3,-79.55
ahuana,,23,-1.0666667,-77.5166667
ahuano,,23,-1.0666667,-77.5166667
aichabug,,06,-1.7166667,-78.7333333
aichapiche,,18,-0.4833333,-78.5833333
ainche,,06,-1.6666667,-78.5666667
ajigual,,10,-1.55,-79.8833333
ajilanga,,12,-4.25,-79.6166667
ajoshuaico,,02,-3.0,-78.9
alabado,,06,-1.75,-78.7333333
alabuela,,18,0.1166667,-78.4
alagache,,18,-0.15,-78.3166667
alambi,,18,-0.0666667,-78.6
alamor,6391,12,-4.0333333,-80.0333333
alangasi,,18,-0.3,-78.4166667
alao,,06,-1.9,-78.4833333
alaques,,07,-0.8666667,-78.6
alaquez,,07,-0.8666667,-78.6
alaspungo,,18,0.0,-78.6
alausi,14294,06,-2.2,-78.8333333
alban,,18,-0.1666667,-78.3833333
alborada,,10,-1.9166667,-79.85
albornoz,,19,-1.3,-78.55
alchipichi,,18,0.05,-78.4
alegria,,13,-1.8833333,-79.5833333
alegria,,18,0.05,-78.1666667
alfaro,,10,-2.2,-79.8333333
alfaro,,18,-0.2333333,-78.5166667
alfredo baquerizo moreno,12617,10,-1.9166667,-79.5166667
algarrobal,,10,-3.0166667,-80.15
algarrobera,,12,-4.0333333,-79.4
algarrobillo,,12,-4.1666667,-80.05
algarrobos,,10,-2.3,-79.7166667
algodonal,,12,-4.1833333,-80.3166667
alhajuela,,14,-1.0666667,-80.2833333
alicia,,10,-1.0333333,-79.6
allpacruz,,04,-2.7,-78.8
alluriquin,,18,-0.3166667,-78.9833333
almendral,,12,-4.0833333,-79.8
aloag,,18,-0.4666667,-78.5833333
aloasi,,18,-0.5166667,-78.5833333
alobamba,,19,-1.3666667,-78.6333333
alobuela,,11,0.3833333,-78.2
alobuela,,18,0.1333333,-78.4
aloburo,,11,0.4333333,-78.05
alor,,05,0.45,-77.9
alpachaca,,02,-2.9833333,-78.8833333
alpamala de toro,,07,-1.05,-78.6666667
alpamala de velasco,,07,-1.05,-78.6666667
alpes,,18,-0.4666667,-78.6666667
alshi,,15,-2.2166667,-78.25
altamar,,09,0.8,-79.4166667
altamirano,,05,0.6,-77.7
altar,,06,-1.5166667,-78.5
altar urco,,04,-2.4666667,-79.0333333
alto tambo,,09,0.8666667,-78.5333333
aluburo,,11,0.4333333,-78.05
alubushco,,12,-4.3166667,-79.8666667
alumbre,,12,-3.3666667,-79.4333333
alusaca,,12,-3.9833333,-79.7
alvarado,,02,-2.85,-78.7666667
alvarez,,08,-3.2833333,-79.9333333
alvarez,,10,-2.1333333,-79.4333333
alvarez,,18,-0.3,-78.5666667
amable maria,,12,-3.95,-79.2166667
amaguana,,18,-0.3666667,-78.45
a. maldonado,,08,-3.7166667,-79.65
amalia,,10,-1.9166667,-80.0
amalia,,13,-1.5166667,-79.4333333
amalia moncada,,10,-1.7833333,-79.8333333
amalusa,,12,-4.6,-79.4166667
amaluza,,02,-2.8333333,-78.4833333
amaluza,,12,-4.6,-79.4166667
amancayes,,12,-3.8666667,-79.8
amanta,,04,-2.6,-78.8166667
a. martinez,,19,-1.2166667,-78.6166667
amashara,,02,-3.2,-78.9833333
amazonas,,15,-3.3833333,-78.7333333
amazonas,,17,-1.6333333,-77.9833333
ambabaqui,,19,-1.3,-78.5333333
ambatillo,,19,-1.2333333,-78.65
ambato,154369,19,-1.25,-78.6166667
amboasi,,18,0.0166667,-78.5333333
ambuela,,18,0.1166667,-78.4
ambuqui,,11,0.4333333,-78.0166667
amelia,,10,-1.9833333,-79.4333333
america,,10,-0.9,-79.65
america,,14,-1.4333333,-80.5166667
amula,,06,-1.7,-78.7333333
ana,,10,-2.0666667,-79.9166667
anaburo,,11,0.4333333,-78.2333333
anafo,,11,0.35,-78.2
anagumba,,18,0.2,-78.4
ana maria,,13,-0.9833333,-79.4166667
anangu,,22,-0.5333333,-76.3833333
anasque,,10,-1.55,-79.9833333
ancayacu,,24,-0.7,-76.0
anchamasa,,18,-0.3666667,-78.5166667
anchayacu,,09,0.95,-79.0666667
anchola,,18,0.0333333,-78.1166667
ancon,,09,1.445,-78.8608333
ancon,,10,-2.3333333,-80.8666667
anconcito,,10,-2.3333333,-80.8833333
andagualo,,19,-1.0833333,-78.5166667
andahualo,,19,-1.0833333,-78.5166667
andariales,,14,-1.0,-80.1
andarriales,,14,-1.0,-80.1
andignato,,19,-1.35,-78.6166667
andoas,,17,-2.5666667,-76.6333333
andoas nuevo,,17,-2.5666667,-76.6333333
andon,,10,-2.3333333,-80.8666667
andrade marin,,11,0.3333333,-78.2166667
angamarca,,07,-1.1166667,-78.9333333
angamarcalle,,07,-1.0,-78.6166667
angapamba,,02,-2.8833333,-78.8666667
angas,,02,-2.9333333,-79.35
angas,,04,-2.4,-78.9833333
angashco,,12,-4.4666667,-79.8666667
angasmayo,,05,0.8333333,-77.7
angela maria,,10,-1.3833333,-79.9333333
angela maria numero dos,,10,-1.4,-79.9333333
angeles,,13,-1.5833333,-79.4333333
angelica,,10,-1.8833333,-79.7833333
angelina,,05,0.4666667,-77.9
angelina,,10,-1.9166667,-79.6166667
angelita,,10,-2.1333333,-79.6333333
angla,,11,0.2,-78.1333333
angochagua,,11,0.25,-78.0833333
angochahua,,11,0.25,-78.0833333
angostura,,22,0.4,-76.3333333
anguasha,,15,-2.0166667,-77.95
animas,,13,-1.5333333,-79.7
ankuash,,15,-2.7113889,-77.5716667
a. n. martinez,,19,-1.2166667,-78.6166667
anona,,14,-1.2833333,-80.4666667
antisana,,02,-2.95,-79.0166667
antonio elizalde,,06,-2.1666667,-79.1
antonio jose holguin,,07,-1.1166667,-78.5833333
antonio sotomayor,,13,-1.65,-79.8
apagua,,07,-0.9666667,-78.9333333
apahua,,07,-0.9666667,-78.9333333
apatug,,19,-1.3166667,-78.7
apuela,,11,0.35,-78.5
arajuno,,17,-1.2333333,-77.6666667
arapiccos,,15,-1.85,-77.95
arapicos,,15,-1.85,-77.95
araujo,,18,-0.5,-78.5666667
arcadia,,10,-1.5333333,-80.0166667
arcadia,,18,-0.3,-78.5333333
archidona,7309,23,-0.9166667,-77.8
archiras,,12,-4.1,-79.2666667
arcos,,12,-3.55,-79.4833333
ardanza,,12,-4.2833333,-79.5833333
arenal,,04,-2.3666667,-79.0333333
arenillas,15852,08,-3.55,-80.0666667
argelia,,18,-0.2666667,-78.5333333
arias,,13,-1.3333333,-79.8
ario,,10,-2.2666667,-79.8666667
arizaga,,02,-2.9166667,-78.7833333
armenia,,18,-0.2833333,-78.4666667
armenia,,24,-0.5333333,-77.0833333
armenia vieja,,24,-0.5333333,-77.0833333
aromo,,14,-1.05,-80.9
arosemena,,23,-1.2,-77.85
arosemena tola,,23,-1.2,-77.85
arquillo,,02,-2.7666667,-79.45
arrastradero,,14,0.1666667,-80.0666667
arrastratero,,14,0.1666667,-80.0666667
arrayan,,02,-3.0833333,-79.05
arrayan,,04,-2.4833333,-79.1166667
arrayan,,05,0.7666667,-77.7833333
arrayancucho,,18,0.1666667,-78.0333333
arrayan dormido,,04,-2.4333333,-79.0166667
arres,,04,-2.4833333,-78.95
arroyo,,14,-0.9833333,-80.6666667
arrozal,,04,-2.55,-79.3333333
arrozal,,24,-0.7833333,-75.2833333
arsenio castillo,,12,-4.3833333,-79.1833333
arteaga,,19,-1.0666667,-78.55
artilleria,,10,-1.9333333,-79.7166667
arvida,,10,-1.7833333,-79.7833333
asancoto,,03,-1.65,-79.0333333
asavo,,15,-3.3219444,-78.4788889
ascasubi,,18,-0.0833333,-78.2833333
ascazubi alto,,18,-0.0833333,-78.2833333
ascazubi,,18,-0.0833333,-78.2833333
ascension,,10,-1.9166667,-79.75
asomana,,06,-2.15,-78.55
aspur,,18,-0.35,-78.5
astudillo,,02,-3.0833333,-79.0166667
asuncion,,02,-3.2,-79.25
asuncion,,03,-1.65,-79.0333333
asuncion,,10,-2.9166667,-79.8
asuncion,,15,-2.4833333,-78.1666667
atacames,,09,0.8666667,-79.85
atacmes,,09,0.8772222,-79.8797222
atahualpa,,07,-0.95,-78.6
atahualpa,,09,0.8666667,-78.9833333
atahualpa,,10,-2.3166667,-80.7833333
atahualpa,,14,-0.0333333,-79.9666667
atahualpa,,18,0.1333333,-78.3833333
atahualpa,,19,-1.2166667,-78.6166667
atalpamba,,18,-0.0833333,-78.3166667
atapulo,,07,-0.8666667,-78.75
atar,,04,-2.6833333,-78.8833333
atilio,,06,-2.1666667,-78.5666667
atillo,,06,-2.1666667,-78.5666667
atobuela,,11,0.3833333,-78.2
atocha,,07,-1.0666667,-78.7166667
atocha,,19,-1.2166667,-78.6
ato de la virgen,,04,-2.5333333,-78.8666667
atravesado,,10,-1.9,-80.75
atravesao,,10,-2.2833333,-80.7
atravezao,,10,-2.2833333,-80.7
atuhuaycu,,04,-2.55,-78.9166667
atuntaqui,17456,11,0.3333333,-78.2166667
aucayacu,,17,-1.5833333,-75.6166667
augashcola,,12,-4.4666667,-79.8666667
augusto n. martinez,,19,-1.2166667,-78.6166667
auquichico,,18,-0.2166667,-78.4333333
auquigrande,,18,-0.2166667,-78.45
aurora,,10,-1.6166667,-79.9833333
avanin chico,,02,-3.1833333,-79.2
avanzada,,08,-3.55,-79.9833333
avelina,,07,-0.8,-78.6333333
avila,,14,-0.75,-80.3666667
avila,,24,-0.6333333,-77.4166667
ayabamba,,08,-3.6,-79.6666667
ayacucho,,14,-1.15,-80.2833333
ayahuaycu,,04,-2.55,-78.95
ayalan,,10,-2.6166667,-80.2833333
ayambe,,14,-1.6666667,-80.8166667
ayampe,,14,-1.6666667,-80.8166667
ayamu,,17,-1.65,-76.0666667
ayancay,,04,-2.8,-78.8666667
ayangue,,10,-1.9833333,-80.7333333
ayanque,,10,-1.9833333,-80.7333333
ayantar,,15,-3.4791667,-78.4855556
ayapamba,,02,-2.95,-79.0166667
ayapamba,,04,-2.7,-78.7333333
ayapamba,,08,-3.6,-79.6666667
ayasa,,13,-0.75,-79.4666667
ayaurcu,,18,-0.4333333,-78.55
aycallate,,19,-1.1333333,-78.55
ayora,,18,0.0666667,-78.1333333
ayurcu,,18,-0.4333333,-78.5666667
ayurcu de pena,,18,-0.4333333,-78.55
ayuy,,15,-2.0833333,-77.6
azamana,,06,-2.15,-78.55
azaya,,11,0.3666667,-78.1166667
azogues,34877,04,-2.7333333,-78.8333333
azoguez,,04,-2.7333333,-78.8333333
azucar,,10,-2.25,-80.5833333
azucena,,10,-1.85,-79.8166667
baba,,13,-1.7833333,-79.6666667
babahoya,,13,-1.8166667,-79.5166667
babahoyo,76279,13,-1.8166667,-79.5166667
bachillero,,14,-0.7833333,-80.2166667
bachirin,,04,-2.5333333,-79.25
bacundo,,15,-2.5333333,-77.3666667
badeal,,12,-4.3833333,-79.9833333
baejon,,02,-3.4833333,-79.1
baeza,,23,-0.45,-77.8833333
bagatela,,10,-2.0166667,-79.95
bagpancel,,02,-2.9666667,-78.8333333
baguanche,,02,-2.9,-78.9166667
bahia,,14,-0.6,-80.4166667
bahia de caraques,,14,-0.6,-80.4166667
bahia de caraquez,37056,14,-0.6,-80.4166667
bahia de la academia,,01,-0.75,-90.3166667
bajada,,10,-2.35,-80.25
bajada de chanduy,,10,-2.3,-80.2833333
bajada de colonche,,10,-2.0166667,-80.6
bajado,,10,-2.75,-80.2
bajana,,08,-3.65,-80.0166667
bajen,,10,-2.3833333,-80.0833333
bajito,,09,1.2997222,-78.9661111
bajo alto,,10,-3.1166667,-79.9
bajo,,09,1.2833333,-78.9666667
bajo de afuera,,14,-1.1166667,-80.65
bajo grande,,14,-1.0833333,-80.6833333
balao,12205,10,-2.7333333,-79.75
balao chico,,10,-2.7333333,-79.75
balao grande,,10,-2.9,-79.8333333
balaura,,17,-1.85,-76.4333333
balbina,,18,-0.35,-78.4833333
balcashi,,06,-1.7,-78.5666667
balceria,,13,-1.2333333,-79.3
ballenita,,10,-2.2027778,-80.8694444
balsa,,10,-1.3166667,-80.0
