names,population,state_code,lat,lon
aabla,,01,59.5641667,25.5355556
aadami,,18,58.2502778,26.8808333
aadma,,02,58.7983333,22.6638889
aadma asundus,,02,58.7983333,22.6638889
aakaru,,18,58.2602778,26.6569444
aakla,,13,58.8208333,24.9163889
aakre,295,19,58.1013889,26.1944444
aakre asundus,,19,58.1013889,26.1944444
aamse,,07,58.9305556,23.7116667
aamsi,,07,58.9305556,23.7116667
aandu,,13,59.1544444,24.7238889
aardla,,18,58.3111111,26.7775
aarenurga,,07,58.7166667,23.7666667
aarepere,,07,58.5652778,23.6486111
aarna,,12,58.0655556,26.9672222
aasa,,11,58.6872222,24.5083333
aasmae,638,01,59.2380556,24.5086111
aaspere,315,08,59.4169444,26.1172222
aaspere asundus,,08,59.4169444,26.1172222
aasu,,08,59.4091667,26.3316667
aasukalda,,08,59.4497222,26.7277778
aasumetsa,,08,59.5,25.8369444
aasuvalja,,04,58.8944444,25.4177778
aasuvalja,,08,59.3255556,26.5972222
aavere,,01,59.3886111,25.2775
aavere,,08,59.0697222,26.0558333
aaviku,,01,59.3422222,24.9063889
aaviku,,08,59.4883333,26.2872222
aavre,,01,59.3886111,25.2775
abaja,,04,58.9205556,25.9577778
abbia,,20,58.1252778,25.3497222
abbul,,14,58.4297222,22.1463889
abia,,20,58.1252778,25.3497222
abissaare,,12,58.0922222,26.7169444
abja,,20,58.1097222,25.3619444
abja asundus,,20,58.1097222,25.3619444
abjaku,,20,58.1097222,25.3619444
abja-paluoja,1372,20,58.1252778,25.3497222
abruka,,14,58.1655556,22.5130556
abula,,14,58.4297222,22.1463889
aburi,,08,59.1822222,26.2713889
ab'ya,,20,58.1252778,25.3497222
ab'ya-paluoya,,20,58.1252778,25.3497222
adaka,,08,59.4997222,26.1391667
adara,,08,59.1333333,26.7166667
adara asundus,,08,59.1333333,26.7166667
adavere,646,05,58.7061111,25.8991667
adavere asundus,,05,58.7061111,25.8991667
adila,,13,59.1077778,24.6408333
adila-krimmi,,13,59.1194444,24.6133333
adila-tagakula,,13,59.1547222,24.6147222
adila-tagakyula,,13,59.1547222,24.6147222
adiste,,12,58.0947222,27.1455556
adra,,01,59.3702778,24.3713889
adraku,,03,58.9319444,26.8216667
adrakula,,01,59.3702778,24.3713889
adrakyulya,,01,59.3702778,24.3713889
adrika,,08,59.4847222,26.7308333
adriku,,08,59.4847222,26.7308333
adu,,19,58.0119444,26.2397222
aegvidu,,01,59.2858333,25.6141667
aegviidu,910,01,59.2858333,25.6141667
aegviydu,,01,59.2858333,25.6141667
aela,,01,59.0166667,25.2827778
aeli,,01,59.0166667,25.2827778
aeso,,11,58.5188889,25.0816667
aesoo,,11,58.5188889,25.0816667
aespa,,13,59.1961111,24.6586111
agali,,18,58.2775,27.2852778
agasilla,,11,58.4716667,24.3488889
ageri,,04,59.0877778,25.7625
agusalu,,03,59.1019444,27.6541667
ahaste,,11,58.4780556,24.2013889
ahekonnu,,13,58.8066667,24.8519444
aherdi,,13,59.0805556,24.7341667
ahijarve,,21,57.7216667,26.5108333
ahisilla,,01,59.19,25.1783333
ahja,616,12,58.2038889,27.0733333
ahli,,07,58.8666667,23.5333333
ahtama,,01,59.1713889,24.12
ahtma,,01,59.3683333,24.2647222
ahtme,,01,59.3683333,24.2647222
ahtme,,03,59.3258333,27.4138889
ahu,,03,59.3022222,27.2219444
ahula,329,04,59.1091667,25.7388889
ahunapalu,,18,58.3247222,27.2761111
aiamaa,,04,58.78,25.5727778
aiamaa,,18,58.2822222,26.5908333
aiaotsa,,01,59.5,24.9086111
aiaste,,12,58.0483333,26.6561111
aidaku,,21,57.8566667,26.6705556
aido-nemme,,03,59.3333333,27.1
aidu,,03,59.3330556,27.0491667
aidu,,05,58.7336111,26.2013889
aidu,,20,58.2497222,25.6119444
aidu asundus,,20,58.2497222,25.6119444
aidu-nomme,,03,59.3333333,27.1
aigrumae,,01,59.4877778,24.8819444
aila,,01,59.2894444,24.4780556
aila,,07,58.5558333,23.6919444
aimla,,20,58.4794444,25.7013889
aindu,,20,58.4005556,25.5783333
ainja,,20,58.0863889,25.6116667
aitsra,,19,57.9036111,25.9333333
akhekynnu,,13,58.8066667,24.8519444
akherdi,,13,59.0805556,24.7341667
akhisilla,,01,59.19,25.1783333
akhli,,07,58.8833333,23.5333333
akhtama,,01,59.1713889,24.12
akhtma,,01,59.3683333,24.2647222
akhtme,,01,59.3683333,24.2647222
akhtme,,03,59.3258333,27.4138889
akhunapalu,,18,58.3247222,27.2761111
akh'ya,,12,58.2038889,27.0733333
akla,,13,58.8208333,24.9163889
aksi,453,18,58.5269444,26.6441667
akste,,12,58.1619444,27.0727778
ala,,02,58.9522222,22.8288889
ala,,19,57.9519444,26.03
ala-hanikase,,12,57.8683333,27.4038889
alaiye,,03,59.0125,27.4291667
ala-jarve,,21,57.8794444,26.8366667
ala-jarvere,,21,57.8794444,26.8366667
alajoe,,03,59.0125,27.4291667
alajoe,,18,58.5166667,26.95
ala-khanikaze,,12,57.8683333,27.4038889
alakulaaare,,07,58.7,23.7666667
alakula,,07,58.6922222,23.7927778
alakula,,13,58.8666667,24.4833333
alakula,,21,57.6,26.5333333
alakulaare,,07,58.7,23.7666667
alakyula,,07,58.6922222,23.7927778
alakyula,,21,57.6,26.5333333
alamoisa,,19,57.9519444,26.03
alansi,,01,59.1180556,25.1569444
alasoo,,18,58.6241667,27.1566667
alaste,,04,58.9405556,25.8633333
alastvere,,05,58.6930556,26.01
ala-suhka,,21,57.6833333,27.1333333
ala-taagepera,,19,58.0161111,25.69
alatskivi,430,18,58.5980556,27.1336111
ala-vagula,,21,57.8333333,26.9333333
alavere,427,01,59.2433333,25.3244444
alavere,,05,58.7688889,26.5155556
alaveski,,05,58.6333333,26.3333333
alayye,,03,59.0125,27.4291667
albu,349,04,59.1505556,25.6669444
alekere,,03,58.9558333,26.83
aleksandri,,20,58.45,25.45
alekvere,,08,59.1005556,26.6686111
aleti,,13,58.75,24.8833333
aleviku,,14,58.2816667,22.0186111
alikma,,07,58.9675,23.8675
aljava,,14,58.5552778,23.1991667
allakula,,20,58.5333333,25.55
allakyula,,20,58.5333333,25.55
allaste,,20,58.1255556,25.51
alli,,04,59.0716667,25.8063889
allika,,01,59.1852778,24.4791667
allika,,02,58.8469444,22.7852778
allika,,07,58.835,23.5516667
allika,,08,59.1833333,26.8333333
allika,,11,58.465,23.7425
allika,,13,58.8038889,24.7319444
allika,,14,58.4477778,23.0738889
allikakula,,13,58.8038889,24.7319444
allikaotsa,,07,58.7644444,23.9222222
allikjarve,,04,59.0455556,25.7155556
alliklepa,,01,59.2783333,23.7911111
allikmaa,,07,58.9675,23.8675
allikonnu,,11,58.6563889,25.0
allikonnu,,20,58.8,25.0166667
allikotsa,,07,58.7644444,23.9222222
alliku,220,01,59.3538889,24.55
alliku,,04,58.8158333,25.4538889
alliku,,07,58.835,23.5516667
alliku,,19,58.0866667,25.9075
alliku,,20,58.1486111,25.0052778
allikukivi,,20,58.1486111,25.0052778
allipa,,13,58.7952778,25.1486111
allivere,,08,59.0697222,26.0558333
alnavere,,05,58.7,26.8166667
alt-fennern,,11,58.6480556,25.0361111
alt-hummelshof,,19,57.9036111,26.0583333
altia,,08,59.5808333,26.1133333
altja,,08,59.5808333,26.1133333
altkula,,01,59.2422222,24.0130556
altkula,,07,58.7077778,24.0861111
altkula,,11,58.3833333,24.6
altkula,,13,58.815,24.1863889
al'tkyula,,07,58.7077778,24.0861111
al'tkyula,,11,58.3833333,24.6
altkyula,,11,58.7011111,24.5055556
al'tkyula,,13,58.815,24.1863889
alt-leetva,,11,58.5511111,25.1561111
al't-letva,,11,58.5511111,25.1561111
altmae,,18,58.2211111,26.4680556
alt-massu,,11,58.5666667,24.95
altnurga,,05,58.5505556,26.2997222
alt verpel,,11,58.4333333,23.7333333
al't'ya,,08,59.5808333,26.1133333
alu,,11,58.4208333,24.0455556
alu,,13,59.0225,24.7608333
alu-metskula,,13,59.0408333,24.7480556
alu-metskyula,,13,59.0408333,24.7480556
alupere,,08,59.1797222,26.0838889
aluste,,11,58.6191667,24.9202778
alustre,,20,58.3688889,25.4625
aluvere,,08,59.3747222,26.3988889
al'yava,,14,58.5552778,23.1991667
ama,,08,59.4119444,26.0388889
amari,579,01,59.3666667,24.5833333
ambla,352,04,59.1911111,25.8455556
ambra,,04,58.9411111,25.8258333
ammuste,,20,58.1819444,25.8172222
ammuta,,04,58.9758333,25.8427778
ammuta,,07,58.8419444,23.615
amsi,,07,58.9305556,23.7116667
anari,,04,58.8441667,25.3636111
andi,,01,59.2369444,25.1658333
andineeme,,01,59.4988889,25.4680556
andineme,,01,59.4988889,25.4680556
andja,,08,59.4555556,26.4486111
andja asundus,,08,59.4555556,26.4486111
andre,,12,57.9941667,27.1063889
andresare,,18,58.4741667,27.0216667
andressaare,,18,58.4741667,27.0216667
andressaare asundus,,18,58.4741667,27.0216667
andrikova,,21,57.8244444,27.4058333
andu,,13,59.1544444,24.7238889
anelema,,11,58.6230556,24.5847222
anepesa,,14,58.3761111,22.3708333
ange,,11,58.335,24.7002778
angerja,,13,59.1777778,24.8519444
angerja asundus,,13,59.1777778,24.8519444
angerja-ulejoe,,13,59.1833333,24.8333333
anger'ya-yuleyye,,13,59.1833333,24.8333333
angi,,20,58.5277778,25.4341667
angla,,14,58.5272222,22.7141667
anglema,,01,59.2313889,23.8697222
anguse,,08,59.2358333,26.6997222
anguze,,08,59.2358333,26.6997222
anija,,01,59.3786111,25.3055556
anijala,,13,59.1469444,24.6077778
anijala,,14,58.3266667,22.3877778
anikatsi,,20,58.1491667,25.7405556
anikoorma,,20,58.5833333,25.0666667
anikorma,,20,58.5833333,25.0666667
anikula,,04,58.9,25.6333333
anikula kortsi,,04,58.9,25.6333333
anikvere,,05,58.65,26.0333333
anikyula,,04,58.9,25.6333333
aniyala,,13,59.1469444,24.6077778
aniyala,,14,58.3266667,22.3877778
ankhamyiza,,07,59.0655556,24.0913889
ankkula,,05,58.7,26.5380556
ankula,,05,58.7,26.5380556
anna,,04,58.65,25.8666667
anna,,05,59.0119444,25.5816667
anna,,11,58.6516667,24.7205556
annamoisa,,04,58.65,25.8666667
annamoisa,,07,59.0655556,24.0913889
anne,,21,57.8147222,26.4569444
annelema,,11,58.6230556,24.5847222
annikoru,329,18,58.2672222,26.3005556
anniksaare,,03,59.0172222,26.9375
annikse,,11,58.4827778,23.8175
annikvere,,05,58.64,26.0322222
annikvere,,08,59.4819444,26.1872222
