names,population,state_code,lat,lon
10 ramadan city,,14,30.3,31.75
10th of ramadan city,,14,30.3,31.75
1 `ezbet has salib,,05,30.9858333,31.0036111
257)izbat ahmad `ali `udah,,01,31.2680556,31.4541667
6 october city,,08,29.8166667,31.05
aÄùabd el-gilil,,08,29.3833333,31.2333333
aba al waqf,,10,28.5875,30.7675
ab`adiyat ar rawdah,,21,31.0730556,30.8875
ab`adiyat damanhur,,03,31.0391667,30.3608333
ab`adiyat darawah,,01,30.8444444,31.3625
ab`adiyet damanhur,,03,31.0391667,30.3608333
ab`adiyet el-roda,,21,31.0730556,30.8875
aba el-waqf,,10,28.5875,30.7675
`abbad sharuna,,10,28.5963889,30.8280556
`abbad sharunah,,10,28.5963889,30.8280556
abbasa,,14,30.5386111,31.7111111
abbasa,,23,25.9,32.7833333
`abbasah,,23,25.9,32.7833333
`abbas al `aqqad,,03,30.7472222,30.2166667
`abbas el-`aqqad,,03,30.7472222,30.2166667
abbasia el gharbia,,14,30.5238889,31.6488889
abbasia el sharqia,,14,30.5386111,31.7111111
abbasieh,,11,30.0666667,31.2833333
`abbasiya,,11,30.0666667,31.2833333
abbasiyah,,11,30.0666667,31.2833333
`abbasiyeh,,11,30.0666667,31.2833333
abbig,,05,30.8811111,30.7672222
abbij,,05,30.8811111,30.7672222
`abd al `azißim abu al `ata,,03,30.7208333,30.1083333
`abd al halim mahmud,,03,30.6472222,29.9972222
`abd al hamid `ayyash,,03,30.8,29.8472222
`abd el-`azim abu el-`ata,,03,30.7208333,30.1083333
`abd el qadir,,06,31.0380556,29.8269444
`abd el-rahman,,21,31.1491667,30.7636111
`abd el-wahhab,,03,31.15,30.3333333
`abdin,,11,30.0347222,31.2452778
abgig,,04,29.2863889,30.8127778
abgul,,05,30.67,31.0888889
abhit,,04,29.4233333,30.8402778
abhit al hajar,,04,29.4233333,30.8402778
abhit el-hagar,,04,29.4233333,30.8402778
abidus,,23,26.1819444,31.9194444
abis,,03,31.1352778,30.1016667
abis al mustajaddah,,03,31.1352778,30.1016667
abis el-mustagadda,,03,31.1352778,30.1016667
abistu,,01,31.0747222,31.2411111
abjij,,04,29.2863889,30.8127778
abjul,,05,30.67,31.0888889
abnub,68756,17,27.2666667,31.1502778
abnud,,23,26.0513889,32.7855556
abou hommos,,03,31.1041667,30.2994444
abou kir,,06,31.3219444,30.0608333
abshish,,09,30.4708333,31.0869444
absug,,18,28.8530556,30.5875
absuj,,18,28.8530556,30.5875
abtuga,,10,28.5344444,30.7505556
abtujah,,10,28.5344444,30.7505556
abtuk,,03,30.9355556,30.7288889
abu al `abbas,,08,29.5333333,31.2333333
abu al `abbas,,10,28.5294444,30.7452778
abu al gharr,,05,30.7644444,30.8538889
abu al ghayt,,12,30.1561111,31.1872222
abu al hidr,,17,27.6138889,30.7486111
abu al juhur,,05,30.7147222,31.1141667
abu al khawi,,03,30.5936111,30.8061111
abu al matamir,,03,30.9083333,30.1775
abu al matamir al bahri,,03,30.9194444,30.1358333
abu an najah,,05,31.1402778,31.1713889
abu an numrus,,08,29.95,31.2
abu ar rish bahri,,16,24.2,32.8833333
abu ar rish qibli,,16,24.15,32.9
abu ash shuqaf,,03,30.8830556,30.4122222
abu ash shuquq,,14,30.8286111,31.5994444
abu as sir,,01,30.9183333,31.5344444
abu `awali,,09,30.3,30.9333333
abu `awali wa minshatuha,,09,30.3,30.9333333
abu aweigila,,27,30.8333333,34.1166667
abu aweigla,,27,30.8333333,34.1166667
abu `aziz,,10,28.4333333,30.8305556
abu `aziz,,24,26.6,31.5666667
abu bakr,,06,30.9094444,29.7591667
abu bakr as siddiq,,03,30.6902778,30.1305556
abu bisht,,10,28.6363889,30.7219444
abu darba,,26,28.4736111,33.3308333
abu da'ud al `inab,,01,30.8741667,31.3583333
abu da'ud as sibakh,,01,30.9127778,31.5761111
abu dawud al `inab,,01,30.8741667,31.3583333
abu dawud as sibakh,,01,30.9127778,31.5761111
abu dawud el-`inab,,01,30.8741667,31.3583333
abu dawud el-sibakh,,01,30.9127778,31.5761111
abu dhi'ab,,23,26.1833333,32.55
abu diffiya,,04,29.1986111,30.8188889
abu diffiyah,,04,29.1986111,30.8188889
abu dinqash,,04,29.2916667,30.6769444
abu dishisha,,01,31.3,31.3552778
abu diyab,,23,26.1833333,32.55
abu diyab sharq,,23,26.195,32.5561111
abu dura,,26,28.4736111,33.3308333
abu durba,,26,28.4736111,33.3308333
abu durbah,,26,28.4736111,33.3308333
abu durra,,03,31.0066667,30.6188889
abu durrah,,03,31.0066667,30.6188889
abu el-`abbas,,08,29.5333333,31.2333333
abu el-gharr,,05,30.7644444,30.8538889
abu el-gheit,,12,30.1561111,31.1872222
abu el-guhur,,05,30.7147222,31.1141667
abu el hidr,,17,27.6138889,30.7486111
abu el-khaui,,03,30.5936111,30.8061111
abu el-khawi,,03,30.5936111,30.8061111
abu el-khazr,,03,31.1027778,30.3633333
abu el matamir,,03,30.9083333,30.1775
abu el-matamir el-bahari,,03,30.9194444,30.1358333
abu el-nagah,,05,31.1402778,31.1713889
abu el-numrus,,08,29.95,31.2
abu el rish bahari,,16,24.2,32.8833333
abu el rish qibli,,16,24.15,32.9
abu el shequq,,14,30.8286111,31.5994444
abu el-shugaf,,03,30.8830556,30.4122222
abu el-shuqaf,,03,30.8830556,30.4122222
abu el-shuquq,,14,30.8286111,31.5994444
abu el-sir,,01,30.9183333,31.5344444
abu `elwet-matamir,,03,30.9083333,30.1775
abu en numrus,,08,29.95,31.2
abu er rish bahari,,16,24.2,32.8833333
abu er rish qibli,,16,24.15,32.9
abu esh-shuqaf,,03,30.8830556,30.4122222
abu esh shuquq,,14,30.8286111,31.5994444
abu fa'r,,08,29.5166667,31.2333333
abu galal,,01,31.2844444,31.5630556
abu gandir,,04,29.2333333,30.6833333
abu ghalib,,08,30.2666667,30.9333333
abu ghanima,,21,31.2775,30.6355556
abu ghanim,,21,31.2844444,30.6836111
abu ghanimah,,21,31.2775,30.6355556
abu ghusun,,02,24.45,35.2
abu ginshu,,04,29.3527778,30.6672222
abu girg,,10,28.5361111,30.7869444
abu gurgas,,10,27.9308333,30.8363889
abu hammad,,14,30.5336111,31.6663889
abu hammad al mahattah,,14,30.5333333,31.6666667
abu hammad el mahatta,,14,30.5336111,31.6663889
abu handal,,16,22.6333333,32.2666667
abu hariz,,14,30.8825,31.685
abu hawr,,16,23.4833333,32.8833333
abu hileifa,,07,30.5352778,31.8261111
abu himar al kabir,,03,30.9333333,30.4833333
abu hirayz,,14,30.8825,31.685
abu hireiz,,14,30.8825,31.685
abu hizam,,23,26.1166667,32.35
abu hor,,16,23.4833333,32.8833333
abu hulayfah,,07,30.5352778,31.8261111
abu humar el-kebir,,03,30.9333333,30.4833333
abu huminus,,03,31.1041667,30.2994444
abu hummus,,03,31.1041667,30.2994444
abu humus,,03,31.1041667,30.2994444
abu hutaybah,,14,30.7338889,31.5136111
abu jandir,,04,29.2333333,30.6833333
abu jaridah,,20,31.3069444,31.7541667
abu jayid,,21,31.3069444,31.0069444
abu jinshu,,04,29.3527778,30.6672222
abu jirj,,10,28.5361111,30.7869444
abu junshu,,04,29.3527778,30.6672222
abu kabir,,14,30.7252778,31.6683333
abu kalbush,,21,31.1875,31.0527778
abukasah,,04,29.3819444,30.7072222
abu kaylah,,03,31.2708333,30.6791667
abu kebir,,14,30.7252778,31.6683333
abu kerkae,,10,27.9308333,30.8363889
abu khalifah,,07,30.7502778,32.2444444
abu khalil,,17,27.3666667,30.8666667
abu kharash,,03,31.0594444,30.5886111
abu khurs,,17,27.0,31.25
abukir,,06,31.3219444,30.0608333
abu kirkas,,10,27.9308333,30.8363889
abu kisah,,04,29.3819444,30.7072222
abu ksah,,04,29.3819444,30.7072222
abu kullus,,09,30.6047222,30.8427778
abu kuraiyim,,17,27.6,30.7
abu kurayyim,,17,27.6,30.7
abu mandur,,21,31.2147222,30.6975
abu mangug,,03,30.9330556,30.735
abu manjuj,,03,30.9330556,30.735
abu manna` bahari,,23,26.1525,32.4180556
abu manna` bahri,,23,26.1525,32.4180556
abu manna` gharb,,23,26.1505556,32.4347222
abu manna` qibli,,23,26.165,32.4783333
abu manna` sharq,,23,26.1666667,32.4666667
abu mashhur,,05,30.6972222,31.0475
abu mas`ud,,06,30.8527778,29.8391667
abu nish-shaba,,03,30.3666667,30.85
abu nushshabah,,03,30.3666667,30.85
abu omar,,14,30.6005556,31.7163889
abu qalta,,10,27.8083333,30.7402778
abu qaltah,,10,27.8083333,30.7402778
abu qaramit,,01,30.8361111,31.5380556
abu qaramit,,14,30.9930556,31.7661111
abu qatatah,,08,30.0044444,31.125
abu qir,,06,31.3219444,30.0608333
abu-qirqas,,10,27.9308333,30.8363889
abu qurqas,,10,27.9308333,30.8363889
abu rabih,,03,31.2213889,30.1297222
abu ragwan,,08,29.7666667,31.2666667
abu ragwan el-bahari,,08,29.7833333,31.2666667
abu ragwan el-qibli,,08,29.7666667,31.2666667
abu rajab,,14,30.8236111,31.6577778
abu rajwan al bahri,,08,29.7833333,31.2666667
abu rajwan al qibli,,08,29.7666667,31.2666667
abu raqaba,,09,30.2708333,31.0347222
abu raqabah wa kafruha,,09,30.2708333,31.0347222
abu rauwash,,08,30.0455556,31.0925
abu rawwash,,08,30.0455556,31.0925
abu roash,,08,30.0455556,31.0925
abu rudays,,26,28.9036111,33.1875
abu rudeis,,26,28.9036111,33.1875
abu ruwash,,08,30.0455556,31.0925
abu ruwaysh,,08,29.6666667,31.2333333
abu ruweish,,08,29.6666667,31.2333333
abu saht,,27,31.0041667,32.9183333
abu salih,,04,29.1833333,31.1833333
abu samada,,03,30.7969444,30.5894444
abu saneita,,09,30.4036111,31.0544444
abu sari,,21,31.3458333,31.175
abu sharban,,18,28.9666667,30.95
abu shekuk,,14,30.8286111,31.5994444
abu shineina,,22,30.8166667,29.1666667
abu shunaynah,,22,30.8166667,29.1666667
abu shurban,,18,28.9666667,30.95
abu shusha,,23,26.17,32.0244444
abu shushah,,23,26.17,32.0244444
abu si`ayfah,,03,30.8591667,30.5258333
abu sidhum,,10,28.3333333,30.6166667
abu si`eifa,,03,30.8591667,30.5258333
