names,population,state_code,lat,lon
aaium,,00,27.1536111,-13.2033333
aaiun,,00,27.1536111,-13.2033333
aargub,,00,23.6166667,-15.8666667
ad dakhla,,00,23.7,-15.9333333
ad dchira,,00,27.0261111,-13.0519444
aguenit,,00,22.1833333,-13.1333333
aiun,,00,27.1536111,-13.2033333
al ayoun,,00,27.1536111,-13.2033333
anzarane,,00,21.6,-16.5
auserd,,00,22.5833333,-14.3
ausert,,00,22.5833333,-14.3
ausserd,,00,22.5833333,-14.3
aussert,,00,22.5833333,-14.3
bir anzaraen,,00,23.8833333,-14.5333333
bir anzarane,,00,23.8833333,-14.5333333
bir enzaran,,00,23.8833333,-14.5333333
bir gandus,,00,21.6,-16.5
bir ganduz,,00,21.6,-16.5
bir nasaran,,00,23.8833333,-14.5333333
bir nazaran,,00,23.8833333,-14.5333333
boujdour,,00,26.1333333,-14.5
bu craa,,00,26.2833333,-12.7666667
cabo bojador,,00,26.1333333,-14.5
cape blanc,,00,26.1333333,-14.5
dakhlah,,00,23.7,-15.9333333
daora,,00,27.4625,-12.9922222
dchira,,00,27.0261111,-13.0519444
dora,,00,27.4625,-12.9922222
echdeiria,,00,27.2333333,-10.45
echediria,,00,27.2333333,-10.45
edchedereia,,00,27.2333333,-10.45
edchera,,00,27.0261111,-13.0519444
ejbei uad el aabd,,00,27.1536111,-13.2033333
el aaiun,,00,27.1536111,-13.2033333
el aargub,,00,23.6166667,-15.8666667
el aium,,00,27.1536111,-13.2033333
el aiun,,00,27.1536111,-13.2033333
el argub,,00,23.6166667,-15.8666667
esmara,,00,26.7333333,-11.6833333
factoria villa cisneros,,00,23.7,-15.9333333
fondeadero del aaiun,,00,23.6166667,-15.8666667
guelta zemmur,,00,25.1491667,-12.3658333
guelta zemur,,00,25.1491667,-12.3658333
gueria,,00,20.8333333,-17.1
hasi chor,,00,21.3,-13.0166667
hasi el fauuar,,00,22.6833333,-12.7166667
hasi gueleita,,00,25.1491667,-12.3658333
jcheibi el gardeg,,00,27.2666667,-10.3833333
khreibichat,,00,27.2333333,-11.7833333
la aguera,,00,20.8333333,-17.1
la aguerra,,00,20.8333333,-17.1
la aquera,,00,20.8333333,-17.1
laayoune,,00,27.1536111,-13.2033333
laayoune plage,,00,27.0961111,-13.4158333
la guera,,00,20.8333333,-17.1
la'youn,,00,27.1536111,-13.2033333
lemsid,,00,26.55,-13.85
mahbes,,00,27.1666667,-9.8333333
metmarfag,,00,26.4333333,-13.4333333
oum dreyga,,00,24.1666667,-13.25
piedra del kaisser,,00,27.2333333,-11.7833333
playa de aaiun,,00,27.0961111,-13.4158333
playa del aaiun,,00,27.0961111,-13.4158333
samlat el hafad,,00,27.4333333,-12.4
semara,,00,26.7333333,-11.6833333
smara,,00,26.7333333,-11.6833333
smar,,00,26.7333333,-11.6833333
sug,,00,21.6,-14.15
tichla,,00,21.6,-14.9666667
tifarita,,00,26.15,-10.55
tifariti,,00,26.15,-10.55
uad damran,,00,27.4625,-12.9922222
uad el bir,,00,23.8833333,-14.5333333
uad guenifa,,00,20.8333333,-17.1
villa cisneras,,00,23.7,-15.9333333
villa cisneros,,00,23.7,-15.9333333
zoug,,00,21.6,-14.15
zug,,00,21.6,-14.15
