names,population,state_code,lat,lon
abacheri,,00,14.1833333,41.5
ab anrafa,,00,17.3166667,38.5
abarda,,00,15.2569444,38.7986111
abaredda,,00,15.4166667,37.6
abbi adi,,00,14.9077778,38.7480556
abdi,,00,12.7,42.4
abe,,00,13.6833333,41.4
abhi,,00,12.4333333,42.75
abna,,00,15.8833333,38.75
abrascico,,00,15.5166667,38.7333333
abruim,,00,15.8166667,38.2
abugebo,,00,15.1997222,39.0327778
acca,,00,14.85,39.8
acoma,,00,15.2166667,39.4
acrur,,00,15.1,39.2333333
ad abbai,,00,14.8333333,38.4333333
ad abeito,,00,15.3833333,38.9
ad abi,,00,15.9,38.2166667
ad abiscia,,00,14.8333333,38.7
ad abiseia,,00,14.8333333,38.7
ad accalom,,00,15.5083333,38.82
ad accolom,,00,15.5083333,38.82
ada ela,,00,13.85,41.6166667
ad aguale,,00,15.05,38.4
adailo,,00,14.4833333,40.8666667
adaito,,00,14.7333333,40.35
adal,,00,15.4833333,37.1666667
ad ali bachit,,00,15.5666667,37.55
ad amer,,00,15.5666667,38.5
adardeb,,00,16.0833333,37.05
ad arili,,00,13.9666667,41.6166667
adarte,,00,13.3,42.1333333
ad asmaru,,00,14.7977778,38.4094444
ad bili,,00,15.6333333,38.25
ad casu,,00,15.4,37.2833333
ad casub,,00,15.4,37.2833333
ad daudi,,00,15.2833333,39.4666667
ad dechita,,00,14.7658333,38.3091667
addi abur,,00,15.0577778,39.1388889
addi adid,,00,14.9525,39.2305556
addicaie,,00,14.8444444,39.3733333
addi caieh,,00,14.8444444,39.3733333
addi massahal,,00,14.6166667,39.3833333
addi messahal,,00,14.6166667,39.3833333
addi nebri,,00,14.9155556,39.0430556
ad dirco,,00,14.7227778,38.7338889
addisc addi,,00,14.7680556,39.0719444
addi toqualu,,00,14.9377778,38.4308333
addi ugri,17784,00,14.8855556,38.8163889
adebu`ur,,00,15.0577778,39.1388889
ad edug,,00,14.5875,38.8552778
adek'e ginet,,00,14.8733333,38.7766667
adena,,00,15.4666667,38.75
adendema,,00,15.1166667,37.0
adengefom,,00,15.0361111,39.1902778
adenna,,00,15.4666667,38.75
aderde,,00,15.6533333,38.1322222
aderdeb,,00,16.0833333,37.05
ad errei,,00,15.5333333,38.2333333
adey me`at,,00,14.4819444,39.3916667
ad faghi,,00,15.6,37.7166667
ad finne,,00,14.9455556,38.9366667
ad gaban,,00,14.6166667,40.8833333
ad gander gabei,,00,15.7833333,38.2166667
ad guadad,,00,15.2647222,38.9016667
adi aba ri'isom,,00,14.5486111,38.7236111
adi ada,,00,14.8352778,38.8616667
adi agbay,,00,15.1361111,38.8
adi agwa,,00,14.7927778,38.8227778
adi ahiderom,,00,15.1386111,38.9813889
adi ali bakit,,00,15.5666667,37.55
adi amanu'el,,00,14.9108333,38.8602778
adi ar`ada,,00,15.1913889,38.9958333
adi arcai,,00,13.4480556,38.0611111
adi arkai,,00,13.4480556,38.0611111
adi ark'ay,,00,13.4480556,38.0611111
adi atei,,00,14.7747222,38.315
adi-atsida,,00,14.4675,38.5683333
adi badim,,00,14.7455556,38.8761111
adi bahro,,00,14.6652778,38.8630556
adiba'ikel,,00,15.0388889,39.125
adibara,,00,15.1333333,38.7833333
adi baro,,00,15.1333333,38.7833333
adiberai,,00,15.6244444,39.4394444
adi-bigdi,,00,14.8486111,38.6719444
adi bigheddi,,00,14.8486111,38.6719444
adi bilay,,00,14.9027778,38.8333333
adi caieh,,00,14.8444444,39.3733333
adi casci,,00,14.6666667,38.8166667
adi catina,,00,14.5383333,38.4986111
adi contzi,,00,15.4,38.8
adi culli,,00,15.1333333,37.75
adi embela,,00,15.2555556,39.0297222
adi essaha,,00,14.7919444,38.5302778
adi-felesti,,00,15.1291667,38.7041667
adi fini'i,,00,14.6355556,38.7866667
adi gaad,,00,14.7838889,39.2183333
adi gahad,,00,14.85,38.8
adi gebray,,00,15.2116667,38.7363889
adi gebru,,00,15.3311111,38.7672222
adi geda (1),,00,15.1013889,38.8066667
adi geda (2),,00,15.0777778,38.8127778
adi geda,,00,15.0777778,38.8127778
adi gheda,,00,15.0777778,38.8127778
adi-ghela'e,,00,14.4511111,38.4563889
adi ghella,,00,14.4511111,38.4563889
adi goda'iti,,00,14.9566667,38.7908333
adi golgol,,00,15.0258333,39.045
adi gombolo,,00,15.22,38.8583333
adi goorbati,,00,15.1638889,38.8955556
adi goreto,,00,14.9252778,38.6675
adi goroto,,00,14.9252778,38.6675
adi grot,,00,14.9252778,38.6675
`adi groto,,00,14.9252778,38.6675
adi grotto,,00,14.9252778,38.6675
adi guagual,,00,14.8333333,38.55
adi guaguat,,00,14.8333333,38.55
adi-gureto,,00,14.9252778,38.6675
adi gu'ur,,00,14.5536111,38.7783333
adi gwadad,,00,15.2647222,38.9016667
adi gwa'idad,,00,15.2647222,38.9016667
adi habir,,00,14.6013889,38.8633333
adi hadid,,00,14.9525,39.2305556
adi hakefa,,00,15.1983333,38.9122222
adi hamushte,,00,15.2338889,38.8427778
adi hawesha,,00,15.2427778,38.9705556
adi hawesh,,00,15.2427778,38.9705556
adi hidrum,,00,15.7494444,38.5522222
adi hizba,,00,15.0422222,38.7805556
adi huduk,,00,14.5875,38.8552778
adi hurwa,,00,14.7341667,38.7897222
adi iecuoro,,00,14.1666667,39.0666667
adi imneger,,00,15.2466667,38.8486111
adi itai,,00,14.2166667,38.5
adi k'ano,,00,14.9730556,38.7852778
adik'e,,00,15.2361111,38.8986111
adi kefelet,,00,15.2038889,38.7405556
adi keih,,00,14.8444444,39.3733333
adi kelkalti,,00,15.1963889,38.7697222
adi k'eshi,,00,14.6666667,38.8166667
adi-ketina,,00,14.5383333,38.4986111
adi keyeh,,00,14.8444444,39.3733333
adi keyh,,00,14.8444444,39.3733333
adi k'eyih,,00,14.8444444,39.3733333
adi k'ore,,00,14.7505556,38.8519444
adi kubulo,,00,15.1458333,38.8783333
adi kwala,,00,14.6344444,38.8336111
adi lamza,,00,15.2166667,38.9002778
adilges,,00,14.6702778,38.8466667
adi lubso,,00,14.6833333,38.75
adi macambia,,00,14.6666667,38.6666667
adi mahari cristos,,00,14.6333333,38.3333333
adi mai laam,,00,14.7,38.65
adi mengodti,,00,14.9122222,38.7858333
adi moaghe,,00,14.4383333,38.4669444
adi naamen,,00,15.5202778,38.7027778
adi-ne'amn,,00,15.5202778,38.7027778
adi-nebri,,00,14.9155556,39.0430556
adi nefas,,00,15.0427778,38.9127778
adi nifas (1),,00,15.4022222,38.9402778
adi nifas (2),,00,15.0427778,38.9127778
adi nifas,,00,15.0427778,38.9127778
adi-quala,,00,14.6344444,38.8336111
adi ra'isi,,00,15.0430556,38.8941667
adi sahlay,,00,15.1638889,38.8955556
adis `alem (1),,00,14.56,38.8038889
adis `alem,,00,14.56,38.8038889
adi sceca,,00,16.3166667,38.0333333
adi sciaba,,00,16.3833333,38.0833333
adi scimandui,,00,14.95,38.7333333
adi scium ascale,,00,14.5686111,38.8155556
adi secche,,00,14.7833333,38.8666667
adi shuma,,00,15.6075,39.0786111
adi shum hafti,,00,14.995,38.7813889
adi shum tombosa,,00,14.5166667,38.55
adi tafa,,00,14.6891667,38.8833333
adital,,00,14.2166667,38.5
adi tekelezan,,00,15.5672222,38.7786111
adi tekelezan ketema,,00,15.5672222,38.7786111
adi teklay,,00,15.3158333,38.7594444
adi-teklezan,,00,15.5672222,38.7786111
adi tsetser,,00,14.9833333,38.2666667
adi ugri,,00,14.8855556,38.8163889
adi-w'ala,,00,14.825,38.3219444
adi wederki,,00,14.6766667,38.8222222
`adi wegri,,00,14.8855556,38.8163889
adi zarna,,00,14.9258333,38.8397222
ad manna,,00,15.7333333,38.2166667
ad messian,,00,15.0333333,38.2833333
ad mocada,,00,14.8527778,39.0730556
ad mussa,,00,15.3,38.8
ad nefas,,00,14.6833333,38.9
ad omar,,00,15.6,37.8166667
ad rassi,,00,15.2561111,38.8477778
ad refai,,00,14.5527778,39.4033333
ad said mustafa,,00,15.5666667,38.2833333
ad saidna mustafa,,00,15.5666667,38.25
ad sala,,00,15.3833333,38.05
ad sata,,00,15.3833333,38.0333333
ad scec,,00,15.8,38.1
ad scec hammed,,00,15.4333333,38.25
ad sciuma,,00,15.6075,39.0786111
ad sulet,,00,15.4833333,38.15
ad taille,,00,15.4833333,38.2666667
ad taula,,00,15.4,38.4
ad taulet,,00,15.4833333,38.2666667
ad teclai,,00,15.3158333,38.7594444
ad teclesan,,00,15.5672222,38.7786111
ad tzatzer,,00,14.9666667,38.3333333
ad ulual,,00,15.75,38.25
adurdet,,00,15.65,38.1333333
ad zeban sebao,,00,14.7666667,38.7166667
af abeb,,00,16.1833333,38.6833333
af abed,,00,16.1833333,38.6833333
afabet,,00,16.1833333,38.6833333
afahani,,00,14.4833333,41.2366667
afalba,,00,15.0672222,39.1005556
afambo,,00,13.6,41.6333333
af ceua,,00,17.0666667,38.3666667
afelba,,00,15.0672222,39.1005556
affesi,,00,14.6333333,39.45
af may,,00,14.6008333,38.8063889
afta,,00,15.2733333,39.6530556
agambusa/tobo,,00,15.4816667,39.2052778
agametta,,00,15.3333333,39.2166667
agat,,00,15.7022222,38.2761111
agbalo,,00,15.4833333,39.3166667
agordat,,00,15.5486111,37.8866667
agra'i,,00,17.0166667,38.4166667
agurto,,00,12.9,42.7
agutri,,00,15.5963889,38.735
aicota,,00,15.1816667,37.0747222
aigherre,,00,15.3,39.25
ailet,,00,15.57,39.1475
akilo,,00,14.9952778,40.1544444
ak'irdat,,00,15.5486111,37.8866667
ak'ordat,,00,15.5486111,37.8866667
akrur,,00,15.1,39.2333333
