names,population,state_code,lat,lon
ababuj,,52,40.55,-0.8
abad,,58,43.5833333,-8.0
abadengo de torio,,55,42.7166667,-5.5166667
abades,,55,40.9166667,-4.2666667
abades,,58,41.9,-7.7833333
abadia,,57,40.25,-5.9666667
abadiano,,59,43.15,-2.6
abadiano celayeta,,59,43.15,-2.6
abadilla,,39,43.3166667,-3.85
abadin,,58,43.3666667,-7.4833333
abaigar,,32,42.65,-2.1833333
abaira,,58,43.45,-7.15
abajas,,55,42.6166667,-3.5833333
abajo,,34,43.3833333,-5.6166667
abalcisqueta,,59,43.05,-2.1
aballe,,34,43.3333333,-5.1333333
abalo,,58,42.65,-8.7166667
abalos,,27,42.5666667,-2.7
abamia,,34,43.3333333,-5.05
abanades,,54,40.9,-2.4833333
abancena,,34,43.15,-6.6166667
abanco,,55,41.3833333,-2.95
abandames,,34,43.3333333,-4.6
abandiano celayeta,,59,43.15,-2.6
abango,,34,43.25,-6.3333333
abaniella,,34,43.2166667,-6.6166667
abanilla,,31,38.2,-1.05
abanillas,,39,43.35,-4.4666667
abano,,39,43.3666667,-4.3833333
abanqueiro,,58,42.65,-8.8833333
abanto,,52,41.1333333,-1.7
abantro,,34,43.2,-5.3833333
abaran,13850,31,38.2,-1.4
abarca,,55,42.0666667,-4.8333333
abarzuza,,32,42.7166667,-2.0166667
abastas,,55,42.2333333,-4.7833333
abastillas,,55,42.25,-4.8
abaurrea alta,,32,42.9,-1.2
abaurrea baja,,32,42.9166667,-1.2166667
abavides,,58,42.05,-7.65
abay,,52,42.5833333,-0.6
abayu,,34,43.5,-5.45
abdera,,51,36.7333333,-3.0166667
abdet,,60,38.7,-0.25
abeancos,,58,42.9333333,-7.9833333
abechuco,,59,42.8833333,-2.6833333
abecia,,59,42.95,-2.9166667
abedes,,58,41.9333333,-7.4
abedul,,34,43.2166667,-6.3166667
abedules,,34,43.5333333,-5.4833333
abegondo,,58,43.2166667,-8.2833333
abeijon,,58,42.75,-8.9
abejar,,55,41.8,-2.7833333
abejera,,55,41.8,-6.1333333
abejuela,,51,37.5166667,-1.9
abejuela,,52,39.9166667,-0.8833333
abejuela,,54,38.3666667,-2.0333333
abeleda,,58,42.1666667,-7.7
abeledo,,58,43.3166667,-7.4666667
abeledos,,58,42.3166667,-7.4833333
abeleiras,,58,42.9666667,-9.0333333
abelenda,,58,42.35,-8.1833333
abelendo,,58,42.0166667,-7.8666667
abelgas,,55,42.8,-5.9833333
abella,,56,42.3166667,2.3166667
