names,population,state_code,lat,lon
aadi noia,,12,13.8,39.8333333
aba abdella,,08,8.4,36.1
aba ali,,14,11.2666667,39.4
aba biruk,,14,11.9833333,39.35
aba bona,,14,11.3333333,39.95
aba bora ager,,10,8.7666667,39.4
aba boru,,14,11.05,39.1833333
aba buko,,14,10.8333333,39.4
aba bula,,14,11.15,39.2333333
aba ch'orga,,10,8.8666667,39.3166667
aba ciotte,,13,9.55,35.8333333
abadabu,,13,9.5166667,35.55
abadir,,10,8.75,39.8833333
abadise,,14,11.25,39.0166667
abado,,10,8.55,38.5
abagada,,08,8.3666667,36.25
aba genda,,01,8.05,39.6166667
abagennen,,02,12.3833333,37.2333333
aba gerima,,02,11.6666667,37.5
aba gerima,,12,14.1716667,38.9713889
abaghennen,,02,12.3833333,37.2333333
abaghimbi,,13,8.8,34.65
aba golja,,02,12.5180556,37.0269444
abagolja ager (1),,14,11.0333333,39.8166667
abagolja ager (2),,14,11.1,39.8333333
aba golja ager,,14,11.0333333,39.8166667
aba guyo ana,,11,5.3166667,39.5333333
abahala,,02,11.25,37.95
abahalle,,13,8.7666667,35.3333333
abai,,06,10.9833333,37.2166667
aba kibe,,14,10.9,39.5333333
aba k'undi,,14,10.5833333,39.2
abala,,02,11.25,37.95
abala,,11,6.7,37.8833333
abale,,02,12.2833333,37.45
abale,,10,9.45,38.6833333
aba libanos (1),,02,12.3666667,37.35
aba libanos (2),,02,12.35,37.35
aba libanos,,02,12.35,37.35
aballa,,08,7.6833333,35.3666667
abalo,,10,9.7333333,37.6666667
abalo,,13,9.1166667,36.4
abalo meda,,14,11.4833333,39.1666667
abalti,,09,8.1666667,37.5666667
aba mekereyta,,12,14.0938889,39.6025
aba mesk,,14,12.0666667,39.2833333
aba milik,,14,10.8166667,39.5666667
abara,,09,7.2166667,35.85
abarche,,02,12.0666667,38.3
abarctie,,02,12.0666667,38.3
abargale,,12,13.1,38.95
abarge,,06,11.6166667,37.25
abaro,,10,9.75,38.8166667
abaroba,,05,5.25,37.2666667
abarra,,11,5.3833333,39.9666667
abas,,10,9.5666667,39.5166667
aba saimal,,09,6.5166667,35.6833333
aba samu'el,,10,8.75,38.7166667
aba selama,,12,13.5166667,39.5833333
aba selam,,14,10.95,39.3
abasheres,,06,11.5,35.4166667
aba simal,,09,6.5166667,35.6833333
aba sina,,13,9.0333333,35.9666667
abate ager,,14,10.9166667,39.15
aba tekle,,10,8.4833333,38.4
abatimbo,,13,10.6,35.2166667
abatimbo el gumas,,13,10.6,35.2166667
aba wani,,10,10.5666667,39.5
aba wat' (1),,14,11.5,39.3166667
aba wat' (2),,14,11.5166667,39.3666667
aba wat',,14,11.5166667,39.3666667
aba wibe ager,,10,9.6666667,39.7166667
abay,,02,11.6,37.4166667
abaye,,07,9.1,41.5166667
abaye at'ir,,10,9.9166667,40.0166667
abaye at'r,,10,9.9166667,40.0166667
aba yonis,,07,9.5333333,42.6
abay yilas,,14,12.3666667,38.85
abay zinamba,,14,12.1666667,38.75
ab azba,,12,13.2333333,38.9833333
abba,,02,11.6,37.4166667
abba,,09,7.1666667,36.7833333
abbacialti,,08,7.5166667,35.0333333
abba ciotte,,13,9.55,35.8333333
abba foge,,02,12.05,37.8
abba garima,,12,14.1716667,38.9713889
abba gherima,,12,14.1716667,38.9713889
abba gorda,,07,7.85,44.4833333
abbai,,06,10.9833333,37.2166667
abbaia garo,,13,9.5166667,37.1166667
abba moti,,13,9.75,34.7333333
abba samuel,,10,8.75,38.7166667
abba timbo el-gumas,,13,10.6,35.2166667
abbi addi,,12,13.5608333,38.9738889
abchekli,,06,11.4333333,36.8833333
abchikile,,06,11.4333333,36.8833333
abchikili,,06,11.4333333,36.8833333
abchu,,10,9.5166667,39.55
abdela,,08,8.3666667,36.25
abdela,,10,9.3833333,38.85
abderafi,,02,13.7333333,36.45
abder rafi,,02,13.7333333,36.45
abderraft,,02,13.7333333,36.45
abdi,,07,9.25,42.05
abdi beru,,07,9.4,41.9333333
abdi gara,,10,9.7166667,39.85
abdi roba,,07,9.05,42.1
abdi se'id,,07,9.0333333,42.3166667
abdo,,03,7.3666667,40.1833333
abdula,,02,12.9833333,36.3666667
abdula,,03,7.5333333,40.95
abdula,,07,9.45,42.2666667
abdulah,,02,12.9833333,36.3666667
abdulahi,,07,9.2333333,41.8666667
abdul k'adir,,07,9.25,42.15
abebaye,,10,9.4833333,39.5333333
abebe,,10,9.05,37.6
abe buko,,13,9.5333333,37.0666667
abek'at,,14,12.3666667,39.1333333
abek'esti,,06,10.3,38.0166667
abela,,11,6.7,37.8833333
abel,,11,6.0833333,38.2
abela lida,,11,6.9333333,38.4666667
abelt,,10,8.1833333,37.5333333
abelti,,09,8.1666667,37.5666667
abena,,02,13.4166667,38.3666667
abenyende,,13,10.1333333,34.7833333
abenyendu,,13,10.1333333,34.7833333
abera,,02,13.4333333,38.2333333
abera,,09,7.2166667,35.85
abera,,11,6.45,38.4666667
abergale,,12,13.1,38.95
abergeie,,12,13.1,38.95
abergele,,12,13.1,38.95
abero,,10,9.2666667,38.2
abersha,,14,12.3166667,38.95
abertege,,02,12.7422222,37.4155556
abeselh,,07,7.35,43.6333333
abeselli,,07,7.35,43.6333333
abeta robe,,13,9.35,36.7833333
abeyi,,09,8.25,37.25
abeyi,,10,9.0166667,37.6666667
abeyi,,13,9.2333333,36.4666667
abgaccio,,09,7.5666667,36.3333333
abi abdi,,12,13.5608333,38.9738889
abi addi,,12,13.5608333,38.9738889
abi-adi,,12,13.5608333,38.9738889
abiche,,02,11.5333333,37.8166667
abichu,,10,9.7,38.8333333
abilami,,10,9.6833333,38.7333333
abilamoch,,10,9.7333333,39.7166667
abilegn,,08,7.55,34.3
abiley,,07,9.3,42.5
abinos,,10,9.3,37.5333333
abiu,,08,8.2,35.3333333
abiy,,10,9.0833333,38.1666667
abiy,,12,13.5608333,38.9738889
abiy adi,,12,13.5608333,38.9738889
abiyatku,,14,12.6,39.05
abiy imni,,14,12.5333333,39.5166667
abiyu,,08,8.2,35.3333333
abiyu,,10,10.2833333,38.7166667
ablti,,09,8.1666667,37.5666667
abna'o,,12,14.0386111,39.6447222
abo'a,,02,12.0333333,37.75
abo,,12,12.6666667,39.6333333
abo arka,,02,12.1666667,37.6166667
abobo,,08,7.85,34.55
abodo,,10,9.8333333,38.45
abodona,,03,7.25,40.3666667
abol,,08,7.7,34.1
abole,,10,9.8666667,38.45
abole,,14,10.95,39.5
abomsa,,01,8.5833333,39.85
abomsa,15261,10,9.9833333,39.9833333
abono,,13,9.3833333,35.3333333
abonsa,,10,9.9833333,39.9833333
abonyo,,07,9.25,42.0833333
abora komis,,13,9.6666667,35.4
abosa,,10,8.0166667,38.7166667
aboskul,,07,9.0666667,42.9833333
abosto,,11,6.75,38.4166667
abot,,13,9.0666667,34.5666667
abote,,10,9.5666667,38.5166667
abotie,,10,9.8666667,38.45
aboy,,10,8.7666667,38.8833333
abraha azba,,12,13.8666667,39.55
abram,,06,10.0166667,37.9
abret,,10,8.05,37.9166667
abriday,,10,8.1166667,37.6833333
abriha,,02,12.2833333,37.05
abro,,07,8.8666667,40.5166667
abroborifaghe,,14,11.2666667,41.4
abscia,,02,12.45,38.0
abt'at'e,,02,11.8833333,38.9166667
abu,,10,9.3833333,38.9333333
abu,,13,9.4833333,37.1333333
abubecher,,07,9.3333333,41.9833333
abu botero,,10,9.9,38.3166667
abucher,,07,9.3333333,41.9833333
abuille,,10,9.7333333,37.7666667
abulie,,10,9.7333333,37.7666667
abu matis,,13,9.75,34.7333333
abu meda,,06,11.8,35.7
abu mendi,,06,11.8,35.7
abu musa,,13,10.0166667,34.7166667
abuna abiesghi,,12,14.3,39.2166667
abuna,,14,12.3666667,38.5833333
abune aregay,,02,12.9,37.8333333
abune yosef,,14,12.1166667,39.1666667
abuni,,10,9.6166667,37.75
abuno,,07,9.2333333,41.5166667
abu ramla,,06,11.7,35.1333333
abusera,,10,8.65,38.7833333
abushulo,,12,13.5666667,39.6666667
abu sirba,,10,8.5833333,38.7666667
abuto,,10,9.2666667,37.6833333
abutu,,14,11.8333333,39.8333333
abuye,,10,9.15,38.85
abuye atir,,10,10.15,40.35
aby adi,,12,13.5608333,38.9738889
abza,,14,12.6666667,38.9666667
acaca,,08,7.7333333,35.3333333
acachi,,10,8.8666667,38.7833333
acachilo,,13,9.0,35.1666667
acado,,08,8.1833333,34.35
acaita,,06,10.9333333,36.9833333
acam,,02,12.3166667,38.0333333
acara mariam,,02,12.3,37.3666667
acari,,08,7.7666667,35.3666667
accana georghis,,02,11.9666667,38.1833333
accevo,,08,7.65,36.0333333
acchera,,02,11.7166667,38.4166667
acchiscio,,06,7.8,35.8833333
accuba,,03,7.35,40.35
ach'aba,,01,8.1333333,39.35
ach'alak'o,,12,13.3,39.1833333
ach'ane,,13,9.65,37.3333333
ach'awach,,14,11.6333333,39.3833333
acheca,,08,7.7333333,35.3333333
achene mariam,,13,9.65,37.3333333
acheri,,08,7.7666667,35.3666667
acheta,,02,12.9166667,38.2333333
ach'ewa bado,,06,10.8166667,38.0333333
achfa,,06,10.9333333,36.9833333
ach'indow,,12,14.3330556,38.2555556
ach'lat',,10,9.9,38.7
acioio,,08,6.9166667,34.4833333
aciulla,,08,7.55,34.3333333
acscera,,02,12.4166667,36.65
acsera,,02,12.4166667,36.65
actu,,08,7.8,37.7
aculle,,14,12.5166667,42.0166667
acuorchi,,02,13.6166667,37.2833333
ada'a,,10,10.0166667,38.6333333
ada,,10,8.8,38.9666667
adaba,,03,7.0,39.4
adaba,,12,14.1666667,38.9
ad abba abdu,,02,13.5333333,37.3333333
ad abbati,,02,13.8666667,37.2833333
adabo,,10,8.2666667,38.15
ad acoro,,02,13.7333333,37.3833333
adada,,02,11.5166667,38.3333333
adada,,07,9.0,41.95
adada,,10,9.4333333,38.4333333
adad,,07,10.4,42.65
adadale,,07,7.8333333,44.3166667
adad dader,,07,6.6666667,42.3
adadesanche,,11,4.5,38.9333333
adadi (2),,10,8.6333333,38.5
adadi,,10,8.5166667,38.2333333
adadi arare,,12,12.8666667,39.6833333
adadi sanche,,11,4.5,38.9333333
adadiyo bire,,10,9.3166667,39.2666667
adadle,,07,6.85,42.7
adado,,10,9.35,38.5
ada ela,,12,13.4,41.05
adagalla,,07,10.4236111,42.2333333
adagamus,,12,14.1872222,39.5638889
ad aguori,,02,13.8833333,37.25
adahunat,,06,11.9,37.3
adaito ela,,12,13.4,40.8
adal,,07,9.5833333,42.3
adama,,10,10.4333333,39.4
adama,,14,10.7,39.5666667
adame,,14,10.9666667,39.8166667
adami,,07,8.85,42.0833333
adami,,10,9.75,38.5
adami,,13,9.7833333,36.4166667
adami gebeya,,14,11.25,39.8333333
adamitullo,,10,7.8666667,38.7
adami tulu,,10,7.8666667,38.7
adamogne,,01,7.0166667,39.0166667
adam tere,,10,8.7,38.8166667
adanaccio,,10,10.05,38.6
adara,,10,10.1333333,39.4
ad arisc,,12,14.65,38.1666667
adasha,,06,11.0666667,37.9833333
adash,,07,9.1333333,42.1833333
adat cussra,,12,13.6666667,40.05
adawro,,12,13.6166667,39.1666667
adbidora,,12,12.9333333,41.25
ad cocob,,02,13.7,37.4166667
addadi,,03,5.8833333,39.65
addagalla,,07,10.4236111,42.2333333
addama,,07,8.8,43.1333333
adda marmariti,,12,12.9666667,41.1666667
addamitullu,,10,7.8666667,38.7
addao,,07,6.35,43.6333333
addaro,,12,14.3183333,38.1719444
addeche,,12,13.3166667,39.0833333
addi abdera,,12,12.7666667,39.8166667
addi aitecheb,,02,13.8,38.1
addi araha,,12,13.25,39.5833333
addi cimnu,,12,12.7833333,39.3666667
addi colo,,02,13.6833333,38.3833333
addi culcul,,12,13.1,39.8666667
addi dacno,,12,14.1166667,38.2666667
addi decal,,12,14.0308333,38.1977778
addi didei,,12,13.9333333,38.4833333
addi dideti,,12,13.9333333,38.4833333
addiet,,06,11.2666667,37.4833333
addiet canna,,06,11.2666667,37.4833333
addi felassie,,12,13.8333333,38.8833333
addi gidad,,12,14.1,38.3333333
addi gudem,,12,13.2472222,39.5147222
addi hirdi,,02,13.9166667,37.1333333
addi hoza,,12,13.9833333,38.6833333
addi inalca,,14,12.4,39.55
addilnalca,,14,12.4,39.55
addi micael,,14,12.4833333,39.6166667
addi micail,,14,12.4833333,39.6166667
addin liba,,07,7.35,45.4333333
addi onfato,,12,13.25,39.7
addi onfito,,12,13.25,39.7
addi rassi,,12,13.7833333,38.4333333
addis ababa,,10,9.0333333,38.7
addis abbaba,,10,9.0333333,38.7
addis abeba,2757807,10,9.0333333,38.7
addis-alam,,10,9.0333333,38.4
addis alem,,10,9.0333333,38.4
addisc addi,,12,14.3166667,38.9
addi scimti,,14,12.6166667,39.6333333
addi scium,,14,12.5666667,39.3333333
addis derra,,10,10.1666667,38.6166667
addisghie,,10,9.85,38.7666667
addis zaman,,02,12.1166667,37.7833333
addis zemen,22526,02,12.1166667,37.7833333
additale,,07,9.4833333,40.2666667
addi tigre,,12,13.2333333,39.35
addi una,,12,13.9833333,39.0666667
addi zubbaha,,12,13.7666667,39.15
addodas,,14,11.25,40.7
ade,,11,4.75,38.0333333
adeba,,12,13.15,39.3
adebabay,,10,9.4166667,39.6166667
adeda,,02,11.5166667,38.3333333
adeha,,12,13.5333333,39.45
adela,,11,6.9333333,38.4666667
ad ela,,12,13.4,41.05
adele,,01,7.7833333,39.8166667
adele,,07,8.55,41.0
adele gomboro,,10,8.15,38.5333333
adele gubo,,14,11.6180556,41.4980556
adele umuro,,10,8.1833333,38.5833333
adellet,,12,13.35,38.9
adem abdi,,07,9.5666667,42.2333333
adem abdule,,07,9.2333333,42.0833333
ademaboi,,07,9.5666667,42.2333333
adem,,10,9.2833333,38.3333333
adema iyasu,,14,12.35,39.45
ademe,,07,9.05,41.5666667
adem lega,,07,9.2166667,42.0833333
adem yonis,,07,9.5333333,43.0666667
adengwar,,12,13.6166667,39.6833333
aden libah,,07,7.35,45.4333333
adenna,,02,13.95,37.2166667
adera,,13,9.0666667,35.45
aderat,,12,13.1833333,39.5
adere,,10,9.35,38.95
adere,,13,9.3166667,36.95
adereka,,10,9.7166667,38.65
adere wama,,13,8.75,36.75
aderseg,,02,12.2333333,38.2833333
adeseb,,12,13.3666667,38.8166667
adesta,,12,13.9166667,39.5
adet,22950,06,11.2666667,37.4833333
adet,,14,11.2333333,39.3833333
adeyle (1),,07,9.4,41.9666667
adeyle (2),,07,9.4333333,41.9333333
adeyle,,07,9.4333333,41.9333333
adeza,,02,12.55,37.1333333
ad garab sadiai,,12,13.9833333,39.15
adgo ager,,10,9.6666667,39.6666667
adguo,,10,9.6666667,39.6666667
adi abaio,,12,14.2219444,38.2952778
adi aba jebano,,12,12.5666667,39.7666667
adi aba musa,,14,12.6166667,39.5166667
adi abanawo,,14,12.55,39.3
adi abayo,,12,14.2219444,38.2952778
adi abbaghie,,12,13.95,39.6
adi abbo mussa,,14,12.6166667,39.5166667
adi abergele,,12,13.6333333,39.0
adi abeyto,,12,14.21,39.2063889
adi abuna,,12,14.1872222,38.8836111
adi abun,,12,14.1872222,38.8836111
adi acfel,,12,14.1672222,38.4736111
adi achelai,,12,14.0,38.4666667
adi ademay,,12,14.1291667,38.2538889
adi,,11,4.8,37.2333333
adi agag,,02,13.1666667,37.7666667
adi agam,,12,12.75,39.55
adi agara,,12,14.5194444,38.0622222
adi agay,,14,12.7,39.4166667
adi agghera,,12,14.5194444,38.0622222
adi agwa,,12,13.95,39.3333333
adi ahiu,,12,13.9666667,39.0833333
adi aitechab,,02,13.8,38.1
adi aitecheb,,02,13.8,38.1
adi akel,,12,13.5833333,39.4333333
adi ak'eyti,,12,13.2833333,39.5333333
adi alecti,,02,13.7166667,37.3833333
adi alele,,12,14.3038889,38.6722222
adi almeban,,12,12.7833333,39.5166667
adi amday,,12,13.7166667,39.3
adi amiyuk',,12,13.6666667,39.1666667
adi amshashi,,12,12.7333333,39.55
adi araha,,12,13.25,39.5833333
adi arba'a,,12,13.8,39.5833333
adi arba`ite,,12,13.0666667,39.6166667
adi arba'ite,,12,14.3666667,38.75
adi arbate,,12,14.3666667,38.75
adi aro,,12,13.2166667,39.25
adi aro,,14,12.4166667,39.1666667
adi arra melaio,,12,13.5833333,38.7666667
adi at'al,,12,13.4,39.2833333
adi ats'na'ani,,12,14.4661111,39.2155556
adi aw-ala,,12,14.5380556,38.0569444
adi awde,,02,13.75,37.4666667
adi awi'ala (1),,12,14.5380556,38.0569444
adi awi'ala (2),,12,14.5777778,38.0861111
adi awi'ala,,12,14.5380556,38.0569444
adi awso,,14,12.5833333,39.4333333
adi ayo,,12,12.85,39.7333333
adi ayweto,,12,13.4,39.3333333
adi azuk'a,,12,13.5,39.0166667
adi baghe,,12,13.95,39.6
adi balanberas,,12,12.5166667,39.7666667
adi barot,,12,14.1044444,39.0427778
adi basale,,12,12.8166667,39.8166667
adi be'arej,,12,14.19,38.5352778
adi begghedi,,12,14.0386111,39.1569444
adi bela'i ma'ar,,12,13.5333333,39.6666667
adi beles,,12,14.1,39.35
adi belew,,12,14.0338889,39.2894444
adi berah,,12,14.4291667,38.6636111
adi beri,,14,12.7,39.4833333
adi bidera (1),,12,12.7666667,39.8166667
adi bidera (2),,12,12.8333333,39.8166667
adi bidera,,12,12.7666667,39.8166667
adi bigdi,,12,14.0386111,39.1569444
