names,population,state_code,lat,lon
aaita,,08,64.7333333,26.3
aakoinen,,15,60.3833333,22.65
aaljoki,,15,60.25,23.2666667
aanaar,,06,68.9,27.0166667
aanekoski,13406,15,62.6,25.7333333
aanhimaki,,15,63.25,22.7666667
aapajarven asutusalue,,06,67.2505556,27.2986111
aapajarvi,,06,67.2505556,27.2986111
aapajarvi,,15,66.0833333,24.15
aapajoki,,06,66.0166667,24.1
aarikkala,,15,61.2666667,22.6833333
aarlahti,,15,60.65,21.8166667
aartuka,,15,60.3833333,22.15
aartukka,,15,60.3833333,22.15
aasla,,15,60.3,21.95
aatoila,,15,60.6,22.0166667
aatola,,14,62.0,27.2
aatsinki,,06,66.8833333,28.9166667
aavasaksa,,06,66.3833333,23.7166667
aback,,15,62.3333333,21.6
abacken,,15,62.25,21.65
aberg,,15,62.8333333,22.35
abo,,15,60.45,22.2833333
aby,,13,60.3166667,25.8666667
abyggandan,,15,62.2333333,21.55
aetsa,,15,61.2833333,22.6833333
aggelby,,13,60.2313889,24.9666667
agnisback,,15,63.15,22.5333333
agrenarna,,15,62.7666667,21.4666667
ahdenkallio,,13,60.6333333,24.9166667
ahenpaa,,08,65.8,27.5333333
ahjarvi,,13,61.4333333,29.0833333
ahjo,,13,60.4,25.1433333
ahlainen,,15,61.6666667,21.6166667
ahlajarvi,,13,61.0666667,23.8333333
ahlholm,,15,62.7833333,21.6666667
ahlskog,,15,63.7333333,23.3
ahmas,,08,64.6166667,26.4333333
ahmaskyla,,08,64.65,26.4166667
ahmaus,,15,61.5,22.3333333
ahmo,,13,60.5333333,24.2833333
ahmoonkyla,,13,60.5333333,24.2833333
ahmovaara,,14,63.0833333,29.6166667
aho,,08,63.9833333,26.55
aho,,15,62.5333333,23.0833333
ahoinen,,13,60.8166667,24.3333333
ahokyla,,08,63.9833333,26.55
ahola,,06,66.1166667,28.1666667
ahola,,08,64.1,28.5166667
ahola,,13,61.0833333,28.7166667
ahola,,14,61.55,26.5166667
ahola,,15,63.0833333,23.6
aholahti,,14,61.8833333,28.7166667
aholankulma,,13,60.7333333,27.3833333
aholankyla,,15,62.75,26.45
aholanmaki,,13,60.7,27.0166667
ahomaki,,15,63.1166667,22.8166667
ahonen,,13,60.8166667,24.3333333
ahoniitty,,13,60.4805556,24.8105556
ahonkyla,,14,62.6333333,29.1166667
ahonkyla,,15,62.5333333,23.0833333
ahonpaa,,13,60.5333333,24.05
ahonpaa,,14,63.3333333,29.85
ahonpaa,,15,63.0,24.2
ahonpera,,08,64.3333333,24.8666667
ahopelto,,15,63.0166667,23.6666667
ahtari,,15,62.5666667,24.1
ahtarinranta,,15,62.7,24.0166667
ahtava,,15,63.5833333,23.05
ahteenpaa,,15,60.6666667,23.4833333
ahteentaka,,15,60.3775,21.8805556
ahtiala,,13,60.2166667,23.9
ahtiala,,15,60.35,23.5666667
ahtola,,13,60.9,24.9166667
ahvenainen,,14,61.3,26.5166667
ahveninen,,14,62.9166667,26.2833333
ahveninen,,15,62.0,24.3333333
ahvenisto,,13,60.9833333,24.4
ahvenisto,,14,61.3,26.5166667
ahvenkoski,,13,60.5,26.5
ahvenlahti,,14,63.0,30.0833333
ahvenniemi,,08,65.7666667,29.6166667
ahvenniemi,,14,61.5333333,26.55
ahvensalmi,,14,62.1666667,28.4833333
ahvensalo,,14,62.1666667,28.4833333
ahvenselka,,06,67.0,28.0333333
ahvenus,,15,61.3,22.5166667
ahvenvaara,,14,62.35,30.5166667
ahvio,,13,60.6333333,26.7333333
ahvionniemi,,14,61.7,28.7166667
ahvionsaari,,14,61.7166667,28.7
aijala,,15,60.1666667,23.35
aijanneva,,15,62.3333333,23.55
aijenvaara,,14,62.7333333,31.3833333
aijo,,15,62.4666667,22.3
aijonkyla,,15,62.4666667,22.3
aikava,,15,62.25,22.7166667
aikkila,,08,66.1333333,29.2
ailuoto,,08,65.0,24.7166667
aimala,,15,61.3,24.2166667
aimarautio,,08,64.9833333,25.4666667
aimontappo,,15,60.2666667,23.2
aimontoppo,,15,60.2666667,23.2
ainali,,08,64.2166667,25.4333333
ainali,,15,64.05,23.9
ainasoja,,08,63.85,25.0
ainastalo,,08,63.85,25.0
airaksela,,14,62.7333333,27.4166667
airikkala,,08,63.9666667,28.9833333
airismaa,,15,60.3333333,21.9833333
airola,,13,60.5166667,24.4
aisaniemi,,13,61.3166667,28.5666667
aitamannikka,,06,67.0166667,24.0666667
aitamannikko,,06,67.0166667,24.0666667
aitolahti,,15,61.55,23.8833333
aitomaki,,13,60.8833333,26.8333333
aitoniemi,,15,61.5666667,23.8166667
aitoo,,15,61.3333333,24.5
aitsaari,,13,61.3,28.5833333
aitta,,08,64.7333333,26.3
aittakorpi,,13,60.4919444,26.855
