names,population,state_code,lat,lon
ahau,,00,-12.5,177.05
alava,,03,-16.4166667,179.2166667
ambatha,,05,-17.6666667,177.5333333
andako,,01,-19.1833333,179.75
arua,,01,-19.1666667,179.75
assawa,,03,-16.1666667,-179.9833333
atopisi,,00,-12.5166667,177.05
au soso,,01,-17.75,178.75
avea,,03,-17.2,-178.9
bega,,01,-18.1,178.0666667
beka,,01,-18.1,178.0666667
biagunu,,03,-16.45,179.7333333
boiling springs,,03,-16.7833333,179.35
bouwanga,,05,-18.5666667,177.65
bowanka,,05,-18.5666667,177.65
buratu,,01,-18.05,178.6166667
chomah,,02,-19.0333333,178.35
dagai,,01,-19.1,178.0166667
dalice,,01,-17.8,179.4
daviqele,,01,-19.15,178.0
delaiyadua,,05,-17.5666667,178.45
dogowali,,01,-18.2666667,177.9333333
draiba,,01,-17.7,178.8333333
dravuni,,01,-17.9166667,178.5833333
drekena,,01,-18.1166667,178.5666667
driba,,01,-17.7,178.8333333
drio drio,,05,-17.95,177.9
ekubu,,05,-18.5166667,177.65
ekumbu,,05,-18.5166667,177.65
else'e,,00,-12.4833333,177.0833333
elsio,,00,-12.4833333,177.0666667
emuri,,05,-18.0666667,177.3833333
enduanasali,,05,-18.15,177.5166667
etumba,,05,-18.1333333,177.5166667
eveve,,00,-12.5166667,177.1
fafaisina,,00,-12.5166667,177.1333333
fapufa,,00,-12.5166667,177.0333333
feavai,,00,-12.5166667,177.05
feavarere,,00,-12.5166667,177.05
fort carnarvon,,05,-17.8833333,177.7833333
galligarua,,01,-19.1666667,179.7833333
granby harbour,,01,-18.25,177.8666667
haga,,00,-12.5166667,177.0833333
hofvea,,00,-12.4833333,177.0666667
hua,,00,-12.4833333,177.1
itumuta,,00,-12.5,177.0333333
ituteu,,00,-12.5166667,177.0333333
jolmea,,00,-12.4833333,177.05
juju,,00,-12.5166667,177.0833333
kaivala,,02,-18.9666667,178.4166667
kalambo,,01,-18.0833333,178.4833333
kaleta levu,,01,-18.1333333,178.3166667
kaloka levu,,01,-18.1333333,178.3166667
kalokolevu,,01,-18.1333333,178.3166667
kalvaka,,00,-12.5166667,177.1166667
kamba,,01,-18.0,178.7
kambariki,,01,-19.15,178.0333333
kambisi,,05,-18.0666667,177.3666667
kana,,01,-17.7833333,179.4333333
kanakana,,03,-16.6166667,179.8666667
kanathea,,03,-16.9666667,179.9
kandavu,,02,-19.0333333,178.3833333
kande,,03,-17.3666667,179.3833333
