names,population,state_code,lat,lon
anson,,00,-51.5166667,-58.1166667
bahia fox,,00,-51.95,-60.0333333
beaver settlement,,00,-51.8583333,-61.25
bluff cove,,00,-51.75,-58.1833333
bluff cove settlement,,00,-51.75,-58.1833333
bombilia house,,00,-51.5166667,-58.7
burnside house,,00,-51.7833333,-58.9333333
campo verde,,00,-51.5333333,-58.9666667
camp verde,,00,-51.5333333,-58.9666667
cantera de arena,,00,-51.4833333,-58.75
carcass island settlement,,00,-51.2833333,-60.55
ceritos,,00,-51.7166667,-58.85
cerritos,,00,-51.7166667,-58.85
chartres,,00,-51.7,-60.0666667
chartres settlement,,00,-51.7,-60.0666667
cranmer,,00,-51.3333333,-59.9333333
darwin,,00,-51.8,-58.9833333
darwin settlement,,00,-51.8,-58.9833333
dos lomas,,00,-51.7833333,-59.25
douglas settlement,,00,-51.45,-58.5833333
douglas station,,00,-51.45,-58.5833333
dunnose head,,00,-51.7333333,-60.4
dunnose head settlement,,00,-51.7333333,-60.4
east settlement,,00,-51.95,-60.0333333
estancia house,,00,-51.6666667,-58.2166667
evelyn station,,00,-51.5666667,-58.4166667
fitzroy,,00,-51.7833333,-58.2333333
fitzroy north,,00,-51.7333333,-58.25
fitzroy settlement,,00,-51.7833333,-58.2333333
fitzroy south,,00,-51.7833333,-58.2333333
foam creek house,,00,-51.4666667,-58.3166667
foam creek settlement,,00,-51.4666667,-58.3166667
fox bay east settlement,,00,-51.95,-60.0333333
fox bay west settlement,,00,-51.95,-60.1
goose green,,00,-51.8166667,-58.9666667
goose green settlement,,00,-51.8166667,-58.9666667
green patch settlement,,00,-51.55,-58.1166667
hill cove,,00,-51.5,-60.15
hope cottage,,00,-51.8166667,-59.3166667
horqueta,,00,-51.8666667,-59.2333333
horseshoe bay,,00,-51.5333333,-58.2166667
johnson harbour settlement,,00,-51.4833333,-58.0333333
johnsons harbour,,00,-51.5,-58.0333333
keppel settlement,,00,-51.3166667,-59.9333333
lively settlement,,00,-51.9833333,-58.45
mare harbour rancho,,00,-51.9,-58.4
mariqueta,,00,-51.9,-59.4
mariquita,,00,-51.9,-59.4
mid rancho,,00,-51.8333333,-58.6
new island settlement,,00,-51.7166667,-61.2833333
north arm,,00,-52.1,-59.35
north arm settlement,,00,-52.1,-59.35
orqueta,,00,-51.8666667,-59.2333333
pebble island farm,,00,-51.3166667,-59.5833333
pebble island settlement,,00,-51.3166667,-59.5833333
piedra sola,,00,-51.5333333,-58.7666667
port howard,,00,-51.6166667,-59.5
port louis,,00,-51.5166667,-58.1166667
port louis settlement,,00,-51.5166667,-58.1166667
port louis south,,00,-51.6,-58.15
port san carlos,,00,-51.5,-58.9833333
port san carlos settlement,,00,-51.5,-58.9833333
port stanley,,00,-51.7,-57.85
port stephens,,00,-52.0833333,-60.8166667
port stephens settlement,,00,-52.0833333,-60.8166667
rincon grande,,00,-51.4833333,-58.3
rincon grande settlement,,00,-51.4833333,-58.3
roy cove,,00,-51.5333333,-60.3833333
roy cove settlement,,00,-51.5333333,-60.3833333
saint louis,,00,-51.5166667,-58.1166667
salvador,,00,-51.4666667,-58.3666667
salvador settlement corral,,00,-51.4666667,-58.3666667
salvador settlement,,00,-51.4666667,-58.3666667
san carlos estate,,00,-51.5666667,-59.0166667
san carlos,,00,-51.5666667,-59.0166667
san carlos settlement,,00,-51.5666667,-59.0166667
sand fountain,,00,-51.4833333,-58.75
saunders island settlement,,00,-51.3666667,-60.0833333
soledad,,00,-51.5166667,-58.1166667
speedwell island settlement,,00,-52.2166667,-59.6833333
spring point settlement,,00,-51.8166667,-60.45
spring point,,00,-51.8166667,-60.45
stanley harbour,,00,-51.7,-57.85
stanley,,00,-51.7,-57.85
teal inlet settlement,,00,-51.5666667,-58.4166667
teal inlet,,00,-51.5666667,-58.4166667
tranquilidad,,00,-51.7666667,-59.15
walker creek,,00,-51.9666667,-58.7666667
weddell settlement,,00,-52.8833333,-60.9
westpoint island settlement,,00,-51.35,-60.6833333
west settlement,,00,-51.95,-60.1
