names,population,state_code,lat,lon
adevue,,04,9.5444444,138.105
adibue,,04,9.5444444,138.105
adibuee,,04,9.5444444,138.105
adibuwe',,04,9.5444444,138.105
adibuwee,,04,9.5444444,138.105
adubuwe',,04,9.5444444,138.105
af,,04,9.515,138.1591667
airech,,04,9.5808333,138.1291667
airetj,,04,9.5808333,138.1291667
akahk,,02,6.8194444,158.3011111
akaku,,02,6.8194444,158.3011111
alaudscho,,02,6.8291667,158.1527778
alaujo,,02,6.8291667,158.1527778
alauso,,02,6.8291667,158.1527778
aleru,,04,9.5502778,138.1094444
alohkapw,,02,6.9161111,158.2883333
alokap,,02,6.9161111,158.2883333
alongot,,03,7.35,151.8333333
amin,,04,9.6002778,138.1652778
amun,,04,9.5513889,138.1847222
anipadsch,,02,6.8258333,158.3019444
anipaj,,02,6.8258333,158.3019444
anipas,,02,6.8258333,158.3019444
anipasu,,02,6.8258333,158.3019444
anipein pah,,02,6.8108333,158.2105556
anipein powe,,02,6.8111111,158.2236111
anipen,,02,6.8108333,158.2105556
anipoas,,02,6.8258333,158.3019444
anoth,,04,9.4430556,138.0675
anoz,,04,9.4430556,138.0675
areu,,02,6.9258333,158.3094444
arinel,,04,9.5205556,138.0861111
aringel,,04,9.5205556,138.0861111
aringell,,04,9.5205556,138.0861111
aringeru,,04,9.5205556,138.0861111
aringiru,,04,9.5205556,138.0861111
arokappu,,02,6.9161111,158.2883333
aru,,02,6.9258333,158.3094444
aruu,,02,6.9258333,158.3094444
ateliu,,04,9.5502778,138.1094444
ateliw,,04,9.5502778,138.1094444
atell,,04,9.5502778,138.1094444
atelu,,04,9.5502778,138.1094444
ateru,,04,9.5502778,138.1094444
atiliu,,04,9.5502778,138.1094444
atiliw,,04,9.5502778,138.1094444
atliw,,04,9.5502778,138.1094444
auak,,02,6.9666667,158.2666667
aumar,,02,6.9352778,158.1680556
aumaru,,02,6.9352778,158.1680556
aumoar,,02,6.9352778,158.1680556
aun,,03,7.3327778,151.8463889
auun,,03,7.3327778,151.8463889
awak,,02,6.9666667,158.2666667
awak pah,,02,6.9588889,158.2458333
awak powe,,02,6.9666667,158.2666667
ayirech,,04,9.5808333,138.1291667
ayrach,,04,9.5808333,138.1291667
ayrech,,04,9.5808333,138.1291667
baanimaut,,04,9.5044444,138.1141667
baanimut,,04,9.5044444,138.1141667
baanimuut,,04,9.5044444,138.1141667
baanmaut,,04,9.5044444,138.1141667
balabat,,04,9.5030556,138.1283333
baleabaat',,04,9.5030556,138.1283333
balebat',,04,9.5030556,138.1283333
balebatt,,04,9.5030556,138.1283333
balelach,,04,9.5166667,138.1333333
baqanimaqut,,04,9.5044444,138.1141667
barabado,,04,9.5030556,138.1283333
barabato,,04,9.5030556,138.1283333
bechiel,,04,9.6102778,138.1738889
bechiyel,,04,9.6102778,138.1738889
bechyal,,04,9.6102778,138.1738889
beenik,,04,9.4991667,138.12
beitiu,,03,7.4380556,151.8716667
beken,,03,7.3,151.8833333
benig,,04,9.4991667,138.12
benik,,04,9.4991667,138.12
berado,,01,5.3294444,162.9444444
berard,,01,5.3294444,162.9444444
biloechaang,,04,9.55,138.1266667
binaew,,04,9.5297222,138.0922222
binau,,04,9.5297222,138.0922222
binaw,,04,9.5297222,138.0922222
blelatsch,,04,9.5166667,138.1333333
blochang,,04,9.55,138.1266667
boenne,,03,7.3652778,151.8625
bogul,,04,9.5147222,138.1619444
bruggemann,,04,9.6,138.1666667
bugol,,04,9.5147222,138.1619444
bulochang,,04,9.55,138.1266667
buloochang,,04,9.55,138.1266667
bulwol,,04,9.63,138.1527778
canaun,,04,9.6330556,138.1633333
cap oligabi,,03,7.3333333,151.5566667
ccun,,03,7.3736111,151.8611111
chiyuru,,04,9.5886111,138.1844444
chol,,04,9.5886111,138.1844444
chool,,04,9.5886111,138.1844444
choqol,,04,9.5886111,138.1844444
chorong,,03,7.4097222,151.6644444
choru,,04,9.5886111,138.1844444
chukienu,,03,7.3486111,151.6183333
chukuram,,03,7.3472222,151.5958333
chun,,03,7.3736111,151.8611111
colonia,,04,9.5144444,138.1291667
colony koronia,,02,6.9638889,158.2083333
colony town,,02,6.9638889,158.2083333
corog,,03,7.4097222,151.6644444
daabach,,04,9.5383333,138.1497222
dabach,,04,9.5383333,138.1497222
dachangar,,04,9.5144444,138.1122222
dachngar,,04,9.5144444,138.1122222
danipei,,02,6.9755556,158.1925
dariikaan,,04,9.4913889,138.7
darikan,,04,9.4913889,138.7
datjmur,,04,9.525,138.1686111
davotj,,04,9.5383333,138.1497222
deboch,,04,9.5383333,138.1497222
dechumur,,04,9.5166667,138.1666667
derikan,,04,9.4913889,138.7
detianar,,04,9.5144444,138.1122222
diadi,,02,6.8233333,158.1558333
djun,,03,7.3736111,151.8611111
doanguuc,,04,9.5144444,138.1291667
doqomchuuy,,04,9.5166667,138.15
dorf lela,,01,5.3333333,163.0319444
dorf lele,,01,5.3333333,163.0319444
dorf lolo,,01,5.3333333,163.0319444
dschakarenkap,,02,6.8169444,158.1666667
dschalapuk,,02,6.8561111,158.2083333
dschountin handel station,,02,6.9705556,158.2191667
dublon,,03,7.3855556,151.8638889
dublon town,,03,7.3666667,151.9
dugor,,04,9.5325,138.1236111
dulkaan,,04,9.4625,138.0755556
dulkan,,04,9.4625,138.0755556
eirech,,04,9.5808333,138.1291667
elielliwi,,02,6.8833333,158.3
elielwi,,02,6.8833333,158.3
enipeihn pah,,02,6.8108333,158.2105556
enipeihn powe,,02,6.8111111,158.2236111
enipein pah,,02,6.8108333,158.2105556
enipoas,,02,6.8258333,158.3019444
ennin,,03,7.3666667,151.9
epin,,03,7.3713889,151.5688889
era,,01,5.3294444,162.9444444
eriel,,02,6.9666667,158.2166667
etiemar,,03,7.3736111,151.5886111
etiermar,,03,7.3736111,151.5886111
ewashi,,03,7.3469444,151.8530556
ewes,,03,7.3469444,151.8530556
faal,,04,9.6216667,138.1661111
fal,,04,9.6216667,138.1661111
faloma,,03,7.3825,151.7155556
fanalili,,04,9.5030556,138.0988889
fanaliliy,,04,9.5030556,138.0988889
fanama,,03,7.3825,151.7155556
fanbatear,,04,9.5091667,138.1283333
fangel,,03,7.3547222,151.8188889
fanip,,03,7.3602778,151.7819444
fankachau,,03,7.3813889,151.88
fanomo,,03,7.3825,151.7155556
fanqaliiliy,,04,9.5030556,138.0988889
fara,,04,9.4841667,138.0758333
faraq,,04,9.4841667,138.0758333
faregaaw,,04,9.4833333,138.0666667
faro,,03,7.3166667,151.6166667
fason,,03,7.3388889,151.6294444
faupo,,03,7.35,151.6333333
faut,,03,7.3616667,151.7913889
feeduqor,,04,9.5,138.0666667
fein,,03,7.3475,151.8341667
fenealiliy,,04,9.5030556,138.0988889
feyin,,03,7.3475,151.8341667
finaunpes,,01,5.35,163.0166667
finfokoa,,01,5.35,163.0166667
finfoko,,01,5.3672222,162.9916667
finfukul,,01,5.3672222,163.0063889
finkol te,,01,5.2769444,162.9797222
