names,population,state_code,lat,lon
aaerne,,00,62.25,-6.5666667
aanerne,,00,62.25,-6.5666667
aeðuvik,,00,62.0666667,-6.6833333
aerne,,00,62.25,-6.5666667
a heyggi,,00,62.1,-6.9333333
akraberg,,00,61.4,-6.6666667
akrabyrgi,,00,61.4,-6.6666667
akrar,13,00,61.45,-6.75
ande fiord,,00,62.2833333,-6.8333333
andefjord,,00,62.2833333,-6.8333333
anir,,00,62.25,-6.5666667
anirnar,18,00,62.25,-6.5666667
arge,,00,61.9833333,-6.75
argir,1871,00,61.9833333,-6.75
arnafjorður,,00,62.25,-6.5166667
arnefiord,,00,62.25,-6.5166667
arnefjord,,00,62.25,-6.5166667
a steig,,00,62.15,-7.1333333
avevig,,00,62.0666667,-6.6833333
biskopsto,,00,62.2333333,-6.5666667
biskupsstoð,,00,62.2333333,-6.5666667
blankskali,,00,62.2333333,-6.7
bo,,00,62.0833333,-7.35
bour,67,00,62.0833333,-7.35
dal,,00,61.7833333,-6.6666667
dalur,45,00,61.7833333,-6.6666667
deble,,00,62.2833333,-6.5166667
depil,,00,62.2833333,-6.5166667
djupidalur,,00,61.8,-6.75
eide,,00,62.3,-7.0833333
eiði,,00,62.3,-7.0833333
ejde,,00,62.3,-7.0833333
eldevig,,00,62.2833333,-6.9
elduvik,23,00,62.2833333,-6.9
famien,,00,61.5166667,-6.8666667
famjin,111,00,61.5166667,-6.8666667
fodlendi,,00,62.3666667,-6.5333333
forlendi,,00,62.3666667,-6.5333333
fosa,,00,62.3,-6.5333333
fossa,,00,62.3,-6.5333333
froðba,,00,61.55,-6.7666667
froðbour,,00,61.55,-6.7666667
frodebo,,00,61.55,-6.7666667
fuglafjorður,,00,62.25,-6.8
fuglefiord,,00,62.25,-6.8
fuglefjord,,00,62.25,-6.8
fundingbund,,00,62.2333333,-6.9166667
funding,,00,62.2833333,-6.95
fundingsbotn,,00,62.2333333,-6.9166667
funningsbothur,,00,62.2333333,-6.9166667
funningsbotnur,,00,62.2333333,-6.9166667
funningsfjorður,,00,62.2333333,-6.9166667
funningur,66,00,62.2833333,-6.95
gaasedal,,00,62.1166667,-7.4333333
garður,,00,62.2,-6.7
gasadalur,17,00,62.1166667,-7.4333333
gasedal,,00,62.1166667,-7.4333333
gerðar,,00,62.1,-6.7666667
gerdar,,00,62.2333333,-6.5666667
gerðir,,00,62.1,-6.7666667
gerdum,,00,62.1,-6.7666667
giov,,00,62.3166667,-6.9333333
gjaanore hoalfst,,00,62.2333333,-7.0333333
gjanoyri,55,00,62.2333333,-7.0333333
gjerdum,,00,62.1,-6.7666667
gjogv,,00,62.3166667,-6.9333333
gjogvin,,00,62.1333333,-7.0166667
gjoven,,00,62.1333333,-7.0166667
gjov,53,00,62.3166667,-6.9333333
glibre,,00,62.1333333,-6.7166667
glyvrar,425,00,62.1333333,-6.7166667
gota,,00,62.2,-6.7333333
goteejde,,00,62.1833333,-6.7666667
gotegjov,,00,62.1833333,-6.7333333
gote,,00,62.2,-6.7333333
gote kirke,,00,62.2,-6.7333333
gotueiði,,00,62.1833333,-6.7666667
gotugjogv,46,00,62.1833333,-6.7333333
grogv,,00,62.15,-6.7666667
haldarsvik,175,00,62.2833333,-7.0833333
haldersvig,,00,62.2833333,-7.0833333
haldorsvig,,00,62.2833333,-7.0833333
haldorsvik,,00,62.2833333,-7.0833333
hamar,,00,61.6,-6.95
hamrabyrgi,,00,61.4333333,-6.7166667
hamrar,,00,62.1166667,-6.9
hamre,,00,62.1166667,-6.9
haraldssund,77,00,62.2666667,-6.6
haraldsund,,00,62.2666667,-6.6
hattarvik,19,00,62.3333333,-6.25
hattervig,,00,62.3333333,-6.25
havn,,00,62.0166667,-6.7666667
heiðarnar,,00,62.1166667,-6.7166667
heller,,00,62.2666667,-6.8333333
hellerne,,00,62.2666667,-6.8333333
hellur,30,00,62.2666667,-6.8333333
hesto bygd,,00,61.95,-6.8666667
hesto,,00,61.95,-6.8666667
hestsbygd,,00,61.95,-6.8666667
hestur,44,00,61.95,-6.8666667
heyggjur,,00,62.1,-6.75
heygur,,00,62.1,-6.9333333
hoi,,00,62.1,-6.9333333
hoj,,00,62.1,-6.9333333
hojvig,,00,62.0333333,-6.75
holar,,00,61.6,-6.9333333
horg,,00,61.4166667,-6.7166667
hosvik,344,00,62.15,-6.9333333
hove,149,00,61.5166667,-6.7333333
hov,,00,61.5166667,-6.7333333
hoyvig,,00,62.0333333,-6.75
hoyvik,2777,00,62.0333333,-6.75
husar,60,00,62.2666667,-6.6833333
husavik,82,00,61.8,-6.6666667
huse,,00,62.05,-7.1666667
husevig,,00,61.8,-6.6666667
hus,,00,62.05,-7.1666667
husi,,00,62.05,-7.1666667
husum,,00,62.2666667,-6.6833333
hvalba,673,00,61.6,-6.95
hvalbour,,00,61.6,-6.95
hvalvik,183,00,62.1833333,-7.0166667
hvannasund,271,00,62.3,-6.5
hvidenaes,,00,61.55,-6.8166667
hvitanes,104,00,62.05,-6.7666667
iansagerði,,00,62.0333333,-7.1833333
i botni,,00,61.4833333,-6.7833333
i famara,,00,61.4666667,-6.8666667
i horg,,00,61.4166667,-6.7166667
i husi,,00,62.05,-7.1666667
innan glyvur,,00,62.1333333,-6.75
jansagerði,,00,62.0333333,-7.1833333
jensegaerde,,00,62.0333333,-7.1833333
kaelnaes,,00,62.1166667,-6.8666667
kaelnaestange,,00,62.1166667,-6.8666667
kalbak,,00,62.05,-6.8166667
kaldbak,229,00,62.05,-6.8166667
kelnaes,,00,62.1166667,-6.8666667
kirkebo,,00,61.95,-6.7833333
kirke,,00,62.3166667,-6.3
kirker,,00,62.05,-7.1833333
kirkja,31,00,62.3166667,-6.3
kirkjar,,00,62.05,-7.1833333
kirkjubour,81,00,61.95,-6.7833333
kjalnes,,00,62.1166667,-6.8666667
klakksvik,,00,62.2333333,-6.6
klaksvig,,00,62.2333333,-6.6
klaksvik,4664,00,62.2333333,-6.6
kolbanargjogv,,00,62.1,-6.7833333
kollafjorður,,00,62.1166667,-6.9
kollefiord church,,00,62.1166667,-6.9
kollefjord kirke,,00,62.1166667,-6.9
kollefjord,,00,62.1166667,-6.9
kolte,,00,61.9833333,-6.95
kolter bygd,,00,61.9833333,-6.95
kolter,,00,61.9833333,-6.95
koltero,,00,61.9833333,-6.95
koltur,,00,61.9833333,-6.95
koltursbygd,,00,61.9833333,-6.95
kraair,,00,61.4666667,-6.8166667
krair,,00,61.4666667,-6.8166667
krodsled,,00,61.4666667,-6.8
krossled,,00,61.4666667,-6.8
krosslið,,00,61.4666667,-6.8
kuno bygd,,00,62.2833333,-6.6666667
kuno,,00,62.2833333,-6.6666667
kunoyarbygd,,00,62.2833333,-6.6666667
kunoy,70,00,62.2833333,-6.6666667
kvalbo,,00,61.6,-6.95
kvalvig,,00,62.1833333,-7.0166667
kvannesund,,00,62.3,-6.5
kvivig,,00,62.1166667,-7.0666667
kvivik,372,00,62.1166667,-7.0666667
lambareiði,,00,62.1333333,-6.7166667
lambarejde,,00,62.1333333,-6.7166667
lambi,148,00,62.1333333,-6.6833333
lamhange,,00,62.1333333,-6.6833333
lamharge,,00,62.1333333,-6.6833333
lamhaugeejde,,00,62.1333333,-6.7166667
lamhauge,,00,62.1333333,-6.6833333
langasandur,,00,62.1666667,-6.7833333
langesand,,00,62.2333333,-7.0333333
leinum,,00,62.1166667,-7.0333333
leirvik,960,00,62.2166667,-6.6833333
leiti,,00,61.45,-6.75
lejnum,,00,62.1166667,-7.0333333
lervig,,00,62.2166667,-6.6833333
leynar,114,00,62.1166667,-7.0333333
leynum,,00,62.1166667,-7.0333333
liðin,,00,61.55,-6.8333333
ljosa,33,00,62.2666667,-7.05
lobra,,00,61.4333333,-6.7666667
lopra,124,00,61.4333333,-6.7666667
lorvik,,00,62.2166667,-6.6833333
lysaa,,00,62.2666667,-7.05
lysa,,00,62.2666667,-7.05
miðgerði,,00,62.1166667,-6.8666667
midjord,,00,62.1166667,-6.8666667
midvaag,,00,62.05,-7.1833333
midvag,,00,62.05,-7.1833333
miðvagur,,00,62.05,-7.1833333
mikladalur,60,00,62.3333333,-6.75
morkenore,,00,62.2333333,-6.5666667
morskernaes,,00,62.1333333,-6.8333333
morskranes,45,00,62.1333333,-6.8333333
moskernaes,,00,62.1333333,-6.8333333
mule,,00,62.35,-6.5666667
muli,,00,62.35,-6.5666667
myggenaes bygd,,00,62.1,-7.6333333
myggenaes,,00,62.1,-7.6333333
mygledal,,00,62.3333333,-6.75
mykinesbygd,,00,62.1,-7.6333333
mykines,25,00,62.1,-7.6333333
myrkjanoyri,,00,62.2333333,-6.5666667
naes,,00,61.4666667,-6.75
naesset,,00,62.15,-7.15
nesið,,00,62.15,-7.15
nes,233,00,62.0833333,-6.7166667
nesvik,,00,62.2166667,-7.0166667
neyst,,00,61.6,-6.9333333
nolso bygd,,00,62.0166667,-6.6666667
nolso,,00,62.0166667,-6.6666667
nolsoyarbygd,,00,62.0166667,-6.6666667
nolsoy,283,00,62.0166667,-6.6666667
norddeble,,00,62.3,-6.5166667
norðdepil,,00,62.3,-6.5166667
nordore,,00,62.2166667,-6.5333333
norðoyri,,00,62.2166667,-6.5333333
norðradalur,,00,62.0333333,-6.9166667
norðragota,,00,62.2,-6.7333333
nordredal,,00,62.0333333,-6.9166667
nordregote,,00,62.2,-6.7333333
nordskaale,,00,62.2166667,-7.0
nordskale,,00,62.2166667,-7.0
norðskali,,00,62.2166667,-7.0
nordtofte,,00,62.2666667,-6.5
norðtoftir,,00,62.2666667,-6.5
nybo,,00,62.2333333,-7.0333333
ogrum,,00,61.45,-6.75
okrum,,00,61.45,-6.75
oman fyri kirkju,,00,61.5333333,-6.8833333
oravik,36,00,61.5333333,-6.8
ordevig,,00,61.5333333,-6.8
oreenge,,00,62.1,-6.95
ore,,00,62.1833333,-6.9666667
oyndarfjorður,,00,62.2833333,-6.8333333
oyrarbakki,104,00,62.2,-6.9833333
oyrareingir,,00,62.1,-6.95
oyrargjogv,,00,62.1166667,-7.1666667
oyri,140,00,62.1833333,-6.9666667
porkere,,00,61.4833333,-6.7333333
porkeri,396,00,61.4833333,-6.7333333
punthavn,,00,61.55,-6.8166667
ridevig,,00,62.1,-6.6666667
rituvig,,00,62.1,-6.6666667
rituvik,268,00,62.1,-6.6666667
runavik,503,00,62.1166667,-6.7166667
runevig,,00,62.1166667,-6.7166667
ryggur,,00,62.05,-7.1833333
ryg,,00,62.05,-7.1833333
sadevaag,,00,62.05,-7.1333333
saken,,00,62.25,-7.1666667
saksen,,00,62.25,-7.1666667
saksun,37,00,62.25,-7.1666667
saltangara,799,00,62.1166667,-6.7166667
saltangeraa,,00,62.1166667,-6.7166667
saltangera,,00,62.1166667,-6.7166667
saltens,,00,62.1,-6.7333333
saltnaes,,00,62.1,-6.7333333
saltnes,163,00,62.1,-6.7333333
sandagerði,,00,62.0,-6.7666667
sandavagur,779,00,62.05,-7.1333333
sandegaerde,,00,62.0,-6.7666667
sandevaag,,00,62.05,-7.1333333
sandevag,,00,62.05,-7.1333333
sand,,00,61.8333333,-6.8
sandur,608,00,61.8333333,-6.8
sandvig,,00,61.6333333,-6.9166667
sandvik,116,00,61.6333333,-6.9166667
saxen,,00,62.25,-7.1666667
seblende,,00,62.1166667,-6.75
selatrað,,00,62.15,-6.85
selletrae,,00,62.15,-6.85
sevlende,,00,62.1166667,-6.75
sevlendi,,00,62.1166667,-6.75
signabour,,00,62.1,-6.9
signebo,,00,62.1,-6.9
siov,,00,62.1166667,-6.75
sjogv,,00,62.1166667,-6.75
sjovar kirkja,,00,62.1166667,-6.75
sjovartoftir,,00,61.4666667,-6.7333333
sjov kirkja,,00,62.1166667,-6.75
sjov,,00,62.1166667,-6.75
skaalebotn,,00,62.2,-6.85
skaale,,00,62.15,-6.7666667
skaalevig,,00,61.8333333,-6.65
skaeling,,00,62.1,-7.0
skaelingur,11,00,62.1,-7.0
skaelling,,00,62.1,-7.0
skalabotnur,105,00,62.2,-6.85
skalafjorður,,00,62.2,-6.85
skalar,,00,61.6,-6.9333333
skalatoftir,,00,62.3166667,-6.6
skalavik,171,00,61.8333333,-6.65
skalebotn,,00,62.2,-6.85
skale,,00,62.15,-6.7666667
skaletofte,,00,62.3166667,-6.6
skalevig,,00,61.8333333,-6.65
skali,621,00,62.15,-6.7666667
skard,,00,62.3166667,-6.6333333
skarð,,00,62.3166667,-6.6333333
skarvanes,,00,61.8,-6.7333333
skarvenaes,,00,61.8,-6.7333333
skibenaes,,00,62.1666667,-6.75
skipanes,61,00,62.1666667,-6.75
skopen,,00,61.9,-6.8666667
skopun,464,00,61.9,-6.8666667
skuli,,00,61.85,-6.8333333
skuo bygd,,00,61.7666667,-6.8
skuo,,00,61.7666667,-6.8
skuvoyarbygd,,00,61.7666667,-6.8
skuvoy,53,00,61.7666667,-6.8
slaettanes,,00,62.15,-7.2333333
slettenaes,,00,62.15,-7.2333333
soervaag,,00,62.0666667,-7.3
soldarfjorður,,00,62.15,-6.7333333
solmundarfjorður,,00,62.15,-6.7333333
solmundefiord,,00,62.15,-6.7333333
solmundefjord,,00,62.15,-6.7333333
soltuvik,,00,61.8333333,-6.8833333
sorvaag,,00,62.0666667,-7.3
sorvag,1066,00,62.0666667,-7.3
sorvagur,,00,62.0666667,-7.3
stegaard,,00,62.15,-7.1333333
stegard,,00,62.15,-7.1333333
steigargarður,,00,62.15,-7.1333333
steig,,00,62.15,-7.1333333
straender,,00,62.1166667,-6.75
strand,,00,62.2666667,-6.5833333
strender,,00,62.1166667,-6.75
strendur,854,00,62.1166667,-6.75
streymnes,189,00,62.2,-7.0166667
stromnaes,,00,62.2,-7.0166667
strond,,00,62.2666667,-6.5833333
stykket,,00,62.1166667,-7.0333333
stykkið,,00,62.1166667,-7.0333333
sumba,289,00,61.4,-6.7
sumbo,,00,61.4,-6.7
sund,,00,62.05,-6.8333333
sunnbour,,00,61.4,-6.7
svinaaer,,00,62.2333333,-7.0166667
svinaer,,00,62.2333333,-7.0166667
svinair,23,00,62.2333333,-7.0166667
svino bygd,,00,62.2833333,-6.3333333
svino,,00,62.2833333,-6.3333333
svinoyarbygd,,00,62.2833333,-6.3333333
svinoy,95,00,62.2833333,-6.3333333
syðradalur,,00,62.0166667,-6.9
sydredal,,00,62.0166667,-6.9
sydregote,,00,62.1833333,-6.7333333
syðrugota,,00,62.1833333,-6.7333333
teigar,,00,61.5166667,-6.8833333
thorshavn,,00,62.0166667,-6.7666667
thorsvig,,00,62.15,-6.9333333
tiornevig,,00,62.2833333,-7.1333333
tjornevig,,00,62.2833333,-7.1333333
tjornuvik,66,00,62.2833333,-7.1333333
todnaes,,00,62.1166667,-6.8833333
todnes,,00,62.1166667,-6.8833333
toftanes,,00,62.2166667,-6.7
tofte,,00,62.1,-6.7333333
toftir,854,00,61.6,-6.95
torkildshoj,,00,62.0833333,-6.7333333
torkilsheyggjur,,00,62.0833333,-6.7333333
torkilsheygur,,00,62.0833333,-6.7333333
torshavn,13200,00,62.0166667,-6.7666667
torsvig,,00,62.15,-6.9333333
traðir,,00,61.85,-6.8
trangisvaag bygd,,00,61.5666667,-6.8333333
trangisvaag,,00,61.5666667,-6.8333333
trangisvag bygd,,00,61.5666667,-6.8333333
trangisvag,,00,61.5666667,-6.8333333
trodum,,00,61.85,-6.8
troldenaes,,00,62.3666667,-6.7833333
trollanes,26,00,62.3666667,-6.7833333
trongisvagur,,00,61.5666667,-6.8333333
tvaeraa,,00,61.55,-6.8
tvaera,,00,61.55,-6.8
tvaora,,00,61.55,-6.8
tveraa,,00,61.55,-6.8
tvera,,00,61.55,-6.8
tvorovri,,00,61.55,-6.8
tvoroyri,1230,00,61.55,-6.8
uppsalir,,00,62.2166667,-6.5666667
upsalon,,00,62.2166667,-6.5666667
uti a flotum,,00,62.0333333,-6.95
vaag,,00,61.4666667,-6.8166667
vagsheygur,,00,62.2,-6.5666667
vagur,1569,00,61.4666667,-6.8166667
vag,,00,61.4666667,-6.8166667
valen,,00,62.1333333,-7.1333333
valur,,00,62.1333333,-7.1333333
vandsore,,00,62.0666667,-7.2333333
vatnsoyrar,41,00,62.0666667,-7.2333333
vatnsoyri,,00,62.0666667,-7.2333333
ved sjov,,00,62.1166667,-6.9
velbastaður,,00,61.9833333,-6.8333333
velbestad,,00,61.9833333,-6.8333333
vestmanhavn,,00,62.15,-7.1666667
vestmanna,1284,00,62.15,-7.1666667
vestmanshavn,,00,62.15,-7.1666667
vestnanhavn,,00,62.15,-7.1666667
viðareiði,,00,62.3666667,-6.5333333
videreide,,00,62.3666667,-6.5333333
viderejde,,00,62.3666667,-6.5333333
við gard,,00,62.2,-6.7
við garð,,00,62.2,-6.7
við garð,,00,62.3666667,-6.5333333
við gjogv,,00,62.3166667,-6.9333333
við kirkjar,,00,62.05,-7.1833333
við kirkja,,00,62.05,-7.1833333
við neyst,,00,61.6,-6.9333333
við sjogv,,00,62.1166667,-6.75
vigerberg,,00,61.4333333,-6.7166667
vigerbirge,,00,61.4333333,-6.7166667
vigerlirge,,00,61.4333333,-6.7166667
vigum,,00,62.1333333,-7.3666667
vikarbyrgi,,00,61.4333333,-6.7166667
vikar,,00,62.1333333,-7.3666667
ytri skali,,00,62.15,-6.75
