names,population,state_code,lat,lon
aas,,97,42.983333,-.4
aast,,97,43.283333,-.083333
abacourt,,B4,50.233333,3.216667
abainville,,B2,48.533333,5.5
abancourt,,A7,49.583333,1.633333
abancourt,,B4,50.233333,3.216667
abancourt,,B6,49.7,1.766667
abaucourt,,B2,48.9,6.25
abaucourt-les-souppleville,,B2,49.2,5.533333
abbans-dessous,,A6,47.133333,5.883333
abbans-dessus,,A6,47.116667,5.883333
abbaretz,,B5,47.55,-1.533333
abbaye de la melleray,,B5,47.55,-1.383333
abbaye-sous-plancy,,A4,48.566667,3.933333
abbecourt,,B6,49.366667,2.15
abbenans,,A6,47.5,6.45
abbeville,,A3,48.35,2.166667
abbeville,,B2,49.2,5.85
abbeville,25274,B6,50.1,1.833333
abbeville-la-riviere,,A3,48.35,2.166667
abbeville-les-conflans,,B2,49.2,5.85
abbevillers,,A6,47.433333,6.916667
abbeville-saint-lucien,,B6,49.516667,2.166667
abeilhan,,A9,43.45,3.3
abelcourt,,A6,47.783333,6.3
abenoux,,B7,46.333333,.933333
abere,,97,43.383333,-.166667
abergement,,A6,46.883333,5.366667
abergement-la-ronce,,A6,47.066667,5.383333
abergement-le-grand,,A6,46.916667,5.683333
abergement-le-petit,,A6,46.9,5.7
abergement-les-thesy,,A6,46.916667,5.933333
abergement-saint-jean,,A6,46.883333,5.366667
abeville,,B6,50.1,1.833333
abidos,,97,43.4,-.616667
abilly,,A3,46.933333,.733333
abilly-sur-claise,,A3,46.933333,.733333
abimes,,B9,45.5,5.983333
abitain,,97,43.416667,-.983333
abjat,,97,45.583333,.75
ablain,,B4,50.383333,2.716667
ablaincourt,,B6,49.833333,2.833333
ablain-saint-nazaire,,B4,50.383333,2.716667
ablainzevelle,,B4,50.15,2.733333
ablancourt,,A4,48.816667,4.533333
ableiges,,B6,49.083333,1.983333
ablemont,,A7,49.816667,1
ablenay,,A3,46.833333,1.866667
ablis,,A3,48.516667,1.833333
ablois,,A4,49,3.866667
ablois-saint-martin,,A4,49,3.866667
ablon,,99,49.4,.3
ablon,,A8,48.716667,2.416667
ablon-sur-seine,,A8,48.716667,2.416667
abloux,,A3,46.5,1.45
aboen,,B9,45.416667,4.133333
abon,,A1,47.033333,3.75
aboncourt,,A6,47.766667,5.983333
aboncourt,,B2,48.366667,5.966667
aboncourt-en-vosges,,B2,48.366667,5.966667
aboncourt-sur-seille,,B2,48.816667,6.35
abondance,,B9,46.283333,6.733333
abondant,,A3,48.783333,1.433333
abonville,,A3,48.316667,1.833333
abos,,97,43.35,-.566667
abouline,,98,44.833333,3.666667
abren,,97,44.866667,.333333
abreschviller,,B2,48.633333,7.1
abreschwiller,,B2,48.633333,7.1
abrest,,98,46.1,3.433333
abries,,B8,44.783333,6.933333
abrigny,,A1,47.033333,3.55
abscon,,B4,50.333333,3.3
abymes,,B9,45.5,5.983333
abzac,,97,45.016667,-.133333
abzac,,B7,46.1,.7
acciani,,A5,42.016667,9.3
acclainville,,A3,48.166667,1.55
accolans,,A6,47.5,6.533333
accolay,,A1,47.666667,3.716667
accons,,B9,44.9,4.383333
accous,,97,42.983333,-.6
acelasca,,A5,41.821667,8.784167
acellasca,,A5,41.821667,8.784167
achain,,B2,48.916667,6.583333
achatel,,B2,48.933333,6.3
achen,,B2,49.05,7.183333
achenheim,,C1,48.583333,7.633333
acheres,,A3,47.283333,2.466667
acheres,22282,A8,48.966667,2.066667
acheres-la-foret,,A8,48.35,2.566667
achery,,B6,49.683333,3.383333
acheux,,B6,50.066667,1.683333
acheux-en-amienois,,B6,50.066667,2.533333
acheux-en-vimeu,,B6,50.066667,1.683333
acheville,,B4,50.383333,2.883333
achey,,A6,47.566667,5.6
achicourt,,B4,50.266667,2.766667
achiet-le-grand,,B4,50.133333,2.783333
achiet-le-petit,,B4,50.116667,2.75
achun,,A1,47.116667,3.666667
achy,,B6,49.566667,1.95
acigne,,A2,48.133333,-1.533333
aclet,,98,45.116667,3.433333
aclou,,A7,49.166667,.7
acon,,A7,48.766667,1.1
acq,,B4,50.35,2.65
acqua d' ilia,,A5,41.516667,9.216667
acqua doria,,A5,41.75,8.733333
acqualta,,A5,42.733333,9.433333
acqualto,,A5,42.733333,9.433333
acquatella,,A5,42.466667,9.366667
acquebouille,,A3,48.2,2.066667
acquet,,B6,50.233333,2.05
acqueville,,99,48.966667,-.366667
acquigny,,A7,49.166667,1.183333
acquin,,B4,50.733333,2.083333
acy,,A4,49.5,4.333333
acy,,B6,49.1,2.966667
acy-en-multien,,B6,49.1,2.966667
acy-romance,,A4,49.5,4.333333
adaincourt,,B2,49,6.433333
adainville,,A3,48.716667,1.65
adam,,A6,47.166667,6.4
adam-les-passavant,,A6,47.3,6.366667
adam-les-vercel,,A6,47.166667,6.4
adam-lez-vercel,,A6,47.166667,6.4
adamswiller,,C1,48.9,7.2
adast,,B3,42.966667,-.083333
ade,,B3,43.133333,-.033333
adelaieau,,A3,48.616667,2.1
adelange,,B2,49,6.616667
adelans,,A6,47.7,6.4
adervielle,,B3,42.816667,.4
adilly,,B7,46.683333,-.316667
adinfer,,B4,50.183333,2.7
adissan,,A9,43.533333,3.433333
adon,,A3,47.766667,2.8
adon,,A4,49.633333,4.266667
adriers,,B7,46.25,.8
afa,,A5,41.983333,8.8
afaux,,B9,45.383333,4.116667
affieux,,B1,45.516667,1.75
affleville,,B2,49.266667,5.766667
affonville,,A3,48.533333,1.316667
affoux,,B9,45.833333,4.4
affracourt,,B2,48.466667,6.166667
affringues,,B4,50.683333,2.066667
agassac,,B3,43.366667,.883333
agay,,B8,43.433333,6.85
agde,21950,A9,43.316667,3.466667
agel,,A9,43.333333,2.85
agen,30236,97,44.2,.633333
agen,,B3,44.366667,2.683333
agencourt,,A1,47.133333,4.983333
agen- d'aveyron,,B3,44.366667,2.683333
agenville,,B6,50.166667,2.1
agenvillers,,B6,50.166667,1.916667
agets-saint-brice,,B5,47.866667,-.416667
ageville,,A4,48.116667,5.35
agey,,A1,47.283333,4.766667
aghione,,A5,42.1,9.4
agincourt,,B2,48.733333,6.233333
agizoux,,98,44.95,3.883333
aglan,,A1,46.916667,3.133333
agland,,A1,47.066667,3.433333
agme,,97,44.483333,.333333
agnac,,97,44.65,.366667
agnac,,B3,44.583333,2.266667
agnarelu,,A5,41.849444,8.790833
agnat,,98,45.35,3.466667
agneaux,,99,49.116667,-1.1
agnes,,B3,44.616667,2.266667
agnetz,,B6,49.383333,2.383333
agnez,,B4,50.3,2.666667
agnez-les-duisans,,B4,50.3,2.666667
agnicourt,,B6,49.716667,3.95
agnicourt-et-sechelles,,B6,49.716667,3.95
agnielles,,B8,44.583333,5.783333
agnieres,,B4,50.35,2.6
agnieres,,B6,49.716667,1.9
agnieres,,B8,44.7,5.883333
agnieres-en-devoluy,,B8,44.7,5.883333
agnin,,B9,45.333333,4.866667
agno,,A5,41.9,9.266667
agnos,,97,43.166667,-.616667
