names,population,state_code,lat,lon
abaga,,01,0.5666667,9.3666667
abam,,09,1.1166667,11.7166667
abame,,09,1.5333333,11.4
abana,,09,1.5166667,11.4166667
abandou,,03,-0.2666667,10.5
abang,,09,0.6666667,11.2666667
abang-ayo,,09,0.9333333,10.95
abang i,,09,1.7833333,11.6333333
abang ii,,09,1.7833333,11.6333333
abang iii,,09,1.8,11.6333333
abang-melem,,09,0.9666667,12.05
abang-si,,09,1.9666667,11.55
abas,,01,1.0,9.7833333
abe,,09,2.2666667,11.5333333
abebea,,03,0.15,11.1333333
abega,,09,2.0333333,11.5
abel,,09,0.65,11.0666667
abelago,,08,-0.9166667,9.45
abelogo,,08,-0.9166667,9.45
abeme,,09,1.9333333,11.4166667
abena,,07,-1.1,13.1166667
abenelan,,01,0.5833333,10.6166667
abenelang,,01,0.2333333,10.0666667
abenelang,,03,-0.3833333,10.4666667
abeng,,06,0.3333333,12.0
abenilam,,09,0.6,11.0833333
abenilang,,01,1.0833333,10.4666667
abiane,,09,0.4166667,11.3666667
abian minfakh,,01,0.2333333,10.0666667
abogotom,,09,0.9333333,10.75
abong ahoun,,09,0.9833333,11.65
abong-miang i,,09,0.9,11.55
abong-miang ii,,09,0.8833333,11.5666667
abor,,06,0.7833333,12.9833333
abor-tikame,,03,-0.6,10.35
aboto,,02,-0.7833333,13.9333333
abou angoum,,09,0.9,11.0333333
aboukoua,,04,-1.0,11.45
aboume,,01,0.8666667,9.8666667
abouna,,01,0.25,9.6166667
abounaviri,,08,-0.7,9.1
abouyi,,02,-1.5833333,14.2166667
abuna,,01,0.25,9.6166667
achanga,,08,-1.2333333,9.0333333
achouka,,03,-0.8666667,9.75
achouka,,06,-0.0833333,11.7333333
achouka,,08,-1.0333333,9.5166667
ackok,,03,-0.3,10.5666667
acondjo,,01,-0.2166667,9.9666667
aconjo,,01,-0.2166667,9.9666667
adamenzork,,01,0.6,10.7333333
adanhe,,03,-0.5166667,10.2666667
adjouma,,09,2.0833333,11.7333333
adole,,03,-0.6833333,9.9666667
adoue,,06,0.55,12.5666667
adouma,,03,-0.6833333,10.2166667
