names,population,state_code,lat,lon
abberley,,Q4,52.3,-2.366667
abberton,,F2,51.833333,.916667
abberton,,F7,52.183333,-2.016667
abbess roding,,E4,51.783333,.266667
abbey-cwmhir,,Y8,52.333333,-3.4
abbey dore,,Y4,51.966667,-2.9
abbey saint bathans,,T9,55.85,-2.383333
abbey town,,C9,54.833333,-3.283333
abbots ann,,F2,51.183333,-1.516667
abbots bickington,,D4,50.9,-4.283333
abbots bromley,,M9,52.8,-1.866667
abbotsbury,,D6,50.666667,-2.6
abbotsford,,T9,55.6,-2.783333
abbotsham,,D4,51.016667,-4.25
abbotskerswell,,D4,50.5,-3.616667
abbots langley,,F8,51.7,-.416667
abbots lench,,Q4,52.15,-1.966667
abbotsley,,C3,52.183333,-.2
abbots ripton,,H2,52.383333,-.183333
abbots worthy,,F2,51.083333,-1.283333
abbotts ann,,F2,51.183333,-1.516667
abbotts ripton,,H2,52.383333,-.183333
aber,,X8,53.233333,-4.016667
aberaeron,,X6,52.25,-4.25
aberaman,,Y9,51.698889,-3.426944
aberangell,,Y8,52.666667,-3.716667
aberarder,,V3,57.3,-4.266667
aberargie,,W1,56.316667,-3.35
aber-arth,,X6,52.25,-4.233333
aberayron,,X6,52.25,-4.25
aberbargoed,,X4,51.6925,-3.225
aberbeeg,,X2,51.711944,-3.141667
aber-bran,,Y8,51.95,-3.483333
abercairny,,W1,56.366667,-3.75
abercanaid,,Y3,51.723611,-3.366111
abercarn,,X4,51.647222,-3.136944
abercastle,,Y7,51.959444,-5.125833
aberchalder,,V3,57.233333,-4.366667
aberchirder,1159,T6,57.55,-2.616667
aberconway,,X8,53.283333,-3.833333
aber cowarch,,Y2,52.75,-3.7
abercynon,,Y9,51.639167,-3.336667
aberdalgie,,W1,56.35,-3.5
aberdare,32756,Y9,51.715,-3.454167
aberdaron,,Y2,52.816667,-4.7
aberdaugleddau,,Y7,51.716667,-5.033333
aberdeen,183791,T5,57.133333,-2.1
aberdour,,T6,57.65,-2.183333
aberdour,1742,V1,56.05,-3.3
aberdovey,,Y2,52.55,-4.033333
aberdulais,,Y5,51.666667,-3.783333
aberdyfi,,Y2,52.55,-4.033333
aberearne,,X4,51.647222,-3.136944
aberedw,,Y8,52.116667,-3.35
abereiddy,,Y7,51.935833,-5.204444
abererch,,Y2,52.9,-4.4
aberfam,,Y3,51.687222,-3.331944
aberfan,,Y3,51.687222,-3.331944
aberfeldy,1937,W1,56.616667,-3.85
aberffraw,,X1,53.183333,-4.45
aberfield,,Q2,51.4,-.916667
aberford,,Q5,53.816667,-1.333333
aberfoyle,577,W6,56.183333,-4.383333
abergavenny,,Y4,51.833333,-3.016667
abergele,,X8,53.283333,-3.583333
abergorlech,,X7,51.983056,-4.060278
abergorloch,,X7,51.983056,-4.060278
abergwaun,,Y7,51.992778,-4.973611
abergwesyn,,Y8,52.15,-3.683333
abergwili,,X7,51.864722,-4.271667
abergwyfni,,Y5,51.65,-3.6
abergwynfi,,Y5,51.65,-3.6
abergynolwyn,,Y2,52.633333,-3.95
aberhafesp,,Y8,52.516667,-3.383333
aberkenfig,,X3,51.54,-3.595556
aberlady,876,U6,56,-2.85
aberlemm,,T7,56.683333,-2.766667
aberlemno,,T7,56.683333,-2.766667
