names,population,state_code,lat,lon
adelphia,,01,12.1,-61.6666667
adelphi,,01,12.1,-61.6666667
amber belair,,03,12.0,-61.75
apres tout,,02,12.05,-61.6666667
argyle,,06,12.45,-61.4833333
arthur seat,,06,12.1666667,-61.6333333
baillies bacolet,,02,12.0333333,-61.6833333
bamboo,,03,12.0,-61.7833333
barique,,06,12.1666667,-61.65
barrow,,02,12.05,-61.7
battle hill,,01,12.1,-61.6166667
beaton,,02,12.0333333,-61.7
beaulieu,,03,12.0666667,-61.7333333
beauregard,,01,12.1,-61.6666667
becke moui,,02,12.0166667,-61.7
belair,,01,12.15,-61.6166667
belair,,06,12.4833333,-61.4333333
belle isle,,02,12.0333333,-61.65
belle plain,,02,12.0333333,-61.7166667
bellevue,,01,12.1,-61.65
bellevue,,02,12.05,-61.65
bellevue,,05,12.1833333,-61.6833333
belmont,,03,12.0333333,-61.75
belmont,,05,12.1833333,-61.6833333
belmont,,06,12.1666667,-61.6333333
belvedere,,06,12.5,-61.4333333
belvidere,,01,12.1333333,-61.7
birch grove,,01,12.1,-61.6666667
blaize,,01,12.15,-61.65
blow hole,,03,11.9833333,-61.7833333
boca,,03,12.0666667,-61.7166667
bogles,,06,12.5,-61.4333333
bois de gannes,,02,12.0333333,-61.7
brandon hall,,01,12.1166667,-61.6333333
brisant,,03,12.1,-61.75
brizan,,03,12.1,-61.75
bylands,,01,12.1333333,-61.6666667
cafe,,03,12.0333333,-61.7333333
calivigny,,03,12.0166667,-61.7333333
calliste,,03,12.0,-61.7666667
calliste land settlement,,03,12.0,-61.7666667
canne fond,,03,12.0166667,-61.7166667
carriere,,06,12.1666667,-61.6333333
castaigne,,01,12.1166667,-61.6666667
castle hill,,06,12.1833333,-61.6666667
celeste,,06,12.2166667,-61.6333333
chadeau,,01,12.1333333,-61.6833333
champs fleurs,,02,12.05,-61.6833333
chantimelle,,06,12.2,-61.65
charlotte town,,04,12.1666667,-61.7333333
charlotte vale,,02,12.0333333,-61.7
chutz,,01,12.1,-61.65
clabony,,01,12.1333333,-61.6666667
clarkes court,,03,12.0333333,-61.7333333
clozier,,01,12.1333333,-61.6833333
concord,,04,12.1166667,-61.7333333
confer,,03,12.0166667,-61.7166667
conference,,01,12.15,-61.6166667
constantine,,03,12.0666667,-61.7166667
content,,02,12.0333333,-61.6666667
corbeau town,,02,12.0333333,-61.7166667
corinth,,02,12.0333333,-61.6666667
crayfish,,05,12.2,-61.6833333
crochu,,02,12.05,-61.65
d'arbeau,,03,12.05,-61.75
deblando,,01,12.1,-61.6333333
des isles,,06,12.2166667,-61.6666667
diego piece,,06,12.2,-61.6666667
dothan,,04,12.1333333,-61.7333333
dover,,06,12.5,-61.4333333
dumfermline,,01,12.1333333,-61.6166667
dumfries,,06,12.4666667,-61.4666667
dunfermline,,01,12.1333333,-61.6166667
duquesne,,06,12.2,-61.6666667
egmont,,03,12.0,-61.7166667
elie hall,,06,12.2,-61.6333333
epping forest,,02,12.0333333,-61.7
fairfield,,02,12.05,-61.65
falaise,,03,12.0333333,-61.75
falege,,03,12.0333333,-61.75
felix park,,01,12.0666667,-61.65
florida,,04,12.15,-61.7
fontenoy,,03,12.0666667,-61.75
ford,,01,12.1166667,-61.6166667
fort jeudy,,03,12.0,-61.7
fort royal,,03,12.05,-61.75
frequente,,03,12.0,-61.7666667
georgetown,,03,12.05,-61.75
golflands,,03,12.0166667,-61.75
gouave,,04,12.1666667,-61.7333333
gouyave,3378,04,12.1666667,-61.7333333
goyave,,04,12.1666667,-61.7333333
grand ance,,03,12.0166667,-61.75
grand anse,,03,12.0166667,-61.75
grand bay,,06,12.4833333,-61.4333333
grand bra,,01,12.1333333,-61.6333333
grand bras,,01,12.1166667,-61.6333333
grand mal,,03,12.0666667,-61.75
grand pauve,,05,12.1833333,-61.7
grand pauvre,,05,12.1833333,-61.7
grand roy,,04,12.1166667,-61.75
granton,,03,12.0833333,-61.7166667
grenada city,,03,12.05,-61.75
grenville,2476,01,12.1166667,-61.6166667
gretna green,,03,12.05,-61.75
guyave,,04,12.1666667,-61.7333333
gwa kay,,03,12.0166667,-61.7666667
happy hill,,03,12.0833333,-61.75
harford village,,01,12.1166667,-61.6333333
helvellyn,,06,12.2166667,-61.6333333
hermitage,,03,12.0666667,-61.7333333
hermitage,,06,12.1666667,-61.6333333
hermon,,01,12.15,-61.6166667
hillsborough,770,06,12.4833333,-61.4666667
hope bacolet,,01,12.0833333,-61.6166667
horne,,03,12.0,-61.75
hyde park,,03,12.05,-61.7333333
industry,,06,12.2166667,-61.6833333
ka-fe beau,,03,12.0333333,-61.75
